Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2010-07-16,9.77,46500,-3.4(-6.81 %),109200,5084430000.0,0,0,49500,49500,46500
2010-07-19,9.73,46300,-0.3(-0.64 %),104900,4918340000.0,40000,1736000000,49500,49500,46300
2010-07-20,9.5,45200,-1.7(-3.62 %),328700,14862930000.0,0,0,48000,48000,44500
2010-07-21,9.48,45100,-0.1(-0.22 %),75800,3419920000.0,20000,966000000,45200,45400,44000
2010-07-22,9.48,45100,0(0.00 %),147200,6716430000.0,0,0,45100,48000,45000
2010-07-23,9.66,46000,0.4(0.88 %),115800,5385570000.0,0,0,47500,47500,45800
2010-07-26,9.48,45100,-1.4(-3.01 %),131700,6071250000.0,100000,4970000000,46100,46800,45000
2010-07-27,9.69,46100,0(0.00 %),112900,5206110000.0,20000,922000000,46500,47000,45400
2010-07-28,9.45,45000,-1.1(-2.39 %),64300,2944080000.0,100000,4930000000,46900,46900,45000
2010-07-29,10.29,48150,3.2(6.99 %),509100,24227980000.0,0,0,45900,48150,44800
2010-07-30,10.61,50500,2.9(6.09 %),346300,16899290000.0,135000,6871500000,49500,50600,47600
2010-08-02,10.25,48800,0(0.00 %),682800,33604550000.0,10500,535500000,51500,52000,48800
2010-08-03,10.34,49200,0(0.00 %),405000,19946790000.0,0,0,50800,50900,48800
2010-08-04,10.5,50000,0.7(1.42 %),245000,12055110000.0,0,0,49500,50000,45900
2010-08-05,10.08,48000,-1.2(-2.44 %),169100,8290560000.0,0,0,50000,50000,48000
2010-08-06,10.29,49000,0(0.00 %),150000,7355310000.0,430500,22485000000,49000,49300,49000
2010-08-09,9.87,47000,-2(-4.08 %),173500,8318640000.0,0,0,49000,49300,46700
2010-08-10,9.48,45100,-2.8(-5.85 %),122300,5476250000.0,0,0,48900,48900,44600
2010-08-11,9.33,44400,-0.4(-0.89 %),168100,7347380000.0,30000,1380000000,42400,44400,42400
2010-08-12,8.82,42000,-1.7(-3.89 %),81800,3454760000.0,105000,4733500000,43700,43700,41600
2010-08-13,9.35,44500,2.3(5.45 %),53500,2340110000.0,250000,11275000000,43000,44500,43000
