Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2009-09-25,9.57,47800,2.2(4.82 %),12090,577902000,0,0,47800,47800,47800
2009-09-28,10.01,50000,2.2(4.60 %),9150,457500000,0,0,50000,50000,50000
2009-09-29,10.51,52500,2.5(5.00 %),11530,605325000,0,0,52500,52500,52500
2009-09-30,11.01,55000,2.5(4.76 %),29680,1632400000,0,0,55000,55000,55000
2009-10-01,11.51,57500,2.5(4.55 %),122120,7021900000,0,0,57500,57500,57500
2009-10-02,12.01,60000,2.5(4.35 %),501150,30037090000,0,0,60000,60000,59500
2009-10-05,12.61,63000,3(5.00 %),157030,9892890000,0,0,63000,63000,63000
2009-10-06,12.61,63000,0(0.00 %),257710,16607090000,0,0,65000,65000,62500
2009-10-07,12.11,60500,-2.5(-3.97 %),301400,18281225000,0,0,60000,62000,60000
2009-10-08,12.41,62000,1.5(2.48 %),160400,9824885000,0,0,61000,62000,59500
2009-10-09,13.01,65000,3(4.84 %),325400,21005980000,0,0,64000,65000,63500
2009-10-12,13.61,68000,3(4.62 %),715800,48661770000,0,0,68000,68000,67000
2009-10-13,13.11,65500,-2.5(-3.68 %),189110,12563035000,0,0,66500,68000,65500
2009-10-14,13.51,67500,2(3.05 %),274300,18518615000,0,0,66500,68500,65500
2009-10-15,13.61,68000,0.5(0.74 %),238120,16314185000,0,0,69500,69500,67000
2009-10-16,13.31,66500,-1.5(-2.21 %),289690,19459140000,0,0,67000,68000,66500
2009-10-19,13.61,68000,1.5(2.26 %),263230,17654930000,0,0,65000,68000,65000
2009-10-20,14.01,70000,2(2.94 %),352230,24695285000,0,0,69500,71000,69000
2009-10-21,13.91,69500,-0.5(-0.71 %),177890,12356055000,0,0,70000,70000,69000
2009-10-22,13.91,69500,0(0.00 %),331220,23068540000,0,0,69500,70000,69000
2009-10-23,13.51,67500,-2(-2.88 %),398230,28486430000,0,0,72500,72500,67500
2009-10-26,13.41,67000,-0.5(-0.74 %),297030,20097215000,0,0,68500,69000,66000
2009-10-27,13.01,65000,-2(-2.99 %),223410,14529270000,0,0,65000,66000,64500
2009-10-28,13.31,66500,1.5(2.31 %),300800,19548290000,0,0,65000,67000,63500
2009-10-29,13.01,65000,-1.5(-2.26 %),234480,14994830000,0,0,63500,65500,63500
2009-10-30,12.71,63500,-1.5(-2.31 %),192520,12450515000,0,0,66000,66000,63000
2009-11-02,12.41,62000,-1.5(-2.36 %),262530,15972335000,0,0,60500,63500,60500
2009-11-03,11.79,57700,-2.2(-4.97 %),135010,5745828000,0,0,57700,57700,57700
2009-11-04,11.62,41500,-0.6(-1.43 %),125350,5251236000,0,0,41000,44000,41000
2009-11-05,11.79,42100,0.6(1.45 %),130670,5551876000,0,0,43000,43000,41600
2009-11-06,11.51,41100,-1(-2.38 %),83820,3564337000,0,0,43600,43600,41100
2009-11-09,10.95,39100,-2(-4.87 %),185240,7377744000,0,0,41000,41000,39100
2009-11-10,10.67,38100,-1(-2.56 %),56290,2183927000,0,0,38300,40500,38100
2009-11-11,11.2,40000,1.9(4.99 %),85170,3381176000,0,0,38000,40000,38000
2009-11-12,11.62,41500,1.5(3.75 %),94630,3902533000,0,0,40000,41800,40000
2009-11-13,11.71,41800,0.3(0.72 %),98430,4070912000,0,0,40000,42200,39700
2009-11-16,11.37,40600,-1.2(-2.87 %),44630,1842477000,0,0,41000,42000,40600
2009-11-17,11.06,39500,-1.1(-2.71 %),48810,1940102000,0,0,41000,41000,39500
2009-11-18,10.95,39100,-0.4(-1.01 %),23580,920844000,0,0,39500,39500,39000
2009-11-19,11.2,40000,0.9(2.30 %),189960,7632191000,0,0,40200,41000,39200
2009-11-20,11.15,39800,-0.2(-0.50 %),83200,3331902000,0,0,40300,40400,39800
2009-11-23,10.64,38000,-1.8(-4.52 %),188310,7148154000,0,0,38000,39700,37900
2009-11-24,10.64,38000,0(0.00 %),40720,1551992000,0,0,38200,38500,37900
2009-11-25,10.11,36100,-1.9(-5.00 %),64490,2337382000,0,0,36900,37000,36100
2009-11-26,9.61,34300,-1.8(-4.99 %),27900,956970000,0,0,34300,34300,34300
2009-11-27,9.66,34500,0.2(0.58 %),100780,3366142000,0,0,32600,36000,32600
2009-11-30,9.44,33700,-0.8(-2.32 %),23100,790547000,0,0,33700,35500,33700
2009-12-01,9.8,35000,1.3(3.86 %),93080,3261460000,0,0,34000,35300,34000
2009-12-02,9.33,33300,-1.7(-4.86 %),35310,1201031000,0,0,35000,35000,33300
2009-12-03,9.33,33300,0(0.00 %),35560,1179831000,0,0,32200,34000,32200
2009-12-04,9.38,33500,0.2(0.60 %),37360,1251144000,0,0,33900,33900,33200
2009-12-07,9.38,33500,0(0.00 %),24130,808802000,0,0,34000,34000,33000
2009-12-08,9.35,33400,-0.1(-0.30 %),27280,910992000,0,0,33900,33900,32700
2009-12-09,8.91,31800,-1.6(-4.79 %),33690,1073787000,0,0,31900,33400,31800
2009-12-10,8.49,30300,-1.5(-4.72 %),117480,3575427000,0,0,30400,32900,30300
2009-12-11,8.07,28800,-1.5(-4.95 %),80730,2350183000,0,0,30300,30400,28800
2009-12-14,8.46,30200,1.4(4.86 %),43990,1301163000,0,0,28000,30200,28000
2009-12-15,8.4,30000,-0.2(-0.66 %),13840,413565000,0,0,30200,30200,29500
2009-12-16,8.07,28800,-1.2(-4.00 %),52390,1500003000,0,0,29500,29900,28500
2009-12-17,8.07,28800,0(0.00 %),19590,548301000,0,0,27900,28800,27500
2009-12-18,8.46,30200,1.4(4.86 %),66970,2003236000,0,0,29000,30200,29000
2009-12-21,8.82,31500,1.3(4.30 %),48480,1518898000,0,0,31500,31500,31000
2009-12-22,8.68,31000,-0.5(-1.59 %),98320,3039965000,0,0,30800,31500,30200
2009-12-23,8.4,30000,-1(-3.23 %),56690,1715565000,0,0,30300,30800,29500
2009-12-24,8.46,30200,0.2(0.67 %),143490,4323598000,0,0,29100,30300,29100
2009-12-25,8.88,31700,1.5(4.97 %),280640,8770528000,460000,14552000000,30500,31700,30500
2009-12-28,8.96,32000,0.3(0.95 %),222740,7206903000,0,0,31700,33000,31300
2009-12-29,8.96,32000,0(0.00 %),77950,2495133000,0,0,32000,32500,31400
2009-12-30,9.41,33600,1.6(5.00 %),181150,5892054000,0,0,32200,33600,31900
2009-12-31,8.99,32100,-1.5(-4.46 %),152230,4958370000,88768,2982605000,34800,34800,32000
2010-01-04,9.44,33700,1.6(4.98 %),161260,5422501000,0,0,33000,33700,33000
2010-01-05,9.66,34500,0.8(2.37 %),197140,6924589000,0,0,35300,35300,33000
2010-01-06,9.52,34000,-0.5(-1.45 %),114920,3901774000,0,0,33600,34800,33300
2010-01-07,10.0,35700,1.7(5.00 %),292740,10415037000,0,0,34900,35700,34900
2010-01-08,10.0,35700,0(0.00 %),587420,21881437000,0,0,37400,37400,35700
2010-01-11,9.94,35500,-0.2(-0.56 %),184670,6561851000,0,0,35700,36100,35000
2010-01-12,9.52,34000,-1.5(-4.23 %),131620,4621034000,0,0,35500,35700,34000
2010-01-13,9.52,34000,0(0.00 %),231820,7741632000,0,0,34000,34500,32300
2010-01-14,9.61,34300,0.3(0.88 %),71960,2460518000,0,0,34000,34700,33000
2010-01-15,9.66,34500,0.2(0.58 %),187690,6433060000,0,0,34800,34800,33400
2010-01-18,9.19,32800,-1.7(-4.93 %),135250,4452891000,0,0,34200,34200,32800
2010-01-19,9.49,33900,1.1(3.35 %),78080,2626314000,0,0,32300,34300,32300
2010-01-20,9.27,33100,-0.8(-2.36 %),41500,1378860000,0,0,33000,34000,33000
2010-01-21,9.05,32300,-0.8(-2.42 %),119630,3887634000,0,0,32200,33100,32200
2010-01-22,9.05,32300,0(0.00 %),50420,1619833000,0,0,31500,32800,31500
2010-01-25,9.13,32600,0.3(0.93 %),19960,648731000,0,0,32300,33000,32000
2010-01-26,9.49,33900,1.3(3.99 %),132960,4501831000,0,0,33900,33900,33500
2010-01-27,9.47,33800,-0.1(-0.29 %),80350,2687411000,0,0,33900,33900,32800
2010-01-28,9.35,33400,-0.4(-1.18 %),54510,1800378000,0,0,33800,33800,32500
2010-01-29,9.1,32500,-0.9(-2.69 %),11760,383981000,0,0,33600,33600,32200
2010-02-01,9.24,33000,0.5(1.54 %),43470,1434865000,0,0,33600,33600,32800
2010-02-02,9.38,33500,0.5(1.52 %),58440,1941809000,0,0,33000,33500,33000
2010-02-03,9.38,33500,0(0.00 %),36080,1194890000,0,0,33100,33500,33000
2010-02-04,9.41,33600,0.1(0.30 %),28130,942763000,0,0,33800,33800,33000
2010-02-05,9.02,32200,-1.4(-4.17 %),69600,2277120000,0,0,33100,33100,32200
2010-02-08,9.24,33000,0.8(2.48 %),27300,893092000,0,0,32200,33000,32200
2010-02-09,8.99,32100,-0.9(-2.73 %),27190,875300000,0,0,33000,33000,32100
2010-02-10,9.21,32900,0.8(2.49 %),23250,766683000,0,0,33000,33400,32500
2010-02-11,9.24,33000,0.1(0.30 %),26120,861890000,0,0,32900,33000,32900
2010-02-12,9.27,33100,0.1(0.30 %),78490,2596879000,0,0,33000,33800,32900
2010-02-22,9.38,33500,0.4(1.21 %),28190,945686000,0,0,34100,34100,33100
2010-02-23,9.1,32500,-1(-2.99 %),16340,531010000,0,0,32100,33100,32100
2010-02-24,9.1,32500,0(0.00 %),4660,151769000,0,0,33400,33400,32400
2010-02-25,9.13,32600,0.1(0.31 %),5280,172995000,0,0,33500,33500,32400
2010-02-26,9.13,32600,0(0.00 %),7210,233986000,0,0,32200,32600,32200
2010-03-01,9.19,32800,0.2(0.61 %),11760,384894000,0,0,32800,33000,32600
2010-03-02,9.21,32900,0.1(0.30 %),18320,599095000,0,0,33200,33200,32500
2010-03-03,9.3,33200,0.3(0.91 %),35390,1166788000,0,0,33200,33200,32400
2010-03-04,9.3,33200,0(0.00 %),80200,2660760000,0,0,33500,33500,33000
2010-03-05,9.3,33200,0(0.00 %),34200,1130118000,0,0,32800,33300,32800
2010-03-08,9.66,34500,1.3(3.92 %),144360,4918099000,0,0,33200,34500,33200
2010-03-09,10.14,36200,1.7(4.93 %),494830,17777945000,0,0,35500,36200,35100
2010-03-10,10.33,36900,0.7(1.93 %),209930,7780108000,0,0,37400,37400,36500
2010-03-11,10.22,36500,-0.4(-1.08 %),71390,2595695000,0,0,36500,36900,36000
2010-03-12,10.31,36800,0.3(0.82 %),325040,11787265000,0,0,36900,36900,36000
2010-03-15,10.17,36300,-0.5(-1.36 %),277040,10192426000,0,0,37100,37200,36300
2010-03-16,9.89,35300,-1(-2.75 %),103060,3663909000,0,0,36300,36300,35100
2010-03-17,9.8,35000,-0.3(-0.85 %),83340,2926819000,0,0,35300,35300,34800
2010-03-18,9.94,35500,0.5(1.43 %),136470,4770984000,0,0,34700,35500,34600
2010-03-19,9.8,35000,-0.5(-1.41 %),150950,5289617000,0,0,35500,35500,34900
2010-03-22,9.77,34900,-0.1(-0.29 %),71250,2493586000,0,0,35000,35400,34900
2010-03-23,9.52,34000,-0.9(-2.58 %),179150,6124264000,0,0,34700,34700,34000
2010-03-24,9.66,34500,0.5(1.47 %),37630,1286474000,0,0,35000,35000,33900
2010-03-25,9.38,33500,-1(-2.90 %),128310,4305016000,0,0,34000,34000,33400
2010-03-26,9.35,33400,-0.1(-0.30 %),58850,1960520000,0,0,34000,34000,32500
2010-03-29,9.52,34000,0.6(1.80 %),62700,2096961000,0,0,34000,34000,33000
2010-03-30,9.38,33500,-0.5(-1.47 %),36810,1241940000,0,0,34700,34700,33000
2010-03-31,9.35,33400,-0.1(-0.30 %),92000,3087730000,0,0,33900,33900,33400
2010-04-01,9.35,33400,0(0.00 %),93070,3099731000,0,0,33400,34600,33000
2010-04-02,9.33,33300,-0.1(-0.30 %),9700,325192000,0,0,33900,33900,33300
2010-04-05,9.33,33300,0(0.00 %),36150,1209902000,0,0,33800,33800,33200
2010-04-06,9.33,33300,0(0.00 %),75640,2517344000,0,0,33200,33300,33200
2010-04-07,9.41,33600,0.3(0.90 %),228050,7701467000,0,0,34500,34500,33300
2010-04-08,9.49,33900,0.3(0.89 %),154180,5203902000,0,0,33600,34300,33600
2010-04-09,9.58,34200,0.3(0.88 %),56330,1921903000,0,0,34000,34300,34000
2010-04-12,9.52,34000,-0.2(-0.58 %),57620,1972220000,0,0,34500,34500,34000
2010-04-13,9.44,33700,-0.3(-0.88 %),39770,1342918000,0,0,34000,34000,33500
2010-04-14,9.5,32400,0.2(0.62 %),85290,2775937000,0,0,33000,33000,32100
2010-04-15,9.41,32100,-0.3(-0.93 %),54750,1768534000,0,0,32300,32600,32000
2010-04-16,9.44,32200,0.1(0.31 %),71580,2319979000,0,0,32700,32700,32100
2010-04-19,9.58,32700,0.5(1.55 %),98030,3171822000,0,0,32200,32700,31900
2010-04-20,9.67,33000,0.3(0.92 %),121880,4011829000,0,0,32900,33000,32700
2010-04-21,9.82,33500,0.5(1.52 %),153830,5115425000,0,0,33000,33500,33000
2010-04-22,9.79,33400,-0.1(-0.30 %),69800,2349000000,0,0,33500,34000,33300
2010-04-26,9.79,33400,0(0.00 %),126220,4246098000,0,0,33400,33800,33400
2010-04-27,9.79,33400,0(0.00 %),46660,1552062000,0,0,33100,33400,33100
2010-04-28,9.79,33400,0(0.00 %),17120,568462000,0,0,33400,33400,33000
2010-04-29,9.79,33400,0(0.00 %),148590,4965834000,0,0,33400,33500,33400
2010-05-04,10.05,34300,0.9(2.69 %),264190,9056434000,0,0,34200,34800,34000
2010-05-05,10.55,36000,1.7(4.96 %),358200,12810002000,450000,15300000000,35000,36000,35000
2010-05-06,11.08,37800,1.8(5.00 %),707930,26751672000,0,0,37800,37800,37100
2010-05-07,10.7,36500,-1.3(-3.44 %),226980,8252901000,0,0,36400,36500,36000
2010-05-10,10.23,34900,-1.6(-4.38 %),131830,4639900000,0,0,36000,36000,34800
2010-05-11,10.08,34400,-0.5(-1.43 %),168420,5769276000,0,0,35000,35000,34000
2010-05-12,9.73,33200,-1.2(-3.49 %),165420,5554336000,551520,18034704000,33500,34300,33000
2010-05-13,9.73,33200,0(0.00 %),179620,6002961000,0,0,34000,34000,33200
2010-05-14,9.79,33400,0.2(0.60 %),111050,3698626000,0,0,33200,33600,33200
2010-05-17,9.82,33500,0.1(0.30 %),78940,2633919000,0,0,33800,33800,33000
2010-05-18,9.73,33200,-0.3(-0.90 %),104540,3487568000,0,0,33200,33500,33200
2010-05-19,9.53,32500,-0.7(-2.11 %),165560,5385774000,0,0,32700,32800,32400
2010-05-20,9.73,33200,0.7(2.15 %),73640,2346142000,0,0,31000,33200,31000
2010-05-21,9.26,31600,-1.6(-4.82 %),211980,6706646000,0,0,31600,31800,31600
2010-05-24,9.38,32000,0.4(1.27 %),37600,1194398000,0,0,31600,32400,31500
2010-05-25,9.15,31200,-0.8(-2.50 %),41250,1295864000,0,0,32000,32500,31100
2010-05-26,9.2,31400,0.2(0.64 %),29500,931584000,0,0,31200,31900,31200
2010-05-27,9.2,31400,0(0.00 %),40490,1268362000,0,0,31100,31500,31000
2010-05-28,9.5,32400,1(3.18 %),29350,952466000,0,0,32600,32600,32100
2010-05-31,9.35,31900,-0.5(-1.54 %),21840,700496000,260000,8008000000,32000,32400,31700
2010-06-01,9.38,32000,0.1(0.31 %),11050,350756000,0,0,32200,32200,31000
2010-06-02,9.47,32300,0.3(0.94 %),34360,1100550000,0,0,32000,32300,31500
2010-06-03,9.47,32300,0(0.00 %),49150,1606061000,0,0,32300,33800,32300
2010-06-04,9.47,32300,0(0.00 %),18850,607095000,247000,7978100000,32800,32800,32100
2010-06-07,9.15,31200,-1.1(-3.41 %),24780,781705000,0,0,32300,32300,31200
2010-06-08,9.32,31800,0.6(1.92 %),30200,969600000,0,0,32700,32700,31200
