Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2020-07-24,11.37,20100,2.6(14.86 %),145600,2926560000,0,0,20100,20100,20100
2020-07-27,13.06,23100,3(14.93 %),456200,10538220000,0,0,23100,23100,23100
2020-07-28,14.99,26500,3.4(14.72 %),357600,9125530000,0,0,23600,26500,23300
2020-07-29,14.42,25500,0(0.00 %),197100,4958440000,0,0,29200,29200,22500
2020-07-30,12.44,22000,-3.2(-12.70 %),89000,2045840000,0,0,25100,25100,21700
2020-07-31,12.44,22000,-1(-4.35 %),42000,958940000,0,0,22900,23400,22000
2020-08-03,13.12,23200,0.4(1.75 %),53800,1233050000,0,0,22600,23400,22000
2020-08-04,14.08,24900,2(8.73 %),77700,1879380000,0,0,23000,25000,23000
2020-08-05,15.72,27800,3.6(14.88 %),226091,6103529800,0,0,24400,27800,24400
2020-08-06,17.53,31000,4(14.81 %),145300,4477280000,0,0,30000,31000,27600
2020-08-07,19.34,34200,3.4(11.04 %),437300,13992040000,0,0,34000,35400,26400
2020-08-10,15.38,29100,-4.8(-15.00 %),75200,2144610000,0,0,31700,31700,29100
2020-08-11,13.74,24300,-4.2(-14.74 %),81600,2006060000,0,0,24700,28600,24300
2020-08-12,12.5,22100,-2.5(-10.16 %),667800,14250640000,0,0,21500,23300,21000
2020-08-13,13.8,24400,3.1(14.55 %),329100,7787190000,0,0,22000,24400,22000
2020-08-14,15.38,27200,3.5(14.77 %),357500,9426070000,0,0,24200,27200,24200
2020-08-17,12.72,23100,-3.9(-14.77 %),1878291,48238527500,0,0,27000,30300,23100
2020-08-18,13.91,24600,-1.1(-4.28 %),293011,6647640900,0,0,23000,24700,21900
2020-08-19,12.72,22500,-0.2(-0.88 %),631500,13912730000,0,0,22700,25000,20900
2020-08-20,10.91,19300,-2.7(-12.27 %),308680,6362479000,0,0,22300,22800,19100
2020-08-21,9.95,17600,-3(-14.56 %),385110,7145037000,0,0,18000,20600,17600
2020-08-24,10.69,18900,0.3(1.61 %),967366,18038325400,0,0,18600,20200,15900
2020-08-25,9.67,17100,-1.5(-8.06 %),614056,10977857000,0,0,18900,20600,16100
2020-08-26,9.44,16700,-1.2(-6.70 %),359010,6117450000,0,0,17000,19600,15300
2020-08-27,8.2,14500,-2.5(-14.71 %),132850,1973967000,0,0,16500,16500,14500
2020-08-28,7.18,12700,-2.2(-14.77 %),325603,4143878100,0,0,14000,14000,12700
2020-08-31,6.11,10800,-1.9(-14.96 %),192133,2088469700,0,0,11200,11700,10800
2020-09-01,5.82,10300,-0.6(-5.50 %),1666610,17919645000,0,0,10500,12400,9300
