Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2021-03-25,9.13,12200,-0.5(-3.94 %),981400,12607000000,0,0,13450,13450,11850
2021-03-26,8.5,11350,-0.85(-6.97 %),231300,2651000000,0,0,11500,12000,11350
2021-03-29,8.24,11000,-0.35(-3.08 %),1741400,18730000000,0,0,10700,11350,10600
2021-03-30,8.8,11750,0.75(6.82 %),761500,8570000000,0,0,11000,11750,10950
2021-03-31,9.4,12550,0.8(6.81 %),320300,4020000000,0,0,12550,12550,12500
2021-04-01,10.03,13400,0.85(6.77 %),947500,12450000000,0,0,13200,13400,12600
2021-04-02,9.73,13000,-0.4(-2.99 %),498100,6777000000,0,0,14000,14100,12800
2021-04-05,9.43,12600,-0.4(-3.08 %),523800,6760000000,0,0,12900,13100,12600
2021-04-06,10.07,13450,0.85(6.75 %),425300,5688000000,0,0,12600,13450,12600
2021-04-07,10.11,13500,0.05(0.37 %),798300,10925000000,0,0,13850,14200,13300
2021-04-08,9.88,13200,-0.3(-2.22 %),792900,10807000000,0,0,13500,14200,13100
2021-04-09,10.56,14100,0.9(6.82 %),1336500,18216000000,20000,270000000,13150,14100,13150
2021-04-12,11.27,15050,0.95(6.74 %),942700,13831000000,0,0,14350,15050,14350
2021-04-13,11.72,15650,0.6(3.99 %),1149700,17816000000,0,0,15850,15900,15100
2021-04-14,11.64,15550,-0.1(-0.64 %),997300,15583000000,0,0,15500,15850,15500
2021-04-15,11.9,15900,0.35(2.25 %),770300,12190000000,0,0,15600,16200,15400
2021-04-16,12.35,16500,0.6(3.77 %),370600,5954000000,0,0,16500,16500,15900
2021-04-19,12.13,16200,-0.3(-1.82 %),509900,8391000000,0,0,16900,16900,16000
2021-04-20,12.58,16800,0.6(3.70 %),771600,12780000000,0,0,16000,17300,15950
2021-04-22,11.98,16000,-0.8(-4.76 %),730200,12569000000,0,0,17200,17800,16000
2021-04-23,12.8,17100,1.1(6.88 %),878100,14461000000,0,0,15900,17100,15900
2021-04-26,12.58,16800,-0.3(-1.75 %),858400,14894000000,0,0,17600,17850,16500
2021-04-27,12.58,16800,0(0.00 %),282200,4830000000,0,0,16800,17500,16600
2021-04-28,12.65,16900,0.1(0.60 %),375200,6221000000,0,0,16350,17200,16350
2021-04-29,12.54,16750,-0.15(-0.89 %),213900,3603000000,0,0,16900,17000,16750
2021-05-04,12.35,16500,-0.25(-1.49 %),386700,6330000000,0,0,16200,16750,16100
2021-05-05,13.21,17650,1.15(6.97 %),610300,10535000000,0,0,16400,17650,16250
2021-05-06,13.93,18600,0.95(5.38 %),945200,17127000000,0,0,18450,18800,17500
2021-05-07,13.63,18200,-0.4(-2.15 %),800100,14550000000,0,0,18750,18800,17600
2021-05-10,13.48,18000,-0.2(-1.10 %),320500,5815000000,0,0,17600,18600,17400
2021-05-11,13.63,18200,0.2(1.11 %),184700,3335000000,0,0,18000,18250,17900
2021-05-12,13.55,18100,-0.1(-0.55 %),533400,9669000000,0,0,17800,18800,17800
2021-05-13,14.49,19350,1.25(6.91 %),1265900,23739000000,0,0,18000,19350,17700
2021-05-14,15.24,20350,1(5.17 %),1472100,29190000000,0,0,20200,20400,19300
2021-05-17,14.82,19800,-0.55(-2.70 %),887800,17804000000,0,0,20800,20800,19350
2021-05-18,14.68,19600,-0.2(-1.01 %),738100,14493000000,0,0,19300,20100,19300
2021-05-19,15.54,20750,1.15(5.87 %),774900,15487000000,0,0,19350,20800,19350
2021-05-20,16.1,21500,0.75(3.61 %),972900,20012000000,0,0,20750,21800,20050
2021-05-21,15.72,21000,-0.5(-2.33 %),470100,9848000000,0,0,21400,21400,20800
2021-05-24,15.54,20750,-0.25(-1.19 %),522200,10678000000,0,0,20600,21000,20250
2021-05-25,15.46,20650,-0.1(-0.48 %),404300,8273000000,0,0,20850,20900,20150
2021-05-26,15.16,20250,-0.4(-1.94 %),476100,9646000000,0,0,20500,20650,20050
2021-05-27,14.6,19500,-0.75(-3.70 %),2030100,40028000000,0,0,20500,20800,18850
2021-05-28,14.82,19800,0.3(1.54 %),594000,11490000000,0,0,19600,19900,19000
2021-05-31,14.6,19500,-0.3(-1.52 %),335800,6580000000,0,0,19800,20200,19200
