Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2018-06-13,7.26,10500,0(0.00 %),0,0,0,0,10500,10500,10500
2018-06-14,7.26,10500,0(0.00 %),0,0,0,0,10500,10500,10500
2018-06-15,7.26,10500,0(0.00 %),0,0,0,0,10500,10500,10500
2018-06-18,7.26,10500,0(0.00 %),0,0,0,0,10500,10500,10500
2018-06-19,7.26,10500,0(0.00 %),0,0,0,0,10500,10500,10500
2018-06-20,7.26,10500,0(0.00 %),0,0,0,0,10500,10500,10500
2018-06-21,7.26,10500,0(0.00 %),0,0,0,0,10500,10500,10500
2018-06-22,7.26,10500,0(0.00 %),0,0,0,0,10500,10500,10500
2018-06-25,7.26,10500,0(0.00 %),0,0,0,0,10500,10500,10500
2018-06-26,7.26,10500,0(0.00 %),0,0,0,0,10500,10500,10500
2018-06-27,7.26,10500,0(0.00 %),0,0,0,0,10500,10500,10500
2018-06-28,7.26,10500,0(0.00 %),0,0,0,0,10500,10500,10500
2018-06-29,5.74,9750,-2.2(-20.95 %),1100,9200000,0,0,9750,9750,9750
2018-07-02,5.12,7720,-1(-11.90 %),600,4490000,0,0,7720,7720,7720
2018-07-03,4.43,6880,-1.1(-14.67 %),800,5120000,0,0,6880,6880,6880
2018-07-04,4.22,6100,-0.3(-4.69 %),200,1220000,0,0,6100,6100,6100
2018-07-05,4.29,6200,0.1(1.64 %),100,620000,0,0,6200,6200,6200
2018-07-06,4.01,5800,-0.4(-6.45 %),200,1170000,0,0,5900,5900,5800
2018-07-09,4.01,5800,-0.1(-1.69 %),100,580000,0,0,5800,5800,5800
2018-07-10,4.15,6000,0.2(3.45 %),700,4170000,0,0,5900,6000,5900
2018-07-11,4.15,6000,0(0.00 %),800,4810000,0,0,5900,6100,5900
2018-07-12,4.22,6100,0.1(1.67 %),200,1220000,0,0,6100,6100,6100
2018-07-13,3.94,5700,-0.4(-6.56 %),700,3950000,0,0,5700,5700,5670
2018-07-16,3.87,5600,0(0.00 %),0,0,0,0,5600,5600,5600
2018-07-17,3.94,5700,0.1(1.79 %),200,1140000,0,0,5700,5700,5700
2018-07-18,4.01,5800,0.1(1.75 %),100,580000,0,0,5800,5800,5800
