Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2020-03-19,10.24,13850,0.9(6.95 %),12840,178000000,0,0,13850,13850,13850
2020-03-20,10.95,14800,0.95(6.86 %),10080,149000000,0,0,14800,14800,14800
2020-03-23,11.69,15800,1(6.76 %),8110,128000000,0,0,15800,15800,15800
2020-03-24,12.5,16900,1.1(6.96 %),210860,3564000000,0,0,16900,16900,16900
2020-03-25,13.35,18050,1.15(6.80 %),124850,2254000000,0,0,18050,18050,18050
2020-03-26,14.27,19300,1.25(6.93 %),198820,3835000000,0,0,19300,19300,19200
2020-03-27,15.27,20650,1.35(6.99 %),91940,1899000000,0,0,20650,20650,20650
2020-03-30,16.31,22050,1.4(6.78 %),96540,2129000000,0,0,22050,22050,22050
2020-03-31,17.42,23550,1.5(6.80 %),211060,4968000000,0,0,23550,23550,23450
2020-04-01,18.6,25150,1.6(6.79 %),99250,2496000000,0,0,25150,25150,25150
2020-04-03,19.89,26900,1.75(6.96 %),108670,2923000000,0,0,26900,26900,26900
2020-04-06,21.26,28750,1.85(6.88 %),98590,2834000000,0,0,28750,28750,28750
2020-04-07,22.74,30750,2(6.96 %),67880,2087000000,0,0,30750,30750,30750
2020-04-08,24.33,32900,2.15(6.99 %),89030,2929000000,0,0,32900,32900,32900
2020-04-09,26.03,35200,2.3(6.99 %),65630,2310000000,0,0,35200,35200,35200
2020-04-10,24.22,32750,-2.45(-6.96 %),311640,11049000000,0,0,37650,37650,32750
2020-04-13,22.56,30500,-2.25(-6.87 %),23580,721000000,0,0,30600,30600,30500
2020-04-14,21.0,28400,-2.1(-6.89 %),2390,68000000,0,0,28400,28400,28400
2020-04-15,19.56,26450,-1.95(-6.87 %),2760,73000000,0,0,26450,26450,26450
2020-04-16,18.19,24600,-1.85(-6.99 %),1810,45000000,0,0,24600,24600,24600
2020-04-17,16.94,22900,-1.7(-6.91 %),5300,121000000,0,0,24600,24600,22900
2020-04-20,15.75,21300,-1.6(-6.99 %),2090,45000000,0,0,21300,21300,21300
2020-04-21,14.68,19850,-1.45(-6.81 %),480,10000000,0,0,19850,19850,19850
2020-04-22,13.68,18500,-1.35(-6.80 %),5910,109000000,0,0,18500,18500,18500
2020-04-23,12.76,17250,-1.25(-6.76 %),5730,99000000,0,0,17250,17250,17250
2020-04-24,13.65,18450,1.2(6.96 %),493220,8282000000,0,0,16050,18450,16050
2020-04-27,14.2,19200,0.75(4.07 %),349260,6734000000,0,0,19700,19700,18100
2020-04-28,13.24,17900,-1.3(-6.77 %),185300,3330000000,0,0,18500,19000,17900
2020-04-29,12.31,16650,-1.25(-6.98 %),141340,2353000000,0,0,16650,16650,16650
2020-05-04,11.46,15500,-1.15(-6.91 %),50130,777000000,0,0,15500,15500,15500
2020-05-05,11.02,14900,-0.6(-3.87 %),347130,5073000000,0,0,14450,16000,14450
2020-05-06,11.76,15900,1(6.71 %),150420,2341000000,0,0,14450,15900,14450
2020-05-07,11.32,15300,-0.6(-3.77 %),109900,1683000000,0,0,16000,16000,15000
2020-05-08,11.32,15300,0(0.00 %),299560,4428000000,0,0,15000,15300,14500
2020-05-11,11.02,14900,-0.4(-2.61 %),230270,3392000000,0,0,14900,15500,14500
2020-05-12,11.43,15450,0.55(3.69 %),158790,2422000000,0,0,15250,15450,15000
2020-05-13,11.09,15000,-0.45(-2.91 %),169550,2534000000,0,0,15200,15450,14700
2020-05-14,10.76,14550,-0.45(-3.00 %),203350,2961000000,0,0,14700,15000,14400
2020-05-15,10.87,14700,0.15(1.03 %),254320,3713000000,0,0,14550,15000,14400
2020-05-18,10.65,14400,-0.3(-2.04 %),130190,1876000000,0,0,14500,14800,14200
2020-05-19,10.72,14500,0.1(0.69 %),227310,3291000000,0,0,14400,14700,14350
2020-05-20,10.24,13850,-0.65(-4.48 %),227880,3211000000,0,0,14500,14600,13850
2020-05-21,10.35,14000,0.15(1.08 %),222900,3116000000,0,0,13800,14100,13800
2020-05-22,10.5,14200,0.2(1.43 %),227050,3168000000,0,0,14000,14200,13750
2020-05-25,10.5,14200,0(0.00 %),156330,2200000000,0,0,13900,14300,13900
2020-05-26,10.54,14250,0.05(0.35 %),158340,2235000000,0,0,14200,14250,13850
2020-05-27,10.24,13850,-0.4(-2.81 %),111050,1542000000,0,0,14250,14250,13800
2020-05-28,10.28,13900,0.05(0.36 %),103110,1425000000,0,0,13850,13950,13500
2020-05-29,10.35,14000,0.1(0.72 %),113420,1574000000,0,0,14000,14000,13600
2020-06-01,10.39,14050,0.05(0.36 %),234490,3270000000,0,0,14000,14050,13750
2020-06-02,10.43,14100,0.05(0.36 %),100240,1408000000,0,0,14050,14250,13800
2020-06-03,10.5,14200,0.1(0.71 %),136950,1930000000,756210,10662561000,14200,14200,14000
2020-06-04,10.58,14300,0.1(0.70 %),142300,2012000000,0,0,14200,14500,13950
