Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2006-12-26,9.62,94500,4.5(5.00 %),6000,567000,0,0,94500,94500,90000
2006-12-27,10.08,99000,4.5(4.76 %),1000,99000,10000,900000,99000,99000,99000
2006-12-28,10.48,103000,4(4.04 %),3800,391400,0,0,103000,103000,103000
2006-12-29,10.99,108000,5(4.85 %),51250,5503350,0,0,108000,108000,108000
2007-01-02,11.5,113000,0(0.00 %),42030,4749000000,0,0,113000,113000,113000
2007-01-03,11.81,116000,3(2.65 %),111590,0,0,0,118000,118000,116000
2007-01-04,12.32,121000,5(4.31 %),42780,5157000000,0,0,121000,121000,118000
2007-01-05,12.01,118000,-3(-2.48 %),25380,0,0,0,121000,121000,118000
2007-01-08,12.52,123000,5(4.24 %),104230,2199000000,0,0,123000,123000,123000
2007-01-09,13.13,129000,6(4.88 %),30180,3860000000,0,0,128000,129000,127000
2007-01-10,13.23,130000,1(0.78 %),29720,3948000000,0,0,134000,135000,130000
2007-01-11,13.23,130000,0(0.00 %),17810,2298000000,0,0,130000,130000,128000
2007-01-12,13.54,133000,3(2.31 %),11170,1468000000,0,0,130000,133000,128000
2007-01-15,14.15,139000,6(4.51 %),25350,3507000000,0,0,139000,139000,137000
2007-01-16,14.76,145000,6(4.32 %),71080,10307000000,0,0,145000,145000,145000
2007-01-17,14.05,138000,-7(-4.83 %),56860,8466000000,0,0,152000,152000,138000
2007-01-18,14.25,140000,2(1.45 %),33560,4655000000,0,0,138000,140000,138000
2007-01-19,14.96,147000,7(5.00 %),23860,3468000000,0,0,144000,147000,144000
2007-01-22,14.25,140000,-7(-4.76 %),9140,1280000000,0,0,140000,140000,140000
2007-01-23,13.54,133000,-7(-5.00 %),22580,3023000000,0,0,135000,135000,133000
2007-01-24,13.23,130000,-3(-2.26 %),18640,2438000000,0,0,133000,133000,130000
2007-01-25,12.62,124000,-6(-4.62 %),6470,812000000,0,0,127000,127000,124000
2007-01-26,13.23,130000,6(4.84 %),6670,867000000,0,0,124000,130000,124000
2007-01-29,13.84,136000,6(4.62 %),12430,1614000000,0,0,136000,136000,128000
2007-01-30,14.45,142000,6(4.41 %),4230,601000000,0,0,142000,142000,142000
2007-01-31,14.05,138000,-2(-1.43 %),28990,2899000000,0,0,145000,145000,138000
2007-02-01,14.25,140000,2(1.45 %),36750,3675000000,0,0,144000,144000,140000
2007-02-02,14.25,140000,0(0.00 %),21200,2120000000,0,0,140000,140000,140000
2007-02-05,14.25,140000,0(0.00 %),18120,2471000000,0,0,140000,140000,133000
2007-02-06,14.25,140000,0(0.00 %),16400,2297000000,0,0,140000,142000,137000
2007-02-07,14.05,138000,-2(-1.43 %),24170,3311000000,0,0,138000,138000,136000
2007-02-08,13.44,132000,-6(-4.35 %),17810,2434000000,0,0,132000,139000,132000
2007-02-09,13.33,131000,-1(-0.76 %),16100,2105000000,0,0,131000,132000,130000
2007-02-12,13.94,137000,6(4.58 %),34050,4630000000,0,0,135000,137000,135000
2007-02-13,14.15,139000,2(1.46 %),24030,3350000000,0,0,139000,140000,139000
2007-02-14,14.15,139000,0(0.00 %),27690,3758000000,0,0,139000,139000,133000
2007-02-15,14.55,143000,4(2.88 %),24660,3459000000,0,0,143000,143000,139000
2007-02-26,15.27,150000,7(4.90 %),24820,3723000000,0,0,150000,150000,150000
2007-02-27,15.98,157000,7(4.67 %),62370,9792000000,0,0,157000,157000,157000
2007-02-28,15.27,150000,-7(-4.46 %),51270,7851000000,0,0,150000,157000,150000
2007-03-01,15.27,150000,0(0.00 %),25310,3797000000,0,0,150000,150000,150000
2007-03-02,15.27,150000,0(0.00 %),18660,2799000000,0,0,150000,150000,150000
2007-03-05,15.47,152000,2(1.33 %),30440,4638000000,0,0,152000,153000,152000
2007-03-06,14.96,147000,-5(-3.29 %),34340,5109000000,0,0,147000,152000,147000
2007-03-07,14.25,140000,-7(-4.76 %),35570,5172000000,0,0,147000,147000,140000
