Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2009-12-24,1.87,28500,0(0.00 %),1000,28500000,0,0,28500,28500,28500
2009-12-25,2.04,30500,2.5(8.77 %),200,6200000,0,0,28500,30500,28500
2009-12-28,2.04,31000,0(0.00 %),400,12400000,0,0,31000,31000,31000
2009-12-29,1.87,28850,-2.5(-8.06 %),2000,59500000,0,0,31000,31000,28850
2009-12-30,1.84,28000,-1.8(-6.04 %),3300,92650000,0,0,29800,29800,28000
2009-12-31,1.86,28300,0.2(0.71 %),1700,48100000,0,0,28100,29000,28000
2010-01-04,1.81,27500,-0.8(-2.83 %),1700,47000000,0,0,28300,28300,27500
2010-01-05,1.84,28000,0.4(1.45 %),12500,349200000,0,0,27600,29000,27000
2010-01-06,1.78,27000,-0.9(-3.23 %),5000,132000000,0,0,27900,27900,26050
2010-01-07,1.64,25100,-1.4(-5.30 %),6000,151500000,0,0,26400,26500,25100
2010-01-08,1.58,24000,-1.3(-5.14 %),4000,96000000,0,0,25300,25300,24000
2010-01-11,1.58,24000,0(0.00 %),1000,24000000,0,0,24000,24000,24000
2010-01-12,1.45,22300,-2(-8.33 %),2000,43600000,0,0,24000,24000,22300
2010-01-13,1.56,23550,2(9.17 %),89430,2131685000,0,0,21800,23550,21800
2010-01-14,1.56,23800,0(0.00 %),0,0,0,0,23800,23800,23800
2010-01-15,1.72,25450,2.3(9.66 %),10000,261000000,20000,430000000,23800,25450,23800
2010-01-18,1.88,27000,2.4(9.76 %),5000,135000000,0,0,24600,27000,24600
2010-01-19,1.99,28500,1.5(5.56 %),17270,452711000,0,0,27000,28500,25100
2010-01-20,1.83,26500,0(0.00 %),0,0,0,0,26500,26500,26500
2010-01-21,1.88,27000,0.8(3.05 %),12030,319208000,0,0,26200,27000,24350
2010-01-22,1.85,26500,0(0.00 %),0,0,0,0,26500,26500,26500
2010-01-25,1.99,28350,2(7.55 %),22000,626000000,0,0,26500,28350,26500
2010-01-26,1.99,28500,0(0.00 %),0,0,0,0,28500,28500,28500
2010-01-27,1.88,27000,-1.5(-5.26 %),1892,51084000,0,0,28500,28500,27000
2010-01-28,1.88,27000,0(0.00 %),0,0,0,0,27000,27000,27000
2010-01-29,1.88,27000,0(0.00 %),0,0,0,0,27000,27000,27000
2010-02-01,1.88,27000,0(0.00 %),0,0,0,0,27000,27000,27000
2010-02-02,2.02,28900,2(7.41 %),2000,58000000,0,0,27000,28900,27000
2010-02-03,2.02,29000,0(0.00 %),0,0,0,0,29000,29000,29000
2010-02-04,2.02,29000,0(0.00 %),0,0,0,0,29000,29000,29000
2010-02-05,1.88,27000,-2(-6.90 %),0,0,0,0,29000,29000,27000
2010-02-08,2.02,28900,0(0.00 %),0,0,0,0,28900,28900,28900
2010-02-09,2.02,29000,0(0.00 %),0,0,0,0,29000,29000,29000
2010-02-10,2.02,29000,0(0.00 %),0,0,0,0,29000,29000,29000
2010-02-11,2.02,29000,0(0.00 %),0,0,0,0,29000,29000,29000
2010-02-12,2.02,29000,0(0.00 %),0,0,0,0,29000,29000,29000
2010-02-22,2.02,29000,0(0.00 %),0,0,0,0,29000,29000,29000
2010-02-23,1.82,26950,-2.9(-10.00 %),20000,522000000,0,0,29000,29000,26950
2010-02-24,1.85,26500,0.4(1.53 %),10000,265000000,0,0,26100,26500,26100
2010-02-25,1.81,26000,-0.5(-1.89 %),107600,2808850000,0,0,26500,26500,26000
2010-02-26,1.82,26100,0(0.00 %),0,0,0,0,26100,26100,26100
2010-03-01,1.85,26500,0.4(1.53 %),32000,853000000,0,0,26100,27000,26100
2010-03-02,1.88,27000,0.3(1.12 %),10000,270000000,0,0,26700,27000,26700
2010-03-03,1.9,27200,0.2(0.74 %),20500,555500000,0,0,27000,27200,27000
2010-03-04,2.08,29100,2.7(9.96 %),50,1490000,0,0,27100,29100,27100
2010-03-05,2.28,31900,2.9(9.73 %),250,7435000,0,0,29800,31900,29000
2010-03-08,2.07,30400,0(0.00 %),0,0,0,0,30400,30400,30400
2010-03-09,2.07,29700,0(0.00 %),0,0,0,0,29700,29700,29700
2010-03-10,1.89,27600,-2.6(-8.75 %),2000,54200000,0,0,29700,29700,27600
2010-03-11,1.89,27100,0(0.00 %),0,0,160000,4240000000,27100,27100,27100
2010-03-12,2.08,29000,2.7(9.96 %),10,298000,0,0,27100,29000,27100
2010-03-15,2.28,31900,2.9(9.73 %),2010,65727000,0,0,29800,31900,29800
2010-03-16,2.28,32700,0(0.00 %),0,0,0,0,32700,32700,32700
2010-03-17,2.5,35000,3.2(9.79 %),670,19895000,0,0,32700,35000,30400
2010-03-18,2.27,33400,2.9(9.76 %),1010,32868000,0,0,33400,33400,33400
2010-03-19,2.04,30300,-3.2(-9.85 %),10,293000,0,0,32500,32500,30300
2010-03-22,2.25,31350,2.9(9.90 %),1000,32200000,0,0,29300,31350,29300
2010-03-23,2.02,29950,-3.2(-9.94 %),300,8700000,0,0,32200,32200,29950
2010-03-24,1.82,26950,-2.9(-10.00 %),12,313200,0,0,29000,29000,26950
2010-03-25,1.64,24250,-2.6(-9.96 %),1200,33550000,0,0,26100,27950,24250
2010-03-26,1.95,25150,0(0.00 %),2000,56000000,1000,28000000,25150,25150,25150
2010-03-29,2.15,29950,2.8(10.00 %),1010,31052000,8000,201600000,28000,29950,26050
2010-03-30,2.35,32950,3(9.77 %),300,10110000,0,0,30700,32950,30700
2010-03-31,2.35,33700,0(0.00 %),0,0,0,0,33700,33700,33700
2010-04-01,2.12,31350,-3.3(-9.79 %),2500,77200000,0,0,33700,33700,31350
2010-04-02,2.36,32550,3(9.71 %),500,16950000,0,0,30900,32550,30900
2010-04-05,2.36,33900,0(0.00 %),0,0,0,0,33900,33900,33900
2010-04-06,2.34,33500,-0.4(-1.18 %),500,16750000,0,0,33900,33900,33500
2010-04-07,2.16,31150,-2.5(-7.46 %),2839,88009000,0,0,33500,33500,31150
2010-04-08,2.16,31000,0(0.00 %),0,0,0,0,31000,31000,31000
2010-04-09,2.16,31000,0(0.00 %),2000,62000000,0,0,31000,31000,31000
2010-04-12,2.16,31000,0(0.00 %),6000,186100000,700,19600000,31000,31100,31000
2010-04-13,2.27,32500,1.5(4.84 %),4000,129000000,0,0,31000,32500,31000
2010-04-14,2.48,34800,3.2(9.91 %),27000,949500000,0,0,32300,34800,32300
2010-04-15,2.7,38000,3.5(9.94 %),158188,6121175600,0,0,35200,38000,35200
2010-04-16,2.85,40900,2.2(5.68 %),10300,386677500,0,0,38700,41400,36000
2010-04-19,2.65,38050,0.5(1.33 %),6965,267050000,0,0,38050,39000,38050
2010-04-20,2.65,38000,-0.3(-0.78 %),220,8360000,0,0,38300,38300,38000
2010-04-21,2.69,38500,0.5(1.32 %),7000,264600000,0,0,38000,38500,37500
2010-04-22,2.69,38500,0.7(1.85 %),2010,74385000,0,0,37800,38500,37000
2010-04-26,2.72,39000,2(5.41 %),29000,1162500000,0,0,37000,40700,37000
2010-04-27,2.69,38500,-1.6(-3.99 %),16000,636480000,0,0,40100,40100,38100
2010-04-28,2.76,39500,-0.3(-0.75 %),11200,439900000,20000,718000000,39800,39800,39000
2010-04-29,2.79,40000,0.7(1.78 %),53530,2120231000,0,0,39300,40200,38000
2010-05-04,2.76,39600,0(0.00 %),2000,77600000,0,0,39600,39600,38000
2010-05-05,2.82,40500,1.7(4.38 %),22000,854950000,0,0,38800,40500,37500
2010-05-06,2.93,42000,3.1(7.97 %),13100,530400000,5000,175500000,38900,42200,38900
2010-05-07,3.1,44500,4(9.88 %),7460,315570000,2000,89000000,40500,44500,40500
2010-05-10,3.0,43000,0.7(1.65 %),100,4300000,0,0,42300,43000,42300
