Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2021-08-05,59.93,118000,-5.1(-4.14 %),227117,26572573100,0,0,125900,125900,113100
2021-08-06,59.42,117000,0(0.00 %),155200,18172560000,0,0,118000,118000,114500
2021-08-09,56.57,111400,-5.7(-4.87 %),135600,15092450000,0,0,115000,116000,108800
2021-08-10,56.02,110300,-1(-0.90 %),133906,14805097800,0,0,111200,111400,108100
2021-08-11,57.54,113300,2.7(2.44 %),180500,20303470000,0,0,109000,114900,109000
2021-08-12,55.86,110000,-2.5(-2.22 %),115900,13072280000,0,0,113000,114000,110000
2021-08-13,55.2,108700,-4.1(-3.63 %),166700,18402740000,0,0,111000,116900,107000
2021-08-16,55.76,109800,-0.6(-0.54 %),45200,5004280000,0,0,112900,112900,106500
2021-08-17,55.66,109600,-1.1(-0.99 %),98502,10734579600,0,0,109800,110500,106500
2021-08-18,54.34,107000,-2(-1.83 %),32000,3446120000,23100,2626470000,108000,113700,106500
2021-08-19,54.09,106500,-1.2(-1.11 %),24700,2634840000,0,0,108000,108800,104700
2021-08-20,53.22,104800,-1.9(-1.78 %),20600,2150000000,0,0,106500,106900,101000
2021-08-23,53.02,104400,0(0.00 %),28302,2957363000,0,0,99000,108900,99000
2021-08-24,52.77,103900,-0.6(-0.57 %),17200,1798890000,0,0,107800,107800,100000
2021-08-25,52.31,103000,-1.6(-1.53 %),49600,5135950000,0,0,104600,104900,100000
2021-08-26,51.95,102300,-1.2(-1.16 %),20500,2103910000,0,0,103500,103500,99900
2021-08-27,51.8,102000,-0.6(-0.58 %),18900,1909120000,0,0,99500,102000,99000
2021-08-30,52.82,104000,3(2.97 %),47500,4932430000,0,0,101000,105000,101000
2021-08-31,53.83,106000,2.2(2.12 %),54600,5715640000,0,0,105000,106000,104000
2021-09-01,53.53,105400,0.7(0.67 %),77200,8107720000,0,0,105000,105400,104800
2021-09-06,53.48,105300,0.3(0.29 %),43801,4615425500,0,0,105300,105500,104000
2021-09-07,53.73,105800,0.4(0.38 %),34900,3687470000,0,0,106000,106000,104500
2021-09-08,54.09,106500,0.8(0.76 %),37500,3991160000,7300,730000000,105500,106800,100000
2021-09-09,55.51,109300,2.9(2.73 %),101300,11008110000,0,0,106500,109400,106000
2021-09-10,57.89,114000,5.3(4.88 %),145500,16585520000,0,0,111000,114900,109300
2021-09-13,58.25,114700,0.7(0.61 %),96300,11074380000,0,0,114000,116000,113000
2021-09-14,58.86,115900,0.9(0.78 %),83200,9638740000,0,0,115000,116500,114000
2021-09-15,59.21,116600,0.7(0.60 %),127100,14710570000,0,0,115500,116900,112000
2021-09-16,59.06,116300,0.6(0.52 %),94900,11118260000,0,0,115700,117800,115000
2021-09-17,60.69,119500,2.3(1.96 %),113700,13552290000,0,0,117000,124400,116000
2021-09-20,59.42,117000,-2.2(-1.85 %),73800,8835320000,0,0,119200,120500,117000
2021-09-21,60.79,119700,0(0.00 %),55100,6576860000,0,0,119000,120500,118000
2021-09-22,59.98,118100,-1.3(-1.09 %),45900,5472370000,0,0,111300,125400,111300
2021-09-23,60.54,119200,0(0.00 %),79300,9495670000,150400,18048000000,116000,120000,116000
2021-09-24,60.38,118900,-0.8(-0.67 %),51206,6122916400,0,0,110900,120500,110900
2021-09-27,60.03,118200,-1.4(-1.17 %),67700,8040250000,0,0,119000,119900,118000
2021-09-28,59.87,117900,-0.9(-0.76 %),56600,6692160000,84400,10128000000,116000,120000,116000
2021-09-29,59.57,117300,-0.9(-0.76 %),66300,7772190000,243000,29160000000,116500,120000,116500
2021-09-30,59.87,117900,0.7(0.60 %),64710,7652533000,108000,10960000000,116000,120000,109100
2021-10-01,59.77,117700,-0.6(-0.51 %),55600,6578060000,60000,7200000000,118000,120000,116000
2021-10-04,59.98,118100,-0.2(-0.17 %),66500,7867740000,230000,27600000000,118300,120000,117000
2021-10-05,60.13,118400,0.1(0.08 %),63500,7502110000,10000,1010000000,118000,118600,109800
2021-10-06,59.27,116700,-1.4(-1.19 %),82200,9670890000,10000,1200000000,115000,120000,115000
2021-10-07,59.32,116800,-0.9(-0.76 %),89200,10449940000,0,0,116000,119000,116000
2021-10-08,58.91,116000,-1.2(-1.02 %),80200,9363680000,85300,10136000000,117000,120000,108600
2021-10-11,59.62,117400,0.6(0.51 %),78000,9146090000,0,0,116000,117800,115500
2021-10-12,58.76,115700,-1.6(-1.36 %),51400,6005670000,62000,6200000000,116800,117600,109200
2021-10-13,58.5,115200,-1.6(-1.37 %),53102,6182152500,28000,3038000000,116000,117600,115000
2021-10-14,58.76,115700,-0.7(-0.60 %),45700,5303540000,0,0,116000,117000,115000
2021-10-15,58.1,114400,-1.7(-1.46 %),52700,6061480000,68000,7024000000,115500,116500,107600
2021-10-18,57.23,112700,-2.3(-2.00 %),48400,5491540000,28000,2996000000,114500,115000,107000
2021-10-19,57.79,113800,0.3(0.26 %),74701,8513903000,28000,2954000000,113000,120600,105500
2021-10-20,57.89,114000,0(0.00 %),54600,6229810000,28000,2968000000,113500,114400,106000
2021-10-21,57.89,114000,-0.1(-0.09 %),86400,9829440000,28000,2968000000,113800,114500,106000
2021-10-22,56.78,111800,-2(-1.76 %),53700,6053100000,28000,2954000000,114000,114000,106000
2021-10-25,57.79,113800,1.1(0.98 %),91000,10160280000,36500,3790000000,111300,113800,104000
2021-10-26,58.3,114800,3.1(2.78 %),67807,7768997200,715000,68177000000,111700,115000,105800
2021-10-27,58.4,115000,0.4(0.35 %),51400,5909840000,28000,2982000000,114600,115500,106800
2021-10-28,59.37,116900,1.9(1.65 %),87700,10204770000,5000,535000000,115000,117000,107000
2021-10-29,59.16,116500,0.1(0.09 %),65100,7594370000,0,0,116400,117000,116000
2021-11-01,59.11,116400,-0.3(-0.26 %),48500,5664380000,0,0,117000,117300,115000
2021-11-02,57.59,113400,-3.4(-2.91 %),70500,8018190000,0,0,116000,116400,111900
2021-11-03,57.18,112600,-1.1(-0.97 %),57800,6487300000,0,0,113500,113500,110000
2021-11-04,57.23,112700,0.5(0.45 %),64800,7304290000,0,0,112000,113000,111000
2021-11-05,57.39,113000,0.3(0.27 %),145400,16307830000,70000,7000000000,112700,113200,104800
