Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2007-09-06,8.42,78500,-2.5(-3.09 %),222430,17378000000,0,0,78500,78500,77000
2007-09-07,8.58,80000,1.5(1.91 %),154640,12331000000,0,0,80000,80000,79000
2007-09-10,8.9,83000,3(3.75 %),165250,13545000000,0,0,81000,84000,81000
2007-09-11,8.8,82000,-1(-1.20 %),103890,8596000000,0,0,83000,83500,82000
2007-09-12,8.53,79500,-2.5(-3.05 %),62520,4991000000,0,0,80500,80500,79500
2007-09-13,8.53,79500,0(0.00 %),46950,3732000000,0,0,79500,79500,79000
2007-09-14,8.58,80000,0.5(0.63 %),53480,4267000000,0,0,80000,80000,79500
2007-09-17,8.53,79500,-0.5(-0.62 %),61910,4927000000,0,0,80000,80000,79000
2007-09-18,8.53,79500,0(0.00 %),45680,3632000000,0,0,79500,80000,79500
2007-09-19,8.53,79500,0(0.00 %),40160,3196000000,0,0,80000,80000,79000
2007-09-20,8.53,79500,0(0.00 %),44050,3509000000,0,0,80000,80000,79500
2007-09-21,8.58,80000,0.5(0.63 %),48150,3846000000,0,0,80000,80000,79500
2007-09-24,8.69,81000,1(1.25 %),38180,3073000000,0,0,80000,81000,80000
2007-09-25,8.9,83000,2(2.47 %),88570,7347000000,0,0,83000,83000,82000
2007-09-26,8.96,83500,0.5(0.60 %),128880,10923000000,0,0,86000,86000,83500
2007-09-27,9.01,84000,0.5(0.60 %),137040,11502000000,0,0,84000,84000,83500
2007-09-28,9.44,88000,4(4.76 %),160240,14099000000,0,0,88000,88000,86000
2007-10-01,9.87,92000,4(4.55 %),68630,6314000000,0,0,92000,92000,92000
2007-10-02,10.3,96000,4(4.35 %),270700,25789000000,0,0,96000,96000,91000
2007-10-03,9.98,93000,-3(-3.12 %),110780,10455000000,0,0,96000,96000,93000
2007-10-04,9.65,90000,-3(-3.23 %),115460,10348000000,0,0,90000,92000,88500
2007-10-05,9.44,88000,-2(-2.22 %),79240,7048000000,0,0,90000,90000,88000
2007-10-08,9.44,88000,0(0.00 %),51110,4500000000,0,0,88000,89000,87000
2007-10-09,9.49,88500,0.5(0.57 %),36660,3243000000,0,0,88000,89000,88000
2007-10-10,9.6,89500,1(1.13 %),64800,5777000000,0,0,88500,90000,88500
2007-10-11,9.6,89500,0(0.00 %),54840,4936000000,0,0,90000,90500,89500
2007-10-12,9.55,89000,-0.5(-0.56 %),44490,3951000000,0,0,88000,89500,88000
2007-10-15,9.44,88000,-1(-1.12 %),44170,3909000000,0,0,89500,89500,88000
2007-10-16,9.44,88000,0(0.00 %),36720,3230000000,0,0,88000,89000,87000
2007-10-17,9.44,88000,0(0.00 %),57200,5024000000,0,0,87000,88000,87000
2007-10-18,9.28,86500,-1.5(-1.70 %),66560,5765000000,0,0,87000,87000,86000
2007-10-19,9.55,89000,2.5(2.89 %),66640,5879000000,0,0,88000,89000,88000
2007-10-22,9.55,89000,0(0.00 %),81530,7258000000,0,0,89000,90000,89000
2007-10-23,9.33,87000,-2(-2.25 %),24790,2165000000,0,0,88000,88000,87000
2007-10-24,9.44,88000,1(1.15 %),52150,4593000000,0,0,88000,88500,88000
2007-10-25,9.49,88500,0.5(0.57 %),51450,4561000000,0,0,89000,89000,88000
2007-10-26,9.49,88500,0(0.00 %),41920,3710000000,0,0,88500,89000,88500
2007-10-29,9.39,87500,-1(-1.13 %),30350,2688000000,0,0,89000,89000,87500
2007-10-30,9.44,88000,0.5(0.57 %),41630,3666000000,0,0,88000,88500,87000
2007-10-31,9.28,86500,-1.5(-1.70 %),38850,3404000000,0,0,87000,88500,86500
2007-11-01,9.33,87000,0.5(0.58 %),32990,2860000000,0,0,86500,87000,86000
2007-11-02,9.76,91000,4(4.60 %),173140,15735000000,0,0,91000,91000,90000
2007-11-05,10.24,95500,4.5(4.95 %),204940,19549000000,0,0,95500,95500,94000
2007-11-06,9.82,91500,-4(-4.19 %),74010,6806000000,0,0,91500,93000,91500
2007-11-07,9.82,91500,0(0.00 %),17130,1556000000,0,0,90000,92000,90000
2007-11-08,9.87,92000,0.5(0.55 %),62810,5699000000,0,0,92000,92000,89000
2007-11-09,9.44,88000,-4(-4.35 %),23440,2079000000,28000,2660000000,89000,90500,88000
2007-11-12,9.44,88000,0(0.00 %),6360,561000000,0,0,90000,90000,87000
2007-11-13,9.01,84000,-4(-4.55 %),16080,1377000000,0,0,88000,88000,84000
2007-11-14,9.44,88000,4(4.76 %),65680,5770000000,0,0,88000,88000,86000
2007-11-15,9.12,85000,-3(-3.41 %),45440,3864000000,0,0,86000,86000,84500
2007-11-16,9.12,85000,0(0.00 %),40420,3382000000,0,0,81500,85000,81500
2007-11-19,9.12,85000,0(0.00 %),5550,469000000,0,0,84000,85000,84000
2007-11-20,9.01,84000,-1(-1.18 %),11110,927000000,0,0,83000,84000,83000
2007-11-21,9.12,85000,1(1.19 %),7030,586000000,0,0,81500,85000,81500
2007-11-22,9.12,85000,0(0.00 %),4180,357000000,0,0,86000,86000,85000
2007-11-23,9.01,84000,-1(-1.18 %),2690,228000000,0,0,85000,85000,84000
2007-11-26,9.06,84500,0.5(0.60 %),14500,1243000000,0,0,86000,86000,84500
2007-11-27,9.28,86500,2(2.37 %),13500,1180000000,0,0,87500,87500,85000
2007-11-28,9.33,87000,0.5(0.58 %),26860,2332000000,0,0,86500,87000,86500
2007-11-29,9.33,87000,0(0.00 %),16400,1428000000,0,0,88000,88000,87000
2007-11-30,9.17,85500,-1.5(-1.72 %),6150,531000000,0,0,84000,90000,84000
2007-12-03,9.12,85000,-0.5(-0.58 %),11280,959000000,0,0,85000,85000,85000
2007-12-04,9.12,85000,0(0.00 %),12680,1079000000,0,0,85500,85500,85000
2007-12-05,9.12,85000,0(0.00 %),44800,3808000000,0,0,85000,85000,84500
2007-12-06,9.12,85000,0(0.00 %),26560,2273000000,0,0,85000,88000,85000
2007-12-07,9.12,85000,0(0.00 %),650,55000000,0,0,85000,85000,85000
2007-12-10,9.01,84000,-1(-1.18 %),2450,206000000,0,0,85000,85000,84000
2007-12-11,8.9,83000,-1(-1.19 %),33230,2763000000,0,0,84000,84000,82500
2007-12-12,8.9,83000,0(0.00 %),10730,890000000,0,0,83000,83000,82500
2007-12-13,8.9,83000,0(0.00 %),29420,2442000000,0,0,83000,83500,83000
2007-12-14,8.9,83000,0(0.00 %),19610,1642000000,0,0,83000,86500,83000
2007-12-17,9.17,85500,2.5(3.01 %),31850,2699000000,0,0,85000,85500,84000
2007-12-18,9.39,87500,2(2.34 %),50510,4358000000,0,0,86500,87500,85500
2007-12-19,9.55,89000,1.5(1.71 %),79630,7147000000,0,0,88500,91500,88500
2007-12-20,9.36,84000,-1.5(-1.75 %),25440,2200000000,0,0,88000,88000,84000
2007-12-21,9.52,85500,1.5(1.79 %),36440,3114000000,0,0,84000,86000,84000
2007-12-24,9.52,85500,0(0.00 %),59690,5101000000,0,0,85500,85500,85000
2007-12-25,9.52,85500,0(0.00 %),15700,1341000000,0,0,85500,85500,85000
2007-12-26,9.52,85500,0(0.00 %),10150,868000000,0,0,85500,85500,85000
2007-12-27,9.47,85000,-0.5(-0.58 %),5950,506000000,0,0,84000,85500,84000
2007-12-28,9.41,84500,-0.5(-0.59 %),2050,173000000,0,0,84500,84500,84500
2008-01-02,9.47,85000,0.5(0.59 %),2030,173000000,0,0,85000,85000,85000
2008-01-03,9.91,89000,4(4.71 %),24880,2182000000,0,0,84500,89000,84000
2008-01-04,9.8,88000,-1(-1.12 %),34280,3004000000,0,0,85000,88000,85000
2008-01-07,9.64,86500,-1.5(-1.70 %),45560,3928000000,0,0,85000,86500,85000
2008-01-08,9.52,85500,-1(-1.16 %),18340,1553000000,0,0,83000,86000,83000
2008-01-09,9.52,85500,0(0.00 %),22270,1904000000,0,0,85500,85500,85500
2008-01-10,9.47,85000,-0.5(-0.58 %),19600,1659000000,0,0,81500,85000,81500
2008-01-11,9.47,85000,0(0.00 %),36510,3103000000,0,0,85000,85000,85000
2008-01-14,9.08,81500,-3.5(-4.12 %),5830,478000000,0,0,85000,85000,81500
2008-01-15,8.69,78000,-3.5(-4.29 %),30480,2373000000,0,0,78000,78000,77500
2008-01-16,9.08,81500,3.5(4.49 %),75290,6127000000,0,0,81000,81500,80500
2008-01-17,8.91,80000,-1.5(-1.84 %),11070,899000000,0,0,81500,81500,80000
2008-01-18,8.86,79500,-0.5(-0.62 %),2220,177000000,0,0,81000,81000,79500
2008-01-21,8.97,80500,1(1.26 %),1010,79000000,0,0,78000,80500,78000
2008-01-22,8.52,76500,-4(-4.97 %),32810,2517000000,0,0,80500,80500,76500
2008-01-23,8.13,73000,-3.5(-4.58 %),22870,1670000000,20000,1590000000,73000,73000,73000
2008-01-24,8.08,72500,-0.5(-0.68 %),4160,304000000,0,0,73000,75000,72500
2008-01-25,7.74,69500,-3(-4.14 %),1460,106000000,0,0,73000,73000,69500
2008-01-28,7.91,71000,1.5(2.16 %),6320,446000000,0,0,72000,72000,70000
2008-01-29,8.13,73000,2(2.82 %),6400,458000000,0,0,72000,73000,70000
2008-01-30,8.41,75500,2.5(3.42 %),35350,2675000000,0,0,76000,76500,74000
2008-01-31,8.41,75500,0(0.00 %),4500,341000000,0,0,76000,76000,75000
2008-02-01,8.36,75000,-0.5(-0.66 %),6330,478000000,0,0,76000,76000,75000
2008-02-12,8.75,78500,3.5(4.67 %),52750,4114000000,0,0,78500,78500,75000
2008-02-13,8.8,79000,0.5(0.64 %),46130,3570000000,0,0,75500,80000,75500
2008-02-14,8.58,77000,-2(-2.53 %),10020,774000000,0,0,75500,79000,75500
2008-02-15,8.41,75500,-1.5(-1.95 %),3100,237000000,0,0,77000,77500,75500
2008-02-18,8.02,72000,-3.5(-4.64 %),13730,989000000,0,0,72000,72000,72000
2008-02-19,8.02,72000,0(0.00 %),5900,416000000,0,0,69000,72000,69000
2008-02-20,7.63,68500,-3.5(-4.86 %),3420,237000000,0,0,72000,72000,68500
2008-02-21,7.3,65500,-3(-4.38 %),23180,1518000000,0,0,65500,65500,65500
2008-02-22,7.58,68000,2.5(3.82 %),9250,584000000,0,0,62500,68000,62500
2008-02-25,7.8,70000,2(2.94 %),29870,2092000000,0,0,70000,71000,70000
2008-02-26,7.46,67000,-3(-4.29 %),12680,884000000,0,0,70000,70000,66500
2008-02-27,7.24,65000,-2(-2.99 %),1400,91000000,0,0,64500,65000,64500
2008-02-28,6.96,62500,-2.5(-3.85 %),4300,272000000,0,0,65500,65500,62500
2008-02-29,6.91,62000,-0.5(-0.80 %),9920,596000000,0,0,60000,62000,60000
2008-03-03,6.57,59000,-3(-4.84 %),10400,623900000,0,0,60000,60000,59000
2008-03-04,6.29,56500,-2.5(-4.24 %),23400,1322100000,0,0,56500,56500,56500
2008-03-05,6.02,54000,-2.5(-4.42 %),21650,1169100000,0,0,54000,54000,54000
2008-03-06,6.29,56500,2.5(4.63 %),150,8475000,0,0,56500,56500,56500
2008-03-07,6.57,59000,2.5(4.42 %),36980,2171820000,0,0,59000,59000,57000
2008-03-10,6.63,59500,0.5(0.85 %),35710,2179505000,0,0,61500,61500,59500
2008-03-11,6.35,57000,-2.5(-4.20 %),7380,420760000,0,0,57000,57500,57000
2008-03-12,6.07,54500,-2.5(-4.39 %),10800,591945000,0,0,54500,59000,54500
2008-03-13,6.02,54000,-0.5(-0.92 %),10650,573900000,0,0,54000,54000,53000
2008-03-14,5.74,51500,-2.5(-4.63 %),22190,1149550000,0,0,53000,53500,51500
2008-03-17,5.46,49000,-2.5(-4.85 %),29570,1448930000,0,0,49000,49000,49000
2008-03-18,5.19,46600,-2.4(-4.90 %),2260,105316000,0,0,46600,46600,46600
2008-03-19,4.94,44300,-2.3(-4.94 %),7710,344789000,0,0,44400,46600,44300
2008-03-20,4.69,42100,-2.2(-4.97 %),3690,155349000,0,0,42100,42100,42100
2008-03-21,4.46,40000,-2.1(-4.99 %),1180,47200000,0,0,40000,40000,40000
2008-03-24,4.23,38000,-2(-5.00 %),1310,52360000,0,0,40000,40000,38000
2008-03-25,4.02,36100,-1.9(-5.00 %),1120,40432000,0,0,36100,36100,36100
2008-03-26,3.82,34300,-1.8(-4.99 %),17810,611783000,0,0,34300,36100,34300
2008-03-27,3.85,34600,0.3(0.87 %),41870,1447232000,0,0,34300,34600,34300
2008-03-28,3.89,34900,0.3(0.87 %),28660,1000227000,0,0,34900,34900,34800
2008-03-31,3.92,35200,0.3(0.86 %),25230,888096000,0,0,35200,35200,35200
2008-04-01,3.95,35500,0.3(0.85 %),12920,458660000,0,0,35500,35500,35500
2008-04-02,3.99,35800,0.3(0.85 %),1200,42960000,0,0,35800,35800,35800
2008-04-03,4.02,36100,0.3(0.84 %),10,361000,0,0,36100,36100,36100
2008-04-04,4.06,36400,0.3(0.83 %),500,18200000,0,0,36400,36400,36400
2008-04-07,4.13,37100,0.7(1.92 %),10,371000,0,0,37100,37100,37100
2008-04-08,4.21,37800,0.7(1.89 %),66040,2485056000,0,0,37800,37800,36400
2008-04-09,4.13,37100,-0.7(-1.85 %),20760,776472000,0,0,38400,38400,37100
2008-04-10,4.06,36400,-0.7(-1.89 %),22840,843976000,0,0,37000,37000,36400
2008-04-11,3.98,35700,-0.7(-1.92 %),1540,54978000,0,0,35700,35700,35700
2008-04-16,3.9,35000,-0.7(-1.96 %),26650,932764000,0,0,35000,36400,35000
2008-04-17,3.98,35700,0.7(2.00 %),12450,430823000,0,0,34300,35700,34300
2008-04-18,3.98,35700,0(0.00 %),5290,191444000,0,0,36400,36400,35200
2008-04-21,3.9,35000,-0.7(-1.96 %),6650,232978000,0,0,35100,35700,35000
2008-04-22,3.9,35000,0(0.00 %),19660,675973000,0,0,35000,35000,34300
2008-04-23,3.82,34300,-0.7(-2.00 %),25000,857700000,0,0,34300,34400,34300
2008-04-24,3.75,33700,-0.6(-1.75 %),55800,1880460000,0,0,33700,33700,33700
2008-04-25,3.69,33100,-0.6(-1.78 %),8640,285984000,0,0,33100,33100,33100
2008-04-28,3.62,32500,-0.6(-1.81 %),52280,1699100000,0,0,32500,32500,32500
2008-04-29,3.69,33100,0.6(1.85 %),10010,331206000,0,0,33100,33100,32600
2008-05-05,3.75,33700,0.6(1.81 %),7570,255109000,0,0,33700,33700,33700
2008-05-06,3.82,34300,0.6(1.78 %),10180,347170000,0,0,34300,34300,33200
2008-05-07,3.75,33700,-0.6(-1.75 %),1320,44484000,0,0,33700,33700,33700
2008-05-08,3.69,33100,-0.6(-1.78 %),230,7613000,0,0,33100,33100,33100
2008-05-09,3.62,32500,-0.6(-1.81 %),1600,52000000,0,0,32500,32500,32500
2008-05-12,3.55,31900,-0.6(-1.85 %),2550,81345000,0,0,31900,31900,31900
2008-05-13,3.49,31300,-0.6(-1.88 %),3510,111663000,0,0,31900,31900,31300
2008-05-14,3.42,30700,-0.6(-1.92 %),400,12340000,0,0,31300,31300,30700
2008-05-15,3.35,30100,-0.6(-1.95 %),420,12642000,0,0,30100,30100,30100
2008-05-16,3.29,29500,-0.6(-1.99 %),31820,940272000,0,0,29500,30100,29500
2008-05-19,3.23,29000,-0.5(-1.69 %),2850,82650000,82580,2436110000,29000,29000,29000
2008-05-20,3.18,28500,-0.5(-1.72 %),1360,38760000,0,0,28500,28500,28500
2008-05-21,3.12,28000,-0.5(-1.75 %),1120,31360000,0,0,28000,28000,28000
2008-05-22,3.06,27500,-0.5(-1.79 %),3370,92675000,0,0,27500,27500,27500
2008-05-23,3.06,27500,0(0.00 %),0,0,0,0,27500,27500,27500
2008-05-26,3.01,27000,-0.5(-1.82 %),140,3780000,0,0,27000,27000,27000
2008-05-27,3.01,27000,0(0.00 %),0,0,0,0,27000,27000,27000
2008-05-28,3.01,27000,0(0.00 %),0,0,0,0,27000,27000,27000
2008-05-29,3.01,27000,0(0.00 %),0,0,0,0,27000,27000,27000
2008-05-30,2.95,26500,-0.5(-1.85 %),280,7420000,0,0,26500,26500,26500
2008-06-02,2.9,26000,-0.5(-1.89 %),10,260000,0,0,26000,26000,26000
2008-06-03,2.84,25500,-0.5(-1.92 %),2520,64260000,195000,4972500000,25500,25500,25500
2008-06-04,2.79,25000,-0.5(-1.96 %),220,5500000,0,0,25000,25000,25000
2008-06-05,2.73,24500,-0.5(-2.00 %),1020,24990000,205000,5022500000,24500,24500,24500
2008-06-06,2.68,24100,-0.4(-1.63 %),1450,34945000,0,0,24100,24100,24100
2008-06-09,2.64,23700,-0.4(-1.66 %),70,1659000,0,0,23700,23700,23700
2008-06-10,2.6,23300,-0.4(-1.69 %),31820,741406000,0,0,23300,23300,23300
2008-06-11,2.55,22900,-0.4(-1.72 %),62280,1426447000,0,0,22900,23000,22900
2008-06-12,2.6,23300,0.4(1.75 %),60540,1410232000,0,0,23300,23300,22900
2008-06-13,2.64,23700,0.4(1.72 %),16200,383940000,0,0,23700,23700,23700
2008-06-16,2.68,24100,0.4(1.69 %),9120,219792000,0,0,24100,24100,24100
2008-06-17,2.73,24500,0.4(1.66 %),4280,104860000,0,0,24500,24500,24500
2008-06-18,2.68,24100,-0.4(-1.63 %),47450,1174579000,0,0,24900,24900,24100
2008-06-19,2.61,23400,-0.7(-2.90 %),2020,47268000,0,0,23400,23400,23400
2008-06-20,2.53,22700,-0.7(-2.99 %),17610,399747000,0,0,22700,22700,22700
2008-06-23,2.6,23300,0.6(2.64 %),25190,576484000,0,0,22700,23300,22700
2008-06-24,2.66,23900,0.6(2.58 %),1220,29158000,0,0,23900,23900,23900
2008-06-25,2.74,24600,0.7(2.93 %),8180,201228000,0,0,24600,24600,24600
2008-06-26,2.74,24600,0(0.00 %),25780,646855000,0,0,25300,25300,24000
2008-06-27,2.82,25300,0.7(2.85 %),14680,359488000,0,0,23900,25300,23900
2008-06-30,2.85,25600,0.3(1.19 %),14480,370683000,0,0,25600,25600,25500
2008-07-01,2.93,26300,0.7(2.73 %),47460,1248198000,0,0,26300,26300,26300
2008-07-02,3.01,27000,0.7(2.66 %),16750,452250000,0,0,27000,27000,27000
2008-07-03,3.1,27800,0.8(2.96 %),4400,122320000,0,0,27800,27800,27800
2008-07-04,3.19,28600,0.8(2.88 %),5220,149292000,0,0,28600,28600,28600
2008-07-07,3.1,27800,-0.8(-2.80 %),79110,2317514000,0,0,29400,29400,27800
2008-07-08,3.19,28600,0.8(2.88 %),37010,1003566000,0,0,27100,28600,27000
2008-07-09,3.28,29400,0.8(2.80 %),3330,97902000,0,0,29400,29400,29400
2008-07-10,3.36,30200,0.8(2.72 %),14710,444242000,0,0,30200,30200,30200
2008-07-11,3.46,31100,0.9(2.98 %),26660,829126000,0,0,31100,31100,31100
2008-07-14,3.56,32000,0.9(2.89 %),12760,408320000,0,0,32000,32000,32000
2008-07-15,3.67,32900,0.9(2.81 %),25180,828422000,0,0,32900,32900,32900
2008-07-16,3.77,32300,0.9(2.87 %),76880,2379164000,0,0,30600,32300,30600
2008-07-17,3.88,33200,0.9(2.79 %),30790,1022228000,0,0,33200,33200,33200
2008-07-18,3.79,32500,-0.7(-2.11 %),23050,747521000,0,0,32300,33200,32300
2008-07-21,3.69,31600,-0.9(-2.77 %),400,12640000,0,0,31600,31600,31600
2008-07-22,3.58,30700,-0.9(-2.85 %),7000,214900000,0,0,30700,30700,30700
2008-07-23,3.48,29800,-0.9(-2.93 %),7100,211580000,0,0,29800,29800,29800
2008-07-24,3.39,29000,-0.8(-2.68 %),80950,2348045000,0,0,29000,29900,29000
2008-07-25,3.48,29800,0.8(2.76 %),31940,951357000,0,0,29800,29800,29100
2008-07-28,3.57,30600,0.8(2.68 %),100,3060000,0,0,30600,30600,30600
2008-07-29,3.68,31500,0.9(2.94 %),20,630000,0,0,31500,31500,31500
2008-07-30,3.78,32400,0.9(2.86 %),26840,867546000,0,0,31500,32400,31500
2008-07-31,3.89,33300,0.9(2.78 %),11580,385614000,0,0,33300,33300,33300
2008-08-01,3.99,34200,0.9(2.70 %),1880,64296000,0,0,34200,34200,34200
2008-08-04,4.11,35200,1(2.92 %),9510,334752000,0,0,35200,35200,35200
2008-08-05,3.99,34200,-1(-2.84 %),65660,2246167000,0,0,34200,34900,34200
2008-08-06,4.11,35200,1(2.92 %),12010,422752000,0,0,35200,35200,35200
2008-08-07,4.23,36200,1(2.84 %),1330,48146000,0,0,36200,36200,36200
2008-08-08,4.34,37200,1(2.76 %),57560,2139191000,26900,1000680000,37200,37200,36200
2008-08-11,4.47,38300,1.1(2.96 %),490,18767000,0,0,38300,38300,38300
