Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2019-12-27,34.45,88500,11.5(14.94 %),21600,1911600000,0,0,88500,88500,88500
2019-12-30,36.24,93100,4.6(5.20 %),19400,1755550000,0,0,89800,93100,89800
2019-12-31,35.38,90900,0.4(0.44 %),18900,1710860000,0,0,89500,91500,88500
2020-01-02,35.03,90000,-0.5(-0.55 %),21500,1902080000,0,0,90100,90100,87400
2020-01-03,34.95,89800,1.3(1.47 %),3500,315220000,0,0,90000,95000,89800
2020-01-06,36.28,93200,3.1(3.44 %),6700,622420000,0,0,88500,93300,88500
2020-01-07,34.95,89800,-3.1(-3.34 %),8300,745890000,0,0,90000,90000,89600
2020-01-08,35.11,90200,0.3(0.33 %),9600,858420000,0,0,90000,90200,88600
2020-01-09,35.19,90400,1(1.12 %),11700,1051010000,0,0,89100,90400,89100
2020-01-10,35.03,90000,0.2(0.22 %),5300,477240000,0,0,90400,90400,89700
2020-01-13,34.72,89200,-0.8(-0.89 %),8700,779530000,0,0,90000,90000,89200
2020-01-14,35.11,90200,0.6(0.67 %),11700,1049300000,0,0,89200,90200,89200
2020-01-15,35.34,90800,1.1(1.23 %),13100,1185300000,0,0,90400,91000,90000
2020-01-16,35.03,90000,-0.5(-0.55 %),10600,958600000,0,0,91000,91000,90000
2020-01-17,34.84,89500,-0.9(-1.00 %),8500,763380000,0,0,89900,90100,89500
2020-01-20,35.3,90700,0.9(1.00 %),14200,1280750000,0,0,89500,90700,89500
2020-01-21,35.11,90200,0(0.00 %),7800,702840000,0,0,89900,90200,89900
2020-01-22,35.5,91200,1.1(1.22 %),10200,923260000,0,0,89800,91200,89800
2020-01-30,35.3,90700,0.2(0.22 %),12800,1157570000,0,0,90000,90800,90000
2020-01-31,35.23,90500,0.1(0.11 %),10700,970550000,0,0,90700,90800,90500
2020-02-03,35.27,90600,-0.1(-0.11 %),9600,868040000,0,0,90700,90700,90200
2020-02-04,35.27,90600,0.2(0.22 %),9100,822790000,0,0,90600,90600,90200
2020-02-05,35.5,91200,0.8(0.88 %),8100,736550000,0,0,90600,91200,90600
2020-02-06,36.04,92600,1.7(1.87 %),10200,936980000,0,0,91500,92600,91500
2020-02-07,35.73,91800,-0.1(-0.11 %),11900,1094990000,0,0,92600,92600,91600
2020-02-10,35.93,92300,0.3(0.33 %),9700,890320000,0,0,92000,93000,91400
2020-02-11,36.08,92700,0.9(0.98 %),8400,774650000,0,0,92000,92700,91900
2020-02-12,35.54,91300,-0.9(-0.98 %),10900,999180000,0,0,92000,92000,91300
2020-02-13,36.2,93000,1.3(1.42 %),14600,1351620000,0,0,91900,93000,91900
2020-02-14,36.08,92700,0.1(0.11 %),14000,1302410000,0,0,92900,93300,92700
2020-02-17,36.16,92900,-0.1(-0.11 %),11500,1068790000,0,0,93000,93100,92800
2020-02-18,36.28,93200,0.3(0.32 %),13700,1271530000,0,0,92900,93200,92600
2020-02-19,36.74,94400,1.6(1.72 %),15300,1439100000,0,0,93200,94500,93200
2020-02-20,36.94,94900,0.8(0.85 %),14500,1372520000,0,0,94400,95000,94300
2020-02-21,36.86,94700,0(0.00 %),16400,1554550000,0,0,95000,95000,94500
2020-02-24,36.59,94000,-0.8(-0.84 %),15500,1461140000,0,0,94700,94700,94000
2020-02-25,36.59,94000,-0.3(-0.32 %),14600,1370350000,0,0,94200,94200,93500
2020-02-26,36.94,94900,1(1.06 %),16300,1531290000,0,0,93500,100600,93300
2020-02-27,37.02,95100,1.2(1.28 %),16100,1526670000,0,0,94300,95100,94200
2020-02-28,37.06,95200,0.4(0.42 %),22710,2159675000,0,0,95200,95200,95000
2020-03-02,37.13,95400,0.3(0.32 %),12700,1210800000,0,0,95300,95400,95200
2020-03-03,37.17,95500,0.2(0.21 %),18400,1758040000,0,0,95400,95700,95400
2020-03-04,36.98,95000,-0.5(-0.52 %),22310,2127696000,0,0,95500,95500,95000
2020-03-05,37.13,95400,0(0.00 %),20800,1988630000,0,0,95600,96000,95400
2020-03-06,37.09,95300,-0.3(-0.31 %),19800,1885510000,0,0,95400,95400,95100
2020-03-09,35.81,92000,-3.2(-3.36 %),18100,1688140000,0,0,94400,94400,92000
2020-03-10,36.2,93000,-0.3(-0.32 %),19300,1768860000,0,0,91500,93000,91000
2020-03-12,35.69,91700,-0.3(-0.33 %),17600,1614520000,0,0,91800,91800,91600
2020-03-13,35.77,91900,0.2(0.22 %),17900,1638720000,0,0,91600,91900,91200
2020-03-16,35.34,90800,-0.7(-0.77 %),17610,1603810000,0,0,90700,91400,90700
2020-03-17,35.5,91200,0.1(0.11 %),18808,1711350800,0,0,90800,91200,90800
2020-03-18,35.46,91100,0.1(0.11 %),5300,482830000,0,0,91200,91200,91000
2020-03-19,35.34,90800,-0.3(-0.33 %),9700,882200000,0,0,91100,91100,90800
2020-03-20,35.34,90800,-0.1(-0.11 %),4300,390610000,0,0,90800,90900,90800
2020-03-23,35.15,90300,-0.5(-0.55 %),3900,352400000,0,0,90600,90600,90300
2020-03-24,35.11,90200,-0.2(-0.22 %),4600,416870000,0,0,90400,93200,90200
2020-03-25,36.71,94300,3.7(4.08 %),3700,347510000,0,0,93200,94300,93200
2020-03-26,36.55,93900,0(0.00 %),4800,450810000,0,0,93500,95300,93500
2020-03-27,36.55,93900,0(0.00 %),4200,393880000,0,0,93500,94100,93500
2020-03-30,36.04,92600,-1.2(-1.28 %),2600,241150000,0,0,92900,92900,92600
2020-03-31,35.81,92000,-0.8(-0.86 %),2500,231170000,0,0,92000,92900,92000
2020-04-01,36.04,92600,0.1(0.11 %),800,73980000,0,0,92100,92600,92100
2020-04-03,36.04,92600,0.1(0.11 %),700,64820000,0,0,92600,92600,92600
2020-04-06,36.12,92800,0.2(0.22 %),640,59346000,0,0,92600,92800,92600
2020-04-07,36.08,92700,0(0.00 %),700,64910000,0,0,92800,92800,92700
2020-04-08,35.89,92200,-0.5(-0.54 %),500,46200000,0,0,92700,92700,92200
2020-04-09,36.0,92500,0.1(0.11 %),610,56420000,0,0,92500,92500,92500
2020-04-10,35.97,92400,-0.1(-0.11 %),800,73960000,0,0,92500,92500,92400
2020-04-13,36.0,92500,0(0.00 %),502,46493000,0,0,92500,92800,92500
2020-04-14,36.08,92700,0.1(0.11 %),3100,286740000,0,0,92600,92800,91900
2020-04-15,36.04,92600,0.1(0.11 %),4800,444730000,0,0,92500,92800,92500
2020-04-16,36.08,92700,0(0.00 %),4500,416710000,0,0,92600,92700,92500
