Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2016-06-30,4.23,14600,0.9(6.57 %),14000,196000000,0,0,13700,14600,13000
2016-07-01,4.52,15600,1(6.85 %),10650,163000000,0,0,14600,15600,14600
2016-07-04,4.23,14600,-1(-6.41 %),14350,212000000,0,0,16300,16300,14600
2016-07-05,3.94,13600,-1(-6.85 %),19760,269000000,0,0,14000,14600,13600
2016-07-06,3.68,12700,-0.9(-6.62 %),23650,305000000,0,0,13000,13500,12700
2016-07-07,3.77,13000,0.3(2.36 %),4650,56000000,0,0,12000,13000,11900
2016-07-08,3.62,12500,-0.5(-3.85 %),1100,14000000,0,0,12700,13200,12200
2016-07-11,3.51,12100,-0.4(-3.20 %),1640,21000000,0,0,11800,13100,11800
2016-07-12,3.74,12900,0.8(6.61 %),16540,213000000,0,0,12600,12900,12600
2016-07-13,3.97,13700,0.8(6.20 %),13590,184000000,0,0,13400,13700,13400
2016-07-14,4.0,13800,0.1(0.73 %),10960,151000000,0,0,13800,13800,13700
2016-07-15,4.06,14000,0.2(1.45 %),5350,74000000,0,0,13800,14000,13800
2016-07-18,4.06,14000,0(0.00 %),9880,138000000,0,0,14000,14100,13900
2016-07-19,4.09,14100,0.1(0.71 %),19900,280000000,0,0,14000,14100,14000
2016-07-20,4.06,14000,-0.1(-0.71 %),9500,133000000,0,0,14000,14100,13300
2016-07-21,3.83,13200,-0.8(-5.71 %),4910,67000000,0,0,14000,14000,13200
2016-07-22,3.77,13000,-0.2(-1.52 %),4110,53000000,0,0,13000,13000,13000
2016-07-25,3.97,13700,0.7(5.38 %),6610,89000000,0,0,13000,13800,13000
2016-07-26,3.97,13700,0(0.00 %),31050,428000000,0,0,13300,14000,13300
2016-07-27,4.03,13900,0.2(1.46 %),3320,46000000,0,0,13900,13900,13700
2016-07-28,4.09,14100,0.2(1.44 %),28500,399000000,0,0,13700,14100,13700
2016-07-29,4.03,13900,-0.2(-1.42 %),18620,259000000,0,0,13700,14000,13700
2016-08-01,4.0,13800,-0.1(-0.72 %),1000,14000000,0,0,13800,13800,13800
2016-08-02,4.06,14000,0.2(1.45 %),11800,163000000,0,0,13800,14000,13000
2016-08-03,4.06,14000,0(0.00 %),0,0,0,0,14000,14000,14000
2016-08-04,3.97,13700,-0.3(-2.14 %),24100,335000000,0,0,13500,14000,13400
2016-08-05,4.09,14100,0.4(2.92 %),11530,161000000,0,0,13700,14100,13700
2016-08-08,4.06,14000,-0.1(-0.71 %),7000,98000000,0,0,14000,14000,14000
2016-08-09,4.06,14000,0(0.00 %),20190,285000000,0,0,14000,14500,14000
2016-08-10,4.06,14000,0(0.00 %),9500,132000000,0,0,14000,14000,13700
2016-08-11,3.97,13700,-0.3(-2.14 %),520,7000000,0,0,14000,14000,13700
2016-08-12,4.03,13900,0.2(1.46 %),4510,62000000,0,0,13700,13900,13700
2016-08-15,4.03,13900,0(0.00 %),1020,14000000,0,0,13900,13900,13900
2016-08-16,4.03,13900,0(0.00 %),2040,28000000,0,0,13900,13900,13700
2016-08-17,4.03,13900,0(0.00 %),5980,83000000,0,0,13900,13900,13700
2016-08-18,4.03,13900,0(0.00 %),2000,28000000,0,0,13900,13900,13900
2016-08-19,4.23,14600,0.7(5.04 %),39360,560000000,0,0,13800,14600,13800
2016-08-22,4.18,14400,-0.2(-1.37 %),110,2000000,0,0,14200,14400,14200
2016-08-23,4.18,14400,0(0.00 %),12060,171000000,0,0,14300,14400,14000
2016-08-24,4.2,14500,0.1(0.69 %),28410,407000000,0,0,13700,14500,13700
2016-08-25,4.15,14300,-0.2(-1.38 %),40170,576000000,0,0,14500,14500,14200
2016-08-26,4.2,14500,0.2(1.40 %),72400,1048000000,0,0,14400,14700,14400
2016-08-29,4.29,14800,0.3(2.07 %),59390,876000000,0,0,14700,15000,14500
2016-08-30,4.26,14700,-0.1(-0.68 %),49980,729000000,0,0,14500,14800,14200
2016-08-31,4.35,15000,0.3(2.04 %),62120,915000000,0,0,14500,15000,14300
2016-09-01,4.49,15500,0.5(3.33 %),121450,1829000000,0,0,14800,15500,14800
2016-09-05,4.7,16200,0.7(4.52 %),110020,1736000000,0,0,15100,16200,15100
2016-09-06,4.73,16300,0.1(0.62 %),103380,1720000000,0,0,16600,17000,16200
2016-09-07,4.58,15800,-0.5(-3.07 %),98350,1566000000,0,0,16300,16400,15600
2016-09-08,4.58,15800,0(0.00 %),81460,1275000000,0,0,15600,15900,15500
2016-09-09,4.67,16100,0.3(1.90 %),78960,1255000000,0,0,15800,16300,15500
2016-09-12,4.93,17000,0.9(5.59 %),123220,2027000000,0,0,16000,17000,16000
2016-09-13,4.96,17100,0.1(0.59 %),97110,1646000000,0,0,16800,17300,16650
2016-09-14,4.97,17150,0.05(0.29 %),90800,1542000000,0,0,17250,17400,16650
2016-09-15,4.78,16500,-0.65(-3.79 %),95190,1573000000,0,0,16950,16950,16300
2016-09-16,4.81,16600,0.1(0.61 %),86950,1426000000,0,0,16350,16600,16300
2016-09-19,4.87,16800,0.2(1.20 %),91620,1518000000,0,0,16600,16800,16350
2016-09-20,4.87,16800,0(0.00 %),85110,1414000000,0,0,16800,16800,16500
2016-09-21,4.9,16900,0.1(0.60 %),86800,1463000000,0,0,16800,17000,16800
2016-09-22,4.99,17200,0.3(1.78 %),108320,1827000000,0,0,16900,17200,16650
2016-09-23,4.96,17100,-0.1(-0.58 %),79730,1357000000,0,0,17250,17250,16850
2016-09-26,4.84,16700,-0.4(-2.34 %),49970,845000000,0,0,17100,17100,16700
2016-09-27,4.87,16800,0.1(0.60 %),101520,1669000000,0,0,16700,16900,16100
2016-09-28,4.93,17000,0.2(1.19 %),104170,1763000000,0,0,16850,17000,16850
2016-09-29,4.99,17200,0.2(1.18 %),115660,1967000000,0,0,17200,17200,16800
2016-09-30,4.87,16800,-0.4(-2.33 %),88400,1499000000,0,0,17150,17200,16700
2016-10-03,4.86,16750,-0.05(-0.30 %),52340,871000000,0,0,16900,16900,16500
2016-10-04,4.84,16700,-0.05(-0.30 %),75780,1264000000,0,0,16750,16750,16600
2016-10-05,4.89,16850,0.15(0.90 %),96730,1629000000,0,0,16650,17000,16650
2016-10-06,4.87,16800,-0.05(-0.30 %),97520,1641000000,0,0,16750,16950,16700
2016-10-07,4.9,16900,0.1(0.60 %),58320,979000000,0,0,16800,16900,16700
2016-10-10,4.89,16850,-0.05(-0.30 %),94760,1597000000,0,0,16850,16950,16750
2016-10-11,4.87,16800,-0.05(-0.30 %),44580,747000000,0,0,16900,16900,16650
2016-10-12,4.91,16950,0.15(0.89 %),75810,1261000000,0,0,16900,16950,16400
2016-10-13,4.91,16950,0(0.00 %),70280,1170000000,0,0,16850,16950,16500
2016-10-14,4.73,16300,-0.65(-3.83 %),37340,619000000,0,0,16850,16850,16300
2016-10-17,4.7,16200,-0.1(-0.61 %),18770,307000000,0,0,16400,16500,16200
2016-10-18,4.68,16150,-0.05(-0.31 %),24310,391000000,0,0,16150,16200,16000
2016-10-19,4.74,16350,0.2(1.24 %),92100,1494000000,0,0,16150,16450,16000
2016-10-20,4.78,16500,0.15(0.92 %),75590,1240000000,0,0,16450,16500,16350
2016-10-21,4.78,16500,0(0.00 %),98350,1621000000,0,0,16600,16600,16350
2016-10-24,4.78,16500,0(0.00 %),93630,1547000000,0,0,16450,16800,16400
2016-10-25,4.81,16600,0.1(0.61 %),94260,1556000000,0,0,16400,16600,16400
2016-10-26,4.96,17100,0.5(3.01 %),154530,2581000000,0,0,16550,17100,16400
2016-10-27,4.93,17000,-0.1(-0.58 %),110630,1880000000,0,0,17150,17250,16800
2016-10-28,5.06,17450,0.45(2.65 %),185940,3153000000,0,0,16850,17450,16650
2016-10-31,5.39,18600,1.15(6.59 %),219600,3896000000,0,0,18600,18600,17100
2016-11-01,5.36,18500,-0.1(-0.54 %),194070,3601000000,0,0,18700,18750,18400
2016-11-02,5.44,18750,0.25(1.35 %),202860,3774000000,0,0,18400,18900,18400
2016-11-03,5.47,18850,0.1(0.53 %),194060,3631000000,0,0,18750,18900,18500
2016-11-04,5.49,18950,0.1(0.53 %),146470,2771000000,0,0,18950,19000,18850
2016-11-07,5.8,19050,1(5.54 %),165470,3129000000,0,0,18900,19050,18700
