Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2020-01-10,15.49,30400,0.4(1.33 %),382330,11762000000,770000,21485000000,30500,31300,30400
2020-01-13,15.36,30150,-0.25(-0.82 %),263410,7987000000,0,0,30500,30550,30150
2020-01-14,15.03,29500,-0.65(-2.16 %),573820,16901000000,0,0,29900,29900,29250
2020-01-15,15.11,29650,0.15(0.51 %),228400,6759000000,0,0,29450,29750,29450
2020-01-16,15.21,29850,0.2(0.67 %),283220,8433000000,0,0,29500,30050,29350
2020-01-17,15.13,29700,-0.15(-0.50 %),229940,6844000000,0,0,29800,29900,29650
2020-01-20,15.11,29650,-0.05(-0.17 %),238670,7092000000,0,0,29800,29900,29550
2020-01-21,15.18,29800,0.15(0.51 %),248440,7396000000,0,0,29700,29900,29600
2020-01-22,15.34,30100,0.3(1.01 %),228590,6831000000,0,0,29850,30100,29700
2020-01-30,15.39,30200,0.1(0.33 %),183910,5554000000,0,0,30000,30600,29800
2020-01-31,15.16,29750,-0.45(-1.49 %),211690,6332000000,0,0,30150,30150,29750
2020-02-03,15.03,29500,-0.25(-0.84 %),213310,6282000000,0,0,29500,29650,29250
2020-02-04,15.13,29700,0.2(0.68 %),208640,6193000000,0,0,29550,29850,29500
2020-02-05,15.08,29600,-0.1(-0.34 %),199390,5894000000,0,0,29600,29650,29500
2020-02-06,15.11,29650,0.05(0.17 %),206740,6143000000,0,0,29600,29800,29600
2020-02-07,15.0,29450,-0.2(-0.67 %),245720,7262000000,0,0,29650,29700,29400
2020-02-10,15.06,29550,0.1(0.34 %),190510,5613000000,0,0,29450,29600,29350
2020-02-11,14.93,29300,-0.25(-0.85 %),197110,5794000000,0,0,29500,29550,29300
2020-02-12,14.8,29050,-0.25(-0.85 %),190780,5557000000,0,0,29350,29350,28900
2020-02-13,14.75,28950,-0.1(-0.34 %),206670,5988000000,0,0,29050,29200,28850
2020-02-14,14.7,28850,-0.1(-0.35 %),201670,5816000000,0,0,28900,28900,28750
2020-02-17,14.78,29000,0.15(0.52 %),207150,6004000000,0,0,28800,29100,28800
2020-02-18,14.7,28850,-0.15(-0.52 %),208630,6001000000,0,0,29000,29000,28550
2020-02-19,14.72,28900,0.05(0.17 %),200730,5799000000,0,0,28850,29100,28800
2020-02-20,14.67,28800,-0.1(-0.35 %),206170,5944000000,0,0,28900,29050,28700
2020-02-21,14.67,28800,0(0.00 %),203920,5887000000,0,0,28800,29000,28750
2020-02-24,14.62,28700,-0.1(-0.35 %),190740,5470000000,0,0,28750,28800,28600
2020-02-25,14.65,28750,0.05(0.17 %),202890,5811000000,0,0,28750,28800,28500
2020-02-26,14.55,28550,-0.2(-0.70 %),190600,5449000000,0,0,28700,28700,28450
2020-02-27,14.44,28350,-0.2(-0.70 %),196230,5588000000,0,0,28550,28650,28300
2020-02-28,13.99,27450,-0.9(-3.17 %),167630,4648000000,0,0,28250,28250,27400
2020-03-02,14.11,27700,0.25(0.91 %),267890,7443000000,0,0,27400,28100,27350
2020-03-03,14.24,27950,0.25(0.90 %),214960,5978000000,0,0,27700,28000,27600
2020-03-04,14.27,28000,0.05(0.18 %),228870,6384000000,0,0,27900,28050,27800
2020-03-05,14.19,27850,-0.15(-0.54 %),198280,5555000000,0,0,28000,28250,27800
2020-03-06,14.16,27800,-0.05(-0.18 %),206940,5736000000,0,0,27700,27900,27450
2020-03-09,13.78,27050,-0.75(-2.70 %),181490,4912000000,0,0,27300,27300,26500
2020-03-10,13.81,27100,0.05(0.18 %),201760,5442000000,0,0,26900,27150,26750
2020-03-11,13.53,26550,-0.55(-2.03 %),208810,5584000000,0,0,27000,27150,26400
2020-03-12,13.5,26500,-0.05(-0.19 %),203870,5389000000,0,0,26500,26600,26250
2020-03-13,13.55,26600,0.1(0.38 %),189770,5000000000,0,0,26500,26600,25800
2020-03-16,13.55,26600,0(0.00 %),201980,5362000000,150000,4050000000,26600,26850,26300
2020-03-17,13.37,26250,-0.35(-1.32 %),164870,4354000000,0,0,26250,26600,26000
2020-03-18,13.35,26200,-0.05(-0.19 %),148970,3910000000,0,0,26300,26500,26100
