Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2009-12-11,12.44,24400,-1.2(-4.69 %),58390,1424716000,135000,3456000000,24400,24400,24400
2009-12-14,11.83,23200,-1.2(-4.92 %),346050,8090429000,0,0,23200,24900,23200
2009-12-15,11.27,22100,-1.1(-4.74 %),134640,2994428000,0,0,22400,23200,22100
2009-12-16,10.71,21000,-1.1(-4.98 %),64820,1361220000,0,0,21000,21000,21000
2009-12-17,10.97,21500,0.5(2.38 %),336680,6841389000,141000,2820000000,20000,21800,20000
2009-12-18,11.48,22500,1(4.65 %),123610,2781225000,0,0,22500,22500,22500
2009-12-21,12.04,23600,1.1(4.89 %),10310,243316000,0,0,23600,23600,23600
2009-12-22,12.6,24700,1.1(4.66 %),908170,22316930000,0,0,24700,24700,22600
2009-12-23,12.29,24100,-0.6(-2.43 %),214170,5199208000,0,0,24100,25000,24000
2009-12-24,12.8,25100,1(4.15 %),362380,8954278000,0,0,24000,25300,23800
2009-12-25,13.41,26300,1.2(4.78 %),395360,10293703000,0,0,26000,26300,25100
2009-12-28,12.8,25100,-1.2(-4.56 %),163320,4200625000,300000,8280000000,25000,26500,25000
2009-12-29,12.19,23900,-1.2(-4.78 %),156660,3775886000,50000,1195000000,24000,25000,23900
2009-12-30,12.24,24000,0.1(0.42 %),139110,3404416000,0,0,25000,25000,23900
2009-12-31,12.24,24000,0(0.00 %),207850,5094045000,0,0,24800,25000,23800
2010-01-04,12.85,25200,1.2(5.00 %),302470,7597848000,0,0,24500,25200,24500
2010-01-05,12.95,25400,0.2(0.79 %),528380,13860512000,0,0,26300,26400,25200
2010-01-06,13.57,26600,1.2(4.72 %),445200,11502213000,0,0,25100,26600,24800
2010-01-07,14.23,27900,1.3(4.89 %),582470,16241544000,0,0,27900,27900,26600
2010-01-08,13.57,26600,-1.3(-4.66 %),465330,13029546000,0,0,29200,29200,26600
2010-01-11,13.77,27000,0.4(1.50 %),284470,7675280000,0,0,27500,27600,26000
2010-01-12,13.11,25700,-1.3(-4.81 %),211180,5634877000,0,0,26800,27700,25700
