Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2010-04-06,7.27,15000,-0.9(-5.66 %),63800,972050000,0,0,16100,16100,15000
2010-04-07,7.66,15800,0.6(3.95 %),85500,1314230000,0,0,15000,15800,15000
2010-04-08,7.95,16400,1(6.49 %),105200,1717020000,0,0,16100,16400,16100
2010-04-09,8.1,16700,0.4(2.45 %),68900,1144730000,0,0,16300,17000,16300
2010-04-12,7.81,16100,-0.5(-3.01 %),24600,407190000,0,0,16600,16700,16100
2010-04-13,7.71,15900,-0.7(-4.22 %),43100,683920000,0,0,16600,16600,15700
2010-04-14,7.51,15500,-0.4(-2.52 %),19000,293290000,0,0,15400,16000,15100
2010-04-15,7.61,15700,0.3(1.95 %),63700,989740000,0,0,15500,15700,15300
2010-04-16,7.66,15800,0.3(1.94 %),152300,2395910000,50000,825000000,15600,16000,15500
2010-04-19,7.56,15600,-0.1(-0.64 %),24600,387920000,0,0,16000,16000,15600
2010-04-20,7.51,15500,-0.3(-1.90 %),46100,725940000,100000,1580000000,16000,16000,15500
2010-04-21,7.81,16100,0.4(2.55 %),136900,2176510000,0,0,16000,16100,15800
2010-04-22,8.24,17000,1.1(6.92 %),144700,2452820000,0,0,16500,17000,16500
2010-04-26,8.73,18000,1(5.88 %),234000,4198720000,18000,286200000,18000,18100,17200
2010-04-27,8.78,18100,0.2(1.12 %),76700,1373350000,0,0,18000,18200,17700
2010-04-28,8.78,18100,0.2(1.12 %),94400,1691050000,0,0,18500,18500,17500
2010-04-29,9.26,19100,1.2(6.70 %),167300,3107640000,0,0,18500,19100,18000
2010-05-04,9.65,19900,1.3(6.99 %),53500,1064650000,0,0,19900,19900,19900
2010-05-05,10.28,21200,1.3(6.53 %),325400,6880570000,0,0,21000,21200,20200
2010-05-06,10.91,22500,1.4(6.64 %),72100,1622250000,0,0,22500,22500,22500
2010-05-07,11.64,24000,1.5(6.67 %),363100,8711220000,200000,4800000000,24000,24000,23100
2010-05-10,12.17,25100,1.1(4.58 %),165100,4201490000,700000,16800000000,25600,25600,25100
2010-05-11,11.49,23700,-1.7(-6.69 %),192000,4618320000,0,0,25300,26500,23700
2010-05-12,10.91,22500,-1.6(-6.64 %),14100,317550000,810000,19420000000,22600,22600,22500
2010-05-13,10.18,21000,-1.5(-6.67 %),284600,5980710000,0,0,21000,22500,21000
2010-05-14,10.86,22400,1.4(6.67 %),169100,3671680000,0,0,21000,22400,19600
2010-05-17,10.08,20850,-0.9(-4.15 %),164300,3447070000,0,0,22900,22900,20850
2010-05-18,10.28,21200,0.2(0.95 %),32200,673970000,0,0,20600,21200,20600
2010-05-19,9.45,19700,-1.4(-6.70 %),144000,2818480000,0,0,21000,21000,19700
2010-05-20,10.08,20800,1.2(6.12 %),388100,7697900000,0,0,20850,20850,18300
2010-05-21,8.97,19350,-1.3(-6.57 %),50300,933560000,0,0,20000,20000,19350
2010-05-24,9.21,19000,0.4(2.15 %),153000,2858740000,0,0,19000,19000,17400
2010-05-25,8.68,17900,-0.8(-4.28 %),61300,1096420000,0,0,17650,18800,17650
2010-05-26,8.73,18000,0.1(0.56 %),172200,3114760000,0,0,17900,18500,17500
2010-05-27,9.07,18700,0.6(3.31 %),135800,2484450000,0,0,17300,19200,17300
2010-05-28,9.45,19500,1.2(6.56 %),81400,1586690000,0,0,19400,19500,19100
2010-05-31,9.94,20500,1(5.13 %),67300,1373920000,0,0,20000,20800,20000
2010-06-01,9.6,19800,-0.6(-2.94 %),71000,1385460000,0,0,20000,20000,19200
2010-06-02,9.36,19300,-0.2(-1.03 %),61800,1185420000,0,0,19300,19400,18900
2010-06-03,9.31,19200,0(0.00 %),62600,1213730000,0,0,20000,20400,19200
2010-06-04,9.31,19200,-0.2(-1.03 %),143600,2797170000,0,0,19000,19800,19000
2010-06-07,8.82,18200,-1.3(-6.67 %),64100,1171550000,0,0,18500,18600,18200
2010-06-08,8.97,18500,0.2(1.09 %),26800,490500000,0,0,18000,18500,18000
2010-06-09,8.73,18000,-0.3(-1.64 %),50500,926940000,0,0,19200,19300,18000
2010-06-10,8.97,18500,0.1(0.54 %),45200,839600000,0,0,18700,18700,18400
2010-06-11,9.07,18700,0.1(0.54 %),41100,765390000,0,0,19400,19400,18500
2010-06-14,8.97,18500,-0.1(-0.54 %),54300,1008920000,0,0,18500,19000,17500
2010-06-15,8.78,18100,-0.5(-2.69 %),49500,908230000,0,0,18700,18700,18000
2010-06-16,9.45,19350,1.2(6.56 %),151100,2865280000,0,0,18600,19350,18500
2010-06-17,9.74,20100,1.1(5.79 %),98500,1969540000,0,0,20000,20300,19300
2010-06-18,9.45,19500,-0.5(-2.50 %),34700,692650000,0,0,19800,20500,19500
2010-06-21,9.45,19500,-0.5(-2.50 %),66300,1316440000,0,0,19800,20000,19500
2010-06-22,9.21,19000,-0.9(-4.52 %),87900,1664360000,0,0,19500,19500,18800
2010-06-23,9.16,18900,0(0.00 %),50700,948830000,0,0,18800,18900,18500
2010-06-24,9.11,18800,0.1(0.53 %),20200,377840000,0,0,18600,18800,18600
2010-06-25,9.02,18600,-0.1(-0.53 %),48000,891670000,0,0,18600,18700,18500
2010-06-28,9.02,18600,0(0.00 %),1500,27880000,0,0,18600,18600,18500
2010-06-29,9.31,19200,0.6(3.23 %),56400,1089680000,0,0,19300,19800,19000
2010-06-30,9.07,18700,-0.6(-3.11 %),94400,1760020000,0,0,19000,19100,18500
2010-07-01,8.97,18500,-0.1(-0.54 %),38800,719360000,0,0,18600,19000,18500
2010-07-02,8.97,18500,0(0.00 %),19400,360060000,0,0,19000,19000,18400
2010-07-05,8.87,18300,-0.3(-1.61 %),36300,662120000,0,0,18300,18300,18200
2010-07-06,8.73,18000,-0.2(-1.10 %),39600,713450000,0,0,19000,19000,18000
2010-07-07,8.58,17700,-0.3(-1.67 %),9200,164340000,0,0,18000,18000,17700
2010-07-08,8.58,17700,-0.2(-1.12 %),25400,453850000,0,0,18800,18800,17700
2010-07-09,8.68,17900,0(0.00 %),11500,206300000,0,0,18000,18000,17900
2010-07-12,8.39,17300,-0.6(-3.35 %),53100,909160000,0,0,17500,18000,17000
2010-07-13,8.82,18200,1.1(6.43 %),21200,382520000,0,0,18000,18200,17900
2010-07-14,9.16,18900,0.9(5.00 %),138700,2657290000,0,0,19200,19200,18500
2010-07-15,9.07,18700,-0.5(-2.60 %),2500,46950000,0,0,19000,19000,18100
2010-07-16,8.73,18000,-0.8(-4.26 %),42100,762500000,0,0,18000,18300,17800
2010-07-19,8.73,18000,-0.1(-0.55 %),18900,337220000,0,0,18000,18000,17700
2010-07-20,8.58,17700,-0.1(-0.56 %),59600,1062270000,0,0,18000,18000,17600
2010-07-21,8.53,17600,-0.2(-1.12 %),48000,842150000,0,0,17600,17700,17500
2010-07-22,8.48,17500,0(0.00 %),17700,310020000,0,0,17500,17800,17400
2010-07-23,8.58,17700,0.2(1.14 %),28700,500260000,0,0,17500,17700,17100
2010-07-26,8.29,17100,-0.3(-1.72 %),8600,147720000,0,0,17500,17500,17100
2010-07-27,8.39,17300,0.1(0.58 %),53900,955500000,0,0,17400,18100,17300
2010-07-28,8.29,17100,-0.6(-3.39 %),15500,265410000,0,0,17600,17600,17000
2010-07-29,8.39,17300,0.2(1.17 %),8000,137280000,0,0,17100,17300,17000
2010-07-30,8.44,17400,0.2(1.16 %),1900,32980000,0,0,17400,17400,17300
2010-08-02,8.34,17200,-0.2(-1.15 %),12000,208170000,0,0,17500,17600,17100
2010-08-03,8.24,17000,-0.3(-1.73 %),18000,308850000,0,0,17100,17400,17000
2010-08-04,8.1,16700,-0.5(-2.91 %),31000,518360000,0,0,17000,17000,16500
2010-08-05,8.1,16700,0(0.00 %),12300,202870000,0,0,17300,17400,16400
2010-08-06,7.95,15700,-0.1(-0.63 %),12800,197090000,0,0,15550,15800,15550
2010-08-09,7.85,15500,0.1(0.65 %),7900,121300000,0,0,15400,16200,14700
2010-08-10,7.29,14400,-1(-6.49 %),20500,296860000,0,0,15000,15000,14400
2010-08-11,7.39,14600,0.1(0.69 %),13100,185220000,0,0,13500,14700,13500
2010-08-12,6.78,13600,-0.7(-4.96 %),16600,221390000,0,0,13600,14300,13600
2010-08-13,6.48,12800,-0.5(-3.76 %),33500,429860000,5000,71000000,13300,13500,12450
2010-08-16,6.89,13600,0.8(6.25 %),69400,933740000,30000,408000000,13000,13600,12800
2010-08-17,6.83,13500,0(0.00 %),14400,188130000,0,0,13200,13500,12650
2010-08-18,6.68,13200,0.1(0.76 %),15700,202900000,0,0,13200,13200,12600
2010-08-19,6.53,12900,0(0.00 %),22500,295780000,0,0,13500,13500,12900
2010-08-20,6.68,13200,0.1(0.76 %),25900,342700000,0,0,13800,13800,12900
2010-08-23,6.63,13100,-0.1(-0.76 %),36800,477330000,0,0,13400,13400,12800
2010-08-24,6.18,12200,-0.8(-6.15 %),116000,1405450000,0,0,13000,13000,12200
2010-08-25,5.77,11400,-0.7(-5.79 %),40900,477570000,0,0,12100,12600,11350
2010-08-26,5.62,11100,-0.6(-5.13 %),31400,354810000,0,0,12200,12200,11000
2010-08-27,6.08,11900,0.7(6.19 %),144500,1648570000,0,0,10900,11900,10600
2010-08-30,6.13,12100,0.7(6.14 %),19500,235950000,6600,79860000,12100,12100,12100
2010-08-31,6.53,12900,0.8(6.61 %),107100,1376880000,0,0,12900,12900,12700
2010-09-01,6.99,13800,0.9(6.98 %),67200,910730000,0,0,13600,13800,12900
2010-09-06,7.34,14500,0.9(6.62 %),210700,3046410000,0,0,14500,14500,14300
2010-09-07,7.09,14000,-0.5(-3.45 %),109700,1544990000,0,0,14800,14800,13500
2010-09-08,6.89,13600,-0.5(-3.55 %),68100,927610000,0,0,13700,14000,13300
2010-09-09,7.19,14200,0.6(4.41 %),34100,479940000,0,0,14500,14500,13700
2010-09-10,6.68,13200,-0.9(-6.38 %),89400,1196500000,0,0,14000,14000,13200
2010-09-13,6.33,12500,-0.9(-6.72 %),79900,1010020000,25000,312500000,13000,13700,12500
2010-09-14,6.48,12800,0.2(1.59 %),13300,171310000,0,0,13200,13200,12700
2010-09-15,6.53,12900,0(0.00 %),2600,34100000,0,0,13200,13300,12900
2010-09-16,6.63,13100,0(0.00 %),2500,32770000,0,0,13000,13400,13000
2010-09-17,6.89,13600,0.5(3.82 %),109400,1471370000,0,0,13600,13700,13100
2010-09-20,6.99,13800,0.4(2.99 %),106100,1428990000,0,0,13800,13900,13000
2010-09-21,6.43,12850,-0.8(-5.93 %),80200,1038140000,0,0,13300,13700,12850
2010-09-22,6.43,12700,-0.2(-1.55 %),46600,603130000,0,0,13000,13300,12700
2010-09-23,6.35,11800,-0.3(-2.52 %),57700,673220000,0,0,12000,12000,11800
2010-09-24,6.4,11700,0(0.00 %),9700,114050000,0,0,11300,11900,11300
2010-09-27,6.4,11700,-0.1(-0.85 %),29600,344580000,0,0,11800,11900,11500
2010-09-28,6.35,11600,0(0.00 %),23800,275380000,0,0,12000,12000,11500
2010-09-29,6.18,11300,-0.3(-2.59 %),43800,498030000,0,0,11800,11800,11000
