Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2020-09-25,24.3,38500,2.5(6.94 %),4260,164000000,0,0,38500,38500,38500
2020-09-28,25.98,41150,2.65(6.88 %),91910,3782000000,0,0,41150,41150,41150
2020-09-29,27.78,44000,2.85(6.93 %),152000,6688000000,82737,3640428000,44000,44000,44000
2020-09-30,29.7,47050,3.05(6.93 %),86000,4046000000,0,0,47050,47050,47050
2020-10-01,31.75,50300,3.25(6.91 %),137410,6902000000,0,0,50300,50300,50000
2020-10-02,33.96,53800,3.5(6.96 %),195430,10513000000,0,0,53800,53800,53000
2020-10-05,31.63,50100,-3.7(-6.88 %),78970,3978000000,0,0,50600,53700,50100
2020-10-06,29.42,46600,-3.5(-6.99 %),24970,1164000000,0,0,46600,46600,46600
2020-10-07,27.37,43350,-3.25(-6.97 %),18770,814000000,0,0,43350,43350,43350
2020-10-08,27.78,44000,0.65(1.50 %),181260,7566000000,0,0,40350,46200,40350
2020-10-09,27.14,43000,-1(-2.27 %),32000,1358000000,0,0,44000,44000,41700
2020-10-12,26.07,41300,-1.7(-3.95 %),24370,1000000000,0,0,40400,42400,40400
2020-10-13,25.63,40600,-0.7(-1.69 %),27690,1136000000,0,0,41900,42000,40100
2020-10-14,25.76,40800,0.2(0.49 %),33750,1356000000,0,0,40600,41000,39500
2020-10-15,25.63,40600,-0.2(-0.49 %),53710,2147000000,0,0,40000,40800,39300
2020-10-16,25.76,40800,0.2(0.49 %),16690,675000000,0,0,39700,40800,39700
2020-10-19,25.76,40800,0(0.00 %),18310,743000000,0,0,41000,41000,39800
2020-10-20,25.82,40900,0.1(0.25 %),14390,583000000,1380000,53130000000,40700,40900,40000
2020-10-21,24.11,38200,-2.7(-6.60 %),45310,1795000000,0,0,40150,40500,38200
2020-10-22,24.56,38900,0.7(1.83 %),18330,710000000,0,0,38000,39500,38000
2020-10-23,24.62,39000,0.1(0.26 %),7420,293000000,0,0,39400,39900,39000
2020-10-26,24.18,38300,-0.7(-1.79 %),10150,392000000,0,0,39000,39500,38300
2020-10-27,24.24,38400,0.1(0.26 %),13570,518000000,0,0,38300,38400,37800
2020-10-28,23.04,36500,-1.9(-4.95 %),16330,617000000,0,0,38400,38400,36500
2020-10-29,23.23,36800,0.3(0.82 %),21600,783000000,0,0,35500,37200,35200
2020-10-30,22.73,36000,-0.8(-2.17 %),4960,181000000,0,0,37150,37350,36000
2020-11-02,22.85,36200,0.2(0.56 %),9800,357000000,0,0,35700,37000,35700
2020-11-03,23.04,36500,0.3(0.83 %),3390,124000000,0,0,36300,36900,36300
2020-11-04,23.04,36500,0(0.00 %),4900,179000000,0,0,37000,37000,36500
2020-11-05,23.17,36700,0.2(0.55 %),6410,235000000,0,0,36500,36900,36400
2020-11-06,23.36,37000,0.3(0.82 %),1780,66000000,0,0,37000,37000,36950
2020-11-09,22.41,35500,-1.5(-4.05 %),23670,854000000,0,0,37100,37200,35500
2020-11-10,23.23,36800,1.3(3.66 %),14890,540000000,0,0,37350,37350,35500
2020-11-11,23.04,36500,-0.3(-0.82 %),4610,168000000,0,0,36800,36800,36300
2020-11-12,23.04,36500,0(0.00 %),22210,801000000,0,0,36200,36800,36000
