Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2008-02-18,10.55,42000,-1.5(-3.45 %),36020,1495000000,0,0,41400,44000,41400
2008-02-19,10.05,40000,-2(-4.76 %),16420,662000000,0,0,41000,41000,40000
2008-02-20,9.55,38000,-2(-5.00 %),27330,1039000000,0,0,38000,38100,38000
2008-02-21,9.07,36100,-1.9(-5.00 %),3310,119000000,0,0,36100,36100,36100
2008-02-22,8.62,34300,-1.8(-4.99 %),3190,109000000,0,0,34300,34300,34300
2008-02-25,8.64,34400,0.1(0.29 %),48910,1639000000,0,0,32600,35300,32600
2008-02-26,8.22,32700,-1.7(-4.94 %),24530,802000000,0,0,32700,33000,32700
2008-02-27,7.81,31100,-1.6(-4.89 %),31630,984000000,0,0,31100,32000,31100
2008-02-28,7.44,29600,-1.5(-4.82 %),29910,886000000,0,0,29600,30900,29600
2008-02-29,7.09,28200,-1.4(-4.73 %),24940,703000000,0,0,28200,28200,28200
2008-03-03,6.73,26800,-1.4(-4.96 %),7110,190548000,0,0,26800,26800,26800
2008-03-04,6.41,25500,-1.3(-4.85 %),910,23205000,0,0,25500,25500,25500
2008-03-05,6.11,24300,-1.2(-4.71 %),1600,38880000,0,0,24300,24300,24300
2008-03-06,6.41,25500,1.2(4.94 %),40480,1032240000,200000,4620000000,25500,25500,25500
2008-03-07,6.71,26700,1.2(4.71 %),52860,1410757000,0,0,26700,26700,26200
2008-03-10,6.81,27100,0.4(1.50 %),57250,1593039000,0,0,28000,28000,27100
2008-03-11,6.73,26800,-0.3(-1.11 %),11000,284850000,0,0,25800,26900,25800
2008-03-12,6.41,25500,-1.3(-4.85 %),34420,888066000,0,0,26000,26800,25500
2008-03-13,6.41,25500,0(0.00 %),11920,300100000,0,0,25200,25500,25000
2008-03-14,6.41,25500,0(0.00 %),6380,161408000,0,0,25500,25500,24600
2008-03-17,6.11,24300,-1.2(-4.71 %),8280,201204000,0,0,24300,24300,24300
2008-03-18,5.8,23100,-1.2(-4.94 %),4880,112728000,0,0,23100,23100,23100
2008-03-19,5.53,22000,-1.1(-4.76 %),24050,543850000,0,0,23100,23200,22000
2008-03-20,5.25,20900,-1.1(-5.00 %),9200,192305000,0,0,20900,21000,20900
2008-03-21,5.0,19900,-1(-4.78 %),19490,388051000,0,0,19900,20100,19900
2008-03-24,4.77,19000,-0.9(-4.52 %),11650,221350000,0,0,19000,19000,19000
2008-03-25,4.55,18100,-0.9(-4.74 %),19920,360552000,0,0,18100,18100,18100
2008-03-26,4.52,18000,-0.1(-0.55 %),30090,521340000,0,0,17200,18000,17200
2008-03-27,4.55,18100,0.1(0.56 %),8910,161271000,0,0,18100,18100,18100
2008-03-28,4.57,18200,0.1(0.55 %),5500,100100000,0,0,18200,18200,18200
2008-03-31,4.6,18300,0.1(0.55 %),240,4392000,0,0,18300,18300,18300
2008-04-01,4.62,18400,0.1(0.55 %),10,184000,0,0,18400,18400,18400
2008-04-02,4.65,18500,0.1(0.54 %),2020,37370000,0,0,18500,18500,18500
2008-04-03,4.67,18600,0.1(0.54 %),10,186000,0,0,18600,18600,18600
2008-04-04,4.7,18700,0.1(0.54 %),1020,19074000,0,0,18700,18700,18700
2008-04-07,4.77,19000,0.3(1.60 %),1000,19000000,0,0,19000,19000,19000
2008-04-08,4.85,19300,0.3(1.58 %),39450,759484000,0,0,19300,19300,18800
2008-04-09,4.9,19500,0.2(1.04 %),30280,591782000,0,0,19600,19600,19300
2008-04-10,4.82,19200,-0.3(-1.54 %),12470,239424000,0,0,19200,19200,19200
2008-04-11,4.75,18900,-0.3(-1.56 %),16440,310716000,0,0,18900,18900,18900
2008-04-16,4.67,18600,-0.3(-1.59 %),950,17670000,0,0,18600,18600,18600
2008-04-17,4.75,18900,0.3(1.61 %),52980,1001322000,0,0,18900,18900,18900
2008-04-18,4.82,19200,0.3(1.59 %),9850,189120000,0,0,19200,19200,19200
2008-04-21,4.9,19500,0.3(1.56 %),2380,46410000,0,0,19500,19500,19500
2008-04-22,4.97,19800,0.3(1.54 %),13170,260766000,0,0,19800,19800,19800
2008-04-23,4.9,19500,-0.3(-1.52 %),97950,1948336000,0,0,20000,20000,19500
2008-04-24,4.85,19300,-0.2(-1.03 %),16210,315239000,0,0,19500,19600,19300
2008-04-25,4.77,17950,-0.3(-1.69 %),29120,524547000,0,0,18100,18100,17950
2008-04-28,4.85,17800,0.3(1.71 %),17860,317698000,0,0,17800,17800,17600
2008-04-29,4.85,17800,0(0.00 %),30790,555639000,0,0,18100,18100,17800
2008-05-05,4.77,17500,-0.3(-1.69 %),15170,266899000,0,0,17700,17800,17500
2008-05-06,4.69,17200,-0.3(-1.71 %),4810,82732000,0,0,17200,17200,17200
2008-05-07,4.6,16900,-0.3(-1.74 %),1770,29928000,0,0,17200,17200,16900
2008-05-08,4.52,16600,-0.3(-1.78 %),500,8300000,0,0,16600,16600,16600
2008-05-09,4.44,16300,-0.3(-1.81 %),1200,19560000,0,0,16300,16300,16300
2008-05-12,4.36,16000,-0.3(-1.84 %),100,1600000,0,0,16000,16000,16000
2008-05-13,4.28,15700,-0.3(-1.88 %),110,1727000,0,0,15700,15700,15700
2008-05-14,4.2,15400,-0.3(-1.91 %),2210,34134000,0,0,15500,15500,15400
2008-05-15,4.11,15100,-0.3(-1.95 %),3130,47263000,0,0,15100,15100,15100
2008-05-16,4.03,14800,-0.3(-1.99 %),13120,194351000,0,0,14800,15100,14800
2008-05-19,3.98,14600,-0.2(-1.35 %),13210,192866000,0,0,14600,14600,14600
2008-05-20,3.92,14400,-0.2(-1.37 %),1700,24480000,0,0,14400,14400,14400
2008-05-21,3.87,14200,-0.2(-1.39 %),9100,129220000,0,0,14200,14200,14200
2008-05-22,3.81,14000,-0.2(-1.41 %),320,4480000,0,0,14000,14000,14000
2008-05-23,3.76,13800,-0.2(-1.43 %),2400,33120000,0,0,13800,13800,13800
2008-05-26,3.71,13600,-0.2(-1.45 %),6270,85272000,0,0,13600,13600,13600
2008-05-27,3.71,13600,0(0.00 %),0,0,0,0,13600,13600,13600
2008-05-28,3.71,13600,0(0.00 %),0,0,0,0,13600,13600,13600
2008-05-29,3.71,13600,0(0.00 %),0,0,0,0,13600,13600,13600
2008-05-30,3.65,13400,-0.2(-1.47 %),3210,43014000,0,0,13400,13400,13400
2008-06-02,3.6,13200,-0.2(-1.49 %),210,2772000,0,0,13200,13200,13200
2008-06-03,3.54,13000,-0.2(-1.52 %),10,130000,0,0,13000,13000,13000
2008-06-04,3.49,12800,-0.2(-1.54 %),5280,67584000,0,0,12800,12800,12800
2008-06-05,3.43,12600,-0.2(-1.56 %),1160,14616000,0,0,12600,12600,12600
2008-06-06,3.38,12400,-0.2(-1.59 %),1150,14260000,0,0,12400,12400,12400
2008-06-09,3.32,12200,-0.2(-1.61 %),790,9638000,0,0,12200,12200,12200
2008-06-10,3.27,12000,-0.2(-1.64 %),120,1440000,0,0,12000,12000,12000
2008-06-11,3.32,12200,0.2(1.67 %),32850,391916000,0,0,11800,12200,11800
2008-06-12,3.38,12400,0.2(1.64 %),26860,333064000,0,0,12400,12400,12400
2008-06-13,3.43,12600,0.2(1.61 %),34200,426820000,0,0,12400,12600,12400
2008-06-16,3.49,12800,0.2(1.59 %),8750,112000000,0,0,12800,12800,12800
2008-06-17,3.54,13000,0.2(1.56 %),6000,78000000,0,0,13000,13000,13000
2008-06-18,3.49,12800,-0.2(-1.54 %),42170,554576000,0,0,13200,13200,12800
2008-06-19,3.41,12500,-0.3(-2.34 %),4820,60250000,0,0,12500,12500,12500
2008-06-20,3.32,12200,-0.3(-2.40 %),4370,53314000,0,0,12200,12200,12200
2008-06-23,3.27,12000,-0.2(-1.64 %),35660,426437000,0,0,11900,12500,11900
2008-06-24,3.35,12300,0.3(2.50 %),13300,161400000,0,0,12000,12300,12000
2008-06-25,3.43,12600,0.3(2.44 %),12120,149644000,0,0,12100,12600,12100
2008-06-26,3.43,12600,0(0.00 %),10000,123066000,0,0,12300,12600,12300
2008-06-27,3.43,12600,0(0.00 %),8940,110094000,0,0,12300,12600,12300
2008-06-30,3.35,12300,-0.3(-2.38 %),21220,262746000,0,0,12400,12600,12300
2008-07-01,3.43,12600,0.3(2.44 %),15520,192786000,0,0,12300,12600,12300
2008-07-02,3.51,12900,0.3(2.38 %),40730,525387000,0,0,12900,12900,12600
2008-07-03,3.6,13200,0.3(2.33 %),29580,390256000,0,0,13200,13200,13100
2008-07-04,3.68,13500,0.3(2.27 %),18820,254070000,0,0,13500,13500,13500
2008-07-07,3.57,13100,-0.4(-2.96 %),53360,741304000,0,0,13900,13900,13100
2008-07-08,3.49,12800,-0.3(-2.29 %),15570,199296000,0,0,12800,12800,12800
2008-07-09,3.57,13100,0.3(2.34 %),23970,311707000,0,0,12800,13100,12800
2008-07-10,3.65,13400,0.3(2.29 %),35940,481576000,0,0,13400,13400,13300
2008-07-11,3.76,13800,0.4(2.99 %),18300,252540000,0,0,13800,13800,13800
2008-07-14,3.87,14200,0.4(2.90 %),4520,64184000,0,0,14200,14200,14200
2008-07-15,3.98,14600,0.4(2.82 %),4600,67160000,0,0,14600,14600,14600
2008-07-16,3.98,14600,0(0.00 %),55520,798348000,0,0,14200,14600,14200
2008-07-17,4.09,15000,0.4(2.74 %),61530,910091000,0,0,14600,15000,14200
2008-07-18,3.98,14600,-0.4(-2.67 %),8270,123182000,0,0,15000,15000,14600
2008-07-21,3.87,14200,-0.4(-2.74 %),560,7952000,0,0,14200,14200,14200
2008-07-22,3.76,13800,-0.4(-2.82 %),1410,19458000,0,0,13800,13800,13800
2008-07-23,3.65,13400,-0.4(-2.90 %),40,536000,0,0,13800,13800,13400
2008-07-24,3.54,13000,-0.4(-2.99 %),1210,15730000,0,0,13000,13000,13000
2008-07-25,3.46,12700,-0.3(-2.31 %),8000,101600000,0,0,12700,12700,12700
2008-07-28,3.41,12500,-0.2(-1.57 %),55550,689063000,0,0,12400,12500,12400
2008-07-29,3.49,12800,0.3(2.40 %),5780,73984000,0,0,12800,12800,12800
2008-07-30,3.51,12900,0.1(0.78 %),9720,124486000,0,0,13100,13100,12500
2008-07-31,3.49,12800,-0.1(-0.78 %),4510,57369000,0,0,12600,12900,12600
2008-08-01,3.41,12500,-0.3(-2.34 %),2260,28250000,0,0,12500,12500,12500
2008-08-04,3.32,12200,-0.3(-2.40 %),900,10980000,0,0,12200,12200,12200
2008-08-05,3.24,11900,-0.3(-2.46 %),5430,64617000,0,0,11900,11900,11900
