Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2018-01-05,39.83,57700,3.7(6.85 %),8700,502000000,30000,1731000000,57700,57700,57700
2018-01-08,42.59,61700,4(6.93 %),150720,9299000000,0,0,61700,61700,61700
2018-01-09,45.56,66000,4.3(6.97 %),223230,14733000000,20000,1234000000,66000,66000,66000
2018-01-10,48.74,70600,4.6(6.97 %),173190,12227000000,0,0,70600,70600,70600
2018-01-11,45.36,65700,-4.9(-6.94 %),203460,13815000000,0,0,68000,70600,65700
2018-01-12,45.56,66000,0.3(0.46 %),234850,15313520000,0,0,69000,69000,65000
2018-01-15,44.39,64300,-1.7(-2.58 %),63550,4134130000,0,0,66000,66500,63900
2018-01-16,44.25,64100,-0.2(-0.31 %),126190,7998000000,0,0,63100,64100,62400
2018-01-17,45.01,65200,1.1(1.72 %),106720,7043000000,0,0,66000,67000,65000
2018-01-18,44.66,64700,-0.5(-0.77 %),118340,7615000000,0,0,65000,65000,61800
2018-01-19,44.8,64900,0.2(0.31 %),159450,10239000000,0,0,64700,65300,63000
2018-01-22,45.7,66200,1.3(2.00 %),295680,19563000000,0,0,64900,66500,64900
2018-01-25,45.91,66500,0.3(0.45 %),278640,18337000000,0,0,67000,67000,65000
2018-01-26,45.84,66400,-0.1(-0.15 %),163520,10874000000,200000,13300000000,66700,66800,66000
2018-01-29,45.42,65800,-0.6(-0.90 %),269020,16986000000,0,0,63000,66300,62800
2018-01-30,44.94,65100,-0.7(-1.06 %),354390,22957000000,150000,9750000000,64000,65800,63500
2018-01-31,45.49,65900,0.8(1.23 %),116870,7703000000,0,0,67000,67000,65700
2018-02-01,47.5,68800,2.9(4.40 %),471760,31947000000,100000,6700000000,66500,68800,66000
2018-02-02,48.12,69700,0.9(1.31 %),322370,22448000000,0,0,70000,70000,68800
2018-02-05,47.36,68600,-1.1(-1.58 %),193730,13319970000,0,0,69300,69300,68200
2018-02-06,44.39,64300,-4.3(-6.27 %),280640,18019000000,0,0,64300,66800,63800
2018-02-07,45.91,66500,2.2(3.42 %),252300,16471220000,50000,3275000000,66300,66500,65100
2018-02-08,46.25,67000,0.5(0.75 %),186020,12499000000,0,0,66500,67500,65500
2018-02-09,45.29,65600,-1.4(-2.09 %),175110,11474000000,0,0,65000,65800,64000
2018-02-12,46.32,67100,1.5(2.29 %),135440,9082000000,0,0,66500,69900,66400
2018-02-13,46.87,67900,0.8(1.19 %),122540,8284000000,0,0,69000,69000,67300
2018-02-21,49.15,71200,3.3(4.86 %),179470,12704000000,0,0,68500,72000,68500
2018-02-22,49.22,71300,0.1(0.14 %),161180,11543000000,0,0,72000,72000,70000
2018-02-23,49.7,72000,0.7(0.98 %),172900,12411000000,0,0,72000,72000,71500
2018-02-26,49.7,72000,0(0.00 %),145310,10511000000,60000,4410000000,72000,73600,71000
2018-02-27,49.43,71600,-0.4(-0.56 %),159690,11418000000,0,0,72200,72200,71100
2018-02-28,49.43,71600,0(0.00 %),198250,14164000000,0,0,71600,71600,71200
2018-03-01,49.7,72000,0.4(0.56 %),422090,30369000000,200000,14100000000,72000,72200,71600
2018-03-02,53.02,76800,4.8(6.67 %),377660,27599000000,0,0,71800,77000,71600
2018-03-05,54.54,79000,2.2(2.86 %),186220,14788000000,400000,31600000000,78000,80000,78000
2018-03-06,54.33,78700,-0.3(-0.38 %),123950,9682000000,299000,23470000000,79000,79000,77300
2018-03-07,54.12,78400,-0.3(-0.38 %),166610,13258000000,0,0,78700,82000,77800
2018-03-08,55.92,81000,2.6(3.32 %),187690,14928000000,0,0,79000,81000,78400
2018-03-09,58.61,84900,3.9(4.81 %),219610,18575000000,0,0,81500,85300,81500
2018-03-12,57.44,83200,-1.7(-2.00 %),125910,10684000000,0,0,83200,86000,83200
2018-03-13,57.23,82900,-0.3(-0.36 %),155190,12797000000,0,0,83000,83800,81000
2018-03-14,57.64,83500,0.6(0.72 %),138290,11560000000,0,0,83700,84200,82900
2018-03-15,53.64,77700,-5.8(-6.95 %),321820,25832000000,0,0,84000,84000,77700
2018-03-16,56.61,82000,4.3(5.53 %),228160,18132000000,0,0,82000,82000,77500
2018-03-19,56.19,81400,-0.6(-0.73 %),124120,10134000000,400000,32200000000,82900,82900,80300
2018-03-20,56.61,82000,0.6(0.74 %),152330,12450000000,0,0,81900,82400,80100
2018-03-21,52.81,76500,-5.5(-6.71 %),245380,19377000000,0,0,80300,82500,76500
2018-03-22,53.16,77000,0.5(0.65 %),173020,13249000000,0,0,79000,79000,74600
2018-03-23,53.02,76800,-0.2(-0.26 %),116420,8814000000,0,0,73000,77000,73000
2018-03-26,53.57,77600,0.8(1.04 %),128920,9965000000,0,0,76800,77700,76700
2018-03-27,56.61,82000,4.4(5.67 %),154960,12339000000,0,0,79500,82000,79000
2018-03-28,55.71,80700,-1.3(-1.59 %),143580,11693000000,0,0,82500,82500,79000
2018-03-29,55.23,80000,-0.7(-0.87 %),118090,9445000000,0,0,81000,81300,79000
2018-03-30,55.23,80000,0(0.00 %),112340,8947000000,0,0,80300,80400,78000
2018-04-02,55.09,79800,-0.2(-0.25 %),139790,11133000000,0,0,80000,80000,79100
2018-04-03,55.57,80500,0.7(0.88 %),185980,14962000000,0,0,80000,81900,80000
2018-04-04,55.85,80900,0.4(0.50 %),175870,14152000000,0,0,81700,81700,80000
2018-04-05,55.85,80900,0(0.00 %),146820,11819000000,0,0,81900,81900,80000
2018-04-06,56.19,81400,0.5(0.62 %),160160,12980000000,20000,1640000000,81400,81500,80900
2018-04-09,55.78,80800,-0.6(-0.74 %),135170,10933000000,0,0,81900,82000,80000
2018-04-10,55.3,80100,-0.7(-0.87 %),115720,9292000000,0,0,81000,81000,80000
2018-04-11,53.78,77900,-2.2(-2.75 %),228580,18012000000,0,0,80700,80700,77500
2018-04-12,53.43,77400,-0.5(-0.64 %),138310,10696000000,0,0,77900,77900,77000
2018-04-13,54.05,78300,0.9(1.16 %),353340,27152000000,0,0,76300,79000,76300
2018-04-16,54.54,79000,0.7(0.89 %),104460,8245000000,0,0,79200,79500,78500
2018-04-17,55.23,80000,1(1.27 %),257250,20578000000,0,0,79900,80500,79800
2018-04-18,56.06,81200,1.2(1.50 %),225770,18305000000,20260,1661320000,80500,81400,80100
2018-04-19,56.61,82000,0.8(0.99 %),238130,19618000000,0,0,81500,84400,81200
2018-04-20,56.95,82500,0.5(0.61 %),106250,8772000000,0,0,83500,83500,82300
2018-04-23,56.61,82000,-0.5(-0.61 %),164650,13485000000,0,0,83000,83500,80000
2018-04-24,56.95,82500,0.5(0.61 %),149860,12268000000,0,0,82000,82500,81000
2018-04-26,56.54,81900,-0.6(-0.73 %),122900,10164000000,0,0,83500,83700,81500
2018-04-27,56.61,82000,0.1(0.12 %),140120,11417000000,0,0,81500,82000,80500
2018-05-02,56.26,81500,-0.5(-0.61 %),101420,8303000000,0,0,81500,83000,80500
2018-05-03,56.26,81500,0(0.00 %),103170,8366000000,0,0,82000,82000,80100
2018-05-04,56.19,81400,-0.1(-0.12 %),83030,6760000000,0,0,82000,82700,81000
2018-05-07,54.88,79500,-1.9(-2.33 %),85350,6799000000,0,0,81400,81500,78000
2018-05-08,52.12,75500,-4(-5.03 %),118110,9072000000,0,0,79000,79000,75500
2018-05-09,50.74,73500,-2(-2.65 %),140310,10271000000,0,0,75000,75000,72500
2018-05-10,49.01,71000,-2.5(-3.40 %),111260,8021000000,0,0,72100,73400,71000
2018-05-11,48.32,70000,-1(-1.41 %),72350,5000000000,0,0,71000,71000,68000
2018-05-14,49.01,71000,1(1.43 %),75220,5299000000,0,0,70000,71500,69800
2018-05-15,48.39,70100,-0.9(-1.27 %),90040,6353000000,0,0,70000,71200,70000
2018-05-16,47.7,69100,-1(-1.43 %),91730,6359000000,0,0,69300,70000,69000
2018-05-17,48.12,69700,0.6(0.87 %),43170,3011000000,0,0,70000,70300,69600
2018-05-18,48.32,70000,0.3(0.43 %),53280,3718000000,0,0,70000,70100,69600
2018-05-21,47.98,69500,-0.5(-0.71 %),65640,4583000000,0,0,68500,70200,68500
2018-05-22,46.6,67500,-2(-2.88 %),70850,4843000000,0,0,69500,69500,67500
2018-05-23,46.18,66900,-0.6(-0.89 %),57130,3798000000,0,0,67000,67000,66000
2018-05-24,45.56,66000,-0.9(-1.35 %),60480,4011000000,0,0,65500,66500,65500
2018-05-25,45.01,65200,-0.8(-1.21 %),84480,5498000000,0,0,65500,65500,64300
2018-05-28,43.49,63000,-2.2(-3.37 %),93020,5933000000,0,0,64000,64200,63000
2018-05-29,40.73,59000,-4(-6.35 %),171350,10584000000,0,0,63000,63100,59000
2018-05-30,43.56,63100,4.1(6.95 %),62050,3890000000,0,0,59300,63100,59300
2018-05-31,44.73,64800,1.7(2.69 %),52930,3471000000,0,0,63100,66400,63100
2018-06-01,47.84,69300,4.5(6.94 %),91370,6132000000,0,0,61800,69300,61800
2018-06-04,47.98,69500,0.2(0.29 %),80290,5575000000,0,0,69900,69900,68000
2018-06-05,47.43,68700,-0.8(-1.15 %),140830,9699000000,0,0,68500,69300,68200
2018-06-06,47.29,68500,-0.2(-0.29 %),80910,5520000000,0,0,69000,69000,67500
2018-06-07,47.36,68600,0.1(0.15 %),68740,4715000000,0,0,69000,69900,68000
2018-06-08,46.39,67200,-1.4(-2.04 %),96500,6496000000,0,0,68600,68600,66900
2018-06-11,46.05,66700,-0.5(-0.74 %),73340,4881000000,0,0,68200,68200,66000
2018-06-12,45.56,66000,-0.7(-1.05 %),81340,5352000000,0,0,66100,66500,65100
2018-06-13,46.18,66900,0.9(1.36 %),71040,4752000000,0,0,68000,68000,65600
2018-06-14,46.18,66900,0(0.00 %),116820,7824000000,0,0,67300,67700,66000
2018-06-15,46.25,67000,0.1(0.15 %),51190,3430000000,0,0,67500,67800,66500
2018-06-18,46.25,65000,0(0.00 %),59800,3878000000,0,0,67000,67000,62300
2018-06-19,43.62,61300,-3.7(-5.69 %),57360,3553000000,0,0,65000,65000,61000
2018-06-20,45.19,63500,2.2(3.59 %),60870,3805000000,0,0,62000,64000,61500
2018-06-21,45.47,63900,0.4(0.63 %),90220,5686000000,0,0,64200,64500,61000
2018-06-22,45.4,63800,-0.1(-0.16 %),57950,3689000000,0,0,64000,64000,62000
2018-06-25,44.97,63200,-0.6(-0.94 %),53540,3382000000,0,0,64000,64000,62700
2018-06-26,44.83,63000,-0.2(-0.32 %),62820,3939000000,0,0,64000,64000,62100
2018-06-27,44.97,63200,0.2(0.32 %),63680,4023000000,0,0,63500,63500,63000
2018-06-28,44.76,62900,-0.3(-0.47 %),58360,3668000000,0,0,63500,63500,62400
2018-06-29,44.76,62900,0(0.00 %),60000,3768000000,0,0,63500,63500,62300
2018-07-02,44.48,62500,-0.4(-0.64 %),71800,4481000000,0,0,63200,63200,61800
2018-07-03,44.12,62000,-0.5(-0.80 %),92360,5717000000,0,0,62500,62500,61000
2018-07-04,44.4,62400,0.4(0.65 %),68840,4262000000,0,0,62000,62600,61100
2018-07-05,44.4,62400,0(0.00 %),59910,3726000000,0,0,61800,62500,61800
2018-07-06,44.4,62400,0(0.00 %),68930,4279000000,0,0,62200,62400,61800
2018-07-09,44.76,62900,0.5(0.80 %),68460,4310000000,0,0,62400,63500,62000
2018-07-10,44.83,63000,0.1(0.16 %),60290,3802000000,0,0,63000,63400,62900
2018-07-11,44.26,62200,-0.8(-1.27 %),54950,3421000000,0,0,62300,63000,61800
2018-07-12,43.41,61000,-1.2(-1.93 %),126380,7754000000,0,0,61000,63400,59000
2018-07-13,43.55,61200,0.2(0.33 %),55100,3401000000,0,0,61000,63000,57000
2018-07-16,43.55,61200,0(0.00 %),51320,3151000000,0,0,61800,62000,61200
2018-07-17,43.62,61300,0.1(0.16 %),55530,3399000000,0,0,61200,61500,61000
2018-07-18,43.76,61500,0.2(0.33 %),51800,3197000000,0,0,61400,62500,61200
2018-07-19,43.27,60800,-0.7(-1.14 %),54330,3324000000,0,0,61900,61900,60500
2018-07-20,43.27,60800,0(0.00 %),64000,3896000000,0,0,61800,61800,60500
2018-07-23,43.55,61200,0.4(0.66 %),50120,3062000000,0,0,61200,61800,60600
2018-07-24,43.76,61500,0.3(0.49 %),51990,3183000000,0,0,60900,61500,60900
2018-07-25,44.33,62300,0.8(1.30 %),61350,3797000000,0,0,61500,62300,61500
2018-07-26,44.76,62900,0.6(0.96 %),57380,3609000000,0,0,62500,63200,62500
2018-07-27,44.83,63000,0.1(0.16 %),70940,4463000000,0,0,63000,63200,62500
2018-07-30,44.83,63000,0(0.00 %),54550,3424000000,0,0,63000,63000,62200
2018-07-31,44.62,62700,-0.3(-0.48 %),53490,3342000000,0,0,62500,62900,62100
2018-08-01,44.76,62900,0.2(0.32 %),70310,4381000000,0,0,62300,62900,61900
2018-08-02,44.62,62700,-0.2(-0.32 %),52300,3280000000,0,0,62500,63200,62400
2018-08-03,44.62,62700,0(0.00 %),51420,3208000000,0,0,63000,63000,62000
2018-08-06,44.69,62800,0.1(0.16 %),80250,4985000000,0,0,62000,63000,61500
2018-08-07,47.61,66900,4.1(6.53 %),255960,16777000000,0,0,63000,67000,63000
2018-08-08,46.25,65000,-1.9(-2.84 %),109180,7257000000,0,0,66900,67700,64600
2018-08-09,46.25,65000,0(0.00 %),102890,6727000000,0,0,65000,66000,64700
2018-08-10,45.76,64300,-0.7(-1.08 %),102800,6558000000,0,0,64800,65000,63000
2018-08-13,44.69,62800,-1.5(-2.33 %),88960,5661000000,0,0,64400,64800,62600
2018-08-14,45.47,63900,1.1(1.75 %),80880,5098000000,0,0,62800,64000,62300
2018-08-15,45.12,63400,-0.5(-0.78 %),86700,5495000000,0,0,64300,64300,62500
2018-08-16,44.97,63200,-0.2(-0.32 %),69790,4420000000,0,0,64500,64500,62500
2018-08-17,45.05,63300,0.1(0.16 %),74260,4696000000,0,0,64000,64000,62700
2018-08-20,45.12,63400,0.1(0.16 %),71810,4560000000,0,0,63900,63900,63300
2018-08-21,45.19,63500,0.1(0.16 %),69390,4372000000,0,0,63900,63900,62500
2018-08-22,45.19,63500,0(0.00 %),96360,6067000000,0,0,63000,63600,62000
2018-08-23,43.91,61700,-1.8(-2.83 %),61540,3826000000,0,0,63000,63100,61400
2018-08-24,44.12,62000,0.3(0.49 %),56790,3499000000,0,0,61700,62000,61500
2018-08-27,44.26,62200,0.2(0.32 %),58630,3639000000,0,0,62000,62500,61700
2018-08-28,44.48,62500,0.3(0.48 %),71390,4430000000,0,0,62700,62800,61700
2018-08-29,44.33,62300,-0.2(-0.32 %),62260,3855000000,0,0,62900,62900,61700
2018-08-30,44.62,62700,0.4(0.64 %),61290,3832000000,0,0,62400,63000,62100
2018-08-31,44.48,62500,-0.2(-0.32 %),59620,3722000000,0,0,62800,62800,61900
2018-09-04,43.76,61500,-1(-1.60 %),54940,3408000000,0,0,63000,63000,61500
2018-09-05,44.26,62200,0.7(1.14 %),50880,3163000000,0,0,61500,62400,61500
2018-09-06,44.26,62200,0(0.00 %),50070,3112000000,0,0,62500,62500,62000
2018-09-07,44.26,62200,0(0.00 %),56310,3504000000,0,0,62300,62400,61500
2018-09-10,44.4,62400,0.2(0.32 %),51430,3202000000,0,0,62400,62400,61300
2018-09-11,44.33,62300,-0.1(-0.16 %),52210,3247000000,0,0,62300,62400,61900
2018-09-12,44.4,62400,0.1(0.16 %),59970,3736000000,0,0,62400,62400,62100
2018-09-13,43.91,61700,-0.7(-1.12 %),55440,3438000000,0,0,62400,62400,61500
2018-09-14,43.69,61400,-0.3(-0.49 %),59050,3636000000,0,0,62500,62500,61400
2018-09-17,43.55,61200,-0.2(-0.33 %),51540,3147000000,0,0,61400,61600,60700
2018-09-18,43.62,61300,0.1(0.16 %),55030,3370000000,0,0,61200,61900,60700
2018-09-19,43.69,61400,0.1(0.16 %),52700,3210000000,0,0,60800,62000,60500
2018-09-20,44.33,62300,0.9(1.47 %),60390,3702000000,0,0,61400,62400,60800
2018-09-21,44.48,62500,0.2(0.32 %),51010,3183000000,0,0,62300,62600,62300
2018-09-24,44.62,62700,0.2(0.32 %),56980,3571000000,0,0,62500,62800,62500
2018-09-25,44.76,62900,0.2(0.32 %),55090,3459000000,0,0,62900,62900,62600
2018-09-26,44.76,62900,0(0.00 %),55210,3469000000,0,0,63000,63100,62400
2018-09-27,44.97,63200,0.3(0.48 %),69340,4375000000,0,0,63000,63300,62800
2018-09-28,46.25,65000,1.8(2.85 %),139230,9052000000,0,0,64000,65600,63800
2018-10-01,46.97,66000,1(1.54 %),120530,8018000000,0,0,66500,67200,65500
2018-10-02,47.39,66600,0.6(0.91 %),130840,8703000000,0,0,66000,66900,66000
2018-10-03,47.96,67400,0.8(1.20 %),111510,7488000000,0,0,67200,67400,66900
2018-10-04,47.32,66500,-0.9(-1.34 %),130840,8825000000,0,0,67900,68000,66500
2018-10-05,47.32,66500,0(0.00 %),108540,7220000000,0,0,67000,67000,66200
2018-10-08,46.61,65500,-1(-1.50 %),120990,8019000000,0,0,66800,66800,65500
2018-10-09,46.25,65000,-0.5(-0.76 %),100400,6561000000,0,0,65500,65600,65000
2018-10-10,47.39,66600,1.6(2.46 %),133520,8729000000,0,0,65200,66600,65000
2018-10-11,46.97,66000,-0.6(-0.90 %),92130,6012000000,0,0,66000,66000,64800
2018-10-12,47.32,66500,0.5(0.76 %),104070,6826000000,0,0,65200,66500,64800
2018-10-15,48.1,67600,1.1(1.65 %),108220,7242000000,0,0,66500,67700,66400
2018-10-16,48.96,68800,1.2(1.78 %),121880,8346000000,0,0,67800,68800,67800
2018-10-17,49.67,69800,1(1.45 %),115570,8032000000,0,0,68800,69900,68800
2018-10-18,49.6,69700,-0.1(-0.14 %),91670,6379000000,0,0,69800,69900,69300
2018-10-19,49.46,69500,-0.2(-0.29 %),106900,7355000000,0,0,69300,69500,68200
2018-10-22,50.17,70500,1(1.44 %),123180,8636000000,0,0,69700,70900,69000
2018-10-23,48.67,68400,-2.1(-2.98 %),87950,6043000000,0,0,70600,70600,67500
2018-10-24,49.03,68900,0.5(0.73 %),104150,7142000000,0,0,68500,68900,68400
2018-10-25,48.39,68000,-0.9(-1.31 %),110770,7365000000,0,0,66000,68000,65700
2018-10-26,48.32,67900,-0.1(-0.15 %),90400,6147000000,0,0,68300,68600,67500
2018-10-29,46.97,66000,-1.9(-2.80 %),113860,7650000000,0,0,67900,67900,66000
2018-10-30,46.61,65500,-0.5(-0.76 %),131100,8661000000,0,0,66000,66700,64500
2018-10-31,46.75,65700,0.2(0.31 %),98390,6451000000,0,0,65500,66000,65000
2018-11-01,46.68,65600,-0.1(-0.15 %),92050,6044000000,0,0,65700,66400,65000
2018-11-02,46.82,65800,0.2(0.30 %),97960,6433000000,0,0,65600,65900,65100
2018-11-05,47.18,66300,0.5(0.76 %),108180,7179000000,0,0,65800,66600,65800
2018-11-06,46.25,65000,-1.3(-1.96 %),118370,7830000000,0,0,66800,67200,65000
2018-11-07,46.25,65000,0(0.00 %),165730,10824000000,0,0,65000,66000,64800
2018-11-08,46.54,65400,0.4(0.62 %),149090,9703000000,0,0,65000,65500,64800
2018-11-09,46.68,65600,0.2(0.31 %),102960,6737000000,0,0,65400,65800,65100
2018-11-12,46.82,65800,0.2(0.30 %),94610,6187000000,0,0,65600,65800,65100
2018-11-13,46.25,65000,-0.8(-1.22 %),113280,7386000000,0,0,65800,65900,64900
2018-11-14,46.25,65000,0(0.00 %),86660,5654000000,0,0,65200,65600,64800
2018-11-15,45.9,64500,-0.5(-0.77 %),143950,9341000000,0,0,65500,66100,63800
2018-11-16,45.19,63500,-1(-1.55 %),87730,5630000000,0,0,64500,65000,63500
2018-11-19,45.83,64400,0.9(1.42 %),90840,5857000000,0,0,63500,64800,63200
2018-11-20,46.04,64700,0.3(0.47 %),170840,11017000000,0,0,64900,64900,64200
2018-11-21,46.33,65100,0.4(0.62 %),209300,13565000000,0,0,64800,65200,64700
2018-11-22,46.61,65500,0.4(0.61 %),230270,15018000000,0,0,65300,65700,65000
2018-11-23,46.61,65500,0(0.00 %),128840,8408000000,0,0,65600,65600,65100
2018-11-26,46.82,65800,0.3(0.46 %),179400,11761000000,0,0,65500,66000,65200
2018-11-27,46.97,66000,0.2(0.30 %),126980,8378000000,0,0,66000,66200,65600
2018-11-28,48.39,68000,2(3.03 %),247600,16624000000,0,0,66000,68000,66000
2018-11-29,49.39,69400,1.4(2.06 %),232830,16168000000,0,0,68100,70200,68100
2018-11-30,49.6,69700,0.3(0.43 %),138610,9655000000,0,0,69400,70000,69000
2018-12-03,49.46,69500,-0.2(-0.29 %),111250,7720000000,0,0,69900,69900,69100
2018-12-04,49.03,68900,-0.6(-0.86 %),110330,7608000000,0,0,69500,69700,68000
2018-12-05,48.75,68500,-0.4(-0.58 %),101470,6945000000,0,0,68900,68900,68000
2018-12-06,49.31,69300,0.8(1.17 %),97850,6771000000,0,0,68500,69700,68500
2018-12-07,49.39,69400,0.1(0.14 %),96270,6672000000,0,0,69300,69500,69200
2018-12-10,49.17,69100,-0.3(-0.43 %),106390,7342000000,0,0,69100,69200,68900
2018-12-11,49.24,69200,0.1(0.14 %),105660,7296000000,0,0,69100,69200,68900
2018-12-12,49.53,69600,0.4(0.58 %),103150,7143000000,0,0,69200,69700,69000
2018-12-13,49.67,69800,0.2(0.29 %),121840,8488000000,0,0,69600,69800,69500
2018-12-14,49.96,70200,0.4(0.57 %),132460,9340000000,772200,50579100000,70000,71000,70000
2018-12-17,49.74,69900,-0.3(-0.43 %),111770,7808000000,0,0,70200,70200,69600
2018-12-18,50.45,70900,1(1.43 %),330390,23108000000,0,0,69900,70900,69300
2018-12-19,50.03,70300,-0.6(-0.85 %),124100,8789000000,0,0,71200,71300,70000
2018-12-20,50.24,70600,0.3(0.43 %),115790,8146000000,0,0,70300,70600,70000
2018-12-21,50.24,70600,0(0.00 %),92430,6530000000,1067200,74704000000,70600,70800,70400
2018-12-24,49.81,70000,-0.6(-0.85 %),185200,12979000000,702200,49154000000,70700,70700,69900
2018-12-25,49.1,69000,-1(-1.43 %),141370,9859000000,270000,18900000000,70000,70400,69000
2018-12-26,49.24,69200,0.2(0.29 %),85070,5872000000,0,0,69000,69300,68800
2018-12-27,49.03,68900,-0.3(-0.43 %),77100,5316000000,0,0,69200,69500,68200
2018-12-28,49.24,69200,0.3(0.44 %),85050,5840000000,0,0,68900,69200,68300
2019-01-02,49.24,69200,0(0.00 %),75820,5218000000,0,0,69200,69500,68500
2019-01-03,49.1,69000,-0.2(-0.29 %),70010,4835000000,0,0,69200,69400,68600
2019-01-04,49.1,69000,0(0.00 %),74020,5079000000,0,0,69000,69000,68000
2019-01-07,49.31,69300,0.3(0.43 %),69760,4825000000,0,0,69000,69400,69000
