Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2021-12-06,9.84,25650,1.65(6.87 %),200,5000000,0,0,25650,25650,25650
2021-12-07,10.51,27400,1.75(6.82 %),400,10000000,0,0,27400,27400,27400
2021-12-08,11.24,29300,1.9(6.93 %),5200,152000000,0,0,29300,29300,29300
2021-12-09,12.03,31350,2.05(7.00 %),2200,68000000,0,0,31350,31350,31350
2021-12-10,12.85,33500,2.15(6.86 %),33200,1112000000,0,0,33500,33500,33500
2021-12-13,13.73,35800,2.3(6.87 %),5200,186000000,0,0,35800,35800,35800
2021-12-14,14.69,38300,2.5(6.98 %),156800,6005000000,1223700,46507710000,38300,38300,38300
2021-12-15,15.71,40950,2.65(6.92 %),914200,37390000000,170000,6800000000,40950,40950,40000
2021-12-16,16.8,43800,2.85(6.96 %),888600,38908000000,0,0,43800,43800,43600
2021-12-17,16.5,43000,-0.8(-1.83 %),2709700,124858000000,0,0,46800,46850,43000
2021-12-20,16.42,42800,-0.2(-0.47 %),1388900,59016000000,0,0,42800,43400,41600
2021-12-21,16.09,41950,-0.85(-1.99 %),1237100,52482000000,0,0,43000,43600,41500
2021-12-22,16.19,42200,0.2(0.48 %),1718000,72493000000,0,0,42000,42600,41700
2021-12-23,16.23,42300,0.1(0.24 %),970700,41163000000,0,0,42000,43500,42000
2021-12-24,16.4,42750,0.45(1.06 %),1133100,48522000000,0,0,43500,44000,42300
2021-12-27,17.07,44500,1.7(3.97 %),880900,38648000000,0,0,43000,45700,43000
2021-12-28,16.88,44000,-0.5(-1.12 %),1241200,54724000000,0,0,46200,46200,43550
2021-12-29,16.31,42500,-1.5(-3.41 %),690500,30225000000,0,0,44200,44500,42500
2021-12-30,16.27,42400,-0.1(-0.24 %),1026400,43922000000,0,0,42700,43400,42300
2021-12-31,15.77,41100,-1.3(-3.07 %),1539000,65194000000,0,0,42900,43100,41100
2022-01-04,16.86,43950,2.85(6.93 %),17419300,698871000000,0,0,41200,43950,40000
2022-01-05,18.03,47000,3(6.82 %),122800,5771000000,0,0,47000,47000,47000
2022-01-06,19.26,50200,3.2(6.81 %),3017500,151417000000,0,0,50200,50200,48500
2022-01-07,20.6,53700,3.5(6.97 %),1781200,92330000000,0,0,50500,53700,49800
2022-01-10,20.83,54300,0.6(1.12 %),1540400,83559000000,0,0,54300,55400,53000
2022-01-11,20.45,53300,-1(-1.84 %),1317000,70853000000,0,0,54400,54800,53000
2022-01-12,21.87,57000,3.7(6.94 %),2089800,116682000000,0,0,53300,57000,53000
2022-01-13,23.36,60900,3.9(6.84 %),3293400,198698000000,0,0,58000,60900,58000
2022-01-14,23.06,60100,-0.8(-1.31 %),2041400,123467000000,0,0,60900,61200,59400
2022-01-17,22.83,59500,-0.6(-1.00 %),2034300,120025000000,0,0,60100,60600,56900
2022-01-18,23.02,60000,0.5(0.84 %),1882500,113053000000,0,0,59000,61300,58000
2022-01-19,23.25,60600,0.6(1.00 %),2574000,156837000000,0,0,61000,62000,60000
2022-01-20,22.75,59300,-1.7(-2.79 %),1707900,102953000000,0,0,60500,61500,58600
2022-01-21,22.37,58300,-1.3(-2.18 %),1385500,81336000000,0,0,58500,59500,58000
2022-01-24,20.83,54300,-4(-6.86 %),1098500,60074000000,0,0,57900,57900,54300
2022-01-25,21.1,55000,0.7(1.29 %),3022400,159469000000,0,0,52000,55200,50500
2022-01-26,20.87,54400,-0.6(-1.09 %),1282600,70851000000,0,0,55500,56200,53500
2022-01-27,20.68,53900,-0.5(-0.92 %),925900,49838000000,0,0,54000,54700,52300
2022-01-28,20.64,53800,-0.1(-0.19 %),888400,46534000000,0,0,53400,53800,51000
2022-02-07,21.1,55000,1.2(2.23 %),909900,49711000000,0,0,54100,55000,54100
2022-02-08,21.29,55500,0.5(0.91 %),1541700,85607000000,0,0,55400,56400,54000
2022-02-09,20.91,54500,-1(-1.80 %),1148500,63311000000,0,0,55800,56100,54200
2022-02-10,21.25,55400,0.9(1.65 %),1010000,55206000000,0,0,54500,55500,54000
2022-02-11,21.1,55000,-0.4(-0.72 %),948400,52312000000,0,0,55800,55800,54000
2022-02-14,21.02,54800,-0.2(-0.36 %),993200,54217000000,0,0,54000,55400,54000
2022-02-15,20.76,54100,-0.7(-1.28 %),730700,39972000000,0,0,55500,55600,54100
2022-02-16,21.79,56800,2.7(4.99 %),2275600,126131000000,0,0,54400,56800,54000
2022-02-17,22.6,58900,2.1(3.70 %),1763900,103289000000,0,0,57000,59600,57000
2022-02-18,22.25,58000,-0.9(-1.53 %),1412800,82297000000,0,0,58900,60000,57200
2022-02-21,21.87,57000,-1(-1.72 %),1033000,59187000000,0,0,58000,58200,56400
2022-02-22,21.1,55000,-2(-3.51 %),985400,54544000000,0,0,56500,56500,54900
2022-02-23,21.68,56500,1.5(2.73 %),1353700,75795000000,0,0,55000,57100,54400
2022-02-24,21.6,56300,-0.2(-0.35 %),1402100,78098000000,0,0,56200,56500,55000
2022-02-25,22.21,57900,1.6(2.84 %),1958200,112654000000,0,0,56600,58300,56400
2022-02-28,21.87,57000,-0.9(-1.55 %),950600,54491000000,0,0,58100,58100,56800
2022-03-01,21.75,56700,-0.3(-0.53 %),839500,47432000000,0,0,56700,57100,56000
2022-03-02,22.06,57500,0.8(1.41 %),1075300,61893000000,0,0,57400,58000,57000
2022-03-03,23.59,61500,4(6.96 %),2938400,177450000000,0,0,57600,61500,57600
2022-03-04,24.06,62700,1.2(1.95 %),1663500,103914000000,0,0,62000,63300,61400
2022-03-07,23.86,62200,-0.5(-0.80 %),1373100,85877000000,0,0,62200,63500,61600
2022-03-08,22.71,59200,-3(-4.82 %),1567000,94446000000,0,0,61500,61500,59200
2022-03-09,22.67,59100,-0.1(-0.17 %),1673500,97970000000,0,0,58500,59400,57200
2022-03-10,22.75,59300,0.2(0.34 %),2118800,124486000000,0,0,59900,62300,56900
2022-03-11,23.71,61800,2.5(4.22 %),2110900,128326000000,0,0,59500,62200,59000
2022-03-14,23.98,62500,0.7(1.13 %),1281400,80249000000,0,0,62500,63300,61700
2022-03-15,24.52,63900,1.4(2.24 %),2000200,128051000000,0,0,62500,65000,62000
2022-03-16,23.98,62500,-1.4(-2.19 %),1007600,63517000000,0,0,64000,64500,62300
2022-03-17,24.67,64300,1.8(2.88 %),1976700,125875000000,0,0,62400,64600,61800
2022-03-18,24.44,63700,-0.6(-0.93 %),1931000,126086000000,0,0,64400,66600,63600
2022-03-21,23.94,62400,-1.3(-2.04 %),1021500,64093000000,0,0,63700,64000,62000
2022-03-22,23.71,61800,-0.6(-0.96 %),849500,52487000000,0,0,62400,62400,61300
2022-03-23,23.83,62100,0.3(0.49 %),745300,46032000000,0,0,61900,62300,61100
2022-03-24,24.02,62600,0.5(0.81 %),1253900,78780000000,0,0,62200,63500,61700
2022-03-25,24.13,62900,0.3(0.48 %),667400,41945000000,0,0,62900,63300,62400
2022-03-28,23.79,62000,-0.9(-1.43 %),731000,45444000000,0,0,62500,62900,61500
2022-03-29,23.71,61800,-0.2(-0.32 %),1300800,80642000000,0,0,61700,62800,60800
2022-03-30,23.02,60000,-1.8(-2.91 %),635900,38638000000,0,0,61000,61700,60000
2022-03-31,23.79,62000,2(3.33 %),1447300,89182000000,0,0,60300,62500,60200
2022-04-01,23.98,62500,0.5(0.81 %),791000,49146000000,0,0,61800,62500,61600
2022-04-04,23.98,62500,0(0.00 %),1086300,67722000000,0,0,62000,63500,61300
2022-04-05,23.94,62400,-0.1(-0.16 %),764600,47727000000,0,0,62800,63000,61600
2022-04-06,23.63,61600,-0.8(-1.28 %),777300,48302000000,0,0,62000,62900,61600
2022-04-07,23.21,60500,-1.1(-1.79 %),1044000,64116000000,0,0,61500,62400,60300
2022-04-08,22.94,59800,-0.7(-1.16 %),895800,54232000000,0,0,60700,61400,59800
2022-04-12,22.94,59800,0(0.00 %),890800,53527000000,0,0,60100,60600,59800
2022-04-13,23.9,62300,2.5(4.18 %),1982800,120997000000,0,0,59400,62300,58500
2022-04-14,23.52,61300,-1(-1.61 %),958800,59310000000,0,0,62400,62500,61100
2022-04-15,23.36,60900,-0.4(-0.65 %),815100,49692000000,0,0,61000,61700,60500
2022-04-18,23.36,60900,0(0.00 %),775500,47177000000,0,0,61000,61400,60000
2022-04-19,23.17,60400,-0.5(-0.82 %),1013600,61130000000,0,0,61000,61100,58300
2022-04-20,21.87,57000,-3.4(-5.63 %),750500,43869000000,0,0,60200,60400,57000
2022-04-21,22.1,57600,0.6(1.05 %),1967600,108682000000,0,0,56500,57700,53100
2022-04-22,21.87,57000,-0.6(-1.04 %),630600,36281000000,0,0,57600,58700,55600
2022-04-25,20.37,53100,-3.9(-6.84 %),379400,20952000000,0,0,57000,57200,53100
2022-04-26,20.41,53200,0.1(0.19 %),926200,47510000000,0,0,53000,53200,49600
2022-04-27,21.83,56900,3.7(6.95 %),2148800,120421000000,0,0,53300,56900,53300
2022-04-28,22.33,58200,1.3(2.28 %),1096500,64485000000,0,0,58000,60400,57700
2022-04-29,22.29,58100,-0.1(-0.17 %),639800,37119000000,0,0,58500,58600,56600
2022-05-04,22.21,57900,-0.2(-0.34 %),757000,43589000000,0,0,57900,58300,56800
2022-05-05,21.52,56100,-1.8(-3.11 %),615700,35242000000,0,0,58800,58900,56100
2022-05-06,21.18,55200,-0.9(-1.60 %),915400,51324000000,0,0,56500,57100,54800
2022-05-09,21.07,51300,-0.15(-0.50 %),608900,18362000000,0,0,51300,51300,51300
2022-05-10,22.52,31900,2(6.69 %),2561800,76271000000,0,0,29500,31900,28000
