Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2010-06-29,5.3,23500,-0.5(-2.08 %),218580,5060196000,0,0,22900,24000,22900
2010-06-30,5.24,23200,-0.3(-1.28 %),50850,1185325000,0,0,22500,24500,22500
2010-07-01,5.24,23200,0(0.00 %),42290,982158000,0,0,23500,23500,23000
2010-07-02,5.21,23100,-0.1(-0.43 %),75300,1751236000,0,0,24200,24200,23000
2010-07-05,5.08,22500,-0.6(-2.60 %),146120,3310763000,0,0,23100,23100,22500
2010-07-06,5.01,22200,-0.3(-1.33 %),205610,4537670000,0,0,21800,22500,21800
2010-07-07,5.26,23300,1.1(4.95 %),270100,6263418000,0,0,22700,23300,22700
2010-07-08,5.19,23000,-0.3(-1.29 %),92340,2143743000,0,0,23000,23900,23000
2010-07-09,5.19,23000,0(0.00 %),55680,1287529000,20000,450000000,23000,23800,23000
2010-07-12,5.19,23000,0(0.00 %),34180,789890000,0,0,22900,23500,22700
2010-07-13,5.21,23100,0.1(0.43 %),75450,1746572000,0,0,23300,23400,22800
2010-07-14,5.19,23000,-0.1(-0.43 %),215360,5003512000,0,0,23100,23800,23000
2010-07-15,5.12,22700,-0.3(-1.30 %),67810,1560931000,0,0,23000,23400,22700
2010-07-16,5.12,22700,0(0.00 %),68940,1566933000,0,0,22700,23000,22500
2010-07-19,4.97,22000,-0.7(-3.08 %),133750,2963246000,0,0,23000,23000,22000
2010-07-20,4.99,22100,0.1(0.45 %),307260,6781674000,0,0,22000,22500,22000
2010-07-21,5.24,23200,1.1(4.98 %),194100,4502120000,0,0,23200,23200,23000
2010-07-22,5.33,23600,0.4(1.72 %),303780,7343505000,0,0,24300,24300,23500
2010-07-23,5.21,23100,-0.5(-2.12 %),88960,2068307000,0,0,23600,23600,23000
2010-07-26,5.06,22400,-0.7(-3.03 %),41650,942249000,0,0,22500,23100,22400
2010-07-27,5.06,22400,0(0.00 %),81520,1825930000,0,0,22900,22900,22200
2010-07-28,4.81,21300,-1.1(-4.91 %),181470,3940003000,0,0,22300,22400,21300
2010-07-29,4.81,21300,0(0.00 %),116100,2443115000,0,0,21100,21300,20600
2010-07-30,4.83,21400,0.1(0.47 %),46130,1002298000,0,0,21900,22300,21300
2010-08-02,4.76,21100,-0.3(-1.40 %),19310,410612000,0,0,21800,21800,21100
2010-08-03,4.74,21000,-0.1(-0.47 %),43080,909392000,0,0,21100,21500,21000
2010-08-04,4.65,20600,-0.4(-1.90 %),47020,969365000,20000,412000000,20800,20800,20400
2010-08-05,4.63,20500,-0.1(-0.49 %),43000,885885000,0,0,20500,20900,20400
2010-08-06,4.51,20000,-0.5(-2.44 %),55420,1126272000,0,0,20500,20600,20000
2010-08-09,4.36,19300,-0.7(-3.50 %),48850,959652000,0,0,19900,20000,19200
2010-08-10,4.15,18400,-0.9(-4.66 %),91510,1695500000,0,0,19000,19000,18400
2010-08-11,4.27,18900,0.5(2.72 %),39330,729386000,0,0,18000,18900,18000
2010-08-12,4.06,18000,-0.9(-4.76 %),74160,1343904000,0,0,18200,18800,18000
2010-08-13,4.06,18000,0(0.00 %),38500,692920000,0,0,17500,18500,17500
2010-08-16,4.27,18900,0.9(5.00 %),47320,891884000,0,0,18600,18900,18500
2010-08-17,4.27,18900,0(0.00 %),75650,1420237000,0,0,18900,19000,18200
2010-08-18,4.13,18300,-0.6(-3.17 %),8210,151362000,0,0,19000,19000,18300
2010-08-19,4.06,18000,-0.3(-1.64 %),17250,311230000,0,0,18200,18400,17900
2010-08-20,3.95,17500,-0.5(-2.78 %),15110,264450000,0,0,18000,18000,17300
2010-08-23,3.88,17200,-0.3(-1.71 %),35210,600304000,0,0,17900,17900,16800
2010-08-24,3.7,16400,-0.8(-4.65 %),53060,874482000,0,0,16500,16700,16400
2010-08-25,3.52,15600,-0.8(-4.88 %),66290,1034394000,0,0,15700,15700,15600
2010-08-26,3.63,16100,0.5(3.21 %),56060,888501000,0,0,16000,16100,15600
2010-08-27,3.7,16400,0.3(1.86 %),83470,1345977000,0,0,16100,16400,15600
2010-08-30,3.88,17200,0.8(4.88 %),70180,1207096000,0,0,17200,17200,17200
2010-08-31,4.0,17700,0.5(2.91 %),34010,594720000,0,0,17400,17800,17100
2010-09-01,3.95,17500,-0.2(-1.13 %),44910,784093000,0,0,18200,18200,17100
2010-09-06,4.13,18300,0.8(4.57 %),82290,1501324000,0,0,18000,18300,17900
2010-09-07,4.2,18600,0.3(1.64 %),48820,911042000,0,0,17800,19000,17800
2010-09-08,4.0,17700,-0.9(-4.84 %),31710,565980000,0,0,18000,19000,17700
2010-09-09,4.06,18000,0.3(1.69 %),93720,1677202000,0,0,18400,18400,17800
2010-09-10,3.88,17200,-0.8(-4.44 %),56040,999574000,0,0,18000,18200,17200
2010-09-13,3.95,17500,0.3(1.74 %),40290,683591000,0,0,17200,17900,16400
2010-09-14,3.93,17400,-0.1(-0.57 %),21280,377373000,0,0,18100,18100,17400
2010-09-15,3.95,17500,0.1(0.57 %),12810,223580000,0,0,18000,18000,17100
2010-09-16,3.95,17500,0(0.00 %),11870,207660000,0,0,16700,18000,16700
2010-09-17,3.95,17500,0(0.00 %),39520,696662000,0,0,18000,18000,17400
2010-09-20,4.06,18000,0.5(2.86 %),87710,1556113000,0,0,18000,18000,17300
2010-09-21,4.02,17800,-0.2(-1.11 %),22740,403592000,0,0,18000,18000,17600
2010-09-22,4.02,17800,0(0.00 %),6680,117913000,0,0,17300,18000,17300
