Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2015-07-17,8.99,19000,1.1(6.15 %),1585500,29543000000,700000,12955000000,17900,19100,17600
2015-07-20,9.47,20000,1(5.26 %),1404650,27593000000,4940000,98800000000,19000,20300,18900
2015-07-21,8.8,18600,-1.4(-7.00 %),163790,3048000000,52000,967200000,19900,19900,18600
2015-07-22,8.19,17300,-1.3(-6.99 %),1860,32000000,0,0,17300,17300,17300
2015-07-23,7.62,16100,-1.2(-6.94 %),42950,691000000,0,0,16100,16100,16100
2015-07-24,7.1,15000,-1.1(-6.83 %),13570,204000000,0,0,15000,15000,15000
2015-07-27,7.57,16000,1(6.67 %),2391150,36987000000,500000,7550000000,14000,16000,14000
2015-07-28,8.09,17100,1.1(6.88 %),1558070,26215000000,132000,2135200000,16100,17100,16000
2015-07-29,8.42,17800,0.7(4.09 %),1514120,26253000000,95000,1586500000,17100,17900,16600
2015-07-30,7.86,16600,-1.2(-6.74 %),408000,6773000000,305000,5143000000,17800,17800,16600
2015-07-31,7.48,15800,-0.8(-4.82 %),1143300,18323000000,100000,1581500000,15500,16400,15500
2015-08-03,7.38,15600,-0.2(-1.27 %),533980,8321000000,290000,4550000000,15800,15800,15400
2015-08-04,7.57,16000,0.4(2.56 %),705690,11106000000,110000,1727000000,15600,16000,15300
2015-08-05,7.57,16000,0(0.00 %),586940,9479000000,100000,1630000000,16000,16400,15800
2015-08-06,7.57,16000,0(0.00 %),557250,8916000000,115000,1840000000,15900,16100,15800
2015-08-07,7.53,15900,-0.1(-0.62 %),1098740,17431000000,85000,1334500000,16000,16100,15600
2015-08-10,7.48,15800,-0.1(-0.63 %),687310,10941000000,100000,1590000000,15900,16200,15700
2015-08-11,7.57,16000,0.2(1.27 %),912320,14563000000,90000,1425000000,15800,16300,15600
2015-08-12,7.57,16000,0(0.00 %),518400,8317000000,0,0,16000,16200,15900
2015-08-13,7.57,16000,0(0.00 %),568170,9043000000,0,0,15900,16100,15700
2015-08-14,7.53,15900,-0.1(-0.62 %),461220,7361000000,0,0,16000,16200,15800
2015-08-17,7.48,15800,-0.1(-0.63 %),448820,7106000000,0,0,15900,16100,15700
2015-08-18,7.53,15900,0.1(0.63 %),506950,8045000000,0,0,15800,16000,15700
2015-08-19,7.48,15800,-0.1(-0.63 %),496190,7766000000,0,0,15800,15800,15500
2015-08-20,7.48,15800,0(0.00 %),444010,6974000000,0,0,15800,15900,15600
2015-08-21,7.38,15600,-0.2(-1.27 %),667530,10346000000,0,0,15800,15800,15300
2015-08-24,7.38,15600,0(0.00 %),453690,7001000000,0,0,15600,15600,15300
2015-08-25,7.43,15700,0.1(0.64 %),478680,7475000000,0,0,15600,15900,15400
2015-08-26,7.53,15900,0.2(1.27 %),541340,8591000000,0,0,15700,16000,15600
2015-08-27,7.53,15900,0(0.00 %),470310,7478000000,0,0,15900,16000,15800
2015-08-28,7.53,15900,0(0.00 %),458230,7290000000,0,0,15800,16100,15800
2015-08-31,7.53,15900,0(0.00 %),229710,3647000000,0,0,15900,16000,15800
2015-09-01,7.53,15900,0(0.00 %),189700,3025000000,0,0,15900,16000,15800
2015-09-03,7.57,16000,0.1(0.63 %),153400,2447000000,0,0,15900,16000,15800
2015-09-04,7.57,16000,0(0.00 %),147730,2361000000,0,0,15900,16000,15900
2015-09-07,8.09,17100,1.1(6.88 %),1425810,24012000000,0,0,15900,17100,15900
2015-09-08,8.61,18200,1.1(6.43 %),1441980,25960000000,0,0,17900,18200,17500
2015-09-09,9.18,19400,1.2(6.59 %),2426490,45836000000,0,0,18500,19400,18200
2015-09-10,9.42,19900,0.5(2.58 %),1127060,21939000000,0,0,19400,20000,18700
2015-09-11,9.18,19400,-0.5(-2.51 %),638860,12402000000,0,0,19900,20000,19200
2015-09-14,9.09,19200,-0.2(-1.03 %),529530,10182000000,0,0,19400,19500,19000
2015-09-15,9.13,19300,0.1(0.52 %),545260,10501000000,0,0,19200,19500,19000
2015-09-16,9.18,19400,0.1(0.52 %),620410,12004000000,0,0,19300,19400,19100
2015-09-17,9.18,19400,0(0.00 %),706660,13707000000,0,0,19400,19600,19200
2015-09-18,9.28,19600,0.2(1.03 %),741730,14518000000,0,0,19400,19700,19400
2015-09-21,9.8,20700,1.1(5.61 %),1785330,36036000000,0,0,19600,20800,19500
2015-09-22,9.28,19600,-1.1(-5.31 %),715840,14418000000,0,0,20600,20600,19500
2015-09-23,9.23,19500,-0.1(-0.51 %),604100,11771000000,0,0,19400,19600,19300
2015-09-24,9.23,19500,0(0.00 %),616750,11922000000,0,0,19400,19600,19100
2015-09-25,9.18,19400,-0.1(-0.51 %),647680,12643000000,0,0,19500,19700,19300
2015-09-28,9.13,19300,-0.1(-0.52 %),722460,14011000000,0,0,19400,19600,19200
2015-09-29,9.18,19400,0.1(0.52 %),665180,12809000000,0,0,19300,19500,19000
2015-09-30,9.23,19500,0.1(0.52 %),741650,14433000000,0,0,19400,19700,19300
2015-10-01,9.28,19600,0.1(0.51 %),729890,14245000000,0,0,19500,19700,19400
2015-10-02,9.89,20900,1.3(6.63 %),2616250,53635000000,0,0,19600,20900,19400
2015-10-05,10.55,22300,1.4(6.70 %),2513710,54498000000,0,0,21100,22300,20600
2015-10-06,11.17,23600,1.3(5.83 %),3469410,77775000000,0,0,22300,23800,20800
2015-10-07,10.41,22000,-1.6(-6.78 %),2289730,50384000000,3600000,79200000000,22000,23000,22000
2015-10-08,10.18,21500,-0.5(-2.27 %),3130190,65068000000,1800000,36900000000,20500,21700,20500
2015-10-09,9.66,20400,-1.1(-5.12 %),1021150,20799000000,0,0,21000,21000,20000
2015-10-12,9.56,20200,-0.2(-0.98 %),1643480,33436000000,0,0,20300,20600,20100
2015-10-13,9.18,19400,-0.8(-3.96 %),984930,19396000000,0,0,20200,20200,19300
2015-10-14,9.13,19300,-0.1(-0.52 %),876030,16948000000,0,0,19300,19600,19200
2015-10-15,9.18,19400,0.1(0.52 %),939320,18115000000,0,0,19300,19500,19100
2015-10-16,9.18,19400,0(0.00 %),819850,15914000000,20000,414000000,19400,19600,19200
2015-10-19,9.09,19200,-0.2(-1.03 %),800990,15367000000,0,0,19400,19400,19000
2015-10-20,9.13,19300,0.1(0.52 %),834450,16014000000,1100000,19820000000,19200,19300,19000
2015-10-21,9.13,19300,0(0.00 %),815910,15743000000,20000,412000000,19300,19400,19100
2015-10-22,9.18,19400,0.1(0.52 %),938120,18184000000,0,0,19200,19600,19100
2015-10-23,9.28,19600,0.2(1.03 %),970720,19014000000,0,0,19400,19800,19300
2015-10-26,9.18,19400,-0.2(-1.02 %),944760,18607000000,0,0,19600,19900,19400
2015-10-27,9.04,19100,-0.3(-1.55 %),885070,17026000000,0,0,19400,19500,19000
2015-10-28,9.04,19100,0(0.00 %),822770,15750000000,0,0,19100,19300,19000
2015-10-29,8.95,18900,-0.2(-1.05 %),694850,13243000000,0,0,19100,19300,18900
2015-10-30,8.8,18600,-0.3(-1.59 %),676050,12688000000,0,0,18900,19000,18500
2015-11-02,8.85,18700,0.1(0.54 %),1268400,23465000000,0,0,18600,18700,18100
2015-11-03,8.9,18800,0.1(0.53 %),719890,13477000000,0,0,18700,18800,18600
2015-11-04,8.85,18700,-0.1(-0.53 %),1039680,19706000000,0,0,18800,19400,18700
2015-11-05,8.85,18700,0(0.00 %),642420,11958000000,0,0,18700,18800,18500
2015-11-06,8.85,18700,0(0.00 %),1179060,22033000000,0,0,18700,19000,18300
2015-11-09,8.85,18700,0(0.00 %),810880,15123000000,0,0,18700,18800,18500
2015-11-10,8.76,18500,-0.2(-1.07 %),688110,12819000000,0,0,18700,18700,18500
2015-11-11,8.8,18600,0.1(0.54 %),1032850,19129000000,0,0,18500,18800,18200
2015-11-12,8.85,18700,0.1(0.54 %),824530,15348000000,0,0,18600,18700,18500
2015-11-13,8.85,18700,0(0.00 %),735410,13712000000,77700,1398600000,18700,18800,18500
2015-11-16,8.85,18700,0(0.00 %),773270,14462000000,0,0,18600,18900,18500
2015-11-17,8.85,18700,0(0.00 %),894500,16770000000,0,0,18700,18900,18600
2015-11-18,8.8,18600,-0.1(-0.53 %),837970,15640000000,0,0,18700,18800,18500
