Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2018-02-22,22.86,25000,-0.4(-1.57 %),28900,728730000,0,0,26000,26000,25000
2018-02-23,21.03,23250,-2.2(-8.73 %),37800,865320000,0,0,25200,25200,23250
2018-02-26,20.94,22900,0(0.00 %),21100,455040000,0,0,22000,24300,21400
2018-02-27,21.95,24000,2.4(11.11 %),34700,756560000,0,0,24500,24500,21300
2018-02-28,20.12,22300,0.2(0.92 %),2300,50420000,0,0,22300,22300,22300
2018-03-01,20.3,22200,0.3(1.37 %),21100,462230000,0,0,22000,22200,21000
2018-03-02,19.75,21600,-0.3(-1.37 %),24900,530410000,0,0,21900,21900,20650
2018-03-05,19.48,21300,0(0.00 %),35500,755520000,0,0,21200,21500,21000
2018-03-06,19.84,21700,0.4(1.88 %),4200,90990000,0,0,22500,22500,20500
2018-03-07,18.47,20200,-1.5(-6.91 %),3000,60900000,0,0,20500,20500,20200
2018-03-08,19.2,21000,0.7(3.45 %),2100,44100000,0,0,21000,21000,21000
2018-03-09,19.11,20900,-0.1(-0.48 %),36700,735450000,0,0,21000,21000,19550
2018-03-12,18.75,20500,0.5(2.50 %),7000,139550000,0,0,20000,20900,19500
2018-03-13,18.11,19800,-0.1(-0.50 %),15100,295860000,0,0,20000,20000,19200
2018-03-14,17.19,18800,-0.8(-4.08 %),11700,223430000,0,0,19100,19700,18800
2018-03-15,17.65,19300,0.2(1.05 %),29700,561410000,0,0,18300,19500,18000
2018-03-16,18.29,20000,1.1(5.82 %),33500,671450000,0,0,20650,20650,19500
2018-03-19,19.39,21200,1.2(6.00 %),14000,293300000,0,0,20200,21200,20200
2018-03-20,18.29,20000,-1(-4.76 %),101100,2027930000,0,0,20000,20900,19700
2018-03-21,18.11,19800,-0.3(-1.49 %),63600,1253770000,0,0,20500,20500,19100
2018-03-22,20.48,21200,2.7(13.71 %),135400,2849840000,0,0,20000,21200,19800
2018-03-23,21.49,23500,2.5(11.90 %),97700,2180840000,0,0,22300,23800,22000
2018-03-26,21.95,24000,1.7(7.62 %),198500,4676390000,0,0,24300,24400,22700
2018-03-27,21.95,24000,0.4(1.69 %),362200,8621610000,0,0,24000,25700,22300
2018-03-28,21.86,23900,0.1(0.42 %),433200,10329310000,0,0,23600,25700,22500
2018-03-29,21.77,23800,0(0.00 %),272700,6532970000,0,0,23800,25300,23500
2018-03-30,22.77,24900,0.9(3.75 %),46000,1129030000,0,0,24100,25000,24100
2018-04-02,23.5,25700,1.2(4.90 %),47800,1210940000,0,0,25000,25700,25000
2018-04-03,24.05,26300,1(3.95 %),49300,1296790000,50000,1080000000,25900,27000,25500
2018-04-04,23.78,26000,-0.3(-1.14 %),60400,1570160000,0,0,26300,26300,25600
2018-04-05,23.96,26200,0.2(0.77 %),206800,5357650000,0,0,26000,26300,25600
2018-04-06,23.59,25800,-0.1(-0.39 %),70500,1826290000,0,0,26000,26200,25500
2018-04-09,24.23,26500,0.6(2.32 %),71600,1879330000,0,0,25400,26800,25300
2018-04-10,23.78,26000,-0.2(-0.76 %),63800,1660250000,0,0,25300,26200,25300
2018-04-11,23.59,25800,-0.2(-0.77 %),77400,1987660000,0,0,26000,26000,25000
2018-04-12,23.5,25700,0(0.00 %),100200,2569220000,0,0,25700,25800,25000
2018-04-13,23.59,25800,0.2(0.78 %),36600,938740000,0,0,25800,26000,25200
2018-04-16,23.5,25700,0.1(0.39 %),55000,1411030000,0,0,25600,25700,25600
2018-04-17,23.5,25700,0(0.00 %),58000,1487300000,0,0,25700,25700,25000
2018-04-18,23.5,25700,0.1(0.39 %),10500,269300000,0,0,25600,25700,25600
2018-04-19,23.41,25600,0(0.00 %),30000,760290000,0,0,25000,25600,24800
2018-04-20,23.5,25700,0.4(1.58 %),20200,517380000,0,0,25500,25700,25500
2018-04-23,22.86,25000,-0.6(-2.34 %),31600,801470000,0,0,25500,25600,25000
2018-04-24,22.86,25000,-0.4(-1.57 %),21100,532550000,0,0,25500,25500,25000
2018-04-26,22.77,24900,-0.3(-1.19 %),28200,704090000,0,0,25000,25000,24900
2018-04-27,22.86,25000,0(0.00 %),33200,830000000,0,0,25000,25000,25000
2018-05-02,23.41,25600,0.6(2.40 %),13900,355060000,0,0,25000,25600,25000
2018-05-03,23.32,25500,0(0.00 %),1300,33070000,0,0,25700,25700,25400
2018-05-07,21.03,23700,-2.7(-10.51 %),11900,276910000,0,0,24000,24000,23700
2018-05-08,22.77,24600,1.6(6.87 %),101600,2177540000,0,0,24600,24600,21400
2018-05-09,20.3,23150,0.8(3.74 %),300,6880000,10000,246000000,24400,24400,23150
2018-05-10,21.03,23000,0.1(0.44 %),1400,32670000,0,0,22400,23750,22400
2018-05-11,21.86,23900,0.6(2.58 %),100,2390000,0,0,23900,23900,23900
2018-05-14,21.86,23900,0(0.00 %),0,0,0,0,23900,23900,23900
2018-05-15,21.49,23500,-0.4(-1.67 %),100,2350000,0,0,23500,23500,23500
2018-05-16,21.77,23800,0.3(1.28 %),10500,246880000,0,0,23900,23900,22000
2018-05-17,22.86,25000,1.5(6.38 %),100,2500000,0,0,25000,25000,25000
2018-05-18,20.3,23250,-2.8(-11.20 %),1100,24430000,0,0,23250,23250,23250
2018-05-21,20.12,22000,-0.2(-0.90 %),7100,158910000,50000,945000000,23750,23750,22000
2018-05-22,20.12,22000,-0.4(-1.79 %),600,13390000,0,0,23500,23500,22000
2018-05-23,23.32,23550,3.2(14.35 %),100,2550000,0,0,23550,23550,23550
2018-05-24,23.32,25500,0(0.00 %),0,0,0,0,25500,25500,25500
2018-05-25,23.32,25500,0(0.00 %),0,0,0,0,25500,25500,25500
2018-05-28,21.49,23700,-2(-7.84 %),4300,99760000,0,0,23700,23700,23700
2018-05-29,21.95,24000,0.8(3.45 %),8900,209500000,0,0,22000,24000,22000
2018-05-30,21.49,23500,0(0.00 %),0,0,0,0,23500,23500,23500
2018-05-31,21.49,23500,0(0.00 %),0,0,0,0,23500,23500,23500
2018-06-01,20.58,22500,-1(-4.26 %),800,18150000,0,0,23500,23500,22000
2018-06-04,19.84,21700,-1(-4.41 %),3100,68300000,0,0,23700,23700,21700
2018-06-05,21.31,23200,1.3(5.91 %),100,2330000,0,0,23200,23200,23200
2018-06-06,19.2,21650,-2.3(-9.87 %),92700,2021440000,0,0,24500,24500,21650
2018-06-07,18.29,20000,-1.8(-8.26 %),52000,1068250000,0,0,22450,22450,20000
2018-06-08,19.2,21000,0.5(2.44 %),9800,196760000,0,0,21400,21400,20000
2018-06-11,18.75,20500,0.4(1.99 %),700,14650000,0,0,21000,21000,20500
2018-06-12,18.29,20000,-0.9(-4.31 %),2100,42380000,0,0,21500,21500,20000
2018-06-13,18.29,20000,-0.2(-0.99 %),300,6110000,0,0,20900,20900,20000
