Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2015-10-08,9.6,25400,-0.3(-1.17 %),30370,765000000,157850,3788400000,26000,26000,25000
2015-10-09,9.56,25300,-0.1(-0.39 %),40730,1022000000,527960,12671040000,25400,25400,24800
2015-10-12,8.92,23600,-1.7(-6.72 %),119300,2838000000,0,0,24800,24800,23600
2015-10-13,8.47,22400,-1.2(-5.08 %),215830,4793000000,0,0,22000,23000,22000
2015-10-14,8.96,23700,1.3(5.80 %),8450,194000000,0,0,23700,23700,22800
2015-10-15,9.03,23900,0.2(0.84 %),43830,1038000000,0,0,23500,24000,23200
2015-10-16,9.07,24000,0.1(0.42 %),54700,1315000000,0,0,24000,24100,24000
2015-10-19,9.07,24000,0(0.00 %),24740,594000000,0,0,24000,24100,24000
2015-10-20,9.26,24500,0.5(2.08 %),25700,618000000,0,0,24000,24500,24000
2015-10-21,9.11,24100,-0.4(-1.63 %),11660,283000000,0,0,24300,24400,24100
2015-10-22,9.15,24200,0.1(0.41 %),19700,477000000,0,0,24100,24300,24100
2015-10-23,9.49,25100,0.9(3.72 %),116390,2888000000,0,0,24200,25100,24200
2015-10-26,9.41,24900,-0.2(-0.80 %),21810,548000000,0,0,25000,25300,24900
2015-10-27,9.75,25800,0.9(3.61 %),84070,2125000000,0,0,25000,25800,25000
2015-10-28,10.13,26800,1(3.88 %),126370,3361000000,0,0,25800,27000,25800
2015-10-29,10.81,28600,1.8(6.72 %),289240,8198000000,0,0,27200,28600,27200
2015-10-30,10.81,28600,0(0.00 %),105240,3035000000,0,0,30000,30000,28600
2015-11-02,10.2,27000,-1.6(-5.59 %),33880,917000000,0,0,29200,29200,26700
2015-11-03,10.43,27600,0.6(2.22 %),16800,450000000,0,0,27100,27600,26000
2015-11-04,9.98,26400,-1.2(-4.35 %),40300,1069000000,0,0,27600,27600,26200
2015-11-05,9.98,26400,0(0.00 %),46210,1220000000,0,0,26200,26800,26200
2015-11-06,10.2,27000,0.6(2.27 %),91190,2469000000,0,0,26600,27500,26600
2015-11-09,10.02,26500,-0.5(-1.85 %),33090,882000000,0,0,27300,27300,26500
2015-11-10,9.94,26300,-0.2(-0.75 %),57090,1510000000,0,0,26400,26700,26300
2015-11-11,9.9,26200,-0.1(-0.38 %),15240,400000000,0,0,26500,26500,26200
2015-11-12,9.9,26200,0(0.00 %),65860,1718000000,0,0,26100,26500,26000
2015-11-13,10.24,27100,0.9(3.44 %),58580,1557000000,0,0,26200,27100,26200
2015-11-16,10.24,27100,0(0.00 %),25360,685000000,0,0,27000,27100,26500
2015-11-17,10.2,27000,-0.1(-0.37 %),49190,1330000000,0,0,27200,27200,27000
