Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2016-10-31,47.52,62700,8.1(14.84 %),100,6270000,40000,2008000000,62700,62700,62700
2016-11-01,54.65,67100,9.4(14.99 %),150,10815000,0,0,67100,67100,67100
2016-11-02,62.83,77100,10.8(14.98 %),2400,198960000,0,0,77100,77100,77100
2016-11-03,72.23,88700,12.4(14.96 %),2600,247780000,0,0,88700,88700,88700
2016-11-04,82.99,102000,14.2(14.90 %),13700,1500150000,0,0,102000,102000,102000
2016-11-07,95.42,117200,16.4(14.98 %),31570,3974663000,0,0,117200,117200,117200
2016-11-08,109.67,134700,18.8(14.93 %),118000,17073970000,0,0,134700,134700,134700
2016-11-09,103.91,137100,-7.6(-5.25 %),83468,11728621700,0,0,154800,154800,134600
2016-11-10,97.02,128000,-12.5(-8.90 %),82870,11244033000,0,0,145000,146700,127500
2016-11-11,87.47,119000,-20.3(-14.96 %),89070,10412762000,0,0,128000,128000,119000
2016-11-14,81.1,107300,-9.9(-8.47 %),81180,8687141500,1300,129220000,107300,122000,107300
2016-11-15,83.37,110000,3(2.80 %),65796,7375858000,0,0,110000,114500,107000
2016-11-16,79.05,104300,-7.8(-6.96 %),43723,4683981000,0,0,110000,110000,104200
2016-11-17,75.79,100000,-7.1(-6.63 %),69040,6951095000,0,0,101400,102800,99700
2016-11-18,75.87,100100,-0.6(-0.60 %),46670,4710659600,0,0,102500,102900,99000
2016-11-21,81.1,107000,6.1(6.05 %),60956,6400638600,0,0,100500,107100,100000
2016-11-22,81.86,108000,3(2.86 %),82797,9169166900,0,0,108900,114000,108000
2016-11-23,81.33,107300,-3.4(-3.07 %),55428,6038678000,0,0,108000,110000,107000
2016-11-24,79.58,105000,-3.9(-3.58 %),46983,4955426800,0,0,106000,108900,104100
2016-11-25,80.49,106200,0.7(0.66 %),40279,4295686300,0,0,103100,108800,103100
2016-11-28,80.34,106000,-0.7(-0.66 %),64102,6844205000,0,0,108000,111000,105500
2016-11-29,81.1,107000,0.2(0.19 %),29500,3139190000,0,0,107000,109400,105400
2016-11-30,80.42,106100,-0.3(-0.28 %),17150,1819872000,0,0,106000,106600,105000
2016-12-01,82.99,109500,3.4(3.20 %),85775,9217361400,0,0,106100,111000,106000
2016-12-02,84.13,111000,3.5(3.26 %),37231,4081581800,0,0,109500,111000,107700
2016-12-05,83.22,109800,0.2(0.18 %),47570,5184106200,0,0,109600,110000,108000
2016-12-06,75.79,102100,-9(-8.26 %),122160,12656172000,0,0,110000,111800,102100
2016-12-07,88.22,107000,12.8(12.36 %),273397,29562173000,0,0,100000,107000,93000
2016-12-08,94.21,124300,16.2(14.99 %),213727,25212072200,0,0,116000,124300,108300
2016-12-09,102.85,133000,17.7(15.00 %),172500,22277861100,0,0,124300,133000,116700
2016-12-12,112.48,145200,19.2(14.86 %),180311,25278905500,0,0,129200,145200,126200
2016-12-13,122.18,158800,21(14.98 %),143120,22488585000,0,0,143000,158800,143000
2016-12-14,136.96,172500,23.5(14.95 %),78644,13777183000,0,0,161000,172500,160000
2016-12-15,152.65,193300,26.2(14.95 %),83518,16396867400,0,0,193300,193300,175000
2016-12-16,171.14,215500,29.4(14.97 %),88668,18719226000,0,0,210000,215500,187300
2016-12-19,136.12,210000,-31.6(-14.96 %),31811,6096062000,0,0,210000,210000,210000
2016-12-20,124.22,167000,-27.7(-14.46 %),32893,5361955200,0,0,175000,175000,167000
2016-12-21,128.85,170000,7(4.29 %),27650,4072748000,0,0,160000,170000,152400
2016-12-22,111.57,158100,0(0.00 %),76500,9999178000,0,0,168000,169200,158100
2016-12-23,98.99,136900,-0.1(-0.08 %),106720,12341380000,0,0,136900,140000,136900
2016-12-26,94.74,125000,9.4(8.13 %),38952,4775465400,0,0,121500,128000,121500
2016-12-27,106.11,133800,17.4(14.19 %),41620,5453390000,0,0,126000,133800,125000
2016-12-28,100.65,132800,1.8(1.37 %),42070,5611711000,0,0,135000,140000,130200
2016-12-29,99.29,131000,-2.4(-1.80 %),24010,3092599000,0,0,129000,132900,124000
2016-12-30,95.12,125500,-3.3(-2.56 %),13202,1654143000,0,0,125000,128000,122600
2017-01-03,92.47,122000,-3.3(-2.63 %),8220,1002570000,0,0,125000,125000,120000
2017-01-04,90.95,120000,-2(-1.64 %),12890,1551902000,0,0,124000,124000,118000
2017-01-05,95.58,126100,5.7(4.73 %),78810,9638208000,0,0,122500,128400,116400
2017-01-06,96.41,127200,4.9(4.01 %),22478,2921951000,0,0,122800,133000,122800
2017-01-09,109.9,136100,15(11.54 %),33410,4462270000,0,0,131900,136100,125600
2017-01-10,97.02,134800,-5.6(-4.19 %),17773,2299941400,0,0,134800,134800,134800
2017-01-19,102.32,135000,7.4(5.80 %),59330,8460000000,0,0,137000,137000,133100
2017-01-20,105.35,139000,4(2.96 %),41550,5839000000,0,0,144000,144000,136000
2017-01-23,101.18,133500,-5.5(-3.96 %),10410,1400000000,0,0,136000,140500,133200
2017-01-24,101.41,133800,0.3(0.22 %),12750,1686000000,0,0,133500,134000,128000
2017-01-25,102.32,135000,1.2(0.90 %),5320,714000000,0,0,138000,138000,131100
2017-02-02,100.05,132000,-3(-2.22 %),12840,1692000000,0,0,132000,134000,131000
2017-02-03,96.64,127500,-4.5(-3.41 %),28860,3708000000,0,0,130100,131000,127000
2017-02-06,90.95,120000,-7.5(-5.88 %),23400,2836000000,0,0,127500,127500,119000
2017-02-07,88.68,117000,-3(-2.50 %),20930,2459000000,0,0,119000,120000,115000
2017-02-08,88.68,117000,0(0.00 %),20700,2382000000,0,0,116600,119500,111200
2017-02-09,86.4,114000,-3(-2.56 %),10950,1251000000,0,0,113900,116900,113900
2017-02-10,88.91,117300,3.3(2.89 %),9980,1156000000,0,0,114000,117400,114000
2017-02-13,87.62,115600,-1.7(-1.45 %),2060,239000000,0,0,117500,117500,115100
2017-02-14,86.03,113500,-2.1(-1.82 %),9270,1056000000,0,0,114000,115000,113500
2017-02-15,85.65,113000,-0.5(-0.44 %),3580,404000000,0,0,113500,113500,111600
2017-02-16,84.28,111200,-1.8(-1.59 %),13830,1547000000,0,0,113500,113500,111100
2017-02-17,83.75,110500,-0.7(-0.63 %),5480,609000000,0,0,111200,111900,110500
2017-02-20,81.1,107000,-3.5(-3.17 %),13760,1458000000,0,0,103800,110000,103800
2017-02-21,85.49,112800,5.8(5.42 %),8760,968000000,0,0,107000,112900,107000
2017-02-22,87.92,116000,3.2(2.84 %),20090,2305000000,0,0,112800,116400,110100
2017-02-23,85.65,113000,-3(-2.59 %),12520,1434000000,0,0,115000,115000,113000
2017-02-24,84.13,111000,-2(-1.77 %),8520,946000000,0,0,112000,112000,110000
2017-02-27,83.3,109900,-1.1(-0.99 %),4970,548000000,0,0,109900,111800,108000
2017-02-28,81.55,107600,-2.3(-2.09 %),5140,557000000,0,0,109000,113500,107600
2017-03-01,82.01,108200,0.6(0.56 %),5530,599000000,0,0,108100,109000,108000
2017-03-02,81.78,107900,-0.3(-0.28 %),4840,516000000,0,0,107000,108000,106100
2017-03-03,79.96,105500,-2.4(-2.22 %),8220,872000000,0,0,106100,107900,105500
2017-03-06,78.82,104000,-1.5(-1.42 %),6340,661000000,0,0,105100,105100,103000
2017-03-07,76.17,100500,-3.5(-3.37 %),18190,1857000000,0,0,106000,106000,100000
2017-03-08,76.85,101400,0.9(0.90 %),12540,1268000000,0,0,100000,102800,100000
2017-03-09,75.79,100000,-1.4(-1.38 %),12640,1268000000,0,0,101300,101300,100000
2017-03-10,74.43,98200,-1.8(-1.80 %),4300,424000000,0,0,98200,99500,98100
2017-03-13,73.52,97000,-1.2(-1.22 %),10320,997000000,0,0,98300,98300,96000
2017-03-14,72.76,96000,-1(-1.03 %),3290,316000000,0,0,95800,96600,95800
2017-03-15,72.0,95000,-1(-1.04 %),6590,626000000,0,0,95000,95500,94500
2017-03-16,70.11,92500,-2.5(-2.63 %),16220,1496000000,0,0,94500,95000,88400
2017-03-17,71.09,93800,1.3(1.41 %),8580,809000000,0,0,95000,95000,93500
2017-03-20,70.56,93100,-0.7(-0.75 %),1320,123000000,0,0,95400,95500,92000
2017-03-21,69.73,92000,-1.1(-1.18 %),3050,282000000,0,0,93000,93000,92000
2017-03-22,68.97,91000,-1(-1.09 %),4880,446000000,0,0,93000,94000,91000
2017-03-23,66.09,87200,-3.8(-4.18 %),7280,650000000,0,0,91100,91100,87200
