Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2014-01-27,7.97,18400,-0.4(-2.13 %),3240910,59509335000,0,0,18700,18800,18100
2014-02-06,7.62,17600,-0.8(-4.35 %),959590,17135299000,0,0,18200,18300,17600
2014-02-07,7.19,16600,-1(-5.68 %),2987600,50252206000,0,0,17400,17500,16500
2014-02-10,7.36,17000,0.4(2.41 %),4052090,67917832000,20000,310000000,16500,17200,16200
2014-02-11,7.32,16900,-0.1(-0.59 %),1938480,33059183000,0,0,17200,17200,16900
2014-02-12,7.28,16800,-0.1(-0.59 %),1176180,19761121000,0,0,16800,16900,16700
2014-02-13,7.19,16600,-0.2(-1.19 %),2156140,35981209000,0,0,16800,16900,16600
2014-02-14,7.28,16800,0.2(1.20 %),1489380,25030333000,0,0,16800,17000,16600
2014-02-17,7.23,16700,-0.1(-0.60 %),1173560,19622537000,0,0,16900,16900,16600
2014-02-18,7.19,16600,-0.1(-0.60 %),1861540,30962065000,0,0,16700,16700,16600
2014-02-19,7.19,16600,0(0.00 %),2988120,49763233000,0,0,16700,16800,16500
2014-02-20,7.32,16900,0.3(1.81 %),3243650,54825425000,0,0,16700,17200,16600
2014-02-21,7.23,16700,-0.2(-1.18 %),903040,15122243000,0,0,16800,16800,16700
2014-02-24,7.23,16700,0(0.00 %),833430,13892557000,0,0,16800,16800,16600
2014-02-25,7.23,16700,0(0.00 %),1249150,20754383000,0,0,16600,16700,16500
2014-02-26,7.23,16700,0(0.00 %),1399670,23420081000,0,0,16700,16900,16600
2014-02-27,7.32,16900,0.2(1.20 %),3731900,63403592000,0,0,16700,17400,16700
2014-02-28,7.36,17000,0.1(0.59 %),1154560,19505887000,0,0,16800,17000,16800
2014-03-03,7.23,16700,-0.3(-1.76 %),954830,16011462000,0,0,16900,17000,16700
2014-03-04,7.19,16600,-0.1(-0.60 %),1551740,25740194000,0,0,16600,16700,16500
2014-03-05,7.19,16600,0(0.00 %),737090,12295954000,0,0,16700,16800,16600
2014-03-06,7.19,16600,0(0.00 %),768340,12753434000,0,0,16600,16700,16500
2014-03-07,7.19,16600,0(0.00 %),773450,12839830000,0,0,16600,16700,16600
2014-03-10,7.23,16700,0.1(0.60 %),957770,15933866000,0,0,16600,16800,16600
2014-03-11,7.19,16600,-0.1(-0.60 %),752790,12507020000,0,0,16600,16700,16600
2014-03-12,7.15,16500,-0.1(-0.60 %),979430,16247808000,0,0,16600,16700,16500
2014-03-13,7.15,16500,0(0.00 %),806950,13328578000,0,0,16600,16600,16400
2014-03-14,7.19,16600,0.1(0.61 %),924510,15299605000,0,0,16600,16700,16400
2014-03-17,7.19,16600,0(0.00 %),989350,16403669000,40000,664000000,16600,16700,16500
2014-03-18,7.28,16800,0.2(1.20 %),2171570,36323243000,926290,14450124000,16600,16900,16500
2014-03-19,7.54,17400,0.6(3.57 %),5624790,96962719000,0,0,16900,17400,16900
2014-03-20,7.67,17700,0.3(1.72 %),3325420,58944439000,0,0,17500,18000,17500
2014-03-21,7.58,17500,-0.2(-1.13 %),1236010,21771739000,0,0,17500,17800,17500
2014-03-24,7.62,17600,0.1(0.57 %),2498010,44254882000,60000,978000000,17700,18000,17600
2014-03-25,7.45,17200,-0.4(-2.27 %),2051430,35769387000,0,0,17700,17700,17200
2014-03-26,7.28,16800,-0.4(-2.33 %),2030920,34569337000,0,0,17300,17300,16700
2014-03-27,7.28,16800,0(0.00 %),1026180,17239311000,20000,358000000,16900,16900,16700
2014-03-28,7.36,17000,0.2(1.19 %),713160,12058250000,0,0,16800,17000,16800
2014-03-31,7.28,16800,-0.2(-1.18 %),831760,14094511000,0,0,17100,17100,16800
2014-04-01,7.23,16700,-0.1(-0.60 %),1701600,28529965000,0,0,16900,16900,16600
2014-04-02,7.23,16700,0(0.00 %),1217110,20255491000,0,0,16700,16800,16500
2014-04-03,7.28,16800,0.1(0.60 %),519700,8704591000,0,0,16700,16900,16600
2014-04-04,7.32,16900,0.1(0.60 %),608360,10223215000,0,0,16900,16900,16700
2014-04-07,7.28,16800,-0.1(-0.59 %),441790,7424442000,0,0,16800,16900,16700
2014-04-08,7.23,16700,-0.1(-0.60 %),515610,8657990000,0,0,16800,16900,16700
2014-04-10,7.23,16700,0(0.00 %),485550,8114991000,0,0,16700,16800,16700
2014-04-11,7.19,16600,-0.1(-0.60 %),670380,11139432000,0,0,16600,16700,16500
2014-04-14,7.23,16700,0.1(0.60 %),414100,6921912000,0,0,16700,16800,16600
2014-04-15,7.15,16500,-0.2(-1.20 %),480360,7952051000,0,0,16600,16700,16500
2014-04-16,6.93,16000,-0.5(-3.03 %),1065090,17250560000,0,0,16500,16500,15800
2014-04-17,6.97,16100,0.1(0.62 %),681040,11053211000,0,0,16000,16400,16000
2014-04-18,6.89,15900,-0.2(-1.24 %),763370,12243898000,0,0,16100,16200,15900
2014-04-21,6.71,15500,-0.4(-2.52 %),565920,8865436000,0,0,15900,15900,15400
2014-04-22,6.84,15800,0.3(1.94 %),529160,8230197000,80000,1320000000,15400,15800,15300
2014-04-23,6.84,15800,0(0.00 %),217960,3430359000,0,0,15900,15900,15600
2014-04-24,6.89,15900,0.1(0.63 %),288090,4546911000,0,0,15700,15900,15700
2014-04-25,6.8,15700,-0.2(-1.26 %),516240,8149581000,80000,1360000000,15700,16000,15700
2014-04-28,6.8,15700,0(0.00 %),336220,5278945000,0,0,15700,15800,15600
2014-04-29,6.84,15800,0.1(0.64 %),202970,3196577000,0,0,15700,15800,15700
2014-05-05,6.76,15600,-0.2(-1.27 %),301760,4733164000,60000,1014000000,15900,15900,15500
2014-05-06,6.58,15200,-0.4(-2.56 %),479520,7320848000,0,0,15500,15600,15100
2014-05-07,6.71,15500,0.3(1.97 %),274120,4213067000,0,0,15200,15600,15200
2014-05-08,6.32,14600,-0.9(-5.81 %),1515840,22099097000,0,0,15300,15300,14500
2014-05-09,6.41,14800,0.2(1.37 %),308830,4534444000,0,0,14400,14800,14400
2014-05-12,6.06,14000,-0.8(-5.41 %),520700,7288128000,0,0,14700,14700,13800
2014-05-13,6.11,14100,0.1(0.71 %),695610,9730486000,0,0,13500,14200,13500
2014-05-14,6.37,14700,0.6(4.26 %),473470,6821512000,0,0,14000,14800,14000
2014-05-15,6.15,14200,-0.5(-3.40 %),636940,9180116000,0,0,14800,14800,13900
2014-05-16,6.32,14600,0.4(2.82 %),333670,4807405000,0,0,14200,14600,14100
