Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2021-01-04,12.21,14100,0.9(6.82 %),10600,144000000,0,0,13200,14100,13200
2021-01-05,13.03,15050,0.95(6.74 %),192500,2897000000,0,0,15050,15050,15050
2021-01-06,13.94,16100,1.05(6.98 %),647500,10406000000,0,0,16100,16100,15950
2021-01-07,14.81,17100,1(6.21 %),889400,14698000000,0,0,16100,17200,15000
2021-01-08,14.29,16500,-0.6(-3.51 %),357000,5766000000,0,0,17300,17500,15950
2021-01-11,13.29,15350,-1.15(-6.97 %),102500,1575000000,0,0,15700,16000,15350
2021-01-12,12.38,14300,-1.05(-6.84 %),107500,1537000000,0,0,14300,14300,14300
2021-01-13,11.95,13800,-0.5(-3.50 %),787000,10487000000,0,0,13300,14300,13300
2021-01-14,11.6,13400,-0.4(-2.90 %),400600,5215000000,0,0,14000,14300,12850
2021-01-15,11.78,13600,0.2(1.49 %),187600,2569000000,0,0,13600,13900,13400
2021-01-18,11.08,12800,-0.8(-5.88 %),350100,4539000000,0,0,13600,13600,12750
2021-01-19,10.65,12300,-0.5(-3.91 %),355900,4360000000,0,0,12700,12750,11950
2021-01-20,10.35,11950,-0.35(-2.85 %),107200,1268000000,0,0,11800,12000,11550
2021-01-21,10.65,12300,0.35(2.93 %),148700,1793000000,0,0,11950,12400,11800
2021-01-22,10.48,12100,-0.2(-1.63 %),167900,2043000000,200000,2300000000,12450,12500,12000
2021-01-25,10.3,11900,-0.2(-1.65 %),160000,1891000000,0,0,11900,12100,11700
2021-01-26,10.22,11800,-0.1(-0.84 %),128500,1515000000,0,0,11800,12000,11600
2021-01-27,10.22,11800,0(0.00 %),177600,2068000000,0,0,11650,11900,11400
2021-01-28,10.04,11600,-0.2(-1.69 %),308300,3521000000,0,0,11500,11600,11150
2021-01-29,10.48,12100,0.5(4.31 %),169200,2014000000,1000000,12000000000,11500,12200,11500
2021-02-01,10.65,12300,0.2(1.65 %),348100,4302000000,0,0,12200,12550,12100
2021-02-02,10.48,12100,-0.2(-1.63 %),1019200,12282000000,0,0,12400,12400,12000
2021-02-03,10.56,12200,0.1(0.83 %),965700,11628000000,0,0,11900,12250,11900
2021-02-04,10.35,11950,-0.25(-2.05 %),163300,1961000000,0,0,12250,12250,11950
2021-02-05,10.22,11800,-0.15(-1.26 %),359200,4239000000,0,0,11850,11950,11750
2021-02-08,9.96,11500,-0.3(-2.54 %),146500,1702000000,0,0,11800,11800,11500
2021-02-09,10.04,11600,0.1(0.87 %),132600,1530000000,0,0,11500,11700,11400
2021-02-17,10.13,11700,0.1(0.86 %),114100,1336000000,0,0,11800,11800,11500
2021-02-18,10.04,11600,-0.1(-0.85 %),259200,3012000000,0,0,11800,11800,11600
2021-02-19,9.96,11500,-0.1(-0.86 %),135400,1557000000,0,0,11500,11550,11450
2021-02-22,10.04,11600,0.1(0.87 %),584600,6723000000,0,0,11500,11600,11450
2021-02-23,10.13,11700,0.1(0.86 %),203100,2382000000,0,0,11650,11850,11650
2021-02-24,10.09,11650,-0.05(-0.43 %),166700,1943000000,0,0,11700,11700,11600
2021-02-25,10.0,11550,-0.1(-0.86 %),852700,9893000000,0,0,11600,11700,11550
2021-02-26,9.91,11450,-0.1(-0.87 %),92600,1062000000,0,0,11400,11550,11400
2021-03-01,10.0,11550,0.1(0.87 %),74400,859000000,0,0,11500,11600,11500
2021-03-02,10.0,11550,0(0.00 %),328300,3776000000,0,0,11550,11550,11500
2021-03-03,10.13,11700,0.15(1.30 %),142000,1648000000,0,0,11600,11700,11500
2021-03-04,10.43,12050,0.35(2.99 %),787300,9453000000,0,0,11850,12100,11700
2021-03-05,10.56,12200,0.15(1.24 %),392400,4785000000,0,0,12050,12400,12050
2021-03-08,10.48,12100,-0.1(-0.82 %),41100,501000000,0,0,12450,12450,12100
2021-03-09,10.22,11800,-0.3(-2.48 %),189500,2203000000,0,0,12100,12100,11500
2021-03-10,10.13,11700,-0.1(-0.85 %),161800,1866000000,0,0,11600,11800,11450
2021-03-11,9.96,11500,-0.2(-1.71 %),384700,4432000000,0,0,11600,11600,11450
2021-03-12,9.83,11350,-0.15(-1.30 %),180700,2051000000,0,0,11500,11500,11250
2021-03-15,9.83,11350,0(0.00 %),384600,4310000000,0,0,11300,11400,11050
2021-03-16,9.74,11250,-0.1(-0.88 %),337900,3746000000,0,0,11400,11500,11000
2021-03-17,9.57,11050,-0.2(-1.78 %),239500,2637000000,0,0,11250,11250,10950
2021-03-18,9.7,11200,0.15(1.36 %),108900,1200000000,0,0,11050,11200,10950
2021-03-19,9.61,11100,-0.1(-0.89 %),123500,1359000000,0,0,11200,11200,10950
2021-03-22,9.52,11000,-0.1(-0.90 %),224700,2471000000,0,0,11100,11100,10900
2021-03-23,9.74,11250,0.25(2.27 %),567000,6258000000,0,0,10950,11350,10900
2021-03-24,9.57,11050,-0.2(-1.78 %),184200,2071000000,0,0,11000,11400,11000
2021-03-25,9.48,10950,-0.1(-0.90 %),226700,2497000000,0,0,11050,11300,10900
2021-03-26,9.48,10950,0(0.00 %),161000,1761000000,0,0,10950,11000,10850
2021-03-29,9.61,11100,0.15(1.37 %),221200,2444000000,0,0,11000,11200,10900
2021-03-30,10.13,11700,0.6(5.41 %),1065100,12192000000,0,0,11300,11700,11050
2021-03-31,10.13,11700,0(0.00 %),564900,6627000000,0,0,11900,11900,11650
2021-04-01,9.7,11200,-0.5(-4.27 %),301700,3418000000,0,0,11700,11750,11200
2021-04-02,9.7,11200,0(0.00 %),380700,4193000000,0,0,11200,11200,10950
2021-04-05,9.61,11100,-0.1(-0.89 %),197000,2176000000,0,0,11200,11300,10950
2021-04-06,9.52,11000,-0.1(-0.90 %),187100,2057000000,0,0,11100,11200,10950
2021-04-07,9.52,11000,0(0.00 %),220100,2406000000,0,0,11000,11000,10850
