Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2006-12-29,1.71,52500,2.5(5.00 %),10,525,0,0,50000,52500,50000
2007-01-02,1.71,52500,0(0.00 %),0,0,0,0,52500,52500,52500
2007-01-03,1.79,55000,2.5(4.76 %),10,0,0,0,55000,55000,55000
2007-01-04,1.87,57500,2.5(4.55 %),10,1000000,0,0,57500,57500,57500
2007-01-05,1.95,60000,2.5(4.35 %),10,0,0,0,60000,60000,60000
2007-01-08,2.05,63000,3(5.00 %),10,0,0,0,63000,63000,63000
2007-01-09,2.15,66000,3(4.76 %),550,36000000,0,0,63000,66000,63000
2007-01-10,2.25,69000,3(4.55 %),20,1000000,0,0,66000,69000,66000
2007-01-11,2.35,72000,3(4.35 %),10,1000000,0,0,69000,72000,69000
2007-01-12,2.46,75500,3.5(4.86 %),10,1000000,0,0,72000,75500,72000
2007-01-15,2.57,79000,3.5(4.64 %),50,4000000,0,0,75500,79000,75500
2007-01-16,2.69,82500,3.5(4.43 %),50,4000000,0,0,79000,82500,79000
2007-01-17,2.82,86500,4(4.85 %),300,26000000,0,0,82500,86500,82500
2007-01-18,2.95,90500,4(4.62 %),1000,91000000,0,0,86500,90500,86500
2007-01-19,3.09,95000,4.5(4.97 %),20,2000000,0,0,90500,95000,90500
2007-01-22,3.24,99500,4.5(4.74 %),300,30000000,0,0,95000,99500,95000
2007-01-23,3.39,104000,4.5(4.52 %),2480,258000000,0,0,99500,104000,99500
2007-01-24,3.55,109000,5(4.81 %),200,22000000,0,0,104000,109000,104000
2007-01-25,3.71,114000,5(4.59 %),1120,128000000,0,0,109000,114000,109000
2007-01-26,3.88,119000,5(4.39 %),510,61000000,0,0,119000,119000,119000
2007-01-29,4.04,124000,5(4.20 %),4020,498000000,0,0,124000,124000,124000
2007-01-30,4.23,130000,6(4.84 %),500,65000000,0,0,124000,130000,124000
2007-01-31,4.43,135000,6(4.65 %),90,9000000,0,0,129000,135000,129000
2007-02-01,4.63,141000,6(4.44 %),40,4000000,0,0,135000,141000,135000
2007-02-02,4.86,148000,7(4.96 %),10,1000000,0,0,141000,148000,141000
2007-02-05,5.09,155000,7(4.73 %),20,3000000,0,0,155000,155000,155000
2007-02-06,5.32,162000,7(4.52 %),40,6000000,0,0,162000,162000,162000
2007-02-07,5.58,170000,8(4.94 %),700,119000000,0,0,170000,170000,170000
2007-02-08,5.84,178000,8(4.71 %),2900,516000000,0,0,178000,178000,178000
2007-02-09,6.1,186000,8(4.49 %),9270,1724000000,0,0,186000,186000,186000
2007-02-12,6.4,195000,9(4.84 %),9290,1812000000,0,0,195000,195000,195000
2007-02-13,6.7,204000,9(4.62 %),4500,918000000,0,0,204000,204000,204000
2007-02-14,7.02,214000,10(4.90 %),1600,342000000,0,0,214000,214000,214000
2007-02-15,7.35,224000,10(4.67 %),14500,3248000000,0,0,224000,224000,224000
2007-02-26,7.71,235000,11(4.91 %),500,115000000,0,0,235000,235000,224000
2007-02-27,8.07,246000,11(4.68 %),20,5000000,0,0,246000,246000,246000
2007-02-28,8.47,258000,12(4.88 %),490,126000000,0,0,258000,258000,258000
2007-03-01,8.86,270000,12(4.65 %),600,162000000,0,0,270000,270000,270000
2007-03-02,9.29,283000,13(4.81 %),2080,589000000,0,0,283000,283000,283000
2007-03-05,9.75,297000,14(4.95 %),4560,1354000000,0,0,297000,297000,297000
2007-03-06,10.21,311000,14(4.71 %),600,187000000,0,0,311000,311000,311000
2007-03-07,10.7,326000,15(4.82 %),650,212000000,0,0,311000,326000,311000
2007-03-08,11.23,342000,16(4.91 %),7430,2541000000,0,0,342000,342000,342000
2007-03-09,11.78,359000,17(4.97 %),6550,2351000000,0,0,359000,359000,359000
2007-03-12,12.34,376000,17(4.74 %),920,346000000,0,0,359000,376000,359000
2007-03-13,12.93,394000,18(4.79 %),1540,607000000,0,0,394000,394000,376000
2007-03-14,13.56,413000,19(4.82 %),1430,591000000,0,0,413000,413000,413000
2007-03-15,14.21,433000,20(4.84 %),690,299000000,0,0,413000,433000,413000
2007-03-16,14.9,454000,21(4.85 %),26380,11977000000,0,0,454000,454000,454000
2007-03-19,14.18,432000,-22(-4.85 %),9400,4370000000,0,0,476000,476000,432000
2007-03-20,13.49,411000,-21(-4.86 %),16210,6676000000,0,0,432000,432000,411000
2007-03-21,12.83,391000,-20(-4.87 %),6780,2651000000,0,0,391000,391000,391000
2007-03-22,12.21,372000,-19(-4.86 %),33410,12429000000,0,0,372000,372000,372000
2007-03-23,12.8,390000,18(4.84 %),10520,4103000000,0,0,390000,390000,390000
2007-03-26,13.42,409000,19(4.87 %),8330,3407000000,0,0,409000,409000,409000
2007-03-27,14.08,429000,20(4.89 %),12640,5423000000,0,0,429000,429000,429000
2007-03-28,14.77,450000,21(4.90 %),10070,4532000000,0,0,450000,450000,450000
2007-03-29,15.49,472000,22(4.89 %),15050,7104000000,0,0,472000,472000,472000
2007-03-30,16.25,495000,23(4.87 %),64090,31613000000,0,0,489000,495000,489000
2007-04-02,15.79,481000,-14(-2.83 %),13730,6609000000,0,0,480000,489000,480000
2007-04-03,15.72,479000,-2(-0.42 %),19710,9441000000,0,0,479000,479000,479000
2007-04-04,15.59,475000,-4(-0.84 %),16960,8105000000,0,0,479000,479000,475000
2007-04-05,15.59,475000,0(0.00 %),20710,9837000000,0,0,475000,475000,475000
2007-04-06,15.72,479000,4(0.84 %),10940,5204000000,0,0,475000,479000,475000
2007-04-09,16.41,500000,21(4.38 %),13460,6668000000,0,0,489000,500000,489000
2007-04-10,17.23,525000,25(5.00 %),19720,10353000000,0,0,525000,525000,525000
2007-04-11,18.08,551000,26(4.95 %),7530,4149000000,0,0,551000,551000,551000
2007-04-12,17.43,531000,-20(-3.63 %),44750,25353000000,0,0,578000,578000,531000
2007-04-13,18.05,550000,19(3.58 %),11140,6000000000,0,0,531000,550000,531000
2007-04-16,17.36,529000,-21(-3.82 %),18400,10047000000,0,0,560000,560000,529000
2007-04-17,16.74,510000,-19(-3.59 %),20150,10312000000,0,0,510000,518000,510000
2007-04-18,17.56,535000,25(4.90 %),11190,5828000000,0,0,510000,535000,510000
2007-04-19,17.4,530000,-5(-0.93 %),7700,4081000000,0,0,530000,530000,530000
2007-04-20,16.71,509000,-21(-3.96 %),27220,13763000000,0,0,507000,509000,505000
2007-04-23,15.89,484000,-25(-4.91 %),32230,15619000000,0,0,490000,490000,484000
2007-04-24,15.26,465000,-19(-3.93 %),37510,17442000000,0,0,465000,465000,465000
2007-04-25,16.02,488000,23(4.95 %),10230,4990000000,0,0,487000,488000,487000
2007-05-02,16.8,512000,24(4.92 %),5990,3067000000,0,0,512000,512000,512000
2007-05-03,16.84,513000,1(0.20 %),27760,14693000000,0,0,537000,537000,513000
2007-05-04,16.94,515000,3(0.59 %),7120,3652000000,0,0,510000,515000,510000
2007-05-07,17.76,540000,25(4.85 %),32390,17380000000,0,0,520000,540000,520000
2007-05-08,18.09,550000,10(1.85 %),21570,11864000000,0,0,550000,550000,550000
2007-05-09,18.97,577000,27(4.91 %),28690,16301000000,0,0,560000,577000,560000
