Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2006-07-12,3.89,68000,1(1.49 %),151690,10426405,0,0,69500,69500,68000
2006-07-13,3.87,67500,-0.5(-0.74 %),27770,1886460,0,0,68000,68000,67500
2006-07-14,3.78,66000,-1.5(-2.22 %),18100,1206700,0,0,67000,67000,66000
2006-07-17,3.61,63000,-3(-4.55 %),30970,1966570,0,0,64500,64500,63000
2006-07-18,3.55,62000,-1(-1.59 %),51920,3219040,0,0,62000,62000,62000
2006-07-19,3.44,60000,-2(-3.23 %),19760,1195480,120000,7440000,61500,61500,60000
2006-07-20,3.61,63000,3(5.00 %),59600,3652220,0,0,59000,63000,59000
2006-07-21,3.49,61000,-2(-3.17 %),14550,898090,0,0,63000,63000,61000
2006-07-24,3.38,59000,-2(-3.28 %),15150,901450,0,0,60000,60000,59000
2006-07-25,3.26,57000,-2(-3.39 %),113460,6503275,0,0,57500,57500,57000
2006-07-26,3.26,57000,0(0.00 %),106560,5983840,0,0,56000,57000,56000
2006-07-27,3.41,59500,2.5(4.39 %),65820,3908845,0,0,59000,59500,59000
2006-07-28,3.49,61000,1.5(2.52 %),75180,4632330,0,0,62000,62000,61000
2006-07-31,3.35,58500,-2.5(-4.10 %),48330,2828780,0,0,61000,61000,58500
2006-08-01,3.24,56500,-2(-3.42 %),35760,2035810,0,0,58000,58000,56500
2006-08-02,3.38,59000,2.5(4.42 %),133050,7689550,0,0,56000,59000,56000
2006-08-03,3.52,61500,2.5(4.24 %),141160,8586600,0,0,60000,61500,60000
2006-08-04,3.61,63000,1.5(2.44 %),164950,10465370,20000,1260000,64000,64000,63000
2006-08-07,3.49,61000,-2(-3.17 %),69930,4351590,0,0,63000,63000,61000
2006-08-08,3.58,62500,1.5(2.46 %),33250,2082680,0,0,62000,63000,62000
2006-08-09,3.58,62500,0(0.00 %),75630,4734875,0,0,63000,63000,62500
2006-08-10,3.61,63000,0.5(0.80 %),72900,4580945,0,0,62000,63000,62000
2006-08-11,3.69,64500,1.5(2.38 %),107520,6898840,0,0,64000,64500,64000
2006-08-14,3.87,67500,3(4.65 %),109620,7385500,10000,675000,67000,67500,67000
2006-08-15,3.84,67000,-0.5(-0.74 %),86840,5812415,0,0,67500,67500,67000
2006-08-16,3.92,68500,1.5(2.24 %),159490,10891490,0,0,68000,68500,68000
2006-08-17,3.95,69000,0.5(0.73 %),155380,10707870,0,0,69000,69000,69000
2006-08-18,3.92,68500,-0.5(-0.72 %),100360,6897060,0,0,69000,69000,68500
2006-08-21,3.95,69000,0.5(0.73 %),111380,7672220,0,0,68000,69000,68000
2006-08-22,3.92,68500,-0.5(-0.72 %),248350,17011975,0,0,68500,68500,68500
2006-08-23,3.98,69500,1(1.46 %),162610,11266630,0,0,68500,69500,68500
2006-08-24,4.15,72500,3(4.32 %),221220,16001660,0,0,72500,72500,72500
2006-08-25,4.15,72500,0(0.00 %),101840,7362680,0,0,72000,72500,72000
2006-08-28,4.24,74000,1.5(2.07 %),100940,7427740,0,0,72500,74000,72500
2006-08-29,4.32,75500,1.5(2.03 %),109570,8230315,0,0,74000,75500,74000
2006-08-30,4.35,76000,0.5(0.66 %),92820,7110140,10000,760000,77000,77000,76000
2006-08-31,4.32,75500,-0.5(-0.66 %),92930,6987580,0,0,75500,75500,74000
2006-09-01,4.44,77500,2(2.65 %),68520,5293115,0,0,77000,77500,77000
2006-09-05,4.55,79500,2(2.58 %),113610,8989545,270000,21740000,78500,79500,78500
2006-09-06,4.55,79500,0(0.00 %),165790,13209345,0,0,79500,80000,79500
2006-09-07,4.5,78500,-1(-1.26 %),223950,17600725,0,0,79000,79000,78500
2006-09-08,4.52,79000,0.5(0.64 %),100800,7963200,0,0,79000,79000,79000
2006-09-11,4.61,80500,1.5(1.90 %),155440,12598450,0,0,81500,81500,80500
2006-09-12,4.55,79500,-1(-1.24 %),73950,5886110,0,0,80000,80000,79500
2006-09-13,4.64,81000,1.5(1.89 %),60580,4888430,0,0,79000,81500,79000
2006-09-14,4.64,81000,0(0.00 %),106750,8646750,0,0,81000,81000,81000
2006-09-15,4.32,75500,-5.5(-6.79 %),225440,17074905,0,0,76000,76000,75500
2006-09-18,4.35,76000,0.5(0.66 %),69320,5268320,0,0,76000,76000,76000
