Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2011-07-20,4.95,10400,-0.5(-4.59 %),4510,46904000,0,0,10400,10400,10400
2011-07-21,4.71,9900,-0.5(-4.81 %),350,3465000,0,0,9900,9900,9900
2011-07-22,4.52,9500,-0.4(-4.04 %),2330,22135000,0,0,9500,9500,9500
2011-07-25,4.33,9100,-0.4(-4.21 %),12130,110383000,0,0,9100,9100,9100
2011-07-26,4.19,8800,-0.3(-3.30 %),65950,575281000,0,0,8700,8800,8700
2011-07-27,4.04,8500,-0.3(-3.41 %),51700,443860000,0,0,9200,9200,8400
2011-07-28,3.9,8200,-0.3(-3.53 %),4920,40435000,0,0,8800,8800,8100
2011-07-29,4.09,8600,0.4(4.88 %),9940,85202000,0,0,8600,8600,8500
2011-08-01,3.9,8200,-0.4(-4.65 %),5110,41906000,0,0,8200,8600,8200
2011-08-02,3.9,8200,0(0.00 %),2740,21826000,0,0,8000,8200,7900
2011-08-03,3.9,8200,0(0.00 %),5500,45200000,0,0,8400,8400,8200
2011-08-04,3.71,7800,-0.4(-4.88 %),16800,135475000,0,0,8200,8400,7800
2011-08-05,3.85,8100,0.3(3.85 %),19560,157676000,0,0,7800,8100,7800
2011-08-08,3.9,8200,0.1(1.23 %),25550,210000000,0,0,8200,8400,8100
2011-08-09,3.71,7800,-0.4(-4.88 %),20670,161399000,0,0,8000,8000,7800
2011-08-10,3.62,7600,-0.2(-2.56 %),25100,190207000,0,0,8000,8000,7500
2011-08-11,3.66,7700,0.1(1.32 %),39380,294724000,0,0,7400,7700,7300
2011-08-12,3.81,8000,0.3(3.90 %),68050,525100000,0,0,7600,8000,7500
2011-08-15,3.95,8300,0.3(3.75 %),28650,236936000,0,0,8200,8300,8200
2011-08-16,4.09,8600,0.3(3.61 %),16160,136444000,0,0,8300,8600,8300
2011-08-17,4.14,8700,0.1(1.16 %),44570,385007000,0,0,8500,8700,8500
2011-08-18,4.19,8800,0.1(1.15 %),61130,533680000,0,0,8600,8800,8600
2011-08-19,4.04,8500,-0.3(-3.41 %),59790,511025000,0,0,8800,8800,8400
2011-08-22,4.24,8900,0.4(4.71 %),38830,333243000,0,0,8500,8900,8500
2011-08-23,4.24,8900,0(0.00 %),35020,309898000,0,0,9000,9000,8800
2011-08-24,4.04,8500,-0.4(-4.49 %),41120,366196000,0,0,9200,9200,8500
2011-08-25,4.04,8500,0(0.00 %),36280,303144000,0,0,8200,8500,8200
2011-08-26,4.09,8600,0.1(1.18 %),55100,477025000,0,0,8700,8800,8600
2011-08-29,4.28,9000,0.4(4.65 %),53310,456946000,0,0,8800,9000,8300
2011-08-30,4.33,9100,0.1(1.11 %),129630,1191010000,0,0,9300,9300,9000
2011-08-31,4.28,9000,-0.1(-1.10 %),41410,364030000,0,0,9000,9000,8700
2011-09-01,4.28,9000,0(0.00 %),62070,541969000,0,0,8600,9300,8600
2011-09-05,4.14,8700,-0.3(-3.33 %),48960,425201000,0,0,9000,9000,8600
2011-09-06,3.95,8300,-0.4(-4.60 %),59180,500366000,0,0,8600,8600,8300
2011-09-07,3.85,8100,-0.2(-2.41 %),86390,702838000,0,0,8000,8200,8000
2011-09-08,4.04,8500,0.4(4.94 %),117260,973133000,0,0,8200,8500,8100
2011-09-09,4.04,8500,0(0.00 %),99710,847535000,0,0,8500,8500,8500
2011-09-12,4.19,8800,0.3(3.53 %),19520,167686000,0,0,8400,8800,8400
2011-09-13,4.04,8500,-0.3(-3.41 %),140280,1201473000,0,0,8900,8900,8400
2011-09-14,3.85,8100,-0.4(-4.71 %),21300,174680000,0,0,8600,8600,8100
2011-09-15,3.81,8000,-0.1(-1.23 %),101580,817263000,0,0,8100,8200,7900
2011-09-16,3.95,8300,0.3(3.75 %),46310,360463000,0,0,7900,8300,7600
2011-09-19,3.81,8000,-0.3(-3.61 %),114610,922550000,0,0,8300,8300,8000
2011-09-20,3.71,7800,-0.2(-2.50 %),95800,751030000,0,0,8300,8300,7700
2011-09-21,3.71,7800,0(0.00 %),100750,785797000,0,0,8000,8000,7700
2011-09-22,3.76,7900,0.1(1.28 %),99390,775824000,0,0,7800,7900,7700
2011-09-23,3.62,7600,-0.3(-3.80 %),93810,741300000,0,0,8000,8000,7600
2011-09-26,3.76,7900,0.3(3.95 %),134470,1031972000,0,0,7600,7900,7600
2011-09-27,3.81,8000,0.1(1.27 %),90200,711344000,0,0,8000,8000,7800
2011-09-28,3.95,8300,0.3(3.75 %),95270,783876000,0,0,8200,8400,7900
2011-09-29,3.85,8100,-0.2(-2.41 %),122540,1005721000,0,0,8300,8500,7900
2011-09-30,3.9,8200,0.1(1.23 %),111890,917398000,0,0,8200,8300,8100
2011-10-03,3.9,8200,0(0.00 %),76020,624964000,0,0,8300,8300,8200
2011-10-04,3.76,7900,-0.3(-3.66 %),91220,722538000,0,0,8100,8100,7800
2011-10-05,3.85,8100,0.2(2.53 %),85500,677850000,0,0,8000,8100,7900
2011-10-06,3.85,8100,0(0.00 %),76750,614789000,0,0,8200,8200,7800
2011-10-07,3.85,8100,0(0.00 %),80320,642606000,0,0,8000,8100,7800
2011-10-10,3.66,7700,-0.4(-4.94 %),72110,569312000,0,0,7900,8000,7700
2011-10-11,3.71,7800,0.1(1.30 %),86980,670543000,0,0,7700,7800,7600
2011-10-12,3.57,7500,-0.3(-3.85 %),72920,553728000,0,0,7700,7700,7500
2011-10-13,3.66,7700,0.2(2.67 %),113070,835687000,0,0,7500,7700,7200
2011-10-14,3.71,7800,0.1(1.30 %),78250,608250000,0,0,7700,7800,7700
2011-10-17,3.81,8000,0.2(2.56 %),64110,501070000,0,0,7700,8000,7700
2011-10-18,3.76,7900,-0.1(-1.25 %),62380,493002000,0,0,8000,8000,7900
2011-10-19,3.71,7800,-0.1(-1.27 %),68670,535125000,0,0,7600,7900,7600
2011-10-20,3.62,7600,-0.2(-2.56 %),38230,297774000,0,0,7800,7800,7600
2011-10-21,3.47,7300,-0.3(-3.95 %),83200,613663000,0,0,7500,7500,7300
2011-10-24,3.57,7500,0.2(2.74 %),57260,424178000,0,0,7300,7500,7300
2011-10-25,3.57,7500,0(0.00 %),64000,478300000,0,0,7500,7500,7300
2011-10-26,3.57,7500,0(0.00 %),56900,426339000,0,0,7600,7600,7400
2011-10-27,3.57,7500,0(0.00 %),49860,373559000,0,0,7500,7600,7400
2011-10-28,3.57,7500,0(0.00 %),59930,443297000,0,0,7500,7500,7300
2011-10-31,3.47,7300,-0.2(-2.67 %),72120,547966000,0,0,7700,7700,7300
2011-11-01,3.57,7500,0.2(2.74 %),64350,478475000,0,0,7400,7500,7100
2011-11-02,3.57,7500,0(0.00 %),68210,511573000,0,0,7500,7500,7300
