Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2025-01-21,20.25,20250,-0.8(-3.80 %),7428700,153291000000,0,0,21000,21000,20250
2025-01-22,20.55,20550,0.3(1.48 %),2778600,56716000000,0,0,20100,20650,20000
2025-01-23,20.5,20500,-0.05(-0.24 %),1806800,37224000000,0,0,20450,20750,20400
2025-01-24,20.3,20300,-0.2(-0.98 %),3056400,62123000000,0,0,20400,20450,20200
2025-02-04,20.85,20850,0.15(0.72 %),2203700,45858000000,0,0,20750,20900,20700
2025-02-05,20.75,20750,-0.1(-0.48 %),1347900,28042000000,0,0,20950,20950,20700
2025-02-06,20.5,20500,-0.25(-1.20 %),2052900,42180000000,0,0,20750,20800,20400
2025-02-07,20.35,20350,-0.15(-0.73 %),2531100,51609000000,0,0,20500,20650,20300
2025-02-10,20.4,20400,0.05(0.25 %),1935900,39479000000,1,20350,20350,20600,20200
2025-02-11,20.2,20200,-0.2(-0.98 %),2865000,58041000000,0,0,20400,20450,20050
2025-02-12,20.15,20150,-0.05(-0.25 %),1897100,38287000000,0,0,20200,20300,20100
2025-02-13,19.85,19850,-0.3(-1.49 %),3536100,70349000000,0,0,20200,20200,19750
2025-02-14,20.1,20100,0.25(1.26 %),3058400,61527000000,0,0,19900,20400,19900
2025-02-17,20.1,20100,0(0.00 %),2239800,44945000000,0,0,20150,20200,19950
2025-02-18,20.05,20050,-0.05(-0.25 %),2036800,40870000000,0,0,20250,20250,20000
2025-02-19,20.4,20400,0.35(1.75 %),3247300,65824000000,0,0,20100,20500,20050
2025-02-20,20.25,20250,-0.15(-0.74 %),1976600,40215000000,0,0,20400,20500,20250
2025-02-21,20.15,20150,-0.1(-0.49 %),2438400,49134000000,0,0,20250,20300,20050
2025-02-24,20.15,20150,0(0.00 %),2102000,42151000000,0,0,20050,20150,20000
2025-02-25,20.45,20450,0.3(1.49 %),3729900,76071000000,0,0,20250,20500,20150
2025-02-26,20.25,20250,-0.2(-0.98 %),1829900,37208000000,0,0,20450,20500,20250
2025-02-27,20.25,20250,0(0.00 %),2230100,44932000000,0,0,20200,20250,20100
