Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2009-11-26,4.73,15800,-0.8(-4.82 %),19560,309048000,0,0,15800,15800,15800
2009-11-27,4.94,16500,0.7(4.43 %),32570,502489000,0,0,15100,16500,15100
2009-11-30,4.7,15700,-0.8(-4.85 %),14250,231882000,0,0,15700,16500,15700
2009-12-01,4.7,15700,0(0.00 %),12180,187433000,0,0,15700,16200,15000
2009-12-02,4.49,15000,-0.7(-4.46 %),17480,263148000,0,0,15000,15500,15000
2009-12-03,4.28,14300,-0.7(-4.67 %),19830,283569000,0,0,14300,14300,14300
2009-12-04,4.07,13600,-0.7(-4.90 %),30690,418718000,0,0,13700,13800,13600
2009-12-07,4.19,14000,0.4(2.94 %),38590,504319000,0,0,13200,14000,13000
2009-12-08,4.04,13500,-0.5(-3.57 %),11460,154781000,0,0,14000,14000,13300
2009-12-09,3.86,12900,-0.6(-4.44 %),6480,83897000,0,0,13500,13500,12900
2009-12-10,3.68,12300,-0.6(-4.65 %),4810,60475000,0,0,13000,13000,12300
2009-12-11,3.56,11900,-0.4(-3.25 %),19680,231878000,0,0,11800,11900,11700
2009-12-14,3.62,12100,0.2(1.68 %),5310,62787000,0,0,11500,12400,11500
2009-12-15,3.8,12700,0.6(4.96 %),7400,92202000,0,0,12100,12700,12000
2009-12-16,3.71,12400,-0.3(-2.36 %),7930,97935000,0,0,12400,12700,12200
2009-12-17,3.68,12300,-0.1(-0.81 %),13840,169219000,0,0,13000,13000,12000
2009-12-18,3.86,12900,0.6(4.88 %),7390,93651000,0,0,12000,12900,12000
2009-12-21,4.04,13500,0.6(4.65 %),15750,209500000,0,0,13100,13500,13000
2009-12-22,4.04,13500,0(0.00 %),9740,132418000,0,0,13800,13800,13000
2009-12-23,4.01,13400,-0.1(-0.74 %),9750,126576000,0,0,13000,13600,12900
2009-12-24,3.98,13300,-0.1(-0.75 %),4860,64032000,20009,268121000,13000,13300,13000
2009-12-25,4.13,13800,0.5(3.76 %),26310,351381000,0,0,13400,13800,13000
2009-12-28,4.04,13500,-0.3(-2.17 %),30340,404560000,0,0,13500,13500,13200
2009-12-29,4.04,13500,0(0.00 %),2020,26300000,0,0,13800,13800,12900
2009-12-30,4.04,13500,0(0.00 %),8090,109651000,0,0,13500,13700,13500
2009-12-31,3.89,13000,-0.5(-3.70 %),35280,464038000,0,0,13000,13500,13000
2010-01-04,4.07,13600,0.6(4.62 %),40540,548719000,0,0,13200,13600,13200
2010-01-05,4.07,13600,0(0.00 %),37310,512012000,0,0,14200,14200,13600
