Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2010-04-15,9.2,38000,-0.4(-1.04 %),115180,4538167000,0,0,40200,40200,37000
2010-04-16,9.2,38000,0(0.00 %),40500,1528988000,0,0,38000,38000,37500
2010-04-19,9.27,38300,0.3(0.79 %),65670,2504974000,0,0,38300,38400,38000
2010-04-20,9.44,38500,0.7(1.85 %),257630,9875403000,0,0,38500,38500,38000
2010-04-21,9.4,38300,-0.2(-0.52 %),115690,4449824000,31003,1134710000,38500,38600,38300
2010-04-22,9.57,39000,0.7(1.83 %),304480,11997000000,0,0,38300,40200,38300
2010-04-26,10.03,40900,1.9(4.87 %),418040,16915431000,0,0,39500,40900,39000
2010-04-27,10.52,42900,2(4.89 %),211120,9022936000,0,0,42800,42900,42000
2010-04-28,11.04,45000,2.1(4.90 %),125120,5630399000,0,0,45000,45000,44900
2010-04-29,11.58,47200,2.2(4.89 %),265920,12551374000,59490,2546172000,47200,47200,47100
2010-05-04,12.14,49500,2.3(4.87 %),498340,24517953000,0,0,49200,49500,48000
2010-05-05,12.63,51500,2(4.04 %),316340,16030115000,0,0,49000,51500,49000
2010-05-06,12.63,51500,0(0.00 %),219420,11283045000,0,0,53500,53500,50500
2010-05-07,12.02,49000,-2.5(-4.85 %),165080,8122251000,0,0,49100,51000,49000
2010-05-10,11.43,46600,-2.4(-4.90 %),285430,13312628000,0,0,46800,47000,46600
2010-05-11,10.87,44300,-2.3(-4.94 %),261630,11733240000,120000,5760000000,45000,46000,44300
2010-05-12,10.33,42100,-2.2(-4.97 %),150350,6334867000,0,0,42200,43800,42100
2010-05-13,10.7,43600,1.5(3.56 %),283660,12182253000,0,0,41400,44200,41200
2010-05-14,11.01,44900,1.3(2.98 %),25640,1150891000,0,0,45400,45400,44000
2010-05-17,10.47,42700,-2.2(-4.90 %),74950,3205474000,0,0,44900,44900,42700
2010-05-18,9.96,40600,-2.1(-4.92 %),154960,6317884000,0,0,43000,43000,40600
2010-05-19,9.47,38600,-2(-4.93 %),154380,6005158000,0,0,39000,40600,38600
2010-05-20,9.93,40500,1.9(4.92 %),71910,2705475000,0,0,36900,40500,36700
2010-05-21,9.44,38500,-2(-4.94 %),48130,1853005000,0,0,38500,38500,38500
2010-05-24,9.49,38700,0.2(0.52 %),89480,3328059000,0,0,37200,38700,36600
2010-05-25,9.08,37000,-1.7(-4.39 %),25750,963698000,0,0,38700,39000,37000
2010-05-26,9.47,38600,1.6(4.32 %),72800,2767546000,0,0,37000,38600,37000
2010-05-27,9.27,37800,-0.8(-2.07 %),17910,682434000,0,0,39400,39400,37800
2010-05-28,9.71,39600,1.8(4.76 %),160990,6374725000,0,0,39600,39600,39400
2010-05-31,10.18,41500,1.9(4.80 %),162530,6728675000,0,0,41000,41500,39000
2010-06-01,10.18,41500,0(0.00 %),126600,5234132000,0,0,41600,42000,40000
2010-06-02,10.28,41900,0.4(0.96 %),80890,3318658000,0,0,41400,41900,40000
2010-06-03,10.3,42000,0.1(0.24 %),121800,5137630000,0,0,42000,43000,41900
2010-06-04,10.25,41800,-0.2(-0.48 %),165700,6851425000,0,0,41000,41800,40100
2010-06-07,9.81,40000,-1.8(-4.31 %),60010,2416615000,0,0,39900,41800,39900
2010-06-08,9.54,38900,-1.1(-2.75 %),13930,541882000,0,0,38600,40500,38600
2010-06-09,9.57,39000,0.1(0.26 %),142850,5622091000,0,0,40700,40700,38900
2010-06-10,9.91,40400,1.4(3.59 %),40940,1642231000,0,0,40000,40400,38700
2010-06-11,10.03,40900,0.5(1.24 %),91460,3761683000,0,0,40800,41500,40700
2010-06-14,10.06,41000,0.1(0.24 %),90620,3713063000,0,0,40200,42000,40200
2010-06-15,10.08,41100,0.1(0.24 %),66430,2726653000,0,0,41000,41100,40800
2010-06-16,10.08,41100,0(0.00 %),55290,2283412000,0,0,41100,41700,41100
2010-06-17,10.16,41400,0.3(0.73 %),52360,2155830000,20000,822000000,41200,41400,40000
2010-06-18,10.28,41900,0.5(1.21 %),134620,5615279000,0,0,41400,41900,41000
2010-06-21,10.28,41900,0(0.00 %),169340,7134583000,0,0,41900,42700,41500
2010-06-22,10.08,41100,-0.8(-1.91 %),17700,736810000,0,0,41600,42000,41000
2010-06-23,10.06,41000,-0.1(-0.24 %),27040,1111392000,0,0,41500,41500,40200
2010-06-24,10.06,41000,0(0.00 %),108310,4434817000,0,0,40700,41000,40700
2010-06-25,10.01,40800,-0.2(-0.49 %),145250,5883288000,0,0,39700,40800,39500
2010-06-28,9.81,40000,-0.8(-1.96 %),33060,1331987000,0,0,40800,40800,39600
2010-06-29,9.81,40000,0(0.00 %),43700,1756840000,0,0,40800,40800,40000
2010-06-30,9.32,38000,-2(-5.00 %),91110,3488546000,119970,4838740000,38600,39000,38000
2010-07-01,9.57,39000,1(2.63 %),15700,611107000,0,0,39700,39700,38500
2010-07-02,9.47,38600,-0.4(-1.03 %),17750,686014000,50000,1855000000,39400,39400,38600
2010-07-05,9.54,38900,0.3(0.78 %),22920,888090000,0,0,39000,39000,38500
2010-07-06,9.52,38800,-0.1(-0.26 %),39800,1540675000,0,0,38000,38800,38000
2010-07-07,9.32,38000,-0.8(-2.06 %),24250,933005000,0,0,38900,38900,38000
2010-07-08,9.44,38500,0.5(1.32 %),33510,1264711000,0,0,38000,38500,37300
2010-07-09,9.44,38500,0(0.00 %),24910,956740000,0,0,39000,39000,38000
2010-07-12,9.1,37100,-1.4(-3.64 %),33700,1262170000,0,0,38400,38600,37100
2010-07-13,9.54,38900,1.8(4.85 %),42840,1637418000,0,0,37100,38900,37100
2010-07-14,9.64,39300,0.4(1.03 %),97880,3830185000,0,0,39300,39400,38800
2010-07-15,9.54,38900,-0.4(-1.02 %),12050,468695000,0,0,39300,39300,38000
2010-07-16,9.52,38800,-0.1(-0.26 %),39690,1541606000,0,0,38900,38900,38000
2010-07-19,9.49,38700,-0.1(-0.26 %),20500,793500000,0,0,38800,38800,38700
2010-07-20,9.64,39300,0.6(1.55 %),91690,3572931000,0,0,38700,39300,38700
2010-07-21,9.66,39400,0.1(0.25 %),92060,3616023000,0,0,39300,39400,39000
2010-07-22,9.49,38700,-0.7(-1.78 %),15000,580920000,0,0,39000,39000,38700
2010-07-23,9.49,38700,0(0.00 %),36500,1419850000,0,0,39200,39200,38500
2010-07-26,9.54,38900,0.2(0.52 %),22550,870283000,0,0,38500,38900,38200
2010-07-27,9.57,39000,0.1(0.26 %),38500,1500150000,0,0,38700,39000,38700
2010-07-28,9.54,38900,-0.1(-0.26 %),47600,1842439000,0,0,38900,38900,37700
2010-07-29,9.32,38000,-0.9(-2.31 %),24570,933660000,0,0,38000,38000,38000
2010-07-30,9.57,39000,1(2.63 %),28540,1093466000,0,0,37900,39000,37900
2010-08-02,9.52,38800,-0.2(-0.51 %),27460,1053180000,0,0,38200,38800,38000
2010-08-03,9.52,38800,0(0.00 %),25590,992892000,0,0,38800,38800,38800
2010-08-04,9.52,38800,0(0.00 %),40850,1573504000,0,0,38700,38800,38000
2010-08-05,9.57,39000,0.2(0.52 %),10000,390000000,20000,814000000,39000,39000,39000
2010-08-06,9.57,39000,0(0.00 %),90510,3517616000,20000,818000000,39000,39200,38300
2010-08-09,9.54,38900,-0.1(-0.26 %),31230,1205119000,152550,5856625000,38800,38900,38000
2010-08-10,9.2,37500,-1.4(-3.60 %),46020,1735380000,126450,5159160000,38900,38900,37500
2010-08-11,9.47,37900,1.1(2.99 %),43000,1633100000,0,0,37500,38100,37500
2010-08-12,9.02,36100,-1.8(-4.75 %),93180,3431453000,0,0,37000,37900,36100
2010-08-13,9.35,37400,1.3(3.60 %),37910,1413999000,0,0,37500,37700,36500
2010-08-16,9.57,38300,0.9(2.41 %),38030,1448055000,0,0,36100,38800,36100
2010-08-17,9.5,38000,-0.3(-0.78 %),50000,1899999000,0,0,37900,38000,37900
2010-08-18,9.47,37900,-0.1(-0.26 %),50000,1890000000,0,0,37800,37900,37000
2010-08-19,9.27,37100,-0.8(-2.11 %),67890,2544008000,0,0,37900,37900,37000
2010-08-20,8.95,35800,-1.3(-3.50 %),105600,3837945000,0,0,36900,37200,35800
2010-08-23,8.57,34300,-1.5(-4.19 %),48510,1695950000,0,0,35800,36000,34300
2010-08-24,8.75,35000,0.7(2.04 %),102880,3563105000,0,0,34300,35000,33000
2010-08-25,8.5,34000,-1(-2.86 %),59100,2008208000,0,0,34500,34500,33600
2010-08-26,8.25,33000,-1(-2.94 %),62000,2104344000,0,0,34000,34200,33000
2010-08-27,8.3,33200,0.2(0.61 %),47730,1570856000,0,0,32100,33200,32000
2010-08-30,8.7,34800,1.6(4.82 %),77820,2699044000,0,0,34400,34800,34400
2010-08-31,8.72,34900,0.1(0.29 %),28750,988400000,0,0,33700,35000,33700
2010-09-01,8.45,33800,-1.1(-3.15 %),28830,986144000,0,0,34900,34900,33800
2010-09-06,8.45,33800,0(0.00 %),8410,283785000,0,0,34000,34500,33500
2010-09-07,8.15,32600,-1.2(-3.55 %),32490,1080772000,0,0,33800,34200,32600
2010-09-08,8.0,32000,-0.6(-1.84 %),2000,64300000,0,0,32300,32300,32000
2010-09-09,8.12,32500,0.5(1.56 %),37580,1209319000,0,0,32500,32500,32000
2010-09-10,8.52,34100,1.6(4.92 %),58330,1955729000,0,0,32500,34100,32500
2010-09-13,8.1,32400,-1.7(-4.99 %),181430,5935832000,0,0,34000,35300,32400
2010-09-14,8.32,33300,0.9(2.78 %),95740,3165778000,0,0,31600,33300,31500
2010-09-15,8.37,33500,0.2(0.60 %),51560,1731480000,0,0,34400,34400,32800
2010-09-16,8.15,32600,-0.9(-2.69 %),56100,1863410000,0,0,32500,33900,32500
2010-09-17,8.5,34000,1.4(4.29 %),350010,11733548000,0,0,31500,34000,31500
2010-09-20,8.5,34000,0(0.00 %),59970,2079334000,0,0,35400,35400,34000
2010-09-21,8.32,33300,-0.7(-2.06 %),24260,808224000,0,0,34000,34000,33100
2010-09-22,7.97,31900,-1.4(-4.20 %),51300,1670610000,0,0,32300,33600,31900
2010-09-23,8.0,32000,0.1(0.31 %),17950,571797000,0,0,31900,32000,31500
2010-09-24,8.0,32000,0(0.00 %),9200,296900000,0,0,33000,33000,32000
2010-09-27,8.0,32000,0(0.00 %),21520,691540000,0,0,32600,32600,32000
2010-09-28,8.0,32000,0(0.00 %),1450,46420000,0,0,32400,32400,32000
2010-09-29,8.0,32000,0(0.00 %),31750,1013100000,0,0,31700,32200,31700
2010-09-30,7.9,31600,-0.4(-1.25 %),37480,1195328000,0,0,32000,32000,31600
2010-10-01,7.92,31700,0.1(0.32 %),6050,190905000,80000,2408000000,31500,31700,31500
2010-10-04,7.55,30200,-1.5(-4.73 %),93740,2882885000,0,0,31700,31700,30200
2010-10-05,7.25,29000,-1.2(-3.97 %),102670,2968552000,0,0,29000,29700,28700
2010-10-06,7.3,29200,0.2(0.69 %),87510,2531076000,20000,600000000,30300,30300,28200
2010-10-07,7.5,30000,0.8(2.74 %),219950,6474575000,0,0,29000,30600,29000
2010-10-08,7.75,31000,1(3.33 %),142990,4387314000,0,0,30000,31000,29800
2010-10-11,7.85,31400,0.4(1.29 %),112290,3529525000,0,0,31400,31700,31300
2010-10-12,7.6,30400,-1(-3.18 %),80980,2493144000,0,0,30600,31600,30000
2010-10-13,7.77,31100,0.7(2.30 %),66920,2037351000,0,0,29000,31200,29000
2010-10-14,7.7,30800,-0.3(-0.96 %),43030,1322052000,0,0,31100,31100,30300
2010-10-15,7.57,30300,-0.5(-1.62 %),53270,1619767000,0,0,30800,30800,30100
2010-10-18,7.52,30100,-0.2(-0.66 %),44510,1346151000,0,0,30300,30300,30100
2010-10-19,7.25,29000,-1.1(-3.65 %),30720,910357000,0,0,30100,30100,28700
2010-10-20,6.95,27800,-1.2(-4.14 %),85500,2408280000,0,0,28000,28400,27600
2010-10-21,6.92,27700,-0.1(-0.36 %),12830,355318000,0,0,29100,29100,27200
2010-10-22,7.17,28700,1(3.61 %),97520,2769471000,0,0,28900,29000,27900
2010-10-25,7.2,28800,0.1(0.35 %),50,1451000,0,0,29900,29900,28800
2010-10-26,7.25,29000,0.2(0.69 %),35980,1038112000,0,0,28800,29400,28800
2010-10-27,7.32,29300,0.3(1.03 %),66510,1948327000,0,0,29700,29700,29000
2010-10-28,7.37,29500,0.2(0.68 %),98490,2893065000,0,0,29300,29500,28900
2010-10-29,7.27,29100,-0.4(-1.36 %),28650,839465000,0,0,29500,29500,29100
2010-11-01,7.0,28000,-1.1(-3.78 %),79090,2237420000,0,0,28300,29300,28000
2010-11-02,7.15,28600,0.6(2.14 %),85960,2394441000,0,0,28000,28600,26800
2010-11-03,7.07,28300,-0.3(-1.05 %),68320,1915978000,0,0,27600,28700,27500
2010-11-04,6.87,27500,-0.8(-2.83 %),57240,1586258000,0,0,27200,28300,27200
2010-11-05,7.2,28800,1.3(4.73 %),98320,2762679000,0,0,27500,28800,27500
2010-11-08,7.52,30100,1.3(4.51 %),136430,3979936000,88000,2420000000,28200,30100,28000
2010-11-09,7.17,28700,-1.4(-4.65 %),66330,1943211000,0,0,29700,29700,28700
2010-11-10,7.1,28400,-0.3(-1.05 %),32110,931522000,0,0,29200,29400,28400
2010-11-11,6.75,27000,-1.4(-4.93 %),181040,4997614000,0,0,28400,29400,27000
2010-11-12,6.42,25700,-1.3(-4.81 %),70210,1817809000,0,0,27000,27000,25700
2010-11-15,6.2,24800,-0.9(-3.50 %),32070,794015000,0,0,25700,25700,24500
2010-11-16,5.9,23600,-1.2(-4.84 %),37640,897379000,0,0,24100,24700,23600
2010-11-17,5.97,23900,0.3(1.27 %),40300,955716000,0,0,23600,24000,23500
2010-11-18,6.17,24700,0.8(3.35 %),42510,1041566000,0,0,23900,25000,23900
2010-11-19,5.92,23700,-1(-4.05 %),47920,1163613000,0,0,25100,25200,23700
2010-11-22,5.7,22800,-0.9(-3.80 %),68110,1543922000,127200,2987200000,22700,23500,22600
2010-11-23,5.87,23500,0.7(3.07 %),13010,295626000,58000,1322400000,22800,23900,22100
2010-11-24,5.95,23800,0.3(1.28 %),81400,1916449000,0,0,22500,24400,22500
2010-11-25,6.22,24900,1.1(4.62 %),66900,1650808000,0,0,23800,24900,23800
2010-11-26,6.22,24900,0(0.00 %),45570,1147053000,0,0,25700,25700,24500
2010-11-29,6.27,25100,0.2(0.80 %),111430,2774684000,58000,1444200000,24900,25200,24600
2010-11-30,6.52,26100,1(3.98 %),105840,2743782000,0,0,26000,26300,25000
2010-12-01,6.62,26500,0.4(1.53 %),60240,1560038000,0,0,25500,26500,25300
2010-12-02,6.82,27300,0.8(3.02 %),113530,3042730000,0,0,26500,27300,26100
2010-12-03,6.92,27700,0.4(1.47 %),139970,3843889000,0,0,27400,27700,27000
2010-12-06,7.0,28000,0.3(1.08 %),80760,2220809000,0,0,27700,28500,26900
2010-12-07,6.77,27100,-0.9(-3.21 %),93130,2535094000,0,0,28000,28000,26800
2010-12-08,6.45,25800,-1.3(-4.80 %),110130,2861227000,0,0,26600,26800,25800
2010-12-09,6.62,26500,0.7(2.71 %),93540,2385336000,0,0,25800,26500,25000
2010-12-10,6.85,27400,0.9(3.40 %),65690,1766018000,0,0,26500,27400,26400
2010-12-13,6.92,27700,0.3(1.09 %),60000,1663846000,0,0,27400,28000,27400
2010-12-14,6.82,27300,-0.4(-1.44 %),35910,996980000,80000,2112000000,27700,28200,26700
2010-12-15,6.8,27200,-0.1(-0.37 %),79590,2172404000,0,0,27300,28100,26500
2010-12-16,6.57,26300,-0.9(-3.31 %),35900,968980000,0,0,26500,27700,26300
2010-12-17,6.8,27200,0.9(3.42 %),43010,1159908000,136380,3586794000,26800,27400,26700
2010-12-20,6.75,27000,-0.2(-0.74 %),39350,1076929000,0,0,27500,27500,27000
2010-12-21,6.85,27400,0.4(1.48 %),55410,1500678000,0,0,27400,27400,26900
2010-12-22,6.75,27000,-0.4(-1.46 %),30940,843200000,0,0,27400,27400,27000
2010-12-23,6.7,26800,-0.2(-0.74 %),20100,540690000,39080,1055160000,27000,27000,26800
2010-12-24,6.5,26000,-0.8(-2.99 %),27200,724285000,0,0,26800,26800,26000
