Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2011-02-25,1.05,12000,0(0.00 %),0,0,0,0,12000,12000,12000
2011-02-28,1.05,12000,0(0.00 %),0,0,0,0,12000,12000,12000
2011-03-01,1.05,12000,0(0.00 %),0,0,0,0,12000,12000,12000
2011-03-02,1.05,12000,0(0.00 %),0,0,0,0,12000,12000,12000
2011-03-03,1.05,12000,0(0.00 %),0,0,0,0,12000,12000,12000
2011-03-04,1.05,12000,0(0.00 %),0,0,0,0,12000,12000,12000
2011-03-07,1.05,12000,0(0.00 %),0,0,0,0,12000,12000,12000
2011-03-08,1.09,12500,0.5(4.17 %),200,2500000,0,0,12500,12500,12500
2011-03-09,1.09,12500,0(0.00 %),0,0,0,0,12500,12500,12500
2011-03-10,1.09,12500,0(0.00 %),0,0,0,0,12500,12500,12500
2011-03-11,1.09,12500,0(0.00 %),0,0,0,0,12500,12500,12500
2011-03-14,1.09,12500,0(0.00 %),0,0,0,0,12500,12500,12500
2011-03-15,0.99,11600,-1.2(-9.60 %),100,1130000,0,0,11600,11600,11600
2011-03-16,0.99,11300,0(0.00 %),0,0,0,0,11300,11300,11300
2011-03-17,0.99,11300,0(0.00 %),0,0,0,0,11300,11300,11300
2011-03-18,1.0,11500,0.2(1.77 %),200,2170000,0,0,10500,11500,10500
2011-03-21,1.0,11500,0.6(5.50 %),0,0,0,0,10900,11500,10900
2011-03-22,1.0,11500,0.6(5.50 %),0,0,0,0,10900,11500,10900
2011-03-23,1.0,11500,0.6(5.50 %),0,0,0,0,10900,11500,10900
2011-03-24,1.0,11500,0.6(5.50 %),0,0,0,0,10900,11500,10900
2011-03-25,1.0,11500,0.6(5.50 %),0,0,0,0,10900,11500,10900
2011-03-28,0.87,10700,-0.9(-8.26 %),100,1000000,0,0,10700,10700,10700
2011-03-29,0.87,10000,0(0.00 %),0,0,0,0,10000,10000,10000
2011-03-30,0.87,10000,0(0.00 %),0,0,0,0,10000,10000,10000
2011-03-31,0.87,10000,0(0.00 %),0,0,0,0,10000,10000,10000
2011-04-01,0.87,10000,0(0.00 %),0,0,0,0,10000,10000,10000
2011-04-04,0.87,10000,0(0.00 %),0,0,0,0,10000,10000,10000
2011-04-05,0.87,10000,0(0.00 %),0,0,0,0,10000,10000,10000
2011-04-06,0.87,10000,0(0.00 %),0,0,0,0,10000,10000,10000
2011-04-07,0.87,10000,0(0.00 %),0,0,0,0,10000,10000,10000
2011-04-08,0.87,10000,0(0.00 %),0,0,0,0,10000,10000,10000
2011-04-13,0.87,10000,0(0.00 %),0,0,0,0,10000,10000,10000
