Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2025-04-23,25.05,25050,1.6(6.82 %),268100,6621000000,0,0,23600,25050,23600
2025-04-24,23.3,23300,-1.75(-6.99 %),383000,9656000000,0,0,25300,26800,23300
2025-04-25,21.7,21700,-1.6(-6.87 %),178400,3953000000,0,0,21700,23500,21700
2025-04-28,21.7,21700,0(0.00 %),217900,4446000000,0,0,21600,21700,20200
2025-04-29,21.3,21300,-0.4(-1.84 %),110300,2257000000,0,0,21600,21600,20200
2025-05-05,20.2,20200,-1.1(-5.16 %),186900,3791715000,0,0,21300,21650,19850
2025-05-06,19.3,19300,-0.9(-4.46 %),226200,4292080000,0,0,20200,20200,18800
2025-05-07,18.8,18800,-0.5(-2.59 %),197000,3570845000,0,0,19300,19300,17950
2025-05-08,19.3,19300,0.5(2.66 %),287500,5163085000,0,0,18500,19300,17500
2025-05-09,19.4,19400,0.1(0.52 %),362100,6662095000,0,0,19250,20000,17950
2025-05-12,18.5,18500,-0.9(-4.64 %),311700,5660140000,0,0,18550,19300,18050
2025-05-13,17.5,17500,-1(-5.41 %),734200,12694805000,0,0,18300,18300,17250
2025-05-14,16.45,16450,-1.05(-6.00 %),238900,3945180000,0,0,17300,17300,16300
2025-05-15,15.3,15300,-1.15(-6.99 %),353700,5450820000,0,0,16000,16300,15300
2025-05-16,14.45,14450,-0.85(-5.56 %),198500,2879905000,0,0,14950,14950,14300
2025-05-19,15.25,15250,0.8(5.54 %),93600,1415580000,0,0,14500,15300,14500
2025-05-20,15.25,15250,0(0.00 %),119300,1813215000,0,0,15300,15350,14900
2025-05-21,14.75,14750,-0.5(-3.28 %),97000,1424555000,0,0,14450,15000,14450
2025-05-22,14.6,14600,-0.15(-1.02 %),70900,1033310000,0,0,14200,14850,14200
2025-05-23,14.6,14600,0(0.00 %),115800,1678765000,0,0,14300,14700,14300
2025-05-26,15.1,15100,0.5(3.42 %),984500,14423315000,0,0,14650,15100,14600
2025-05-27,14.9,14900,-0.2(-1.32 %),339800,5015240000,0,0,14700,15300,14700
2025-05-28,14.75,14750,-0.15(-1.01 %),61900,914560000,0,0,14750,15000,14700
2025-05-29,14.75,14750,0(0.00 %),38600,570800000,0,0,14800,15000,14650
2025-05-30,14.45,14450,-0.3(-2.03 %),58200,844555000,0,0,14700,14700,14450
2025-06-02,14.45,14450,0(0.00 %),114800,1653535000,0,0,14700,14700,14350
2025-06-03,14.55,14550,0.1(0.69 %),23100,334755000,0,0,14550,14550,14450
2025-06-04,14.55,14550,0(0.00 %),56700,818160000,0,0,14400,14600,14400
2025-06-05,14.55,14550,0(0.00 %),75100,1087245000,0,0,14350,14800,14350
2025-06-06,14.15,14150,-0.4(-2.75 %),64900,926730000,0,0,14450,14450,14150
2025-06-09,15.1,15100,0.95(6.71 %),269200,3975495000,0,0,14200,15100,14100
2025-06-10,16.15,16150,1.05(6.95 %),577000,9212680000,0,0,15150,16150,15150
2025-06-11,17.05,17050,0.9(5.57 %),451900,7664325000,0,0,16300,17250,16300
2025-06-12,15.9,15900,-1.15(-6.74 %),375200,6074505000,0,0,17050,17050,15900
2025-06-13,16.3,16300,0.4(2.52 %),418500,6515055000,0,0,15100,16500,14800
2025-06-16,16.75,16750,0.45(2.76 %),251900,4220980000,0,0,16300,17300,16100
