Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2010-04-16,9.58,37800,1.8(5.00 %),15450,584010000,0,0,37800,37800,37800
2010-04-19,10.03,39600,1.8(4.76 %),90740,3593304000,0,0,39600,39600,39600
2010-04-20,10.03,39600,0(0.00 %),44570,1749338000,0,0,41000,41000,37700
2010-04-21,9.55,37700,-1.9(-4.80 %),38250,1442025000,0,0,37700,37700,37700
2010-04-22,9.35,36900,-0.8(-2.12 %),120790,4431000000,0,0,36500,37000,36500
2010-04-26,9.25,36500,-0.4(-1.08 %),39770,1434616000,0,0,35500,36500,35500
2010-04-27,9.55,37700,1.2(3.29 %),100490,3806831000,0,0,36500,38300,36500
2010-04-28,9.73,38400,0.7(1.86 %),61010,2274600000,0,0,37000,38400,37000
2010-04-29,9.43,37200,-1.2(-3.12 %),59000,2189420000,0,0,37500,37600,37000
2010-05-04,9.88,39000,1.8(4.84 %),198070,7679182000,100555,3559647000,38400,39000,38000
2010-05-05,10.34,40800,1.8(4.62 %),287240,11743309000,20000,780000000,40900,40900,40500
2010-05-06,10.84,42800,2(4.90 %),235020,10027595000,0,0,42700,42800,41000
2010-05-07,10.79,42600,-0.2(-0.47 %),110410,4816312000,0,0,44800,44800,42100
2010-05-10,10.26,40500,-2.1(-4.93 %),91020,3687317000,44250,1792125000,41400,41400,40500
2010-05-11,9.76,38500,-2(-4.94 %),75140,2913882000,0,0,38900,40300,38500
2010-05-12,9.27,36600,-1.9(-4.94 %),118660,4344697000,0,0,36700,36700,36600
2010-05-13,9.27,36600,0(0.00 %),44230,1622239000,0,0,38000,38000,36200
2010-05-14,8.89,35100,-1.5(-4.10 %),68020,2410944000,0,0,38000,38000,35100
2010-05-17,8.49,33500,-1.6(-4.56 %),69850,2350653000,0,0,35500,35500,33500
2010-05-18,8.72,34400,0.9(2.69 %),17840,612519000,0,0,35000,35000,33800
2010-05-19,8.29,32700,-1.7(-4.94 %),73410,2402087000,0,0,32800,32900,32700
2010-05-20,8.34,32900,0.2(0.61 %),58930,1856883000,0,0,31100,32900,31100
2010-05-21,7.93,31300,-1.6(-4.86 %),55480,1761922000,0,0,31300,32500,31300
2010-05-24,8.11,32000,0.7(2.24 %),6720,215052000,0,0,32600,32600,32000
2010-05-25,8.23,32500,0.5(1.56 %),14120,453890000,0,0,32000,32500,32000
2010-05-26,8.18,32300,-0.2(-0.62 %),10770,347670000,0,0,32500,32500,32000
2010-05-27,7.8,30800,-1.5(-4.64 %),49380,1521631000,0,0,31100,31100,30700
2010-05-28,8.18,32300,1.5(4.87 %),67050,2144889000,0,0,31900,32300,31000
