Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2011-03-04,14.02,27500,0(0.00 %),0,0,0,0,27500,27500,27500
2011-03-07,13.67,26800,-0.7(-2.55 %),2110,57182000,0,0,27500,27500,26200
2011-03-08,13.0,25500,-1.3(-4.85 %),30,765000,0,0,25500,25500,25500
2011-03-09,12.39,24300,-1.2(-4.71 %),10,243000,0,0,24300,24300,24300
2011-03-10,11.78,23100,-1.2(-4.94 %),10,231000,0,0,23100,23100,23100
2011-03-11,11.22,22000,-1.1(-4.76 %),120,2640000,0,0,22000,22000,22000
2011-03-14,10.66,20900,-1.1(-5.00 %),10,209000,0,0,20900,20900,20900
2011-03-15,10.15,19900,-1(-4.78 %),130,2587000,0,0,19900,19900,19900
2011-03-16,9.69,19000,-0.9(-4.52 %),10,190000,0,0,19000,19000,19000
2011-03-17,9.23,18100,-0.9(-4.74 %),10,181000,0,0,18100,18100,18100
2011-03-18,8.77,17200,-0.9(-4.97 %),180,3096000,0,0,17200,17200,17200
2011-03-21,8.36,16400,-0.8(-4.65 %),610,10004000,0,0,16400,16400,16400
2011-03-22,7.96,15600,-0.8(-4.88 %),10,156000,0,0,15600,15600,15600
2011-03-23,7.6,14900,-0.7(-4.49 %),6720,100128000,0,0,14900,14900,14900
2011-03-24,7.24,14200,-0.7(-4.70 %),6540,93218000,0,0,14200,14900,14200
2011-03-25,7.39,14500,0.3(2.11 %),15260,208740000,0,0,13500,14500,13500
2011-03-28,7.44,14600,0.1(0.69 %),7840,113990000,0,0,14500,14600,14500
2011-03-29,7.09,13900,-0.7(-4.79 %),2320,32435000,0,0,13900,15300,13900
2011-03-30,7.29,14300,0.4(2.88 %),640,8916000,0,0,13400,14500,13400
2011-03-31,7.39,14500,0.2(1.40 %),1220,17192000,0,0,14000,14700,14000
2011-04-01,7.04,13800,-0.7(-4.83 %),1240,17229000,0,0,14500,14500,13800
2011-04-04,7.04,13800,0(0.00 %),0,0,0,0,13800,13800,13800
2011-04-05,6.78,13300,-0.5(-3.62 %),2180,29447000,0,0,14200,14200,13300
2011-04-06,6.83,13400,0.1(0.75 %),860,11053000,0,0,13500,13500,12700
2011-04-07,6.53,12800,-0.6(-4.48 %),1230,15744000,0,0,12800,12800,12800
2011-04-08,6.22,12200,-0.6(-4.69 %),960,11742000,0,0,12200,12800,12200
2011-04-13,6.17,12100,-0.1(-0.82 %),1700,20472000,0,0,12000,12100,12000
2011-04-14,6.17,12100,0(0.00 %),270,3261000,0,0,11800,12100,11800
2011-04-15,6.37,12500,0.4(3.31 %),1730,20405000,0,0,12500,12500,11700
2011-04-18,6.48,12700,0.2(1.60 %),180,2254000,0,0,12500,12700,12500
2011-04-19,6.48,12700,0(0.00 %),10,127000,0,0,12700,12700,12700
2011-04-20,6.53,12800,0.1(0.79 %),10,128000,0,0,12800,12800,12800
2011-04-21,6.53,12800,0(0.00 %),0,0,0,0,12800,12800,12800
2011-04-22,6.53,12800,0(0.00 %),0,0,0,0,12800,12800,12800
2011-04-25,6.73,13200,0.4(3.12 %),1320,16555000,0,0,12500,13200,12500
2011-04-26,6.73,13200,0(0.00 %),0,0,0,0,13200,13200,13200
2011-04-27,6.73,13200,0(0.00 %),0,0,494000,6224400000,13200,13200,13200
2011-04-28,6.78,13300,0.1(0.76 %),580,7661000,0,0,13200,13300,13200
2011-04-29,6.78,13300,0(0.00 %),100,1330000,0,0,13300,13300,13300
2011-05-04,6.53,12800,-0.5(-3.76 %),20,256000,0,0,12800,12800,12800
2011-05-05,6.63,13000,0.2(1.56 %),110,1434000,0,0,13400,13400,13000
2011-05-06,6.63,13000,0(0.00 %),0,0,0,0,13000,13000,13000
2011-05-09,6.73,13200,0.2(1.54 %),20,256000,0,0,12400,13200,12400
2011-05-10,6.43,12600,-0.6(-4.55 %),2040,25904000,0,0,12700,12700,12600
2011-05-11,6.12,12000,-0.6(-4.76 %),800,9600000,0,0,12000,12000,12000
2011-05-12,6.12,12000,0(0.00 %),0,0,0,0,12000,12000,12000
2011-05-13,6.12,12000,0(0.00 %),20,240000,0,0,12000,12000,12000
2011-05-16,6.12,12000,0(0.00 %),0,0,0,0,12000,12000,12000
2011-05-17,6.12,12000,0(0.00 %),0,0,0,0,12000,12000,12000
2011-05-18,6.12,12000,0(0.00 %),0,0,0,0,12000,12000,12000
2011-05-19,6.43,12600,0.6(5.00 %),10,126000,0,0,12600,12600,12600
2011-05-20,6.73,13200,0.6(4.76 %),10,132000,0,0,13200,13200,13200
2011-05-23,6.83,13400,0.2(1.52 %),10,134000,0,0,13400,13400,13400
2011-05-24,7.09,13900,0.5(3.73 %),10,139000,0,0,13900,13900,13900
2011-05-25,7.34,14400,0.5(3.60 %),300,4320000,125000,1712500000,14400,14400,14400
2011-05-26,7.09,13900,-0.5(-3.47 %),200,2780000,0,0,13900,13900,13900
2011-05-27,6.76,12950,-0.6(-4.65 %),190,2337000,0,0,12950,12950,12950
2011-05-30,6.81,12400,0.1(0.81 %),100,1240000,50000,600000000,12400,12400,12400
2011-05-31,6.81,12400,0(0.00 %),100,1240000,50000,600000000,12400,12400,12400
2011-06-01,6.59,12000,-0.4(-3.23 %),210,2590000,50000,600000000,12400,12400,12000
2011-06-02,6.59,12000,0(0.00 %),45610,537637000,50000,600000000,12500,12600,11500
2011-06-03,6.87,12500,0.5(4.17 %),200,2510000,0,0,12600,12600,12500
2011-06-06,7.14,13000,0.5(4.00 %),100,1300000,0,0,13000,13000,13000
2011-06-07,6.81,12400,-0.6(-4.62 %),68310,899474000,0,0,13500,13500,12400
2011-06-08,6.87,12500,0.1(0.81 %),66400,816860000,0,0,12700,12700,12300
2011-06-09,6.59,12000,-0.5(-4.00 %),68200,840245000,0,0,12500,12500,12000
2011-06-10,6.32,11500,-0.5(-4.17 %),290,3549000,0,0,12300,12300,11500
2011-06-13,6.04,11000,-0.5(-4.35 %),4810,53210000,0,0,12000,12000,11000
2011-06-14,6.15,11200,0.2(1.82 %),5600,59464000,0,0,11500,11500,10500
2011-06-15,6.15,11200,0(0.00 %),1590,17436000,0,0,11500,11700,10700
2011-06-16,6.32,11500,0.3(2.68 %),280,3044000,0,0,11500,11500,10700
2011-06-17,6.04,11000,-0.5(-4.35 %),110,1210000,0,0,11000,11000,11000
2011-06-20,6.26,11400,0.4(3.64 %),320,3642000,0,0,11400,11400,11200
2011-06-21,6.26,11400,0(0.00 %),4100,45806000,0,0,11200,11600,10900
2011-06-22,6.26,11400,0(0.00 %),40,462000,0,0,11600,11600,11400
2011-06-23,6.26,11400,0(0.00 %),180,2052000,0,0,11400,11400,11400
2011-06-24,5.99,10900,-0.5(-4.39 %),50,555000,0,0,11400,11400,10900
2011-06-27,5.77,10500,-0.4(-3.67 %),1260,13178000,0,0,11300,11300,10400
2011-06-28,5.99,10900,0.4(3.81 %),40,436000,0,0,10900,10900,10900
2011-06-29,6.21,11300,0.4(3.67 %),150,1695000,0,0,11300,11300,11300
2011-06-30,6.04,11000,-0.3(-2.65 %),400,4520000,0,0,11400,11400,11000
2011-07-01,6.21,11300,0.3(2.73 %),100,1130000,0,0,11300,11300,11300
2011-07-04,6.21,11300,0(0.00 %),100,1130000,0,0,11300,11300,11300
2011-07-05,6.21,11300,0(0.00 %),100,1130000,0,0,11300,11300,11300
2011-07-06,6.21,11300,0(0.00 %),100,1130000,0,0,11300,11300,11300
2011-07-07,6.21,11300,0(0.00 %),400,4460000,0,0,11300,11300,11000
2011-07-08,6.21,11300,0(0.00 %),100,1130000,0,0,11300,11300,11300
2011-07-11,6.21,11300,0(0.00 %),240,2664000,0,0,11300,11300,11000
2011-07-12,6.21,11300,0(0.00 %),30,339000,0,0,11300,11300,11300
2011-07-13,6.21,11300,0(0.00 %),50,565000,0,0,11300,11300,11300
2011-07-14,6.21,11300,0(0.00 %),50,565000,0,0,11300,11300,11300
2011-07-15,5.93,10800,-0.5(-4.42 %),600,6480000,0,0,10800,10800,10800
2011-07-18,6.04,11000,0.2(1.85 %),400,4400000,0,0,11000,11000,11000
2011-07-19,6.1,11100,0.1(0.91 %),300,3310000,0,0,11000,11100,11000
2011-07-20,6.1,11100,0(0.00 %),100,1110000,0,0,11100,11100,11100
2011-07-21,5.93,10800,-0.3(-2.70 %),1700,18230000,0,0,11100,11100,10600
2011-07-22,6.21,11300,0.5(4.63 %),1390,14585000,0,0,10800,11300,10400
2011-07-25,5.93,10800,-0.5(-4.42 %),300,3290000,0,0,11300,11300,10800
2011-07-26,6.04,11000,0.2(1.85 %),120,1320000,0,0,11000,11000,11000
2011-07-27,5.77,10500,-0.5(-4.55 %),110,1155000,0,0,10500,10500,10500
2011-07-28,5.49,10000,-0.5(-4.76 %),110,1100000,0,0,10000,10000,10000
2011-07-29,5.6,10200,0.2(2.00 %),110,1102000,0,0,10000,10200,10000
2011-08-01,5.6,10200,0(0.00 %),0,0,0,0,10200,10200,10200
2011-08-02,5.38,9800,-0.4(-3.92 %),40,392000,0,0,9800,9800,9800
2011-08-03,5.55,10100,0.3(3.06 %),20,202000,0,0,10100,10100,10100
2011-08-04,5.55,10100,0(0.00 %),0,0,0,0,10100,10100,10100
2011-08-05,5.66,10300,0.2(1.98 %),10,103000,0,0,10300,10300,10300
2011-08-08,5.66,10300,0(0.00 %),0,0,0,0,10300,10300,10300
2011-08-09,5.66,10300,0(0.00 %),0,0,0,0,10300,10300,10300
2011-08-10,5.66,10300,0(0.00 %),10,0,0,0,10300,10300,10300
2011-08-11,5.66,10300,0(0.00 %),0,0,0,0,10300,10300,10300
2011-08-12,5.82,10600,0.3(2.91 %),10,106000,0,0,10600,10600,10600
2011-08-15,5.82,10600,0(0.00 %),0,0,0,0,10600,10600,10600
2011-08-16,5.82,10600,0(0.00 %),0,0,0,0,10600,10600,10600
2011-08-17,5.88,10700,0.1(0.94 %),4690,49577000,0,0,10700,10700,10200
2011-08-18,5.6,10200,-0.5(-4.67 %),20,211000,0,0,10900,10900,10200
