Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2010-04-22,3.4,10000,0(0.00 %),300,3090000.0,0,0,10000,10900,10000
2010-04-26,3.4,10000,-0.3(-2.91 %),2000,20200000.0,0,0,10300,10300,10000
2010-04-27,3.4,10000,-0.1(-0.99 %),3000,30050000.0,0,0,10100,10100,10000
2010-04-28,3.4,10000,0(0.00 %),6000,60400000.0,0,0,10000,10200,10000
2010-04-29,3.1,9300,-1(-9.90 %),3100,29400000.0,0,0,10100,10700,9300
2010-05-04,3.4,9740,0.5(5.26 %),7000,70000000.0,0,0,9500,9740,9500
2010-05-05,3.3,9700,-0.3(-3.00 %),800,7820000.0,0,0,10000,10000,9700
2010-05-06,3.33,9800,0(0.00 %),0,0.0,0,0,9800,9800,9800
2010-05-07,3.4,10000,0.2(2.04 %),19400,194100000.0,0,0,9800,10200,9800
2010-05-10,3.74,10700,1(10.00 %),700,7700000.0,0,0,10000,10700,10000
2010-05-11,4.08,11750,1(9.09 %),400,4820000.0,0,0,11000,11750,11000
2010-05-12,4.12,12100,0(0.00 %),0,0.0,0,0,12100,12100,12100
2010-05-13,4.08,12000,-0.1(-0.83 %),2000,24000000.0,0,0,12100,12100,12000
2010-05-14,4.08,12000,0(0.00 %),0,0.0,0,0,12000,12000,12000
2010-05-17,3.74,11150,0(0.00 %),0,0.0,0,0,11150,11150,11150
2010-05-18,3.74,11000,0(0.00 %),0,0.0,0,0,11000,11000,11000
2010-05-19,3.37,10250,-1.1(-10.00 %),8200,81180000.0,0,0,11000,11000,10250
2010-05-20,3.37,9900,0(0.00 %),0,0.0,0,0,9900,9900,9900
2010-05-21,3.06,9210,-0.9(-9.09 %),5600,51000000.0,0,0,9900,9900,9210
2010-05-24,3.06,9000,-0.1(-1.10 %),1400,13500000.0,0,0,9100,9630,9000
2010-05-25,3.27,9600,0(0.00 %),0,0.0,0,0,9600,9600,9600
2010-05-26,3.27,9600,0(0.00 %),0,0.0,0,0,9600,9600,9600
2010-05-27,3.27,9600,0(0.00 %),0,0.0,0,0,9600,9600,9600
2010-05-28,3.06,9000,-0.6(-6.25 %),4600,41400000.0,0,0,9600,9600,9000
2010-05-31,2.89,8500,-0.5(-5.56 %),1000,8500000.0,0,0,9000,9000,8500
2010-06-01,2.96,8700,0.2(2.35 %),3250,28875000.0,0,0,8500,9100,8500
2010-06-02,3.03,8900,0(0.00 %),0,0.0,0,0,8900,8900,8900
2010-06-03,2.96,8700,-0.2(-2.25 %),1500,13050000.0,0,0,8900,8900,8700
2010-06-04,2.93,8600,-0.1(-1.15 %),2700,23220000.0,0,0,8700,8700,8600
2010-06-07,2.79,8200,-0.4(-4.65 %),12000,99500000.0,0,0,8600,8600,8200
2010-06-08,2.55,7630,-0.8(-9.64 %),17400,134975000.0,0,0,8300,8300,7630
2010-06-09,2.89,8030,0.7(8.97 %),4000,34000000.0,0,0,7800,8030,7800
2010-06-10,3.06,9000,0.5(5.88 %),5000,45000000.0,0,0,8500,9000,8500
2010-06-11,3.37,9630,0.9(10.00 %),10,99000.0,0,0,9000,9630,9000
2010-06-14,3.06,9210,-0.9(-9.09 %),1500,13500000.0,0,0,9900,9900,9210
2010-06-15,3.23,9500,0.5(5.56 %),2020,19198000.0,0,0,9000,9630,9000
2010-06-16,3.54,10160,0.9(9.47 %),30,312000.0,0,0,9500,10160,9500
2010-06-17,3.88,11150,1(9.62 %),35,394000.0,0,0,10400,11150,10400
2010-06-18,3.84,11300,0(0.00 %),0,0.0,0,0,11300,11300,11300
2010-06-21,3.47,10500,-1.1(-9.73 %),220,2284000.0,0,0,11300,12100,10500
2010-06-22,3.47,10200,-0.2(-1.92 %),3220,32184000.0,0,0,10400,10800,9500
2010-06-23,3.2,9500,-0.6(-6.00 %),1515,14063500.0,0,0,10000,10900,9500
2010-06-24,3.16,9300,0(0.00 %),11300,102340000.0,0,0,9300,9300,8900
2010-06-25,3.06,9000,-0.1(-1.10 %),4150,37365000.0,0,0,9100,9100,8650
2010-06-28,3.06,9000,0(0.00 %),9600,86190000.0,0,0,9000,9630,8500
2010-06-29,2.99,8800,-0.2(-2.22 %),9300,81270000.0,0,0,9000,9630,8370
2010-06-30,2.86,8400,-0.3(-3.45 %),2380,21230000.0,0,0,8700,9420,8180
2010-07-01,2.96,8700,-0.2(-2.25 %),5300,47190000.0,0,0,8900,8990,8100
2010-07-02,3.3,9310,0.8(8.99 %),70060,675922000.0,0,0,8900,9310,8900
2010-07-05,3.57,10380,0.9(9.38 %),80350,841175000.0,0,0,9600,10380,9600
2010-07-06,3.91,11250,1(9.52 %),82870,953005000.0,0,0,10500,11250,10500
2010-07-07,4.01,11800,0.3(2.61 %),32800,401645000.0,0,0,11500,12300,10700
2010-07-08,3.74,11000,-1.2(-9.84 %),16700,183740000.0,0,0,12200,12200,11000
2010-07-09,3.57,10500,-0.5(-4.55 %),68480,714122000.0,0,0,11000,11000,10250
2010-07-12,3.57,10500,0.1(0.96 %),22000,228390000.0,0,0,10400,11250,10000
2010-07-13,3.67,10800,0.4(3.85 %),20180,215893000.0,0,0,10400,11250,10400
2010-07-14,3.57,10500,-0.2(-1.87 %),19390,205084000.0,0,0,10700,10700,10200
2010-07-15,3.91,11250,0.9(8.49 %),14600,151550000.0,0,0,10600,11250,10300
2010-07-16,3.57,10700,0.1(0.96 %),15600,163540000.0,0,0,10700,10700,10700
2010-07-19,3.71,10900,0(0.00 %),103700,1148800000.0,0,0,11250,11250,10700
