Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2011-07-20,9.2,10300,-0.5(-4.63 %),5700,58710000,0,0,10300,10300,10300
2011-07-21,8.75,9800,-0.5(-4.85 %),6050,59290000,0,0,9800,9800,9800
2011-07-22,8.39,9400,-0.4(-4.08 %),6720,63168000,0,0,9400,9400,9400
2011-07-25,8.04,9000,-0.4(-4.26 %),6200,55800000,0,0,9000,9000,9000
2011-07-26,7.68,8600,-0.4(-4.44 %),7800,67080000,0,0,8600,8600,8600
2011-07-27,7.32,8200,-0.4(-4.65 %),38150,312830000,0,0,8200,8200,8200
2011-07-28,7.41,8300,0.1(1.22 %),21800,174190000,0,0,7800,8400,7800
2011-07-29,7.14,8000,-0.3(-3.61 %),4070,33186000,0,0,8300,8300,7900
2011-08-01,7.14,8000,0(0.00 %),4000,31200000,0,0,7600,8000,7600
2011-08-02,6.79,7600,-0.4(-5.00 %),4220,32072000,0,0,7600,7600,7600
2011-08-03,6.52,7300,-0.3(-3.95 %),2500,18250000,0,0,7300,7300,7300
2011-08-04,6.61,7400,0.1(1.37 %),13300,95843000,0,0,7000,7400,7000
2011-08-05,6.61,7400,0(0.00 %),9000,65900000,0,0,7300,7400,7100
2011-08-08,6.61,7400,0(0.00 %),16180,119000000,0,0,7400,7500,7100
2011-08-09,6.43,7200,-0.2(-2.70 %),3530,25257000,0,0,7100,7200,7100
2011-08-10,6.34,7100,-0.1(-1.39 %),8500,59780000,0,0,7200,7200,6900
2011-08-11,6.25,7000,-0.1(-1.41 %),7550,53160000,0,0,7100,7100,7000
2011-08-12,6.07,6800,-0.2(-2.86 %),1590,10712000,0,0,6700,6800,6700
2011-08-15,5.8,6500,-0.3(-4.41 %),4300,28320000,0,0,6800,6800,6500
2011-08-16,5.54,6200,-0.3(-4.62 %),7800,48410000,0,0,6200,6300,6200
2011-08-17,5.27,5900,-0.3(-4.84 %),10780,63602000,0,0,5900,5900,5900
2011-08-18,5.18,5800,-0.1(-1.69 %),61320,355231000,0,0,5800,6000,5700
2011-08-19,5.36,6000,0.2(3.45 %),17210,98360000,0,0,5900,6000,5600
2011-08-22,5.36,6000,0(0.00 %),5640,33204000,0,0,6100,6100,5700
2011-08-23,5.63,6300,0.3(5.00 %),15860,98072000,0,0,6100,6300,6000
2011-08-24,5.36,6000,-0.3(-4.76 %),29920,180664000,0,0,6100,6200,6000
2011-08-25,5.18,5800,-0.2(-3.33 %),9060,52810000,0,0,5900,6000,5800
2011-08-26,5.36,6000,0.2(3.45 %),5330,31854000,0,0,6000,6000,5900
2011-08-29,5.45,6100,0.1(1.67 %),10870,66279000,0,0,6000,6200,6000
2011-08-30,5.27,5900,-0.2(-3.28 %),21290,126792000,0,0,6200,6200,5900
2011-08-31,5.45,6100,0.2(3.39 %),6060,35773000,0,0,6100,6100,5900
2011-09-01,5.54,6200,0.1(1.64 %),3350,20570000,0,0,6100,6200,6100
2011-09-05,5.8,5800,0.3(5.45 %),3900,22260000,0,0,5800,5800,5770
2011-09-06,5.7,5700,-0.1(-1.72 %),510,2907000,0,0,5700,5700,5700
2011-09-07,5.9,5900,0.2(3.51 %),300,1686000,0,0,5600,5900,5600
2011-09-08,6.0,6000,0.1(1.69 %),3870,23120000,0,0,6000,6000,5900
2011-09-09,5.7,5700,-0.3(-5.00 %),2630,15276000,0,0,6100,6100,5700
2011-09-12,5.7,5700,0(0.00 %),15030,85853000,0,0,5900,5900,5700
2011-09-13,5.8,5800,0.1(1.75 %),15640,89897000,0,0,5800,5800,5700
2011-09-14,6.0,6000,0.2(3.45 %),13600,81500000,0,0,5900,6000,5900
2011-09-15,6.3,6300,0.3(5.00 %),8750,51199000,0,0,5900,6300,5800
2011-09-16,6.3,6300,0(0.00 %),5420,33395000,0,0,6100,6300,6000
2011-09-19,6.6,6600,0.3(4.76 %),8180,52615000,0,0,6400,6600,6300
2011-09-20,6.7,6700,0.1(1.52 %),1340,8780000,0,0,6900,6900,6300
2011-09-21,6.4,6400,-0.3(-4.48 %),3170,20728000,0,0,6700,6900,6400
2011-09-22,6.5,6500,0.1(1.56 %),3670,23034000,0,0,6400,6500,6100
2011-09-23,6.2,6200,-0.3(-4.62 %),4090,25361000,20400,128520000,6200,6300,6200
2011-09-26,6.2,6200,0(0.00 %),7010,41967000,0,0,6200,6200,5900
2011-09-27,6.2,6200,0(0.00 %),5740,34725000,0,0,6000,6200,5900
2011-09-28,5.9,5900,-0.3(-4.84 %),4250,25155000,0,0,6300,6300,5900
2011-09-29,5.7,5700,-0.2(-3.39 %),3800,21900000,0,0,5900,6100,5700
2011-09-30,5.5,5500,-0.2(-3.51 %),7550,42345000,0,0,5900,5900,5500
2011-10-03,5.7,5700,0.2(3.64 %),4780,25831000,0,0,5400,5700,5400
2011-10-04,5.9,5900,0.2(3.51 %),110,639000,0,0,5800,5900,5800
2011-10-05,6.1,6100,0.2(3.39 %),1240,7124000,0,0,6000,6100,5700
2011-10-06,5.8,5800,-0.3(-4.92 %),68100,398010000,0,0,6300,6300,5800
2011-10-07,5.9,5900,0.1(1.72 %),1570,8978000,0,0,6000,6000,5700
2011-10-10,5.7,5700,-0.2(-3.39 %),7930,45210000,0,0,6000,6000,5700
2011-10-11,5.9,5900,0.2(3.51 %),340,1995000,0,0,5800,5900,5800
2011-10-12,5.7,5700,-0.2(-3.39 %),2020,11518000,0,0,6100,6100,5700
2011-10-13,5.9,5900,0.2(3.51 %),10,59000,0,0,5900,5900,5900
2011-10-14,5.7,5700,-0.2(-3.39 %),1370,7809000,0,0,5700,5700,5700
2011-10-17,5.5,5500,-0.2(-3.51 %),3670,20189000,0,0,5900,5900,5500
2011-10-18,5.3,5300,-0.2(-3.64 %),66410,352175000,0,0,5500,5500,5300
2011-10-19,5.5,5500,0.2(3.77 %),26010,132655000,0,0,5100,5500,5100
2011-10-20,5.3,5300,-0.2(-3.64 %),21020,111410000,0,0,5300,5700,5300
2011-10-21,5.5,5500,0.2(3.77 %),100,550000,0,0,5500,5500,5500
2011-10-24,5.5,5500,0(0.00 %),0,0,0,0,5500,5500,5500
2011-10-25,5.3,5300,-0.2(-3.64 %),90,477000,0,0,5300,5300,5300
2011-10-26,5.1,5100,-0.2(-3.77 %),4110,20961000,0,0,5100,5100,5100
2011-10-27,4.9,4900,-0.2(-3.92 %),5100,25000000,0,0,5000,5000,4900
2011-10-28,4.7,4700,-0.2(-4.08 %),32510,153199000,0,0,4800,4900,4700
2011-10-31,4.6,4600,-0.1(-2.13 %),550,2616000,0,0,4900,4900,4600
2011-11-01,4.8,4800,0.2(4.35 %),14300,64440000,0,0,4800,4800,4500
2011-11-02,5.0,5000,0.2(4.17 %),110,549000,0,0,4900,5000,4900
2011-11-03,4.8,4800,-0.2(-4.00 %),70,339000,0,0,5100,5100,4800
2011-11-04,4.9,4900,0.1(2.08 %),1000,4900000,0,0,4900,4900,4900
2011-11-07,5.0,5000,0.1(2.04 %),410,2050000,0,0,5000,5000,5000
2011-11-08,5.1,5100,0.1(2.00 %),610,2960000,0,0,4800,5100,4800
2011-11-09,5.1,5100,0(0.00 %),0,0,0,0,5100,5100,5100
2011-11-10,5.1,5100,0(0.00 %),0,0,0,0,5100,5100,5100
2011-11-11,5.3,5300,0.2(3.92 %),20,106000,0,0,5300,5300,5300
2011-11-14,5.3,5300,0(0.00 %),0,0,0,0,5300,5300,5300
2011-11-15,5.1,5100,-0.2(-3.77 %),48290,246281000,0,0,5100,5300,5100
2011-11-16,5.3,5300,0.2(3.92 %),10,53000,0,0,5300,5300,5300
2011-11-17,5.1,5100,-0.2(-3.77 %),230,1177000,0,0,5100,5500,5100
2011-11-18,5.3,5300,0.2(3.92 %),110,543000,0,0,4900,5300,4900
2011-11-21,5.3,5300,0(0.00 %),10,53000,0,0,5300,5300,5300
2011-11-22,5.1,5100,-0.2(-3.77 %),60,306000,0,0,5100,5100,5100
2011-11-23,4.9,4900,-0.2(-3.92 %),220,1082000,0,0,5300,5300,4900
2011-11-24,5.1,5100,0.2(4.08 %),10,51000,0,0,5100,5100,5100
2011-11-25,5.1,5100,0(0.00 %),0,0,0,0,5100,5100,5100
2011-11-28,4.9,4900,-0.2(-3.92 %),30,151000,0,0,5300,5300,4900
2011-11-29,4.7,4700,-0.2(-4.08 %),460,2186000,0,0,4700,5100,4700
2011-11-30,4.5,4500,-0.2(-4.26 %),120,543000,0,0,4800,4800,4500
2011-12-01,4.7,4700,0.2(4.44 %),10,47000,0,0,4700,4700,4700
2011-12-02,4.5,4500,-0.2(-4.26 %),30,143000,0,0,4900,4900,4500
2011-12-05,4.3,4300,-0.2(-4.44 %),5820,25036000,0,0,4700,4700,4300
2011-12-06,4.2,4200,-0.1(-2.33 %),11850,49616000,0,0,4400,4500,4100
2011-12-07,4.4,4400,0.2(4.76 %),10,44000,0,0,4400,4400,4400
2011-12-08,4.6,4600,0.2(4.55 %),780,3284000,0,0,4600,4600,4200
2011-12-09,4.6,4600,0(0.00 %),20,93000,0,0,4700,4700,4600
2011-12-12,4.7,4700,0.1(2.17 %),10,47000,0,0,4700,4700,4700
2011-12-13,4.8,4800,0.1(2.13 %),80,375000,0,0,4600,4900,4600
2011-12-14,4.8,4800,0(0.00 %),0,0,0,0,4800,4800,4800
2011-12-15,4.8,4800,0(0.00 %),0,0,0,0,4800,4800,4800
2011-12-16,4.8,4800,0(0.00 %),0,0,0,0,4800,4800,4800
2011-12-19,4.8,4800,0(0.00 %),0,0,0,0,4800,4800,4800
2011-12-20,4.6,4600,-0.2(-4.17 %),120,552000,0,0,4600,4600,4600
2011-12-21,4.6,4600,0(0.00 %),30,138000,0,0,4600,4600,4600
