Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2006-05-19,7.99,47500,-2.5(-5.00 %),443520,21067200,10000,490000,47500,47500,47500
2006-05-22,7.6,45200,-2.3(-4.84 %),64200,2901840,10000,452000,45200,45200,45200
2006-05-23,7.23,43000,-2.2(-4.87 %),12760,548680,0,0,43000,43000,43000
2006-05-24,6.88,40900,-2.1(-4.88 %),46460,1900214,10000,409000,40900,40900,40900
2006-05-25,6.54,38900,-2(-4.89 %),156690,6095241,0,0,38900,38900,38900
2006-05-26,6.22,37000,-1.9(-4.88 %),40310,1491470,0,0,37000,37000,37000
2006-05-29,5.92,35200,-1.8(-4.86 %),65110,2291872,0,0,35200,35200,35200
2006-05-30,5.64,33500,-1.7(-4.83 %),19540,654590,0,0,33500,33500,33500
2006-05-31,5.37,31900,-1.6(-4.78 %),31850,1016015,0,0,31900,31900,31900
2006-06-01,5.62,33400,1.5(4.70 %),359050,11159770,0,0,30400,33400,30400
2006-06-02,5.89,35000,1.6(4.79 %),192900,6751500,0,0,35000,35000,35000
2006-06-05,6.17,36700,1.7(4.86 %),102280,3753676,0,0,36700,36700,36700
2006-06-06,6.39,38000,1.3(3.54 %),304920,11688460,0,0,38500,38500,38000
2006-06-07,6.07,36100,-1.9(-5.00 %),240390,8678079,25000,902500,36100,36100,36100
2006-06-08,6.29,37400,1.3(3.60 %),170970,6364930,0,0,37000,37400,37000
2006-06-09,6.33,37600,0.2(0.53 %),202770,7610930,0,0,37400,37600,37400
2006-06-12,6.21,36900,-0.7(-1.86 %),66580,2467560,30000,1074000,37500,37500,36900
2006-06-13,6.21,36900,0(0.00 %),100080,3692952,0,0,36900,36900,36900
2006-06-14,6.09,36200,-0.7(-1.90 %),39190,1429861,0,0,36900,36900,36200
2006-06-15,6.09,36200,0(0.00 %),43000,1556600,0,0,36200,36200,36200
2006-06-16,6.06,36000,-0.2(-0.55 %),31200,1120560,0,0,36000,36000,35600
2006-06-19,6.02,35800,-0.2(-0.56 %),34410,1230444,0,0,36000,36000,35500
2006-06-20,5.74,34100,-1.7(-4.75 %),90990,3138219,0,0,35000,35000,34100
