Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2020-03-26,4.35,8800,0(0.00 %),19220,167000000,0,0,9000,9000,8200
2020-03-27,4.45,9000,0.2(2.27 %),39300,345000000,0,0,9410,9410,8200
2020-03-30,4.14,8370,-0.63(-7.00 %),30050,253000000,0,0,8500,8800,8370
2020-03-31,3.85,7790,-0.58(-6.93 %),57210,446000000,45000,376650000,7790,7790,7790
2020-04-01,3.95,7990,0.2(2.57 %),117510,853000000,0,0,7250,8200,7250
2020-04-03,3.77,7620,-0.37(-4.63 %),58250,472000000,0,0,7790,8500,7620
2020-04-06,4.03,8150,0.53(6.96 %),29150,233000000,0,0,8150,8150,7900
2020-04-07,4.26,8600,0.45(5.52 %),87080,727000000,0,0,8150,8600,8150
2020-04-08,4.26,8600,0(0.00 %),44170,375000000,0,0,8500,8600,8020
2020-04-09,4.24,8570,-0.03(-0.35 %),22970,194000000,0,0,8600,8990,8170
2020-04-10,3.96,8000,-0.57(-6.65 %),51570,423000000,0,0,8500,8500,8000
2020-04-13,4.11,8300,0.3(3.75 %),72930,587000000,0,0,8000,8300,7900
2020-04-14,4.01,8100,-0.2(-2.41 %),26900,214000000,0,0,8000,8100,7900
2020-04-15,4.03,8150,0.05(0.62 %),25040,205000000,0,0,8300,8300,8100
2020-04-16,4.07,8230,0.08(0.98 %),50510,408000000,0,0,8100,8300,7920
2020-04-17,4.07,8220,-0.01(-0.12 %),45670,381000000,0,0,8400,8490,8200
2020-04-20,4.07,8220,0(0.00 %),51520,424000000,0,0,8500,8500,8200
2020-04-21,4.03,8150,-0.07(-0.85 %),13390,109000000,0,0,8020,8200,8020
2020-04-22,4.01,8100,-0.05(-0.61 %),9400,77000000,0,0,8210,8300,8100
2020-04-23,4.06,8200,0.1(1.23 %),4340,35000000,0,0,8030,8300,8030
2020-04-24,3.96,8000,-0.2(-2.44 %),34350,276000000,0,0,8200,8200,7950
2020-04-27,3.96,8000,0(0.00 %),5040,40000000,0,0,8000,8000,7850
2020-04-28,4.01,8100,0.1(1.25 %),13080,102000000,0,0,8000,8100,7500
2020-04-29,4.01,8100,0(0.00 %),10010,81000000,0,0,8100,8150,8000
2020-05-04,3.86,7800,-0.3(-3.70 %),6040,48000000,0,0,8050,8050,7800
