Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2014-07-09,13.33,33000,2(6.45 %),175130,5463584000,491000,14239000000,33000,33100,30500
2014-07-10,13.41,33200,0.2(0.61 %),53830,1804716000,66500,2041550000,35300,35300,32000
2014-07-11,13.41,33200,0(0.00 %),38710,1280685000,0,0,33500,33500,33000
2014-07-14,14.02,34700,1.5(4.52 %),98330,3312752000,30000,927000000,33200,34700,33200
2014-07-15,14.14,35000,0.3(0.86 %),141120,4941498000,21000,678300000,35000,35200,34800
2014-07-16,14.87,36800,1.8(5.14 %),315560,11408886000,0,0,35400,37200,35300
2014-07-17,14.7,36400,-0.4(-1.09 %),117160,4262674000,0,0,36900,36900,35800
2014-07-18,14.42,35700,-0.7(-1.92 %),118860,4258000000,0,0,36300,36300,35600
2014-07-21,14.54,36000,0.3(0.84 %),245280,8727000000,0,0,35700,36800,35000
2014-07-22,15.15,37500,1.5(4.17 %),548490,20082000000,0,0,36000,37800,36000
2014-07-23,15.53,36800,-0.7(-1.87 %),174030,6470000000,0,0,36700,38200,36600
2014-07-24,15.44,36600,-0.2(-0.54 %),178450,6536057000,0,0,36500,37000,36300
2014-07-25,15.4,36500,-0.1(-0.27 %),159020,5810000000,0,0,36500,36800,36500
2014-07-28,15.23,36100,-0.4(-1.10 %),348560,12611000000,0,0,36400,36500,35800
2014-07-29,15.02,35600,-0.5(-1.39 %),92470,3306000000,0,0,35800,36000,35200
2014-07-30,14.77,35000,-0.6(-1.69 %),149220,5244000000,0,0,35400,35600,34700
2014-07-31,14.77,35000,0(0.00 %),182760,6326000000,0,0,34800,35000,34500
2014-08-01,15.28,36200,1.2(3.43 %),126520,4500000000,0,0,35000,36200,34900
2014-08-04,15.53,36800,0.6(1.66 %),188660,6900000000,0,0,36000,36900,36000
2014-08-05,15.53,36800,0(0.00 %),134580,4925000000,0,0,36800,36800,36400
2014-08-06,15.4,36500,-0.3(-0.82 %),151170,5528000000,0,0,36600,36800,36500
2014-08-07,15.36,36400,-0.1(-0.27 %),104660,3812000000,0,0,36400,36600,36300
2014-08-08,15.57,36900,0.5(1.37 %),215520,7944000000,0,0,36100,37500,36100
2014-08-11,15.4,36500,-0.4(-1.08 %),63560,2333000000,0,0,36600,36900,36500
2014-08-12,15.44,36600,0.1(0.27 %),55640,2031000000,30000,1020000000,37000,37000,36400
2014-08-13,15.44,36600,0(0.00 %),59970,2199000000,0,0,36600,37000,36500
2014-08-14,15.49,36700,0.1(0.27 %),92600,3373810000,0,0,36600,36700,36100
2014-08-15,15.44,36600,-0.1(-0.27 %),117140,4277000000,0,0,36600,36600,36400
2014-08-18,15.44,36600,0(0.00 %),94890,3470000000,0,0,36500,36800,36400
2014-08-19,15.4,36500,-0.1(-0.27 %),109460,3996000000,0,0,36900,36900,36400
2014-08-20,15.44,36600,0.1(0.27 %),124310,4537000000,0,0,36400,36700,36400
2014-08-21,15.44,36600,0(0.00 %),241440,8814000000,0,0,36500,36600,36400
2014-08-22,15.7,37200,0.6(1.64 %),104340,3878990000,0,0,36600,37400,36600
2014-08-25,15.74,37300,0.1(0.27 %),97080,3624000000,0,0,37500,37500,37200
2014-08-26,15.65,37100,-0.2(-0.54 %),52160,1937000000,0,0,37300,37300,37000
2014-08-27,15.61,37000,-0.1(-0.27 %),55660,2060160000,0,0,37000,37200,36900
2014-08-28,15.61,37000,0(0.00 %),90950,3359280000,0,0,37000,37000,36800
2014-08-29,15.4,36500,-0.5(-1.35 %),31860,1164000000,0,0,36800,36900,36300
2014-09-03,15.36,36400,-0.1(-0.27 %),69040,2518000000,0,0,36600,36600,36400
2014-09-04,15.44,36600,0.2(0.55 %),91930,3354000000,0,0,36400,36600,36400
2014-09-05,15.49,36700,0.1(0.27 %),25950,952000000,0,0,37000,37000,36600
2014-09-08,15.53,36800,0.1(0.27 %),16320,597770000,0,0,36600,36800,36600
2014-09-09,15.32,36300,-0.5(-1.36 %),85650,3122110000,0,0,36600,36700,36300
2014-09-10,15.32,36300,0(0.00 %),48650,1766073000,0,0,36500,36600,36200
2014-09-11,15.32,36300,0(0.00 %),27410,993503000,0,0,36400,36400,36200
2014-09-12,15.28,36200,-0.1(-0.28 %),90000,3261636000,0,0,36300,36500,36200
2014-09-15,15.32,36300,0.1(0.28 %),21540,781887000,0,0,36200,36400,36200
2014-09-16,15.32,36300,0(0.00 %),40140,1450519000,0,0,36300,36300,36000
2014-09-17,15.4,36500,0.2(0.55 %),63040,2289406000,0,0,36300,36500,36200
2014-09-18,15.19,36000,-0.5(-1.37 %),96670,3492258000,0,0,36300,36400,36000
2014-09-19,15.28,36200,0.2(0.56 %),34580,1246699000,0,0,36100,36300,36000
2014-09-22,15.19,36000,-0.2(-0.55 %),56460,2034904000,0,0,36200,36200,35900
2014-09-23,15.19,36000,0(0.00 %),37770,1358986000,0,0,36000,36200,35900
2014-09-24,15.28,36200,0.2(0.56 %),44840,1614456000,0,0,36000,36200,36000
2014-09-25,15.28,36200,0(0.00 %),17020,614608000,0,0,36200,36200,36100
2014-09-26,15.4,36500,0.3(0.83 %),12520,457320000,0,0,36200,37200,36200
2014-09-29,15.4,36500,0(0.00 %),5390,196740000,0,0,36500,36500,36500
2014-09-30,15.32,36300,-0.2(-0.55 %),5360,194940000,0,0,36500,36500,36200
2014-10-01,15.28,36200,-0.1(-0.28 %),12960,468150000,0,0,36100,36500,36000
2014-10-02,16.33,38700,2.5(6.91 %),169940,6469500000,0,0,36200,38700,36200
2014-10-03,17.47,41400,2.7(6.98 %),135510,5597480000,0,0,41200,41400,41200
2014-10-06,17.3,41000,-0.4(-0.97 %),95920,4140080000,0,0,44100,44200,40000
2014-10-07,16.5,39100,-1.9(-4.63 %),42340,1680850000,0,0,39900,40500,39100
2014-10-08,16.46,39000,-0.1(-0.26 %),54620,2126570000,0,0,39000,39300,38400
2014-10-09,16.25,38500,-0.5(-1.28 %),49270,1910910000,0,0,39000,39000,38500
2014-10-10,16.25,38500,0(0.00 %),21800,837840000,0,0,39000,39000,38000
2014-10-13,15.78,37400,-1.1(-2.86 %),40870,1513367000,0,0,36500,38500,36500
2014-10-14,15.7,37200,-0.2(-0.53 %),20340,756938000,0,0,37000,37400,37000
2014-10-15,15.61,37000,-0.2(-0.54 %),23220,859685000,0,0,37500,37500,37000
2014-10-16,15.19,36000,-1(-2.70 %),65110,2362656000,0,0,37000,37000,36000
2014-10-17,15.36,36400,0.4(1.11 %),18880,684465000,0,0,36000,36900,36000
2014-10-20,15.61,37000,0.6(1.65 %),26330,972515000,0,0,37300,37300,36500
2014-10-21,15.49,36700,-0.3(-0.81 %),48080,1761663000,0,0,37000,37000,36500
2014-10-22,15.57,36900,0.2(0.54 %),460,16935000,0,0,37000,37000,36800
2014-10-23,15.32,36300,-0.6(-1.63 %),25740,940176000,0,0,36900,36900,36300
2014-10-24,15.36,36400,0.1(0.28 %),5760,208818000,0,0,36300,36400,36200
2014-10-27,15.06,35700,-0.7(-1.92 %),20670,748188000,0,0,36300,36400,35700
2014-10-28,15.02,35600,-0.1(-0.28 %),9800,349169000,0,0,35700,36000,35500
2014-10-29,15.36,36400,0.8(2.25 %),3570,129028000,0,0,35600,36400,35600
2014-10-30,15.44,36600,0.2(0.55 %),11400,410700000,0,0,36100,36600,35800
2014-10-31,15.15,35900,-0.7(-1.91 %),13780,499573000,0,0,36100,36600,35900
2014-11-03,15.23,36100,0.2(0.56 %),20200,730482000,0,0,36100,36500,36000
2014-11-04,15.4,36500,0.4(1.11 %),7440,269426000,0,0,36100,36600,36100
2014-11-05,15.19,36000,-0.5(-1.37 %),31830,1148583000,0,0,36500,36500,36000
2014-11-06,15.4,36500,0.5(1.39 %),17910,648690000,0,0,36000,36500,36000
2014-11-07,15.36,36400,-0.1(-0.27 %),15660,565170000,0,0,36000,36400,36000
2014-11-10,15.36,36400,0(0.00 %),29490,1074618000,0,0,36300,36600,36300
2014-11-11,15.36,36400,0(0.00 %),24180,881365000,0,0,36300,36500,36300
2014-11-12,15.19,36000,-0.4(-1.10 %),13140,473667000,0,0,36500,36500,36000
2014-11-13,15.19,36000,0(0.00 %),16350,591140000,0,0,36300,36300,36000
2014-11-14,15.28,36200,0.2(0.56 %),14180,510490000,0,0,36400,36400,35900
2014-11-17,15.19,36000,-0.2(-0.55 %),22020,795101000,0,0,36300,36300,36000
2014-11-18,15.19,36000,0(0.00 %),23490,850383000,0,0,36300,36400,36000
2014-11-19,15.32,36300,0.3(0.83 %),16720,599851000,0,0,35800,36300,35700
2014-11-20,15.19,36000,-0.3(-0.83 %),25010,901380000,0,0,35900,36200,35800
2014-11-21,15.11,35800,-0.2(-0.56 %),7630,273810000,0,0,36100,36100,35800
2014-11-24,14.98,35500,-0.3(-0.84 %),12980,462760000,0,0,35700,35700,35500
2014-11-25,14.98,35500,0(0.00 %),25250,898880000,0,0,35800,35800,35500
