Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2011-01-12,3.73,9500,-0.5(-5.00 %),2460,23370000,0,0,9500,9500,9500
2011-01-13,3.57,9100,-0.4(-4.21 %),2420,22022000,0,0,9100,9100,9100
2011-01-14,3.42,8700,-0.4(-4.40 %),1820,15834000,0,0,8700,8700,8700
2011-01-17,3.42,8700,0(0.00 %),9370,77885000,0,0,8500,8700,8300
2011-01-18,3.26,8300,-0.4(-4.60 %),36000,298820000,0,0,8500,8500,8300
2011-01-19,3.26,8300,0(0.00 %),16720,133846000,0,0,8000,8300,8000
2011-01-20,3.22,8200,-0.1(-1.20 %),22590,179687000,0,0,8500,8500,7900
2011-01-21,3.22,8200,0(0.00 %),6700,53850000,0,0,8300,8300,8000
2011-01-24,3.06,7800,-0.4(-4.88 %),6450,50623000,0,0,8000,8000,7800
2011-01-25,2.98,7600,-0.2(-2.56 %),2180,16623000,0,0,8000,8000,7600
2011-01-26,3.1,7900,0.3(3.95 %),6920,54667000,0,0,7800,7900,7800
2011-01-27,3.14,8000,0.1(1.27 %),3590,29199000,0,0,8200,8200,8000
2011-01-28,3.26,8300,0.3(3.75 %),770,6386000,0,0,8000,8300,8000
2011-02-08,3.26,8300,0(0.00 %),2990,23633000,0,0,7900,8300,7900
2011-02-09,3.26,8300,0(0.00 %),1120,8998000,0,0,8000,8500,8000
2011-02-10,3.1,7900,-0.4(-4.82 %),3670,29175000,0,0,7900,8000,7900
2011-02-11,3.1,7900,0(0.00 %),22600,171818000,0,0,7800,7900,7600
2011-02-14,3.02,7700,-0.2(-2.53 %),30,231000,0,0,7700,7700,7700
2011-02-15,3.02,7700,0(0.00 %),6870,51329000,0,0,7400,7700,7400
2011-02-16,2.91,7400,-0.3(-3.90 %),2360,17614000,0,0,7500,7500,7400
2011-02-17,2.91,7400,0(0.00 %),1590,11568000,0,0,7400,7400,7200
2011-02-18,2.91,7400,0(0.00 %),8130,59513000,0,0,7400,7400,7300
2011-02-21,2.87,7300,-0.1(-1.35 %),4900,34937000,0,0,7300,7300,7100
2011-02-22,2.75,7000,-0.3(-4.11 %),4000,28000000,0,0,7000,7000,7000
2011-02-23,2.83,7200,0.2(2.86 %),10660,74403000,0,0,7200,7300,6900
2011-02-24,2.83,7200,0(0.00 %),520,3661000,0,0,7000,7200,6900
