Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2010-01-25,10.41,33300,-1.7(-4.86 %),5280,175824000,0,0,33300,33300,33300
2010-01-26,9.91,31700,-1.6(-4.80 %),32860,1041662000,0,0,31700,31700,31700
2010-01-27,9.44,30200,-1.5(-4.73 %),7740,233748000,0,0,30200,30200,30200
2010-01-28,8.97,28700,-1.5(-4.97 %),2490,71463000,0,0,28700,28700,28700
2010-01-29,8.53,27300,-1.4(-4.88 %),30530,833469000,0,0,27300,27300,27300
2010-02-01,8.53,27300,0(0.00 %),112910,3070644000,0,0,27000,28000,27000
2010-02-02,8.19,26200,-1.1(-4.03 %),46370,1233519000,0,0,27000,27200,26200
2010-02-03,8.59,27500,1.3(4.96 %),40270,1084613000,0,0,26300,27500,26200
2010-02-04,8.63,27600,0.1(0.36 %),24700,694232000,0,0,28500,28500,27600
2010-02-05,8.25,26400,-1.2(-4.35 %),26520,706083000,0,0,26600,27000,26400
2010-02-08,8.13,26000,-0.4(-1.52 %),30380,796262000,0,0,26400,26500,26000
2010-02-09,7.84,25100,-0.9(-3.46 %),24180,614360000,0,0,26000,26000,25100
2010-02-10,8.13,26000,0.9(3.59 %),19310,489324000,0,0,25300,26000,25200
2010-02-11,8.25,26400,0.4(1.54 %),7710,201220000,0,0,26000,26400,25800
2010-02-12,8.13,26000,-0.4(-1.52 %),5570,146774000,0,0,26900,26900,26000
2010-02-22,8.41,26900,0.9(3.46 %),950,25395000,0,0,27000,27000,26200
2010-02-23,8.44,26000,0.1(0.39 %),7420,189897000,0,0,25000,26600,25000
2010-02-24,8.63,26600,0.6(2.31 %),21160,541663000,0,0,26000,26600,25100
2010-02-25,8.28,25500,-1.1(-4.14 %),5840,149468000,0,0,25600,26600,25500
2010-02-26,7.95,24500,-1(-3.92 %),24740,608644000,0,0,25500,26000,24300
2010-03-01,7.99,24600,0.1(0.41 %),11060,275335000,0,0,24500,25200,24500
2010-03-02,8.12,25000,0.4(1.63 %),25780,643382000,0,0,25000,25000,24200
2010-03-03,8.12,25000,0(0.00 %),18140,449006000,0,0,25000,25000,24500
2010-03-04,8.12,25000,0(0.00 %),13450,332217000,0,0,25400,25400,24000
2010-03-05,7.99,24600,-0.4(-1.60 %),36370,893678000,0,0,24900,24900,24300
2010-03-08,8.02,24700,0.1(0.41 %),66150,1628530000,0,0,24600,24800,24500
2010-03-09,8.05,24800,0.1(0.40 %),49710,1227599000,0,0,24800,25400,24500
2010-03-10,7.99,24600,-0.2(-0.81 %),43890,1077340000,0,0,24800,24800,23800
2010-03-11,7.82,24100,-0.5(-2.03 %),32100,780407000,0,0,24300,24600,24100
2010-03-12,7.86,24200,0.1(0.41 %),25050,606430000,0,0,24700,24700,24000
2010-03-15,7.86,24200,0(0.00 %),30480,740321000,0,0,24200,24900,24200
2010-03-16,7.76,23900,-0.3(-1.24 %),39430,946414000,0,0,24100,24200,23500
2010-03-17,7.56,23300,-0.6(-2.51 %),45610,1079111000,0,0,23900,23900,23300
2010-03-18,7.92,24400,1.1(4.72 %),93120,2201815000,0,0,23300,24400,23300
2010-03-19,7.86,24200,-0.2(-0.82 %),94770,2310741000,0,0,24400,24500,24200
2010-03-22,7.63,23500,-0.7(-2.89 %),28960,689342000,0,0,24000,24200,23500
2010-03-23,7.34,22600,-0.9(-3.83 %),45050,1027588000,0,0,22700,23500,22600
2010-03-24,7.14,22000,-0.6(-2.65 %),80470,1801894000,55110,1245486000,22600,23000,22000
2010-03-25,7.14,22000,0(0.00 %),67070,1474617000,0,0,22000,22200,21900
2010-03-26,7.14,22000,0(0.00 %),41230,907046000,0,0,22000,22100,21800
2010-03-29,7.14,22000,0(0.00 %),56500,1249530000,0,0,22000,22300,22000
2010-03-30,6.82,21000,-1(-4.55 %),48430,1042108000,0,0,21600,22000,21000
2010-03-31,7.14,22000,1(4.76 %),88480,1925361000,0,0,21000,22000,21000
2010-04-01,7.5,23100,1.1(5.00 %),157200,3590509000,0,0,22500,23100,22400
2010-04-02,7.86,24200,1.1(4.76 %),74940,1813548000,0,0,24200,24200,24200
2010-04-05,8.25,25400,1.2(4.96 %),191930,4875022000,0,0,25400,25400,25400
2010-04-06,8.44,26000,0.6(2.36 %),343680,9124475000,0,0,26600,26600,26000
2010-04-07,8.6,26500,0.5(1.92 %),152330,4008260000,0,0,26000,27100,25600
2010-04-08,8.7,26800,0.3(1.13 %),144790,3836524000,0,0,26300,26800,26200
2010-04-09,9.09,28000,1.2(4.48 %),254550,6956122000,0,0,27100,28000,26700
2010-04-12,9.41,29000,1(3.57 %),182780,5165974000,0,0,28000,29000,27800
2010-04-13,9.87,30400,1.4(4.83 %),220630,6619340000,0,0,29000,30400,29000
2010-04-14,10.36,31900,1.5(4.93 %),251400,7994281000,0,0,31500,31900,31000
2010-04-15,10.84,33400,1.5(4.70 %),307030,10206166000,0,0,33000,33400,32500
2010-04-16,10.32,31800,-1.6(-4.79 %),191940,6173627000,0,0,34500,34500,31800
2010-04-19,9.9,30500,-1.3(-4.09 %),177990,5478631000,0,0,31600,32500,30300
2010-04-20,10.39,32000,1.5(4.92 %),269350,8525690000,0,0,30500,32000,30500
2010-04-21,10.39,32000,0(0.00 %),75680,2412215000,0,0,33000,33000,31000
2010-04-22,10.06,31000,-1(-3.12 %),179680,5624000000,0,0,31500,31900,30600
2010-04-26,10.0,30800,-0.2(-0.65 %),138830,4321205000,0,0,31000,31500,30800
2010-04-27,9.74,30000,-0.8(-2.60 %),83610,2529848000,0,0,30500,31000,30000
2010-04-28,9.41,29000,-1(-3.33 %),128180,3811572000,0,0,30000,31400,28600
2010-04-29,9.41,29000,0(0.00 %),144790,4208909000,0,0,29000,30000,28900
2010-05-04,9.38,28900,-0.1(-0.34 %),84680,2462616000,0,0,29000,29900,28800
2010-05-05,9.09,28000,-0.9(-3.11 %),101450,2858573000,0,0,28000,28900,28000
2010-05-06,9.54,29400,1.4(5.00 %),301310,8836406000,0,0,27700,29400,27700
2010-05-07,9.15,28200,-1.2(-4.08 %),335050,10096670000,0,0,30800,30800,28200
2010-05-10,9.54,29400,1.2(4.26 %),58130,1674034000,136480,3684960000,28000,29600,27600
2010-05-11,9.28,28600,-0.8(-2.72 %),38580,1118680000,0,0,30000,30000,28600
2010-05-12,8.83,27200,-1.4(-4.90 %),167440,4582689000,0,0,28000,28000,27200
2010-05-13,8.86,27300,0.1(0.37 %),293650,7883543000,54330,1407147000,26400,28000,26000
2010-05-14,9.09,28000,0.7(2.56 %),249050,6978228000,0,0,28000,28600,27300
2010-05-17,8.63,26600,-1.4(-5.00 %),62760,1676719000,0,0,28000,28000,26600
2010-05-18,8.38,25800,-0.8(-3.01 %),58310,1510848000,110800,2880800000,26000,26600,25800
2010-05-19,7.99,24600,-1.2(-4.65 %),78260,1969651000,0,0,25800,25800,24600
2010-05-20,7.79,24000,-0.6(-2.44 %),131870,3134878000,138140,3315360000,23500,24500,23400
2010-05-21,7.4,22800,-1.2(-5.00 %),226200,5195651000,0,0,22800,23700,22800
2010-05-24,7.76,23900,1.1(4.82 %),51720,1204007000,0,0,22800,23900,22800
2010-05-25,8.12,25000,1.1(4.60 %),64290,1607125000,0,0,25000,25000,24500
2010-05-26,8.51,26200,1.2(4.80 %),48770,1277314000,0,0,26200,26200,26000
2010-05-27,8.34,25700,-0.5(-1.91 %),12470,316948000,0,0,25500,26000,25100
