Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2010-06-22,6.68,37800,1.8(5.00 %),47650,1801120000,0,0,37800,37800,37700
2010-06-23,7.0,39600,1.8(4.76 %),19410,768636000,0,0,39600,39600,39600
2010-06-24,7.19,40700,1.1(2.78 %),4000,162673000,0,0,40800,40800,40000
2010-06-25,6.84,38700,-2(-4.91 %),1010,39087000,0,0,38700,38700,38700
2010-06-28,6.5,36800,-1.9(-4.91 %),520,20086000,0,0,38700,38700,36800
2010-06-29,6.18,35000,-1.8(-4.89 %),6790,237650000,0,0,35000,35000,35000
2010-06-30,5.88,33300,-1.7(-4.86 %),19780,658691000,0,0,33300,35000,33300
2010-07-01,6.17,34900,1.6(4.80 %),29740,1028840000,0,0,34700,34900,34000
2010-07-02,6.25,35400,0.5(1.43 %),8770,306210000,0,0,34900,35400,34500
2010-07-05,6.32,35800,0.4(1.13 %),3500,126224000,0,0,36000,36800,34000
2010-07-06,6.18,35000,-0.8(-2.23 %),12560,435696000,0,0,34100,35000,34100
2010-07-07,6.11,34600,-0.4(-1.14 %),130,4512000,0,0,35300,35300,34600
2010-07-08,6.11,34600,0(0.00 %),10600,366840000,0,0,35000,35000,34600
2010-07-09,5.83,33000,-1.6(-4.62 %),1150,38160000,0,0,34600,34600,33000
2010-07-12,5.55,31400,-1.6(-4.85 %),1750,55070000,0,0,31400,33800,31400
2010-07-13,5.58,31600,0.2(0.64 %),8460,268956000,0,0,32400,32400,31500
2010-07-14,5.65,32000,0.4(1.27 %),19100,611058000,0,0,31800,32000,31800
2010-07-15,5.72,32400,0.4(1.25 %),8810,283744000,0,0,32000,32500,32000
2010-07-16,5.69,32200,-0.2(-0.62 %),6370,202081000,0,0,30800,32300,30800
2010-07-19,5.83,33000,0.8(2.48 %),13250,432310000,0,0,32300,33000,32000
2010-07-20,5.74,32500,-0.5(-1.52 %),1000,32520000,0,0,32600,32600,32500
2010-07-21,5.79,32800,0.3(0.92 %),4060,132468000,0,0,32600,32800,32500
2010-07-22,5.72,32400,-0.4(-1.22 %),9210,296938000,0,0,32800,32800,31900
2010-07-23,5.69,32200,-0.2(-0.62 %),7860,252552000,0,0,32400,32400,32000
2010-07-26,5.69,32200,0(0.00 %),7000,224200000,0,0,31600,32200,31600
2010-07-27,5.71,32300,0.1(0.31 %),6480,208504000,0,0,32000,32300,32000
2010-07-28,5.74,32500,0.2(0.62 %),6630,215075000,0,0,32500,32500,32400
2010-07-29,5.71,32300,-0.2(-0.62 %),6220,201046000,0,0,32500,32500,32200
2010-07-30,5.74,32500,0.2(0.62 %),3370,109463000,0,0,32400,32500,32400
2010-08-02,5.83,33000,0.5(1.54 %),19080,624783000,0,0,32500,33000,32500
2010-08-03,5.9,33400,0.4(1.21 %),2430,80833000,20000,664000000,33100,33400,33100
2010-08-04,6.04,34200,0.8(2.40 %),11010,369542000,0,0,33600,34200,33500
2010-08-05,6.04,34200,0(0.00 %),2200,74640000,0,0,34000,34200,33800
2010-08-06,6.01,34000,-0.2(-0.58 %),10010,338340000,0,0,33800,34000,33800
2010-08-09,6.01,34000,0(0.00 %),450,15300000,0,0,34000,34000,34000
2010-08-10,5.92,33500,-0.5(-1.47 %),100,3350000,0,0,33500,33500,33500
2010-08-11,5.64,31900,-1.6(-4.78 %),250,7975000,0,0,31900,31900,31900
2010-08-12,5.55,31400,-0.5(-1.57 %),10500,330550000,0,0,31500,31500,31400
2010-08-13,5.55,31400,0(0.00 %),10850,339590000,0,0,31000,31400,31000
2010-08-16,5.65,32000,0.6(1.91 %),5290,169080000,0,0,31000,32000,31000
2010-08-17,5.65,32000,0(0.00 %),8990,287780000,0,0,32000,32100,32000
2010-08-18,5.67,32100,0.1(0.31 %),2050,65705000,0,0,32000,32100,32000
2010-08-19,5.74,32500,0.4(1.25 %),1600,51550000,0,0,32200,32500,32200
2010-08-20,5.76,32600,0.1(0.31 %),2100,68460000,0,0,32600,32600,32600
2010-08-23,6.04,34200,1.6(4.91 %),22840,781128000,0,0,34200,34200,34200
2010-08-24,6.18,35000,0.8(2.34 %),17840,628415000,0,0,35900,35900,34500
2010-08-25,6.36,36000,1(2.86 %),6410,230558000,0,0,36200,36200,35100
2010-08-26,6.34,35900,-0.1(-0.28 %),14140,504805000,0,0,34200,35900,34200
2010-08-27,6.27,35500,-0.4(-1.11 %),9510,332809000,0,0,35900,35900,34900
2010-08-30,6.36,36000,0.5(1.41 %),21210,763562000,0,0,36000,36100,36000
2010-08-31,6.49,33500,0.6(2.04 %),200,6000000,0,0,33500,33500,33500
2010-09-01,6.16,28500,-1.5(-5.00 %),3970,117810000,0,0,30000,30000,28500
2010-09-06,6.36,29400,0.9(3.16 %),570,16753000,0,0,29700,29700,28600
2010-09-07,6.27,29000,-0.4(-1.36 %),400,11495000,0,0,28700,29000,28700
2010-09-08,6.27,29000,0(0.00 %),1510,43790000,0,0,29000,29000,29000
2010-09-09,6.23,28800,-0.2(-0.69 %),10210,294038000,0,0,27800,28800,27800
2010-09-10,5.92,27400,-1.4(-4.86 %),1740,49324000,0,0,29000,29000,27400
2010-09-13,5.66,26200,-1.2(-4.38 %),4030,105932000,0,0,27400,27400,26200
2010-09-14,5.95,27500,1.3(4.96 %),10,275000,0,0,27500,27500,27500
2010-09-15,6.16,28500,1(3.64 %),500,14229000,0,0,26400,28500,26400
2010-09-16,6.16,28500,0(0.00 %),610,17385000,0,0,28500,28500,28500
2010-09-17,5.95,27500,-1(-3.51 %),640,17739000,0,0,28500,28500,27500
2010-09-20,5.97,27600,0.1(0.36 %),1100,31155000,0,0,26400,28500,26400
2010-09-21,6.05,28000,0.4(1.45 %),2320,64140000,0,0,28000,28000,27600
2010-09-22,6.16,28500,0.5(1.79 %),50,1424000,0,0,28400,28500,28400
2010-09-23,6.27,29000,0.5(1.75 %),2060,57117000,0,0,27100,29000,27100
2010-09-24,5.97,27600,-1.4(-4.83 %),2870,80006000,0,0,28500,28500,27600
2010-09-27,6.03,27900,0.3(1.09 %),10,279000,0,0,27900,27900,27900
2010-09-28,6.05,28000,0.1(0.36 %),3010,83180000,0,0,27900,28000,27500
2010-09-29,5.95,27500,-0.5(-1.79 %),5170,142675000,0,0,27500,27600,27500
2010-09-30,5.95,27500,0(0.00 %),570,15409000,0,0,26300,27500,26200
2010-10-01,6.16,28500,1(3.64 %),10,285000,0,0,28500,28500,28500
2010-10-04,6.14,28400,-0.1(-0.35 %),3340,93016000,0,0,28400,28500,27500
2010-10-05,5.84,27000,-1.4(-4.93 %),7520,203090000,0,0,27000,27100,27000
2010-10-06,5.88,27200,0.2(0.74 %),1880,50755000,0,0,27000,27200,25900
2010-10-07,6.03,27900,0.7(2.57 %),1350,36734000,0,0,27200,27900,27200
2010-10-08,5.9,27300,-0.6(-2.15 %),7720,205465000,0,0,27500,27500,26600
