Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2010-11-10,7.44,14400,-0.6(-4.00 %),45950,664443000,0,0,15700,15700,14300
2010-11-11,7.13,13800,-0.6(-4.17 %),43310,628995000,0,0,15100,15100,13700
2010-11-12,7.44,14400,0.6(4.35 %),12200,173600000,0,0,14000,14400,14000
2010-11-15,7.08,13700,-0.7(-4.86 %),26330,382293000,0,0,15100,15100,13700
2010-11-16,7.39,14300,0.6(4.38 %),14900,211305000,0,0,14000,14300,14000
2010-11-17,7.39,14300,0(0.00 %),7310,105906000,0,0,15000,15000,14300
2010-11-18,7.76,15000,0.7(4.90 %),7790,116054000,0,0,14600,15000,14600
2010-11-19,7.6,14700,-0.3(-2.00 %),11300,164540000,0,0,14700,14700,14400
2010-11-22,7.39,14300,-0.4(-2.72 %),3000,42900000,0,0,14300,14300,14300
2010-11-23,7.6,14700,0.4(2.80 %),21130,310921000,0,0,14800,14900,14600
2010-11-24,7.7,14900,0.2(1.36 %),28800,426937000,0,0,14700,14900,14600
2010-11-25,7.39,14300,-0.6(-4.03 %),10070,146401000,0,0,14700,14700,14300
2010-11-26,7.6,14700,0.4(2.80 %),26260,384316000,0,0,14800,14800,14500
2010-11-29,7.76,15000,0.3(2.04 %),6530,97200000,0,0,14400,15000,14400
2010-11-30,7.76,15000,0(0.00 %),1200,17990000,0,0,15200,15200,14700
2010-12-01,7.7,14900,-0.1(-0.67 %),9590,142054000,0,0,14700,14900,14600
2010-12-02,8.01,15500,0.6(4.03 %),46320,698702000,0,0,14900,15500,14800
2010-12-03,8.38,16200,0.7(4.52 %),27500,430712000,0,0,15700,16200,15000
2010-12-06,8.12,15700,-0.5(-3.09 %),18230,290680000,0,0,17000,17000,15400
2010-12-07,7.76,15000,-0.7(-4.46 %),50940,769150000,0,0,15200,15700,15000
2010-12-08,7.5,14500,-0.5(-3.33 %),3500,51200000,0,0,14700,15000,14500
2010-12-09,7.86,15200,0.7(4.83 %),530,8056000,0,0,15200,15200,15200
2010-12-10,8.01,15500,0.3(1.97 %),1690,26072000,0,0,15800,15800,15200
2010-12-13,7.65,14800,-0.7(-4.52 %),6870,104016000,0,0,16100,16100,14800
2010-12-14,7.86,15200,0.4(2.70 %),7450,109070000,0,0,14600,15200,14500
2010-12-15,7.96,15400,0.2(1.32 %),22160,339856000,0,0,15200,15400,15200
2010-12-16,7.76,15000,-0.4(-2.60 %),21000,321146000,0,0,15300,15500,15000
