Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2011-11-24,5.24,27300,-1.4(-4.88 %),54260,1484058000,0,0,27500,28000,27300
2011-11-25,4.99,26000,-1.3(-4.76 %),10210,265460000,0,0,26000,26000,26000
2011-11-28,4.83,25200,-0.8(-3.08 %),253810,6449486000,0,0,25000,26200,24900
2011-11-29,4.66,24300,-0.9(-3.57 %),74410,1832408000,0,0,25100,25200,24200
2011-11-30,4.43,23100,-1.2(-4.94 %),273100,6319977000,0,0,23500,24200,23100
2011-12-01,4.45,23200,0.1(0.43 %),105310,2431577000,0,0,23000,23900,22800
2011-12-02,4.45,23200,0(0.00 %),35080,809042000,0,0,22800,23600,22800
2011-12-05,4.66,24300,1.1(4.74 %),66930,1615583000,0,0,23200,24300,23200
2011-12-06,4.8,25000,0.7(2.88 %),118420,2987289000,0,0,25200,25500,24600
2011-12-07,4.8,25000,0(0.00 %),51040,1262589000,0,0,24200,25100,24200
2011-12-08,4.8,25000,0(0.00 %),74100,1855023000,0,0,24700,25300,24700
2011-12-09,4.8,25000,0(0.00 %),59670,1486863000,0,0,25000,25000,24800
2011-12-12,4.74,24700,-0.3(-1.20 %),24060,595475000,0,0,25000,25000,24500
2011-12-13,4.68,24400,-0.3(-1.21 %),24030,589938000,0,0,24800,24800,24300
2011-12-14,4.6,24000,-0.4(-1.64 %),76860,1814822000,0,0,24400,24500,23200
2011-12-15,4.53,23600,-0.4(-1.67 %),44530,1023180000,35000,805000000,23000,24000,22800
2011-12-16,4.41,23000,-0.6(-2.54 %),23480,547394000,0,0,23600,23900,23000
2011-12-19,4.39,22900,-0.1(-0.43 %),4760,109254000,0,0,23200,23400,22300
2011-12-20,4.3,22400,-0.5(-2.18 %),36390,814706000,0,0,22900,22900,22000
2011-12-21,4.39,22900,0.5(2.23 %),28760,652939000,0,0,22500,23000,22500
2011-12-22,4.41,21500,0.1(0.47 %),45680,984472000,0,0,21700,21800,21400
2011-12-23,4.62,22500,1(4.65 %),43100,960752000,0,0,22000,22500,21100
2011-12-26,4.66,22700,0.2(0.89 %),16010,360363000,0,0,22200,22700,22200
2011-12-27,4.72,23000,0.3(1.32 %),77430,1781119000,0,0,22800,23400,22700
2011-12-28,4.72,23000,0(0.00 %),23900,552384000,0,0,23000,23500,23000
2011-12-29,4.72,23000,0(0.00 %),8800,202400000,39000,897000000,23000,23000,23000
2011-12-30,4.62,22500,-0.5(-2.17 %),14950,340340000,0,0,23000,23000,22500
2012-01-03,4.62,22500,0(0.00 %),20310,454840000,0,0,22300,23200,22100
2012-01-04,4.62,22500,0(0.00 %),12190,274277000,0,0,22500,22700,22500
2012-01-05,4.58,22300,-0.2(-0.89 %),34900,781180000,0,0,22500,22500,22300
2012-01-06,4.56,22200,-0.1(-0.45 %),20880,463543000,39000,897000000,22100,22400,22000
