Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2006-08-08,6.02,38000,-1(-2.56 %),36880,1370948,0,0,37100,38000,37100
2006-08-09,6.32,39900,1.9(5.00 %),3490,139251,0,0,38000,39900,38000
2006-08-10,6.62,41800,1.9(4.76 %),4010,167618,0,0,41800,41800,41800
2006-08-11,6.94,43800,2(4.78 %),10160,443383,0,0,42900,43800,42900
2006-08-14,7.27,45900,2.1(4.79 %),22480,1031832,0,0,45900,45900,45900
2006-08-15,7.29,46000,0.1(0.22 %),23100,1079225,0,0,47900,47900,46000
2006-08-16,7.37,46500,0.5(1.09 %),13940,645170,0,0,46000,46500,46000
2006-08-17,7.45,47000,0.5(1.08 %),31700,1485400,0,0,46500,47000,46500
2006-08-18,7.37,46500,-0.5(-1.06 %),15650,730400,0,0,47000,47000,46500
2006-08-21,7.29,46000,-0.5(-1.08 %),6700,308400,0,0,46500,47000,46000
2006-08-22,6.92,43700,-2.3(-5.00 %),5800,257760,0,0,46000,46000,43700
2006-08-23,7.13,45000,1.3(2.97 %),7140,311020,0,0,43000,45000,43000
2006-08-24,7.22,45600,0.6(1.33 %),2010,91656,0,0,45600,45600,45600
2006-08-25,7.21,45500,-0.1(-0.22 %),310,14105,0,0,45600,45600,45500
2006-08-28,7.21,45500,0(0.00 %),500,22750,0,0,45500,45500,45500
2006-08-29,7.16,45200,-0.3(-0.66 %),17520,791870,0,0,45000,45300,45000
2006-08-30,7.13,45000,-0.2(-0.44 %),8410,379100,0,0,45200,45200,45000
2006-08-31,7.13,45000,0(0.00 %),6100,269000,0,0,45500,45500,43000
2006-09-01,7.13,45000,0(0.00 %),6560,295200,0,0,45000,45000,45000
2006-09-05,7.37,46500,1.5(3.33 %),30110,1396290,0,0,45000,46500,45000
2006-09-06,7.13,45000,-1.5(-3.23 %),17800,805200,0,0,46500,46500,45000
2006-09-07,6.97,44000,-1(-2.22 %),5190,228520,0,0,45000,45000,44000
2006-09-08,7.0,44200,0.2(0.45 %),6640,293908,0,0,44000,44900,44000
2006-09-11,7.08,44700,0.5(1.13 %),3900,174965,0,0,44900,45000,44700
2006-09-12,7.08,44700,0(0.00 %),6610,295467,0,0,44700,44700,44700
2006-09-13,7.05,44500,-0.2(-0.45 %),20810,926045,0,0,44500,44500,44500
2006-09-14,7.11,44900,0.4(0.90 %),16100,724070,0,0,45000,45000,44900
2006-09-15,7.13,45000,0.1(0.22 %),18270,822150,0,0,45000,45000,44900
2006-09-18,7.13,45000,0(0.00 %),2350,105830,0,0,45000,45100,45000
2006-09-19,7.29,46000,1(2.22 %),21050,964737,0,0,45500,46000,45500
2006-09-20,7.29,46000,0(0.00 %),9350,426100,0,0,45600,46000,45600
2006-09-21,7.13,45000,-1(-2.17 %),8680,394100,0,0,46000,46000,45000
2006-09-22,7.37,46500,1.5(3.33 %),72780,3422231,0,0,47200,47200,46500
2006-09-25,7.37,46500,0(0.00 %),49930,2353265,0,0,48000,48000,46500
2006-09-26,7.38,46600,0.1(0.22 %),31800,1480620,0,0,46500,46600,46500
2006-09-27,7.37,46500,-0.1(-0.21 %),22440,1043654,0,0,46600,46600,46500
2006-09-28,7.29,46000,-0.5(-1.08 %),34180,1577605,0,0,46500,46500,46000
2006-09-29,7.24,45700,-0.3(-0.65 %),20200,925360,0,0,46000,46000,45700
2006-10-02,7.29,46000,0.3(0.66 %),15350,706100,0,0,46000,46000,45700
2006-10-03,7.29,46000,0(0.00 %),34370,1581020,0,0,46000,46000,46000
2006-10-04,7.29,46000,0(0.00 %),3780,173930,0,0,46000,46500,46000
2006-10-05,7.22,45600,-0.4(-0.87 %),11000,505120,0,0,46000,46000,45600
2006-10-06,7.29,46000,0.4(0.88 %),3520,161920,0,0,46000,46000,46000
2006-10-09,7.21,45500,-0.5(-1.09 %),13680,619380,0,0,43700,45500,43700
2006-10-10,7.21,45500,0(0.00 %),10260,466830,0,0,45500,45500,45500
2006-10-11,7.21,45500,0(0.00 %),15580,708276,0,0,45200,45500,45200
2006-10-12,7.21,45500,0(0.00 %),1510,68805,0,0,45500,45600,45500
2006-10-13,7.14,45100,-0.4(-0.88 %),2900,130790,0,0,45500,45500,45100
2006-10-16,7.13,45000,-0.1(-0.22 %),14830,667350,0,0,45000,45000,45000
2006-10-17,7.13,45000,0(0.00 %),30100,1349540,0,0,44200,45000,44200
2006-10-18,7.05,44500,-0.5(-1.11 %),1000,44500,0,0,45000,45000,44500
2006-10-19,7.05,44500,0(0.00 %),6400,285000,0,0,45000,45000,44500
2006-10-20,7.13,45000,0.5(1.12 %),4150,186675,0,0,44500,45000,44500
2006-10-23,7.13,45000,0(0.00 %),1800,81000,0,0,45000,45000,45000
2006-10-24,6.97,44000,-1(-2.22 %),6580,290778,0,0,44800,44800,44000
2006-10-25,6.97,44000,0(0.00 %),100,4400,0,0,44000,44000,44000
2006-10-26,6.97,44000,0(0.00 %),0,0,0,0,44000,44000,44000
2006-10-27,6.84,43200,-0.8(-1.82 %),3700,159540,0,0,42700,43200,42700
2006-10-30,6.69,42200,-1(-2.31 %),8690,366718,0,0,42200,42200,42200
2006-10-31,6.81,43000,0.8(1.90 %),10310,418380,0,0,40500,43000,40500
2006-11-01,6.81,43000,0(0.00 %),3350,144050,0,0,43000,43000,43000
2006-11-02,6.73,42500,-0.5(-1.16 %),2000,84400,0,0,42100,42500,42100
2006-11-03,6.65,42000,-0.5(-1.18 %),3100,130300,0,0,42200,42200,42000
2006-11-06,6.65,42000,0(0.00 %),1880,78760,0,0,42000,42000,42000
2006-11-07,6.65,42000,0(0.00 %),5100,214300,0,0,42200,42200,42000
2006-11-08,6.65,42000,0(0.00 %),1100,46200,0,0,42000,42000,42000
2006-11-09,6.64,41900,-0.1(-0.24 %),6820,286110,0,0,42000,42000,41900
2006-11-10,6.64,41900,0(0.00 %),1300,54470,0,0,41900,41900,41900
2006-11-13,6.57,41500,-0.4(-0.95 %),100,4150,0,0,41900,41900,41500
2006-11-14,6.57,41500,0(0.00 %),440,18260,0,0,41500,41500,41500
2006-11-15,6.65,42000,0.5(1.20 %),7680,322530,0,0,43500,43500,41500
2006-11-16,6.81,43000,1(2.38 %),11530,495125,0,0,42500,43000,42500
2006-11-17,6.69,42200,-0.8(-1.86 %),250,10550,0,0,43000,43000,42200
2006-11-20,6.5,41000,-1.2(-2.84 %),13930,572750,0,0,41600,41600,41000
2006-11-21,6.48,40900,-0.1(-0.24 %),4000,163770,0,0,41000,41000,40900
