Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2018-08-21,12.33,16250,1.05(6.91 %),162480,2640000000,0,0,16250,16250,16250
2018-08-22,13.16,17350,1.1(6.77 %),313040,5431000000,0,0,17350,17350,17300
2018-08-23,14.07,18550,1.2(6.92 %),210380,3833000000,0,0,17500,18550,17500
2018-08-24,14.42,19000,0.45(2.43 %),289430,5250000000,0,0,18550,19500,17300
2018-08-27,13.58,17900,-1.1(-5.79 %),121410,2209000000,0,0,17900,19000,17900
2018-08-28,12.71,16750,-1.15(-6.42 %),113440,1945000000,0,0,16900,17850,16750
2018-08-29,12.14,16000,-0.75(-4.48 %),111000,1756000000,0,0,16500,16500,15600
2018-08-30,12.4,16350,0.35(2.19 %),54920,895000000,0,0,15950,16400,15950
2018-08-31,12.75,16800,0.45(2.75 %),165600,2713000000,0,0,16000,16800,16000
2018-09-04,12.44,16400,-0.4(-2.38 %),157290,2644000000,0,0,16500,17000,16000
2018-09-05,12.33,16250,-0.15(-0.91 %),144000,2341000000,0,0,16350,16350,15900
2018-09-06,12.78,16850,0.6(3.69 %),258450,4180000000,0,0,15800,16850,15150
2018-09-07,13.09,17250,0.4(2.37 %),231970,3840000000,0,0,16300,17250,16000
2018-09-10,13.09,17250,0(0.00 %),230150,3938000000,0,0,16800,17300,16500
2018-09-11,13.13,17300,0.05(0.29 %),242460,4182000000,0,0,16700,17400,16700
2018-09-12,13.2,17400,0.1(0.58 %),132350,2287000000,0,0,17300,17450,17000
2018-09-13,13.28,17500,0.1(0.57 %),223610,3823000000,0,0,16700,17500,16700
2018-09-14,13.5,17800,0.3(1.71 %),305410,5152000000,0,0,16400,17800,16400
2018-09-17,14.04,18500,0.7(3.93 %),223380,3993000000,0,0,18000,18500,17600
2018-09-18,14.98,19750,1.25(6.76 %),300660,5711000000,0,0,18500,19750,18500
2018-09-19,16.01,21100,1.35(6.84 %),253370,5239000000,0,0,20000,21100,19900
2018-09-20,15.29,20150,-0.95(-4.50 %),221970,4606000000,0,0,20800,21050,20150
2018-09-21,14.79,19500,-0.65(-3.23 %),213130,4336000000,0,0,20550,21550,19500
2018-09-24,15.17,20000,0.5(2.56 %),186130,3702000000,0,0,20000,20200,19650
2018-09-25,15.7,20700,0.7(3.50 %),129250,2585000000,0,0,20700,20700,19650
2018-09-26,14.79,19500,-1.2(-5.80 %),45020,915000000,0,0,20500,20900,19500
2018-09-27,14.79,19500,0(0.00 %),25750,500000000,0,0,19800,19800,19050
2018-09-28,14.6,19250,-0.25(-1.28 %),138220,2626000000,0,0,19200,19400,18150
2018-10-01,14.79,19500,0.25(1.30 %),25670,494000000,0,0,18900,19500,18500
2018-10-02,15.17,20000,0.5(2.56 %),111710,2172000000,0,0,18700,20000,18700
2018-10-03,15.1,19900,-0.1(-0.50 %),207130,4094000000,0,0,19700,20000,19400
2018-10-04,15.55,20500,0.6(3.02 %),310380,6141000000,0,0,19600,21250,19300
2018-10-05,15.82,20850,0.35(1.71 %),157710,3183000000,0,0,20500,20850,19300
2018-10-08,15.55,20500,-0.35(-1.68 %),92690,1927000000,0,0,20500,20950,20500
2018-10-09,15.36,20250,-0.25(-1.22 %),188410,3780000000,0,0,20400,20400,19700
2018-10-10,15.02,19800,-0.45(-2.22 %),135150,2719000000,0,0,20000,20250,19800
2018-10-11,14.11,18600,-1.2(-6.06 %),27250,508000000,0,0,19800,19800,18600
2018-10-12,14.42,19000,0.4(2.15 %),25160,467000000,0,0,18500,19000,18200
2018-10-15,13.81,18200,-0.8(-4.21 %),43190,795000000,0,0,19000,19000,18200
2018-10-16,13.85,18250,0.05(0.27 %),27460,500000000,0,0,18200,18250,18100
2018-10-17,14.19,18700,0.45(2.47 %),86130,1592000000,0,0,18000,18900,18000
2018-10-18,14.23,18750,0.05(0.27 %),26380,496000000,0,0,18900,18900,18700
2018-10-19,14.3,18850,0.1(0.53 %),77460,1458000000,0,0,18900,18900,18750
2018-10-22,14.53,19150,0.3(1.59 %),63970,1213000000,0,0,18850,19150,18650
2018-10-23,14.57,19200,0.05(0.26 %),193000,3703000000,0,0,19150,19600,18950
2018-10-24,15.33,20200,1(5.21 %),207380,4104000000,0,0,19250,20200,19250
2018-10-25,15.1,19900,-0.3(-1.49 %),43230,856000000,0,0,19500,20000,19500
2018-10-26,14.83,19550,-0.35(-1.76 %),135830,2695000000,0,0,19900,19950,19550
2018-10-29,15.25,20100,0.55(2.81 %),204210,4052000000,0,0,19550,20100,19550
2018-10-30,15.55,20500,0.4(1.99 %),249970,5039000000,0,0,20100,20500,19800
2018-10-31,15.51,19950,-0.05(-0.25 %),195190,3927000000,0,0,19850,20500,19800
2018-11-01,15.24,19600,-0.35(-1.75 %),66730,1317000000,0,0,20000,20000,19600
2018-11-02,14.31,18400,-1.2(-6.12 %),137940,2600000000,0,0,19600,19750,18300
2018-11-05,14.31,18400,0(0.00 %),118810,2192000000,0,0,18800,18800,18200
2018-11-06,14.39,18500,0.1(0.54 %),309280,5847000000,0,0,18450,19650,18450
2018-11-07,14.39,18500,0(0.00 %),254750,4785000000,0,0,18700,19300,18500
2018-11-08,14.0,18000,-0.5(-2.70 %),229540,4265000000,0,0,18600,18900,17250
2018-11-09,13.22,17000,-1(-5.56 %),266710,4714000000,0,0,18000,18000,17000
2018-11-12,13.73,17650,0.65(3.82 %),312180,5236000000,0,0,16800,17700,16000
2018-11-13,13.49,17350,-0.3(-1.70 %),219720,3826000000,0,0,17600,17600,17250
2018-11-14,14.43,18550,1.2(6.92 %),196730,3543000000,0,0,17550,18550,17500
2018-11-15,14.35,18450,-0.1(-0.54 %),189810,3513000000,0,0,18550,19100,18150
2018-11-16,15.32,19700,1.25(6.78 %),270030,5124000000,0,0,18500,19700,18450
2018-11-19,15.32,19700,0(0.00 %),238300,4690000000,0,0,19750,19800,19550
2018-11-20,15.16,19500,-0.2(-1.02 %),102910,2001000000,0,0,19650,19800,19200
2018-11-21,15.16,19500,0(0.00 %),67410,1297000000,0,0,19400,19500,18800
2018-11-22,15.13,19450,-0.05(-0.26 %),127690,2478000000,0,0,19000,19550,19000
2018-11-23,14.39,18500,-0.95(-4.88 %),138110,2645000000,0,0,19450,19600,18400
2018-11-26,14.27,18350,-0.15(-0.81 %),91700,1683000000,0,0,18500,18550,17900
2018-11-27,14.5,18650,0.3(1.63 %),193690,3599000000,0,0,18350,18800,18100
2018-11-28,14.43,18550,-0.1(-0.54 %),183220,3414000000,0,0,18650,18700,18300
2018-11-29,14.43,18550,0(0.00 %),195140,3626000000,0,0,18550,18650,18500
2018-11-30,14.46,18600,0.05(0.27 %),140050,2601000000,0,0,18550,18650,18300
2018-12-03,14.7,18900,0.3(1.61 %),214000,4009000000,0,0,18700,19100,18600
2018-12-04,14.7,18900,0(0.00 %),107220,2027000000,0,0,18950,18950,18600
2018-12-05,14.78,19000,0.1(0.53 %),202200,3700000000,0,0,18900,19000,18000
2018-12-06,14.58,18750,-0.25(-1.32 %),121440,2293000000,0,0,19000,19050,18400
2018-12-07,14.35,18450,-0.3(-1.60 %),93100,1719000000,0,0,18750,18900,18100
2018-12-10,14.0,18000,-0.45(-2.44 %),88500,1619000000,0,0,18450,18450,18000
2018-12-11,13.03,16750,-1.25(-6.94 %),86030,1514000000,0,0,17550,17800,16750
2018-12-12,13.26,17050,0.3(1.79 %),126410,2162000000,0,0,16800,17300,16800
2018-12-13,13.84,17800,0.75(4.40 %),62850,1102000000,0,0,16900,17800,16900
2018-12-14,13.22,17000,-0.8(-4.49 %),66800,1171000000,0,0,17900,17900,17000
2018-12-17,13.14,16900,-0.1(-0.59 %),49650,840000000,0,0,17000,17000,16800
2018-12-18,12.29,15800,-1.1(-6.51 %),21360,356000000,0,0,16500,16850,15800
2018-12-19,12.29,15800,0(0.00 %),21410,335000000,0,0,15800,16600,15400
2018-12-20,13.06,16800,1(6.33 %),24790,395000000,0,0,15800,16800,15300
2018-12-21,12.87,16550,-0.25(-1.49 %),19500,324000000,0,0,16800,16800,16450
2018-12-24,12.87,16550,0(0.00 %),21150,350000000,0,0,16550,16700,16500
2018-12-25,12.79,16450,-0.1(-0.60 %),20010,329000000,0,0,16550,16550,15700
2018-12-26,12.71,16350,-0.1(-0.61 %),20040,328000000,0,0,16450,16500,16300
2018-12-27,12.79,16450,0.1(0.61 %),38270,630000000,0,0,16600,16600,16300
2018-12-28,12.75,16400,-0.05(-0.30 %),23040,380000000,0,0,16700,16700,16400
2019-01-02,12.6,16200,-0.2(-1.22 %),20190,329000000,0,0,16400,16500,16200
2019-01-03,12.56,16150,-0.05(-0.31 %),19500,315000000,0,0,16400,16400,16000
2019-01-04,12.29,15800,-0.35(-2.17 %),20200,321000000,0,0,16300,16300,15800
2019-01-07,12.21,15700,-0.1(-0.63 %),24950,397000000,0,0,16200,16200,15700
2019-01-08,11.98,15400,-0.3(-1.91 %),21210,327000000,0,0,16100,16100,15350
2019-01-09,11.98,15400,0(0.00 %),32110,495000000,0,0,15800,15800,15350
2019-01-10,11.82,15200,-0.2(-1.30 %),22910,350000000,0,0,14400,15450,14400
2019-01-11,11.63,14950,-0.25(-1.64 %),27300,414000000,0,0,15200,15250,14950
2019-01-14,11.59,14900,-0.05(-0.33 %),22500,336000000,0,0,15300,15300,14800
2019-01-15,11.28,14500,-0.4(-2.68 %),35170,522000000,0,0,14900,14950,14500
