Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2018-09-06,7.86,47000,0(0.00 %),332460,15447000000,0,0,45100,47000,45100
2018-09-07,7.89,47200,0.2(0.43 %),276640,13023000000,0,0,47000,47500,46500
2018-09-10,7.77,46500,-0.7(-1.48 %),127280,5926000000,0,0,46100,47200,46000
2018-09-11,7.82,46800,0.3(0.65 %),252160,11706000000,20000,865000000,46200,46800,45800
2018-09-12,7.69,46000,-0.8(-1.71 %),28030,1291000000,0,0,46800,46800,45900
2018-09-13,7.39,44200,-1.8(-3.91 %),136940,6099000000,0,0,45800,45800,43000
2018-09-14,7.14,42700,-1.5(-3.39 %),494030,21279000000,0,0,44150,44200,42500
2018-09-17,7.04,42100,-0.6(-1.41 %),155060,6551000000,0,0,42900,43000,41150
2018-09-18,7.24,43300,1.2(2.85 %),236840,10115000000,0,0,42100,43300,41500
2018-09-19,7.59,45400,2.1(4.85 %),369050,16470000000,0,0,43100,45600,43100
2018-09-20,7.62,45600,0.2(0.44 %),74690,3422000000,0,0,45400,46300,45400
2018-09-21,7.56,45200,-0.4(-0.88 %),120710,5430000000,0,0,45100,45200,44700
2018-09-24,7.21,43150,-2.05(-4.54 %),168300,7278000000,0,0,43500,45000,42900
2018-09-25,7.21,43150,0(0.00 %),41650,1796000000,0,0,43150,44900,43000
2018-09-26,7.2,43100,-0.05(-0.12 %),27170,1172000000,0,0,43150,43900,43000
2018-09-27,7.04,42100,-1(-2.32 %),112200,4746000000,0,0,42750,43000,42000
2018-09-28,7.19,43000,0.9(2.14 %),18270,779000000,50000,1960000000,43000,43000,42300
2018-10-01,7.19,43000,0(0.00 %),59710,2565000000,0,0,43000,43450,42500
2018-10-02,7.1,42500,-0.5(-1.16 %),93500,3973000000,0,0,42600,43000,42000
2018-10-03,7.09,42400,-0.1(-0.24 %),110520,4675000000,0,0,42300,42500,42000
2018-10-04,7.02,42000,-0.4(-0.94 %),98740,4150000000,0,0,42500,42500,42000
2018-10-05,7.1,42500,0.5(1.19 %),138020,5812000000,0,0,42000,42500,41800
2018-10-08,7.1,42500,0(0.00 %),138950,5878000000,0,0,42700,42700,42100
2018-10-09,7.17,42900,0.4(0.94 %),228760,9764000000,0,0,42300,43000,42300
2018-10-10,7.19,43000,0.1(0.23 %),188300,8082000000,0,0,42800,43100,42800
2018-10-11,7.11,42550,-0.45(-1.05 %),297170,12643000000,0,0,42550,42900,42000
2018-10-12,7.15,42800,0.25(0.59 %),179930,7649000000,0,0,42300,42900,42300
2018-10-15,7.2,43100,0.3(0.70 %),286890,12270000000,0,0,42700,43100,42400
2018-10-16,7.22,43200,0.1(0.23 %),277350,11948000000,0,0,42900,43200,42800
2018-10-17,7.2,43100,-0.1(-0.23 %),258900,11167000000,0,0,43200,43500,42900
2018-10-18,7.2,43100,0(0.00 %),179440,7705000000,0,0,42900,43100,42800
2018-10-19,7.2,43100,0(0.00 %),231390,9968000000,0,0,43000,43400,42900
2018-10-22,7.17,42900,-0.2(-0.46 %),171130,7361000000,0,0,43100,43200,42900
2018-10-23,7.15,42800,-0.1(-0.23 %),163030,6978000000,0,0,42900,42900,42600
2018-10-24,7.12,42600,-0.2(-0.47 %),125540,5352000000,0,0,42800,42800,42500
2018-10-25,7.04,42100,-0.5(-1.17 %),82440,3471000000,0,0,42200,42400,41900
2018-10-26,7.07,42300,0.2(0.48 %),111330,4702000000,0,0,42100,42500,42000
2018-10-29,7.02,42000,-0.3(-0.71 %),90900,3824000000,0,0,42300,42500,41800
2018-10-30,6.89,41200,-0.8(-1.90 %),125980,5246000000,0,0,42000,42000,41200
2018-10-31,6.95,41600,0.4(0.97 %),137470,5736000000,0,0,41200,42000,41200
2018-11-01,6.99,41800,0.2(0.48 %),151580,6315000000,0,0,41400,42000,41400
2018-11-02,7.05,42200,0.4(0.96 %),212830,8918000000,0,0,41600,42200,41600
2018-11-05,6.99,41800,-0.4(-0.95 %),117540,4934000000,0,0,42000,42300,41800
2018-11-06,6.97,41700,-0.1(-0.24 %),85080,3559000000,0,0,41800,42000,41600
