Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2009-08-12,7.24,52500,2.5(5.00 %),60,3150000,0,0,52500,52500,52500
2009-08-13,7.59,55000,2.5(4.76 %),60,3300000,0,0,55000,55000,55000
2009-08-14,7.93,57500,2.5(4.55 %),60,3450000,0,0,57500,57500,57500
2009-08-17,8.28,60000,2.5(4.35 %),15550,933000000,0,0,60000,60000,60000
2009-08-18,8.69,63000,3(5.00 %),25230,1589490000,0,0,63000,63000,63000
2009-08-19,9.11,66000,3(4.76 %),10020,661320000,0,0,66000,66000,66000
2009-08-20,9.52,69000,3(4.55 %),8350,576150000,35000,2415000000,69000,69000,69000
2009-08-21,9.93,72000,3(4.35 %),28100,2023200000,60000,4320000000,72000,72000,72000
2009-08-24,10.42,75500,3.5(4.86 %),521340,39346935000,20000,1510000000,75500,75500,75000
2009-08-25,10.69,77500,2(2.65 %),668620,52251250000,0,0,78500,78500,77000
2009-08-26,10.48,76000,-1.5(-1.94 %),257170,19779010000,0,0,76000,78000,76000
2009-08-27,10.42,75500,-0.5(-0.66 %),248710,18644010000,0,0,75500,76000,73500
2009-08-28,10.69,77500,2(2.65 %),206080,15763500000,0,0,76000,77500,75500
2009-08-31,10.97,79500,2(2.58 %),284580,22438170000,700000,51800000000,79000,79500,78000
2009-09-01,11.04,80000,0.5(0.63 %),357630,28412365000,0,0,79000,80000,78000
2009-09-03,10.76,78000,-2(-2.50 %),133230,10455620000,0,0,78500,79500,78000
2009-09-04,10.76,78000,0(0.00 %),280700,22286230000,0,0,79000,80500,77000
2009-09-07,10.69,77500,-0.5(-0.64 %),112100,8629920000,0,0,78000,78000,75500
2009-09-08,10.9,79000,1.5(1.94 %),149360,11754850000,0,0,78000,79500,78000
2009-09-09,10.97,79500,0.5(0.63 %),224780,17877575000,0,0,79000,80000,79000
2009-09-10,11.45,83000,3.5(4.40 %),293520,23952965000,20000,1520000000,80000,83000,80000
2009-09-11,12.0,87000,4(4.82 %),137330,11947710000,0,0,87000,87000,87000
2009-09-14,12.55,91000,4(4.60 %),366610,33206025000,0,0,91000,91000,89000
2009-09-15,13.17,95500,4.5(4.95 %),587810,56125555000,20000,1730000000,95500,95500,95000
2009-09-16,13.11,95000,-0.5(-0.52 %),263490,25253100000,0,0,96000,98000,94000
2009-09-17,13.11,95000,0(0.00 %),327140,30679070000,0,0,95000,95500,92000
2009-09-18,13.73,99500,4.5(4.74 %),1017600,99876660000,20000,1820000000,95500,99500,94500
2009-09-21,14.35,104000,4.5(4.52 %),587340,61070360000,0,0,104000,104000,103000
2009-09-22,15.04,109000,5(4.81 %),541760,59050190000,0,0,109000,109000,108000
2009-09-23,15.73,114000,5(4.59 %),454660,51831240000,0,0,114000,114000,114000
2009-09-24,16.42,119000,5(4.39 %),1042290,121397130000,0,0,112000,119000,112000
2009-09-25,17.11,124000,5(4.20 %),827610,101823390000,0,0,122000,124000,120000
2009-09-28,17.93,130000,6(4.84 %),677400,87727400000,0,0,129000,130000,127000
2009-09-29,18.76,136000,6(4.62 %),594960,80608420000,0,0,136000,136000,130000
2009-09-30,17.93,130000,-6(-4.41 %),613100,81610700000,0,0,133000,140000,130000
2009-10-01,17.11,124000,-6(-4.62 %),539050,67429920000,0,0,127000,128000,124000
2009-10-02,16.28,118000,-6(-4.84 %),99790,11775220000,0,0,118000,118000,118000
2009-10-05,15.59,113000,-5(-4.24 %),696370,78785430000,50000,5650000000,113000,117000,113000
2009-10-06,16.14,117000,4(3.54 %),736300,83868150000,0,0,116000,117000,108000
2009-10-07,16.83,122000,5(4.27 %),614930,74645280000,50000,6100000000,119000,122000,116000
2009-10-08,17.11,124000,2(1.64 %),320220,39493990000,0,0,122000,127000,120000
2009-10-09,16.42,119000,-5(-4.03 %),706490,86334630000,0,0,125000,126000,119000
2009-10-12,16.42,119000,0(0.00 %),561420,66792410000,0,0,119000,121000,117000
2009-10-13,16.42,119000,0(0.00 %),343580,40865510000,0,0,120000,120000,118000
