Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2015-03-19,3.85,21500,0.3(1.42 %),100950,2110000000,0,0,24000,24000,20200
2015-03-20,3.76,21000,-0.5(-2.33 %),31280,665000000,0,0,22000,22000,21000
2015-03-23,3.51,19600,-1.4(-6.67 %),178850,3556000000,0,0,21600,21600,19600
2015-03-24,3.49,19500,-0.1(-0.51 %),16140,314000000,0,0,19600,19700,19400
2015-03-25,3.54,19800,0.3(1.54 %),3800,74000000,0,0,19400,19800,19400
2015-03-26,3.51,19600,-0.2(-1.01 %),14030,275000000,0,0,19400,19700,19400
2015-03-27,3.51,19600,0(0.00 %),6790,133000000,0,0,19700,19700,19500
2015-03-30,3.38,18900,-0.7(-3.57 %),21650,420000000,0,0,19400,19500,18900
2015-03-31,3.44,19200,0.3(1.59 %),8420,160000000,0,0,18900,19200,18900
2015-04-01,3.4,19000,-0.2(-1.04 %),6700,127000000,0,0,18900,19000,18900
2015-04-02,3.56,19900,0.9(4.74 %),3020,59000000,0,0,19200,19900,19200
2015-04-03,3.47,19400,-0.5(-2.51 %),150,3000000,0,0,18900,19400,18900
2015-04-06,3.4,19000,-0.4(-2.06 %),3530,66000000,0,0,19000,19000,18700
2015-04-07,3.27,18300,-0.7(-3.68 %),6070,111000000,0,0,19400,19400,18200
2015-04-08,3.26,18200,-0.1(-0.55 %),27220,492000000,0,0,18300,18300,17700
2015-04-09,3.36,18800,0.6(3.30 %),11000,201000000,0,0,18200,18800,18000
2015-04-10,3.4,19000,0.2(1.06 %),1030,19000000,0,0,19100,19100,18800
2015-04-13,3.31,18500,-0.5(-2.63 %),3500,65000000,0,0,18800,18800,18500
2015-04-14,3.49,19500,1(5.41 %),115140,2182000000,0,0,18400,19500,18100
2015-04-15,3.4,19000,-0.5(-2.56 %),2600,50000000,0,0,19500,19500,19000
2015-04-16,3.47,19400,0.4(2.11 %),35560,675000000,0,0,19000,19400,18900
2015-04-17,3.53,19700,0.3(1.55 %),170,3000000,0,0,19900,19900,19100
2015-04-20,3.4,19000,-0.7(-3.55 %),12860,245000000,0,0,19700,19700,19000
2015-04-21,3.4,19000,0(0.00 %),10830,206000000,0,0,19100,19100,19000
2015-04-22,3.47,19400,0.4(2.11 %),110,2000000,0,0,19000,19400,19000
2015-04-23,3.4,19000,-0.4(-2.06 %),10110,192000000,0,0,19400,20200,19000
2015-04-24,3.45,19300,0.3(1.58 %),6840,132000000,0,0,19200,19300,19100
2015-04-27,3.58,20000,0.7(3.63 %),3280,64000000,0,0,19800,20000,19400
2015-05-04,3.53,19700,-0.3(-1.50 %),7970,155000000,0,0,19500,19700,19000
2015-05-05,3.49,19500,-0.2(-1.02 %),22510,420000000,0,0,18700,19500,18500
2015-05-06,3.47,19400,-0.1(-0.51 %),100,2000000,0,0,19400,19400,19400
2015-05-07,3.49,19500,0.1(0.52 %),90,2000000,0,0,19900,19900,19500
2015-05-08,3.45,19300,-0.2(-1.03 %),11930,237000000,0,0,19500,20400,19300
2015-05-11,3.47,19400,0.1(0.52 %),100,2000000,0,0,19400,19400,19400
2015-05-12,3.53,19700,0.3(1.55 %),11330,220000000,0,0,19200,19800,19200
2015-05-13,3.49,19500,-0.2(-1.02 %),210,4000000,0,0,19500,19500,19500
2015-05-14,3.49,19500,0(0.00 %),6050,118000000,0,0,19500,19500,19500
2015-05-15,3.47,19400,-0.1(-0.51 %),2270,43000000,0,0,19200,19500,18700
2015-05-18,3.49,19500,0.1(0.52 %),32200,628000000,0,0,19700,19700,19300
2015-05-19,3.51,19600,0.1(0.51 %),7530,146000000,0,0,19500,19600,19000
2015-05-20,3.58,20000,0.4(2.04 %),13140,260000000,0,0,19600,20000,19600
2015-05-21,3.58,20000,0(0.00 %),6600,130000000,0,0,20000,20000,19500
2015-05-22,3.6,20100,0.1(0.50 %),56540,1138000000,0,0,20100,20200,20100
2015-05-25,3.6,20100,0(0.00 %),30540,618000000,0,0,20100,20600,20000
2015-05-26,3.66,18800,0.3(1.62 %),11610,223000000,0,0,19700,19700,18800
2015-05-27,3.71,19100,0.3(1.60 %),14820,281000000,0,0,18900,19100,18900
2015-05-28,3.73,19200,0.1(0.52 %),16430,314000000,0,0,19100,19200,19000
2015-05-29,3.71,19100,-0.1(-0.52 %),14240,272000000,106800,2050560000,19100,19100,19100
2015-06-01,3.69,19000,-0.1(-0.52 %),19850,375000000,0,0,18800,19100,18800
2015-06-02,3.64,18700,-0.3(-1.58 %),250,5000000,0,0,18700,18700,18700
2015-06-03,3.64,18700,0(0.00 %),14240,266000000,0,0,18700,18800,18500
2015-06-04,3.69,19000,0.3(1.60 %),12240,232000000,0,0,19000,19000,18900
2015-06-05,3.69,19000,0(0.00 %),8770,166000000,0,0,18900,19000,18800
