Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2010-01-21,24.89,114000,0(0.00 %),212560,24428690000,712116,77620644000,116000,116000,113000
2010-01-22,24.89,114000,0(0.00 %),19190,2164610000,0,0,112000,114000,112000
2010-01-25,23.8,109000,-5(-4.39 %),33450,3704840000,0,0,110000,113000,109000
2010-01-26,24.89,114000,5(4.59 %),67000,7600620000,20000,2080000000,112000,114000,112000
2010-01-27,23.8,109000,-5(-4.39 %),28850,3193210000,0,0,114000,114000,109000
2010-01-28,22.71,104000,-5(-4.59 %),30680,3225820000,0,0,109000,109000,104000
2010-01-29,23.8,109000,5(4.81 %),105920,11252070000,0,0,103000,109000,103000
2010-02-01,24.89,114000,5(4.59 %),110270,12539570000,0,0,113000,114000,112000
2010-02-02,25.55,117000,3(2.63 %),77170,8899410000,0,0,114000,117000,114000
2010-02-03,25.55,117000,0(0.00 %),26300,3061020000,0,0,117000,117000,115000
2010-02-04,25.55,117000,0(0.00 %),58630,6851960000,0,0,117000,117000,116000
2010-02-05,24.89,114000,-3(-2.56 %),82160,9485210000,0,0,116000,117000,114000
2010-02-08,24.67,113000,-1(-0.88 %),39450,4479770000,0,0,113000,115000,113000
2010-02-09,24.67,113000,0(0.00 %),51680,5799130000,0,0,113000,114000,111000
2010-02-10,25.33,116000,3(2.65 %),69350,7953580000,0,0,114000,116000,108000
2010-02-11,25.33,116000,0(0.00 %),27900,3220100000,0,0,115000,116000,115000
2010-02-12,25.55,117000,1(0.86 %),22770,2650810000,0,0,115000,117000,115000
2010-02-22,25.55,117000,0(0.00 %),92840,10887360000,0,0,119000,119000,116000
2010-02-23,24.89,114000,-3(-2.56 %),32960,3771230000,20000,2300000000,115000,115000,114000
2010-02-24,25.77,118000,4(3.51 %),206860,24224030000,0,0,114000,119000,114000
2010-02-25,26.86,123000,5(4.24 %),272450,32925070000,35330,3992290000,121000,123000,119000
2010-02-26,28.17,129000,6(4.88 %),308040,39642020000,0,0,125000,129000,125000
2010-03-01,28.17,129000,0(0.00 %),112400,14662890000,0,0,131000,132000,129000
2010-03-02,27.95,128000,-1(-0.78 %),88550,11410120000,0,0,129000,130000,128000
2010-03-03,28.39,130000,2(1.56 %),141170,18392310000,0,0,129000,131000,128000
