Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2009-07-17,10.54,38100,-2(-4.99 %),1002480,38456861000,0,0,38600,39000,38100
2009-07-20,10.01,36200,-1.9(-4.99 %),156560,5667472000,0,0,36200,36200,36200
2009-07-21,9.65,34900,-1.3(-3.59 %),2133390,73973277000,0,0,34400,35500,34400
2009-07-22,9.79,35400,0.5(1.43 %),949090,33652022000,0,0,35500,35900,35000
2009-07-23,10.26,37100,1.7(4.80 %),758310,27350139000,150000,5055000000,35200,37100,35200
2009-07-24,10.76,38900,1.8(4.85 %),640060,24898334000,0,0,38900,38900,38900
2009-07-27,11.29,40800,1.9(4.88 %),3264870,133077992000,40000,1620000000,40800,40800,39500
2009-07-28,11.01,39800,-1(-2.45 %),2008120,81740222000,0,0,40800,41800,39700
2009-07-29,10.68,38600,-1.2(-3.02 %),1060730,41950528000,0,0,40000,40500,38600
2009-07-30,10.48,37900,-0.7(-1.81 %),830120,31154445000,0,0,37800,38500,37000
2009-07-31,10.98,39700,1.8(4.75 %),1807290,71038725000,0,0,38500,39700,38400
2009-08-03,11.06,40000,0.3(0.76 %),1203870,48352269000,0,0,40000,40800,39500
2009-08-04,11.15,40300,0.3(0.75 %),1428170,57831808000,240000,9600000000,41000,41000,40000
2009-08-05,11.06,40000,-0.3(-0.74 %),1130020,45181765000,0,0,39900,40300,39600
2009-08-06,10.93,39500,-0.5(-1.25 %),1483460,59345767000,20000,798000000,40000,40300,39500
2009-08-07,10.9,39400,-0.1(-0.25 %),668260,26372818000,0,0,39500,39800,39200
2009-08-10,11.04,39900,0.5(1.27 %),730910,29089880000,0,0,39700,40000,39500
2009-08-11,10.9,39400,-0.5(-1.25 %),557710,22050205000,0,0,39700,39900,39300
2009-08-12,10.84,39200,-0.2(-0.51 %),1001200,39456825000,0,0,39800,39900,39200
2009-08-13,10.9,39400,0.2(0.51 %),1161040,45874156000,0,0,39800,39800,39200
2009-08-14,10.98,39700,0.3(0.76 %),878140,34835504000,0,0,39500,39900,39400
