Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2010-03-22,13.24,27700,1.3(4.92 %),487370,13499099000,0,0,27700,27700,27600
2010-03-23,12.61,26400,-1.3(-4.69 %),349160,9689732000,0,0,28000,28200,26400
2010-03-24,12.18,25500,-0.9(-3.41 %),78590,1998022000,0,0,25300,26300,25300
2010-03-25,11.66,24400,-1.1(-4.31 %),40060,981941000,0,0,24400,25000,24400
2010-03-26,11.56,24200,-0.2(-0.82 %),14800,364810000,0,0,25200,25200,24200
2010-03-29,10.99,23000,-1.2(-4.96 %),96800,2272351000,0,0,24000,24500,23000
2010-03-30,11.52,24100,1.1(4.78 %),97630,2314477000,0,0,22900,24100,22900
2010-03-31,12.09,25300,1.2(4.98 %),31140,787842000,0,0,25300,25300,25300
2010-04-01,12.66,26500,1.2(4.74 %),359730,9513340000,0,0,26500,26500,25500
2010-04-02,12.18,25500,-1(-3.77 %),97110,2572519000,0,0,26500,26900,25500
2010-04-05,11.9,24900,-0.6(-2.35 %),83270,2084789000,0,0,25500,25500,24500
2010-04-06,11.71,24500,-0.4(-1.61 %),63980,1606185000,0,0,26000,26000,24500
2010-04-07,12.28,25700,1.2(4.90 %),150190,3831979000,0,0,24500,25700,24500
2010-04-08,12.23,25600,-0.1(-0.39 %),51720,1330559000,0,0,26200,26200,25600
2010-04-09,12.42,26000,0.4(1.56 %),105310,2712995000,0,0,25600,26100,25500
2010-04-12,12.52,26200,0.2(0.77 %),128010,3376757000,0,0,26800,26800,26100
2010-04-13,12.33,25800,-0.4(-1.53 %),102620,2666204000,0,0,26200,26200,25800
2010-04-14,12.38,25900,0.1(0.39 %),60890,1561062000,0,0,25800,25900,25000
2010-04-15,12.57,26300,0.4(1.54 %),78710,2049928000,0,0,26000,26300,25800
2010-04-16,12.47,26100,-0.2(-0.76 %),217630,5687079000,0,0,26000,26400,25900
2010-04-19,12.33,25800,-0.3(-1.15 %),67600,1746250000,0,0,25200,26200,25200
2010-04-20,12.57,26300,0.5(1.94 %),249290,6596444000,0,0,26900,26900,25900
2010-04-21,13.19,27600,1.3(4.94 %),509740,13977738000,0,0,27000,27600,26900
2010-04-22,13.81,28900,1.3(4.71 %),110440,3192000000,0,0,28900,28900,28900
2010-04-26,14.48,30300,1.4(4.84 %),515370,15579756000,0,0,30300,30300,29500
2010-04-27,14.0,29300,-1(-3.30 %),106350,3138419000,0,0,30000,30000,28900
2010-04-28,14.1,29500,0.2(0.68 %),284810,8111405000,0,0,28100,29500,28000
2010-04-29,14.76,30900,1.4(4.75 %),291750,8853005000,0,0,30000,30900,29200
2010-05-04,15.48,32400,1.5(4.85 %),183080,5921906000,0,0,32400,32400,31200
2010-05-05,16.25,34000,1.6(4.94 %),263860,8893971000,0,0,31500,34000,31500
2010-05-06,17.06,35700,1.7(5.00 %),422880,15093333000,0,0,35700,35700,34100
2010-05-07,16.72,35000,-0.7(-1.96 %),345100,11853159000,0,0,34300,35000,34000
2010-05-10,15.91,33300,-1.7(-4.86 %),161870,5403103000,0,0,35000,35000,33300
2010-05-11,15.15,31700,-1.6(-4.80 %),100440,3206339000,0,0,33300,33300,31700
2010-05-12,14.43,30200,-1.5(-4.73 %),23420,707284000,0,0,30200,30200,30200
2010-05-13,13.71,28700,-1.5(-4.97 %),451300,12954666000,20000,574000000,28700,29000,28700
2010-05-14,13.9,29100,0.4(1.39 %),257130,7292155000,0,0,29000,29100,27300
2010-05-17,13.33,27900,-1.2(-4.12 %),100980,2911890000,0,0,30000,30000,27800
2010-05-18,13.28,27800,-0.1(-0.36 %),46730,1300624000,100000,2780000000,27000,28300,27000
2010-05-19,12.66,26500,-1.3(-4.68 %),139390,3705270000,0,0,27000,28000,26500
2010-05-20,13.0,27200,0.7(2.64 %),136190,3490494000,0,0,25200,27200,25200
2010-05-21,12.38,25900,-1.3(-4.78 %),146910,3805522000,25000,680000000,25900,26000,25900
2010-05-24,12.23,25600,-0.3(-1.16 %),34550,884391000,0,0,25600,26800,25200
2010-05-25,12.52,26200,0.6(2.34 %),46790,1218047000,0,0,26500,26800,25500
2010-05-26,13.14,27500,1.3(4.96 %),138640,3750939000,0,0,26800,27500,26300
2010-05-27,13.14,27500,0(0.00 %),86580,2377859000,0,0,27500,27900,27100
2010-05-28,13.76,28800,1.3(4.73 %),125670,3607782000,25000,687500000,28800,28800,27700
2010-05-31,13.52,28300,-0.5(-1.74 %),106740,3055090000,0,0,28800,29000,28000
