Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2017-11-01,9.12,26300,-2.4(-8.36 %),45175,1215285300,0,0,28500,28500,26200
2017-11-02,8.15,24450,-3.4(-12.64 %),9391,231040600,0,0,26200,26500,24450
2017-11-03,7.49,21850,-3(-12.20 %),59994,1297809400,507,10647000,22100,22200,21850
2017-11-06,8.6,23100,3.2(14.81 %),36843,873566400,0,0,21600,23100,21500
2017-11-07,9.43,26550,3.5(14.77 %),53412,1444066800,0,0,24500,26550,24500
2017-11-08,9.53,27500,0.5(1.85 %),68856,1994798000,0,0,29100,29100,27000
2017-11-09,9.29,26800,-2.2(-7.59 %),21640,600930000,0,0,27500,29000,26400
2017-11-10,9.36,27000,-0.8(-2.88 %),12410,330929000,1743,41309100,26500,27000,26500
2017-11-13,8.67,25100,-1.7(-6.37 %),15901,399360700,0,0,25500,25700,25100
2017-11-14,8.74,25200,0.1(0.40 %),10819,273849900,474,10143600,26000,26000,25000
2017-11-15,8.77,25300,0(0.00 %),27000,680330000,30900,896100000,25300,25300,25100
2017-11-16,8.81,25400,0.2(0.79 %),22200,568260000,0,0,25400,26000,25300
2017-11-17,8.91,25700,0.1(0.39 %),22210,574867000,0,0,25700,26000,25700
2017-11-20,8.67,25000,-0.9(-3.47 %),13900,348790000,0,0,25200,25300,25000
2017-11-21,8.6,24800,-0.3(-1.20 %),40610,1004757600,0,0,25500,25500,24100
2017-11-22,8.25,23800,-0.9(-3.64 %),46510,1120472000,0,0,24800,24800,23800
2017-11-23,8.32,24000,-0.1(-0.41 %),16586,395063400,0,0,23800,24000,23500
2017-11-24,8.32,24000,0.2(0.84 %),47916,1152666800,8040,219212000,24000,24500,23800
2017-11-27,8.36,24100,0(0.00 %),22606,540708000,5000,138500000,24000,24100,23800
2017-11-28,8.32,24000,0.1(0.42 %),40850,981140000,0,0,24000,24400,23900
2017-11-29,8.39,24200,0.2(0.83 %),80331,1933236800,8000,163200000,24000,25500,23900
2017-11-30,8.49,24500,0.4(1.66 %),42700,1056090000,5000,102500000,24500,25200,24300
2017-12-01,8.67,25000,0.3(1.21 %),26320,641846000,73500,2087400000,25900,25900,24100
2017-12-04,8.84,25500,1.1(4.51 %),68529,1723242200,26000,728000000,25000,25500,24400
2017-12-05,9.36,27000,1.9(7.57 %),38913,1015633500,0,0,25500,27000,25100
2017-12-06,9.64,27800,1.7(6.51 %),134624,3711400100,73500,1631700000,26900,28800,26900
2017-12-07,9.57,27600,0(0.00 %),94611,2626518100,25000,587500000,28000,28200,27100
2017-12-08,9.08,26200,-1.6(-5.76 %),26070,707971000,32550,1037935000,28000,28500,26200
2017-12-11,9.15,26400,-0.8(-2.94 %),10236,266076000,80200,2502240000,27000,27000,25000
2017-12-12,9.33,26900,0.9(3.46 %),22924,586452800,31000,926900000,27000,27800,25000
2017-12-13,8.84,25500,-0.1(-0.39 %),28068,719600800,32500,708500000,27900,27900,25500
2017-12-14,9.15,26400,0.8(3.12 %),21900,557530000,73000,1591400000,25500,26400,25400
2017-12-15,9.19,26500,1(3.92 %),27966,724017000,31000,672700000,26000,26500,25400
2017-12-18,9.36,27000,1.1(4.25 %),25100,666710000,0,0,25800,27800,25800
2017-12-19,9.36,27000,0.4(1.50 %),77143,2138917000,23100,704550000,27000,28200,26700
2017-12-20,9.01,26000,-1.7(-6.14 %),44400,1232610000,29000,922200000,27700,28300,26000
2017-12-21,9.36,27000,-0.8(-2.88 %),4450,116570000,2400,56880000,26100,27500,26100
2017-12-22,9.33,26900,0.7(2.67 %),13823,375882600,23100,515130000,26900,27300,26900
2017-12-25,9.12,26300,-0.9(-3.31 %),2556,67621000,17000,394400000,27300,27400,26300
2017-12-26,8.98,25900,-0.6(-2.26 %),11255,287082500,12000,271200000,25500,25900,25400
2017-12-27,8.77,25300,-0.2(-0.78 %),11222,284496600,0,0,25000,25500,25000
2017-12-28,8.94,25800,0.4(1.57 %),23800,599180000,0,0,26000,26000,25100
2017-12-29,9.12,26300,1.1(4.37 %),9000,231580000,0,0,25000,26300,25000
2018-01-02,8.94,25800,0.1(0.39 %),16660,437140000,0,0,26200,27000,25700
2018-01-03,9.01,26000,-0.2(-0.76 %),20836,544466000,0,0,26200,26500,25800
2018-01-04,9.15,26400,0.3(1.15 %),6600,172800000,0,0,26000,26500,26000
2018-01-05,9.08,26200,0(0.00 %),4235,110756000,0,0,26500,27000,25500
2018-01-08,9.01,26000,-0.2(-0.76 %),7600,193770000,0,0,25600,26000,25200
2018-01-09,8.88,25600,0.1(0.39 %),10143,255992100,0,0,25800,25800,25000
2018-01-10,8.77,25300,0.1(0.40 %),44600,1215710000,791,17006500,26400,27400,25100
2018-01-11,9.36,27000,-0.3(-1.10 %),8300,217510000,0,0,27000,27050,25200
2018-01-15,8.91,25700,0(0.00 %),10700,266080000,0,0,25100,25700,25100
2018-01-16,8.88,25600,0.7(2.81 %),350,9075000,0,0,26200,26200,25600
2018-01-17,8.88,25600,-0.4(-1.54 %),5733,143508000,0,0,25900,25900,24700
2018-01-18,8.67,25000,0(0.00 %),22510,548655000,0,0,25500,25500,24000
2018-01-19,8.74,25200,0.8(3.28 %),26300,646670000,0,0,24900,25200,24400
2018-01-22,8.94,25800,1.2(4.88 %),38150,961420000,0,0,25900,26200,24700
2018-01-23,8.84,25500,0.3(1.19 %),13600,343940000,0,0,25200,26000,25200
2018-01-24,8.84,25500,0.2(0.79 %),16600,420760000,0,0,25700,25700,25000
2018-01-25,8.77,25300,0(0.00 %),53700,1356340000,0,0,25300,25500,24700
2018-01-26,8.98,25900,0.6(2.37 %),68410,1752296000,0,0,25500,25900,25300
2018-01-29,8.94,25800,0.2(0.78 %),10281,262655000,0,0,25900,25900,25000
2018-01-30,8.84,25500,-0.1(-0.39 %),13436,333508800,0,0,24800,25700,24600
2018-01-31,8.81,25400,0.6(2.42 %),54100,1341900000,0,0,24800,25400,24800
2018-02-01,8.67,25000,0.2(0.81 %),19100,475690000,0,0,24800,25000,24500
2018-02-02,8.63,24900,0(0.00 %),25100,607670000,0,0,24500,24900,23400
2018-02-05,8.67,25000,0.8(3.31 %),1800,43610000,0,0,23500,25000,23500
2018-02-06,8.63,24900,0.7(2.89 %),105,2614500,0,0,24900,24900,24900
2018-02-07,8.63,24900,0(0.00 %),120,2988000,0,0,24900,24900,24900
2018-02-08,8.56,24700,-0.2(-0.80 %),2788,64928800,0,0,23150,24700,23150
