Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2009-08-03,9.19,31400,0.3(0.96 %),1660200,52123790000.0,5100,168300000,31500,32300,30900
2009-08-04,9.66,33000,1.6(5.10 %),1322000,43187670000.0,115000,3369500000,32000,33400,32000
2009-08-05,9.66,33000,0.3(0.92 %),1493900,49095660000.0,870000,26585000000,32800,33000,32500
2009-08-06,9.25,31600,-1.3(-3.95 %),1294700,41679690000.0,0,0,32700,33000,31400
2009-08-07,9.02,30800,-1.4(-4.35 %),871200,26929360000.0,0,0,31200,32000,30500
2009-08-10,9.22,31500,0.6(1.94 %),770600,24137800000.0,0,0,31500,32000,30500
2009-08-11,9.08,31000,-0.3(-0.96 %),693900,21333740000.0,0,0,31300,31300,30500
2009-08-12,9.05,30900,0.2(0.65 %),901700,27840730000.0,0,0,31000,31500,30500
2009-08-13,9.14,31200,0.3(0.97 %),679300,21489650000.0,0,0,32000,32900,30900
2009-08-14,9.05,30900,-0.7(-2.22 %),450900,13902350000.0,0,0,31200,31600,30400
2009-08-17,8.87,30300,-0.5(-1.62 %),586800,17796410000.0,0,0,30800,30800,29800
2009-08-18,8.64,29500,-0.8(-2.64 %),748600,22019040000.0,0,0,29500,29800,28900
2009-08-19,8.67,29600,0.2(0.68 %),599500,17683990000.0,0,0,29500,30400,29100
2009-08-20,8.49,29000,-0.5(-1.69 %),673400,19568440000.0,0,0,29600,29600,28700
2009-08-21,9.11,31050,2(6.87 %),1389000,43132850000.0,0,0,29400,31050,29400
2009-08-24,9.66,33000,1.9(6.11 %),2087700,68708300000.0,0,0,33200,33200,32300
2009-08-25,9.4,32100,-0.8(-2.43 %),1111900,36103120000.0,0,0,32900,34500,31700
2009-08-26,9.22,31500,-1(-3.08 %),846300,26614880000.0,0,0,32500,32500,30800
2009-08-27,9.22,31500,0.1(0.32 %),817100,25343180000.0,0,0,31300,31500,30700
2009-08-28,9.34,31900,0.9(2.90 %),720600,22796060000.0,0,0,31000,32000,31000
