Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2009-11-06,1.58,23100,-1.7(-6.85 %),16000,373040000,0,0,24000,24000,23100
2009-11-09,1.49,21700,-1.6(-6.87 %),700,15190000,0,0,21700,21700,21700
2009-11-10,1.38,20200,-1.5(-6.91 %),5800,117160000,0,0,20200,20200,20200
2009-11-11,1.29,18800,-1.4(-6.93 %),12200,229360000,0,0,18800,18800,18800
2009-11-12,1.29,18800,0(0.00 %),121700,2213080000,0,0,17500,20000,17500
2009-11-13,1.33,19400,1.2(6.59 %),31500,604170000,0,0,18800,19400,18600
2009-11-16,1.4,20500,1.3(6.77 %),38000,778140000,0,0,20500,20500,20200
2009-11-17,1.42,20700,0.2(0.98 %),50300,1063010000,0,0,21900,21900,19800
2009-11-18,1.4,20500,-0.6(-2.84 %),62500,1239100000,0,0,20600,20600,19700
2009-11-19,1.34,19600,-0.2(-1.01 %),40000,788130000,0,0,19050,20000,19050
2009-11-20,1.32,19200,-0.5(-2.54 %),30900,592430000,0,0,19200,19500,18800
2009-11-23,1.27,18600,-0.6(-3.12 %),12100,227000000,0,0,19900,19900,18100
2009-11-24,1.29,18800,0(0.00 %),13000,247980000,0,0,19000,19900,18800
2009-11-25,1.22,17800,-1.3(-6.81 %),13600,244330000,0,0,18500,18500,17800
2009-11-26,1.15,16800,-1.2(-6.67 %),15000,252150000,0,0,17500,17500,16800
2009-11-27,1.08,15700,-1.1(-6.55 %),49600,791860000,0,0,15700,16800,15700
2009-11-30,1.17,16800,1.1(6.88 %),10100,172390000,0,0,16800,16800,16800
2009-12-01,1.23,18000,0.9(5.26 %),16000,289160000,0,0,18000,18200,18000
2009-12-02,1.28,18700,0.6(3.31 %),69700,1317180000,0,0,19100,19250,18300
2009-12-03,1.27,18500,-0.4(-2.12 %),34200,644050000,0,0,20000,20000,18500
2009-12-04,1.27,18600,-0.2(-1.06 %),20900,389220000,0,0,19400,19400,18400
2009-12-07,1.28,18700,0.1(0.54 %),17700,329990000,0,0,19900,19900,18500
2009-12-08,1.28,18700,0.1(0.54 %),82400,1549010000,0,0,18500,19200,18500
2009-12-09,1.29,17400,0(0.00 %),1100,18860000,0,0,17400,17400,17400
2009-12-10,1.19,16100,-1.1(-6.43 %),7700,124250000,0,0,18000,18000,16100
2009-12-11,1.12,15000,-1.1(-6.83 %),6400,97180000,0,0,16800,16800,15000
2009-12-14,1.15,15400,0.2(1.32 %),22000,335460000,0,0,15200,15400,15000
2009-12-15,1.12,15000,-0.2(-1.32 %),11600,171640000,0,0,15100,15100,14500
2009-12-16,1.06,14200,-0.6(-4.05 %),14300,204750000,0,0,14800,14800,14000
2009-12-17,1.04,14000,-0.3(-2.10 %),7100,98720000,0,0,13900,14000,13900
2009-12-18,1.09,14700,0.8(5.76 %),18000,257520000,0,0,14000,14700,14000
2009-12-21,1.14,15300,1(6.99 %),22400,334340000,0,0,14700,15300,14400
2009-12-22,1.12,15000,0.1(0.67 %),6500,97500000,0,0,15000,15000,15000
2009-12-23,1.12,15000,0(0.00 %),8900,133110000,0,0,14900,15000,14900
2009-12-24,1.14,15300,0.3(2.00 %),14100,211290000,0,0,15000,15300,14400
2009-12-25,1.15,15500,0.5(3.33 %),11500,180290000,21520,344320000,15800,15900,15500
2009-12-28,1.15,15500,-0.2(-1.27 %),16000,251510000,0,0,15700,16000,15200
2009-12-29,1.12,15100,-0.6(-3.82 %),5000,77000000,0,0,15800,15800,15100
2009-12-30,1.14,15300,-0.1(-0.65 %),6200,93270000,0,0,15700,15700,15000
2009-12-31,1.12,15000,0(0.00 %),14000,213830000,0,0,15200,15800,15000
2010-01-04,1.21,16050,1(6.54 %),53200,855900000,0,0,16000,16050,15500
2010-01-05,1.28,17200,1.1(6.83 %),37100,637990000,0,0,17100,17200,17100
2010-01-06,1.25,16800,-0.4(-2.33 %),15700,265870000,0,0,16700,18000,16700
2010-01-07,1.21,16200,-0.7(-4.14 %),28600,462240000,0,0,16800,16800,16000
2010-01-08,1.19,16000,-0.2(-1.23 %),13700,219980000,0,0,16200,16200,15900
2010-01-11,1.18,15800,-0.3(-1.86 %),17900,286210000,0,0,16000,16100,15800
