Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2009-08-17,3.71,46100,-1.9(-3.96 %),86630,4169726000,120000,5690000000,49000,49000,46100
2009-08-18,3.74,46500,0.4(0.87 %),49070,2263505000,0,0,44100,48400,44000
2009-08-19,3.78,47000,0.5(1.08 %),30300,1421190000,0,0,47900,47900,46000
2009-08-20,3.69,45900,-1.1(-2.34 %),148730,6833708000,0,0,46000,46400,45500
2009-08-21,3.82,47500,1.6(3.49 %),241130,11285837000,0,0,46000,47500,46000
2009-08-24,3.85,47800,0.3(0.63 %),91680,4394791000,20000,940000000,48000,48000,47500
2009-08-25,3.85,47800,0(0.00 %),34270,1625636000,0,0,47800,47800,47000
2009-08-26,3.82,47500,-0.3(-0.63 %),82880,3963642000,0,0,47900,48000,47500
2009-08-27,3.78,47000,-0.5(-1.05 %),91230,4284575000,0,0,46900,47500,46500
2009-08-28,3.97,49300,2.3(4.89 %),474080,23211955000,0,0,47000,49300,47000
2009-08-31,4.14,51500,2.2(4.46 %),156800,8075200000,0,0,51500,51500,51500
2009-09-01,4.34,54000,2.5(4.85 %),347200,18736520000,0,0,54000,54000,52500
2009-09-03,4.5,56000,2(3.70 %),248700,13646370000,0,0,53000,56000,52500
2009-09-04,4.3,53500,-2.5(-4.46 %),112340,6060165000,0,0,56000,56000,53500
2009-09-07,4.14,51500,-2(-3.74 %),252680,12958875000,0,0,52500,53000,51000
2009-09-08,4.18,52000,0.5(0.97 %),90870,4749600000,0,0,53000,53000,51500
2009-09-09,4.02,50000,-2(-3.85 %),63070,3197675000,0,0,52000,52000,49600
2009-09-10,4.02,50000,0(0.00 %),80250,4009448000,0,0,50000,52000,49400
2009-09-11,4.22,52500,2.5(5.00 %),303550,15716100000,0,0,51500,52500,50000
2009-09-14,4.26,53000,0.5(0.95 %),169370,9085760000,0,0,52500,55000,52500
2009-09-15,4.26,53000,0(0.00 %),173330,9034955000,0,0,52500,53000,51000
2009-09-16,4.1,51000,-2(-3.77 %),106760,5475930000,0,0,52500,52500,51000
2009-09-17,4.02,50000,-1(-1.96 %),190050,9487184000,0,0,52000,52000,49200
2009-09-18,4.1,51000,1(2.00 %),330750,16674972000,0,0,50000,51500,49800
2009-09-21,4.3,53500,2.5(4.90 %),195890,10392385000,0,0,52500,53500,51500
2009-09-22,4.5,56000,2.5(4.67 %),525410,29124455000,0,0,54000,56000,53000
2009-09-23,4.3,53500,-2.5(-4.46 %),254430,13891200000,0,0,56000,56500,53500
2009-09-24,4.18,52000,-1.5(-2.80 %),108880,5691275000,0,0,52500,53000,51500
2009-09-25,4.26,53000,1(1.92 %),267940,14258450000,0,0,53000,54000,52000
2009-09-28,4.46,55500,2.5(4.72 %),104250,5785875000,0,0,55500,55500,55500
2009-09-29,4.5,56000,0.5(0.90 %),550090,31580305000,0,0,58000,58000,55500
2009-09-30,4.5,56000,0(0.00 %),506590,28361570000,0,0,56000,57500,54500
2009-10-01,4.34,54000,-2(-3.57 %),351110,19285115000,0,0,55500,56000,54000
2009-10-02,4.18,52000,-2(-3.70 %),282930,14696865000,0,0,52000,53500,51500
2009-10-05,4.26,53000,1(1.92 %),255330,13533215000,0,0,52500,54500,52000
2009-10-06,4.46,55500,2.5(4.72 %),269080,14731735000,0,0,54500,55500,53500
2009-10-07,4.67,58000,2.5(4.50 %),409020,23713435000,0,0,58000,58000,57500
2009-10-08,4.87,60500,2.5(4.31 %),107060,6477130000,0,0,60500,60500,60500
2009-10-09,5.11,63500,3(4.96 %),130950,8315325000,0,0,63500,63500,63500
2009-10-12,5.35,66500,3(4.72 %),32530,2163245000,0,0,66500,66500,66500
2009-10-13,5.59,69500,3(4.51 %),91570,6364115000,164020,11112840000,69500,69500,69500
2009-10-14,5.83,72500,3(4.32 %),820890,59496325000,24170,1607305000,72500,72500,71500
2009-10-15,6.11,76000,3.5(4.83 %),645870,48919900000,0,0,76000,76000,74000
2009-10-16,5.83,72500,-3.5(-4.61 %),271610,20061870000,0,0,75000,76000,72500
2009-10-19,5.55,69000,-3.5(-4.83 %),355450,24767845000,0,0,70000,72500,69000
2009-10-20,5.79,72000,3(4.35 %),388710,27130070000,0,0,69500,72000,68000
2009-10-21,5.63,70000,-2(-2.78 %),234410,16899100000,0,0,73000,74000,70000
2009-10-22,5.63,70000,0(0.00 %),185870,12957245000,30000,1995000000,68000,70500,68000
2009-10-23,5.39,67000,-3(-4.29 %),240350,16549325000,0,0,69500,70000,67000
2009-10-26,5.15,64000,-3(-4.48 %),209860,13743045000,0,0,65000,68000,64000
2009-10-27,4.99,62000,-2(-3.12 %),182630,11285205000,0,0,62500,63000,61000
2009-10-28,5.23,65000,3(4.84 %),170490,10983290000,0,0,65000,65000,63000
2009-10-29,5.23,65000,0(0.00 %),277330,17403165000,0,0,63000,65000,62000
2009-10-30,5.47,68000,3(4.62 %),229460,15598880000,0,0,68000,68000,67000
2009-11-02,5.23,65000,-3(-4.41 %),242710,15788825000,0,0,65500,65500,65000
2009-11-03,5.03,62500,-2.5(-3.85 %),278920,17439910000,0,0,66000,66000,62000
2009-11-04,5.11,63500,1(1.60 %),188020,12013520000,0,0,65000,65500,62500
2009-11-05,5.31,66000,2.5(3.94 %),148670,9769645000,0,0,64500,66500,63500
2009-11-06,5.07,63000,-3(-4.55 %),185950,11906435000,0,0,66500,66500,63000
2009-11-09,4.83,60000,-3(-4.76 %),137230,8367355000,0,0,61500,63000,60000
2009-11-10,4.63,57500,-2.5(-4.17 %),152380,8870665000,0,0,60000,61500,57000
2009-11-11,4.83,60000,2.5(4.35 %),76080,4491930000,0,0,57500,60000,57500
2009-11-12,5.07,63000,3(5.00 %),127080,7977930000,0,0,62500,63000,62000
2009-11-13,5.31,66000,3(4.76 %),274490,17807845000,0,0,62500,66000,62000
2009-11-16,5.19,64500,-1.5(-2.27 %),83640,5454335000,23000,1449000000,65000,66000,64500
2009-11-17,5.11,63500,-1(-1.55 %),126090,8033690000,0,0,64500,64500,63000
2009-11-18,5.35,66500,3(4.72 %),178200,11630820000,0,0,63500,66500,63000
2009-11-19,5.43,67500,1(1.50 %),275670,18779315000,0,0,67500,69500,66000
2009-11-20,5.27,65500,-2(-2.96 %),131270,8689470000,0,0,66000,67500,65000
2009-11-23,5.07,63000,-2.5(-3.82 %),134660,8537460000,0,0,65500,65500,62500
2009-11-24,5.03,62500,-0.5(-0.79 %),76530,4796420000,0,0,63000,63500,62000
2009-11-25,4.79,59500,-3(-4.80 %),207270,12407320000,0,0,61500,62000,59500
2009-11-26,4.59,57000,-2.5(-4.20 %),74010,4224420000,0,0,57000,57500,57000
2009-11-27,4.63,57500,0.5(0.88 %),116410,6575310000,0,0,54500,59500,54500
2009-11-30,4.67,58000,0.5(0.87 %),54650,3166160000,0,0,57500,59500,55000
2009-12-01,4.59,57000,-1(-1.72 %),85650,4969465000,0,0,59000,59000,57000
2009-12-02,4.38,54500,-2.5(-4.39 %),139330,7668655000,0,0,55000,56500,54500
2009-12-03,4.38,54500,0(0.00 %),68150,3612990000,0,0,53500,55000,52000
2009-12-04,4.38,54500,0(0.00 %),30940,1688560000,0,0,54000,55500,53000
2009-12-07,4.46,55500,1(1.83 %),30180,1661610000,0,0,54500,55500,54500
2009-12-08,4.3,53500,-2(-3.60 %),97470,5194180000,0,0,55500,55500,53000
2009-12-09,4.1,51000,-2.5(-4.67 %),124490,6359460000,0,0,52000,52000,51000
2009-12-10,4.02,50000,-1(-1.96 %),63270,3206325000,0,0,51000,51500,49000
2009-12-11,3.82,47500,-2.5(-5.00 %),37060,1766075000,0,0,50000,50000,47500
2009-12-14,3.94,49000,1.5(3.16 %),63500,3075990000,0,0,48000,49800,47500
2009-12-15,3.93,48900,-0.1(-0.20 %),45090,2137576000,0,0,46600,49000,46600
2009-12-16,3.74,46500,-2.4(-4.91 %),19220,895137000,0,0,46800,47900,46500
2009-12-17,3.56,44200,-2.3(-4.95 %),51120,2259913000,0,0,44300,44300,44200
2009-12-18,3.7,46000,1.8(4.07 %),30910,1418535000,0,0,44200,46300,44200
2009-12-21,3.89,48300,2.3(5.00 %),46810,2243858000,0,0,47900,48300,46000
2009-12-22,3.72,46300,-2(-4.14 %),24350,1162298000,0,0,48300,48500,46300
2009-12-23,3.78,47000,0.7(1.51 %),33980,1584786000,0,0,46800,47000,45900
2009-12-24,3.97,49300,2.3(4.89 %),44320,2136777000,0,0,46500,49300,46500
2009-12-25,4.14,51500,2.2(4.46 %),225570,11552400000,0,0,51000,51500,50000
2009-12-28,4.18,52000,0.5(0.97 %),66940,3470715000,0,0,50000,53000,50000
2009-12-29,4.38,54500,2.5(4.81 %),149190,8015900000,0,0,51000,54500,51000
2009-12-30,4.59,57000,2.5(4.59 %),141970,8066280000,0,0,54500,57000,54500
2009-12-31,4.59,57000,0(0.00 %),111490,6458645000,0,0,58000,59000,57000
2010-01-04,4.79,59500,2.5(4.39 %),101160,6003670000,0,0,57500,59500,57500
2010-01-05,4.91,61000,1.5(2.52 %),199050,12289300000,0,0,61500,62000,60000
2010-01-06,5.11,63500,2.5(4.10 %),191020,12000605000,0,0,59500,64000,59500
2010-01-07,4.99,62000,-1.5(-2.36 %),87450,5492020000,0,0,62000,64500,62000
2010-01-08,4.75,59000,-3(-4.84 %),109340,6627170000,0,0,64000,64000,59000
2010-01-11,4.63,57500,-1.5(-2.54 %),79960,4593535000,0,0,57000,59000,56500
2010-01-12,4.42,55000,-2.5(-4.35 %),68350,3801615000,0,0,57000,58000,55000
2010-01-13,4.42,55000,0(0.00 %),108370,5771665000,0,0,53000,55000,52500
2010-01-14,4.63,57500,2.5(4.55 %),74370,4247545000,0,0,57000,57500,55000
2010-01-15,4.42,55000,-2.5(-4.35 %),38260,2130560000,0,0,57500,57500,55000
2010-01-18,4.22,52500,-2.5(-4.55 %),42080,2210215000,0,0,52500,54000,52500
2010-01-19,4.26,53000,0.5(0.95 %),9070,477945000,0,0,54500,54500,52000
2010-01-20,4.06,50500,-2.5(-4.72 %),71890,3663560000,0,0,54000,54000,50500
2010-01-21,3.86,48000,-2.5(-4.95 %),104350,5024152000,0,0,48100,49000,48000
2010-01-22,3.7,46000,-2(-4.17 %),157510,7239305000,0,0,45700,48000,45600
2010-01-25,3.85,47900,1.9(4.13 %),42520,1970918000,0,0,47000,47900,46000
