Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2016-10-11,11.41,14750,0.95(6.88 %),4161520,60215000000,0,0,14000,14750,13800
2016-10-12,12.18,15750,1(6.78 %),5403810,83360000000,0,0,15000,15750,14750
2016-10-13,11.33,14650,-1.1(-6.98 %),261250,3827000000,0,0,14650,14650,14650
2016-10-14,10.56,13650,-1(-6.83 %),7650,104000000,350000,4830000000,13650,13650,13650
2016-10-17,9.82,12700,-0.95(-6.96 %),21280,270000000,0,0,12700,12700,12700
2016-10-18,9.17,11850,-0.85(-6.69 %),6710,80000000,0,0,11850,11850,11850
2016-10-19,8.55,11050,-0.8(-6.75 %),2641130,29184000000,500000,5525000000,11050,11050,11050
2016-10-20,7.97,10300,-0.75(-6.79 %),3387140,34888000000,0,0,10300,10300,10300
2016-10-21,7.73,10000,-0.3(-2.91 %),7545240,72429000000,340000,3257200000,9600,10300,9600
2016-10-24,7.19,9300,-0.7(-7.00 %),3508570,32658000000,0,0,9800,10050,9300
2016-10-25,6.69,8650,-0.65(-6.99 %),373200,3230000000,0,0,8650,8750,8650
2016-10-26,6.23,8050,-0.6(-6.94 %),5830,47000000,0,0,8050,8050,8050
2016-10-27,5.79,7490,-0.56(-6.96 %),2447490,18332000000,68500,551425000,7490,7490,7490
2016-10-28,5.39,6970,-0.52(-6.94 %),2208660,15394000000,0,0,6970,6970,6970
2016-10-31,5.02,6490,-0.48(-6.89 %),52380,340000000,86000,599420000,6970,6970,6490
2016-11-01,4.67,6040,-0.45(-6.93 %),4910,30000000,0,0,6040,6040,6040
2016-11-02,4.35,5620,-0.42(-6.95 %),20490,115000000,0,0,5620,5620,5620
2016-11-03,4.05,5240,-0.38(-6.76 %),1429710,7505000000,0,0,5230,5600,5230
2016-11-04,4.33,5600,0.36(6.87 %),61410,343000000,0,0,5210,5600,5210
2016-11-07,4.63,5990,0.39(6.96 %),19800,119000000,0,0,5990,5990,5990
2016-11-08,4.95,6400,0.41(6.84 %),77500,496000000,0,0,6400,6400,6400
2016-11-09,5.29,6840,0.44(6.87 %),665740,4422000000,0,0,6600,6840,5980
2016-11-10,5.61,7250,0.41(5.99 %),497830,3631000000,0,0,7300,7310,7000
2016-11-11,5.8,7500,0.25(3.45 %),318350,2281000000,0,0,6810,7500,6800
2016-11-14,5.57,7200,-0.3(-4.00 %),355490,2544000000,0,0,6990,7400,6980
2016-11-15,5.57,7200,0(0.00 %),174470,1237000000,0,0,6900,7300,6900
2016-11-16,5.5,7110,-0.09(-1.25 %),297580,2200000000,0,0,7130,7550,6920
2016-11-17,5.8,7500,0.39(5.49 %),151350,1110000000,0,0,7110,7500,7020
2016-11-18,5.79,7480,-0.02(-0.27 %),206160,1527000000,0,0,7000,7550,7000
2016-11-21,5.57,7200,-0.28(-3.74 %),853320,6258000000,0,0,7400,7480,7200
2016-11-22,5.65,7300,0.1(1.39 %),126990,933000000,0,0,7220,7490,7200
2016-11-23,5.63,7280,-0.02(-0.27 %),347240,2535000000,0,0,7210,7340,7210
2016-11-24,5.58,7210,-0.07(-0.96 %),524590,3822000000,0,0,7210,7370,7110
2016-11-25,5.52,7140,-0.07(-0.97 %),391270,2805000000,0,0,7250,7250,7100
2016-11-28,5.35,6920,-0.22(-3.08 %),225520,1596000000,0,0,7000,7150,6920
2016-11-29,5.57,7200,0.28(4.05 %),809070,5757000000,0,0,6920,7250,6900
2016-11-30,5.61,7250,0.05(0.69 %),861460,6356000000,0,0,7150,7600,7010
2016-12-01,5.8,7500,0.25(3.45 %),688230,5130000000,0,0,7200,7520,7110
2016-12-02,5.8,7500,0(0.00 %),760740,5719000000,0,0,7400,7570,7350
2016-12-05,5.8,7500,0(0.00 %),650580,4905000000,0,0,7400,7590,7300
2016-12-06,5.8,7500,0(0.00 %),511240,3848000000,0,0,7500,7550,7400
2016-12-07,5.8,7500,0(0.00 %),887650,6671000000,0,0,7400,7540,7300
2016-12-08,5.8,7500,0(0.00 %),544030,4089000000,0,0,7400,7550,7300
2016-12-09,5.8,7500,0(0.00 %),425380,3194000000,0,0,7400,7520,7300
2016-12-12,5.8,7500,0(0.00 %),412040,3086000000,0,0,7450,7500,7300
