Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2015-11-06,9.14,16600,1(6.41 %),110,2000000,0,0,16600,16600,16600
2015-11-09,9.74,17700,1.1(6.63 %),94040,1665000000,0,0,17700,17700,17700
2015-11-10,10.07,18300,0.6(3.39 %),115370,2170000000,0,0,18900,18900,18300
2015-11-11,9.96,18100,-0.2(-1.09 %),31980,590000000,0,0,19500,19500,18000
2015-11-12,9.96,18100,0(0.00 %),10980,198000000,0,0,18100,19100,17900
2015-11-13,9.91,18000,-0.1(-0.55 %),29830,534000000,0,0,18400,18400,17700
2015-11-16,9.96,18100,0.1(0.56 %),20050,361000000,0,0,18000,18200,17900
2015-11-17,9.96,18100,0(0.00 %),32150,585000000,0,0,18100,18200,18100
2015-11-18,10.02,18200,0.1(0.55 %),37360,674000000,0,0,18100,18200,17800
2015-11-19,10.13,18400,0.2(1.10 %),25310,460000000,0,0,18100,18500,18100
2015-11-20,10.18,18500,0.1(0.54 %),35200,650000000,0,0,18400,18600,18400
2015-11-23,10.84,19700,1.2(6.49 %),75120,1410000000,0,0,18600,19700,18500
2015-11-24,11.56,21000,1.3(6.60 %),21250,440000000,0,0,20000,21000,20000
2015-11-25,12.33,22400,1.4(6.67 %),21120,454000000,0,0,21000,22400,20700
2015-11-26,13.1,23800,1.4(6.25 %),6680,156000000,0,0,23900,23900,22600
2015-11-27,12.82,23300,-0.5(-2.10 %),43610,1024000000,0,0,23500,25000,23300
2015-11-30,12.6,22900,-0.4(-1.72 %),49430,1146000000,0,0,23000,23400,22900
2015-12-01,12.66,23000,0.1(0.44 %),26970,623000000,0,0,22900,23200,22900
2015-12-02,13.54,24600,1.6(6.96 %),47220,1083000000,0,0,24600,24600,22400
2015-12-03,14.47,26300,1.7(6.91 %),47470,1177000000,0,0,24900,26300,24300
2015-12-04,14.69,26700,0.4(1.52 %),51060,1361000000,0,0,26400,27000,26200
2015-12-07,14.69,26700,0(0.00 %),35320,940000000,0,0,26800,26800,26500
2015-12-08,15.69,28500,1.8(6.74 %),29550,788000000,0,0,26800,28500,26400
2015-12-09,16.62,30200,1.7(5.96 %),39860,1208000000,0,0,30400,30400,30100
2015-12-10,17.56,31900,1.7(5.63 %),54160,1668000000,0,0,32000,32300,30300
2015-12-11,18.77,34100,2.2(6.90 %),32580,1102000000,0,0,33700,34100,31900
2015-12-14,20.03,36400,2.3(6.74 %),24550,887000000,0,0,36000,36400,35100
2015-12-15,21.41,38900,2.5(6.87 %),4230,165000000,0,0,38900,38900,38900
2015-12-16,22.9,41600,2.7(6.94 %),4100,171000000,0,0,41600,41600,41600
2015-12-17,23.23,42200,0.6(1.44 %),73820,3111000000,0,0,44500,44500,39200
2015-12-18,24.49,44500,2.3(5.45 %),25310,1118000000,0,0,45100,45100,43000
2015-12-21,26.2,47600,3.1(6.97 %),16470,766000000,0,0,44500,47600,44500
2015-12-22,26.75,48600,1(2.10 %),24110,1176000000,0,0,47600,49700,47600
2015-12-23,26.03,47300,-1.3(-2.67 %),35030,1655000000,0,0,48000,49500,47000
2015-12-24,25.87,47000,-0.3(-0.63 %),30300,1422000000,0,0,47000,47200,45800
2015-12-25,25.87,47000,0(0.00 %),38380,1801000000,0,0,47000,47000,45000
2015-12-28,26.42,48000,1(2.13 %),31400,1478000000,0,0,47000,48000,46800
2015-12-29,28.07,51000,3(6.25 %),18930,925000000,0,0,48100,51000,48000
2015-12-30,29.99,54500,3.5(6.86 %),16910,922000000,0,0,54500,54500,54000
2015-12-31,30.27,55000,0.5(0.92 %),3550,203000000,0,0,58000,58000,55000
2016-01-04,28.34,51500,-3.5(-6.36 %),480,25000000,0,0,55000,58000,51500
2016-01-05,26.42,48000,-3.5(-6.80 %),19240,928000000,0,0,47900,48500,47900
2016-01-06,24.99,45400,-2.6(-5.42 %),25880,1225000000,0,0,48000,48000,45100
2016-01-07,23.34,42400,-3(-6.61 %),32740,1427000000,0,0,45400,45400,42300
2016-01-08,23.34,42400,0(0.00 %),38400,1629000000,0,0,42400,42600,42300
2016-01-11,23.39,42500,0.1(0.24 %),13660,580000000,0,0,42400,42600,42300
2016-01-12,23.89,43400,0.9(2.12 %),31520,1355000000,0,0,42600,43400,42500
2016-01-13,23.89,43400,0(0.00 %),33330,1448000000,0,0,43400,43600,43300
2016-01-14,23.67,43000,-0.4(-0.92 %),25470,1100000000,0,0,43400,43400,43000
2016-01-15,23.5,42700,-0.3(-0.70 %),30190,1287000000,0,0,42900,43000,42400
2016-01-18,23.45,42600,-0.1(-0.23 %),17240,734000000,0,0,42600,42600,42500
2016-01-19,23.89,43400,0.8(1.88 %),42010,1806000000,0,0,42600,43400,42600
2016-01-20,23.89,43400,0(0.00 %),16310,708000000,0,0,43500,43500,43300
2016-01-21,23.83,43300,-0.1(-0.23 %),32360,1398000000,0,0,43200,43500,43000
2016-01-22,23.94,43500,0.2(0.46 %),36870,1593000000,0,0,43300,43500,42900
2016-01-25,24.22,44000,0.5(1.15 %),12800,561000000,0,0,43500,44000,43500
2016-01-26,23.61,42900,-1.1(-2.50 %),37250,1604000000,0,0,44000,44000,42700
2016-01-27,23.01,41800,-1.1(-2.56 %),12290,524000000,0,0,42500,43100,41800
2016-01-28,23.39,42500,0.7(1.67 %),33470,1410000000,0,0,41800,42500,41800
2016-01-29,23.45,42600,0.1(0.24 %),14770,629000000,0,0,42800,42800,42500
2016-02-01,23.56,42800,0.2(0.47 %),20260,868000000,0,0,42700,43000,42700
2016-02-02,23.39,42500,-0.3(-0.70 %),22910,976000000,0,0,42800,42900,42300
2016-02-03,23.5,42700,0.2(0.47 %),22310,947000000,0,0,42500,42700,42300
2016-02-04,23.78,43200,0.5(1.17 %),24730,1065000000,0,0,42800,43300,42800
2016-02-05,23.89,43400,0.2(0.46 %),39600,1713000000,0,0,43200,43500,43100
2016-02-15,23.94,43500,0.1(0.23 %),31320,1357000000,0,0,43400,43500,43100
2016-02-16,24.22,44000,0.5(1.15 %),29540,1293000000,0,0,43400,44100,43400
2016-02-17,24.27,44100,0.1(0.23 %),29920,1320000000,0,0,44100,44200,44000
2016-02-18,24.22,44000,-0.1(-0.23 %),31080,1366000000,0,0,44100,44100,43800
2016-02-19,24.05,43700,-0.3(-0.68 %),27380,1200000000,0,0,44000,44100,43700
2016-02-22,24.0,43600,-0.1(-0.23 %),22160,966000000,0,0,43600,43800,43500
