Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2008-03-19,1.83,26600,2.4(9.92 %),69000,1835400000.0,0,0,26600,26600,26600
2008-03-20,2.01,28450,2.6(9.77 %),88100,2570200000.0,0,0,28450,28450,28450
2008-03-21,1.81,27150,-2.8(-9.59 %),90500,2628810000.0,0,0,31250,31250,27150
2008-03-24,1.79,26100,-2.9(-10.00 %),18500,482850000.0,0,0,26100,26100,26100
2008-03-25,1.62,24250,-2.6(-9.96 %),19900,467650000.0,0,0,24250,24250,24250
2008-03-26,1.7,24700,1.2(5.11 %),290200,6951720000.0,0,0,21850,25150,21850
2008-03-27,1.68,24400,0.4(1.67 %),1000,24400000.0,0,0,24400,24400,24400
2008-03-28,1.7,24800,0.4(1.64 %),10400,257920000.0,0,0,24800,24800,24800
2008-03-31,1.73,25200,0.4(1.61 %),10500,264600000.0,10000,252000000,25200,25200,25200
2008-04-01,1.77,25700,0.5(1.98 %),2300,59110000.0,0,0,25700,25700,25700
2008-04-02,1.8,26200,0.5(1.95 %),31000,812200000.0,0,0,26200,26200,26200
2008-04-03,1.84,26700,0.5(1.91 %),20400,544680000.0,18000,481000000,26700,26700,26700
2008-04-04,1.87,27200,0.5(1.87 %),1300,35360000.0,0,0,27200,27200,27200
2008-04-07,1.92,28000,0.8(2.94 %),100,2800000.0,0,0,28000,28000,28000
2008-04-08,1.98,28800,0.8(2.86 %),410400,11619450000.0,0,0,28800,28800,27200
2008-04-09,1.89,27500,-0.8(-2.83 %),118400,3280660000.0,0,0,29000,29100,27500
2008-04-10,1.85,26900,-0.8(-2.89 %),5200,139930000.0,0,0,27000,27000,26900
2008-04-11,1.84,26800,-0.1(-0.37 %),71600,1892610000.0,0,0,26100,27500,26100
2008-04-16,1.86,27100,0.7(2.65 %),171900,4624320000.0,0,0,27100,27100,26000
2008-04-17,1.9,27700,0.8(2.97 %),34600,958420000.0,0,0,27700,27700,27700
2008-04-18,1.96,28500,0.8(2.89 %),268000,7594140000.0,0,0,28500,28500,26900
2008-04-21,1.96,28500,0.2(0.71 %),117400,3333960000.0,0,0,29100,29100,28000
2008-04-22,1.92,27900,-0.5(-1.76 %),185900,5246340000.0,0,0,29200,29200,27900
2008-04-23,1.88,27400,-0.8(-2.84 %),171700,4720260000.0,0,0,28000,28000,27400
2008-04-24,1.87,27200,-0.3(-1.09 %),126800,3475880000.0,0,0,26800,28300,26700
2008-04-25,1.94,28200,0.8(2.92 %),83000,2307680000.0,0,0,26700,28200,26700
2008-04-28,1.97,28600,0.8(2.88 %),194500,5561840000.0,0,0,28600,28600,28400
2008-04-29,2.02,29400,0.8(2.80 %),327400,9621190000.0,0,0,29400,29400,28800
2008-05-05,1.99,29000,-0.4(-1.36 %),118700,3490750000.0,0,0,29900,30200,28800
2008-05-06,1.97,28600,-0.8(-2.72 %),47500,1359920000.0,0,0,28600,28800,28600
2008-05-07,1.91,27800,-0.8(-2.80 %),17300,480940000.0,0,0,27800,27800,27800
2008-05-08,1.86,27000,-0.8(-2.88 %),3300,89100000.0,0,0,27000,27000,27000
2008-05-09,1.8,26200,-0.8(-2.96 %),8800,230560000.0,0,0,26200,26200,26200
2008-05-12,1.75,25500,-0.7(-2.67 %),10200,260100000.0,0,0,25500,25500,25500
2008-05-13,1.7,24800,-0.7(-2.75 %),2100,52080000.0,0,0,24800,24800,24800
2008-05-14,1.66,24100,-0.7(-2.82 %),100,2410000.0,0,0,24100,24100,24100
2008-05-15,1.61,23400,-0.7(-2.90 %),5600,131040000.0,0,0,23400,23400,23400
2008-05-16,1.56,22700,-0.7(-2.99 %),291600,6657670000.0,0,0,22700,24100,22700
2008-05-19,1.53,22200,-0.6(-2.63 %),17000,377800000.0,0,0,22400,22400,22200
2008-05-20,1.48,21600,-0.6(-2.70 %),500,10800000.0,0,0,21600,21600,21600
2008-05-21,1.44,21000,-0.6(-2.78 %),400,8400000.0,0,0,21000,21000,21000
2008-05-22,1.4,20400,-0.6(-2.86 %),100,2040000.0,10000,204000000,20400,20400,20400
2008-05-23,1.36,19800,-0.6(-2.94 %),1000,19800000.0,0,0,19800,19800,19800
2008-05-26,1.33,19300,-0.5(-2.53 %),100,1930000.0,0,0,19300,19300,19300
2008-05-27,1.29,18800,-0.5(-2.59 %),200,3760000.0,0,0,18800,18800,18800
2008-05-28,1.26,18300,-0.5(-2.66 %),18900,345870000.0,0,0,18300,18300,18300
2008-05-29,1.22,17800,-0.5(-2.73 %),15900,283020000.0,0,0,17800,17800,17800
2008-05-30,1.19,17300,-0.5(-2.81 %),6400,110720000.0,45600,789000000,17300,17300,17300
2008-06-02,1.15,16800,-0.5(-2.89 %),1200,20160000.0,0,0,16800,16800,16800
2008-06-03,1.12,16300,-0.5(-2.98 %),600,9780000.0,0,0,16300,16300,16300
2008-06-04,1.09,15900,-0.4(-2.45 %),600,9540000.0,0,0,15900,15900,15900
2008-06-05,1.07,15500,-0.4(-2.52 %),500,7750000.0,0,0,15500,15500,15500
2008-06-06,1.04,15100,-0.4(-2.58 %),900,13590000.0,0,0,15100,15100,15100
2008-06-09,1.01,14700,-0.4(-2.65 %),700,10290000.0,0,0,14700,14700,14700
2008-06-10,0.98,14300,-0.4(-2.72 %),1600,22880000.0,0,0,14300,14300,14300
2008-06-11,1.01,14700,0.4(2.80 %),175000,2492120000.0,0,0,13900,14700,13900
2008-06-12,1.0,14600,0.4(2.82 %),74100,1081660000.0,0,0,14600,14600,14500
2008-06-13,1.03,15000,0.4(2.74 %),23700,355500000.0,0,0,15000,15000,15000
2008-06-16,1.06,15400,0.4(2.67 %),1000,15400000.0,0,0,15400,15400,15400
2008-06-17,1.09,15800,0.4(2.60 %),1100,17380000.0,0,0,15800,15800,15800
2008-06-18,1.06,15400,-0.4(-2.53 %),84100,1339220000.0,0,0,16200,16200,15400
2008-06-19,1.05,15300,-0.6(-3.77 %),500,7650000.0,0,0,15300,15300,15300
2008-06-20,1.01,14700,-0.6(-3.92 %),2500,36750000.0,0,0,14700,14700,14700
2008-06-23,1.03,15000,0.3(2.04 %),185100,2708540000.0,0,0,14200,15200,14200
2008-06-24,1.04,15100,0.5(3.42 %),74700,1119010000.0,0,0,15100,15100,14600
2008-06-25,1.07,15600,0.6(4.00 %),108500,1679500000.0,0,0,15400,15600,15000
2008-06-26,1.09,15800,0.3(1.94 %),144500,2242790000.0,0,0,16100,16100,14900
2008-06-27,1.07,15500,0(0.00 %),135700,2057750000.0,0,0,15000,15900,14900
2008-06-30,1.06,15400,0.2(1.32 %),175300,2683340000.0,0,0,15200,15700,14700
2008-07-01,1.09,15900,0.6(3.92 %),80300,1273380000.0,0,0,15900,15900,15300
2008-07-02,1.13,16500,0.6(3.77 %),281700,4595260000.0,0,0,16500,16500,15600
2008-07-03,1.16,16900,0.6(3.68 %),19000,321100000.0,5000,85000000,16900,16900,16900
2008-07-04,1.2,17500,0.6(3.55 %),67900,1188250000.0,0,0,17500,17500,17500
2008-07-07,1.25,18200,0.7(4.00 %),490400,8756990000.0,0,0,18200,18200,16800
2008-07-08,1.28,18600,0.7(3.91 %),303500,5423040000.0,0,0,18600,18600,17200
2008-07-09,1.28,18600,0.7(3.91 %),700,13020000.0,0,0,18600,18600,18600
2008-07-10,1.33,19300,0.7(3.76 %),2800,54040000.0,0,0,19300,19300,19300
2008-07-11,1.37,20000,0.7(3.63 %),9300,186000000.0,0,0,20000,20000,20000
2008-07-14,1.43,20800,0.8(4.00 %),1400,29120000.0,5000,100000000,20800,20800,20800
2008-07-15,1.48,21600,0.8(3.85 %),9300,200880000.0,7000,151000000,21600,21600,21600
2008-07-16,1.54,22400,0.8(3.70 %),450900,9959680000.0,20000,448000000,22400,22400,20800
2008-07-17,1.57,22900,0.8(3.62 %),100,2290000.0,0,0,22900,22900,22900
2008-07-18,1.64,23800,0.9(3.93 %),400500,9488920000.0,0,0,23800,23800,22900
2008-07-21,1.57,22800,-0.9(-3.80 %),131800,3017770000.0,0,0,24500,24600,22800
2008-07-22,1.51,22000,-0.9(-3.93 %),600,13200000.0,0,0,22000,22000,22000
2008-07-23,1.51,22000,0(0.00 %),351300,7483350000.0,0,0,21200,22500,21200
2008-07-24,1.42,20600,-0.7(-3.29 %),453000,9697770000.0,0,0,20500,22100,20500
2008-07-25,1.42,20600,-0.8(-3.74 %),146400,3042630000.0,0,0,20700,22050,20600
2008-07-28,1.48,21600,0.8(3.85 %),65500,1408360000.0,0,0,20500,21600,20500
2008-07-29,1.53,22300,0.8(3.72 %),152100,3380800000.0,0,0,22300,22300,21600
2008-07-30,1.55,22600,0.4(1.80 %),252600,5666920000.0,0,0,23000,23000,21400
2008-07-31,1.52,22100,-0.3(-1.34 %),170800,3750370000.0,0,0,22600,22900,21600
2008-08-01,1.46,21300,-0.7(-3.18 %),159300,3415960000.0,0,0,22800,22800,21200
2008-08-04,1.42,20600,-0.8(-3.74 %),80100,1657680000.0,0,0,20700,21000,20600
2008-08-05,1.37,19900,-0.8(-3.86 %),47100,937290000.0,0,0,19900,19900,19900
2008-08-06,1.42,20600,0.7(3.52 %),254600,5100630000.0,0,0,19200,20600,19200
2008-08-07,1.43,20800,0.8(4.00 %),171800,3553450000.0,0,0,20800,20800,20100
2008-08-08,1.48,21500,0.8(3.86 %),147300,3133310000.0,0,0,21300,21500,20700
2008-08-11,1.52,22100,0.8(3.76 %),21800,481280000.0,0,0,22000,22100,22000
2008-08-12,1.57,22900,0.8(3.62 %),270500,6187560000.0,10000,229000000,22900,22900,22200
2008-08-13,1.64,23800,0.9(3.93 %),320100,7546780000.0,0,0,23800,23800,22400
2008-08-14,1.68,24500,0.9(3.81 %),89800,2200100000.0,23600,578000000,24500,24500,24500
2008-08-15,1.75,25400,0.9(3.67 %),6800,172720000.0,0,0,25400,25400,25400
2008-08-18,1.86,27100,1.7(6.69 %),199600,5404160000.0,0,0,27100,27100,26600
2008-08-19,1.99,28900,1.8(6.64 %),601500,17276110000.0,0,0,28900,28900,27100
2008-08-20,1.96,28500,-0.2(-0.70 %),373800,10967240000.0,0,0,28700,30700,26900
2008-08-21,2.15,30500,2(6.83 %),291900,8895730000.0,0,0,29300,30500,28100
2008-08-22,2.24,32600,2.1(6.89 %),274200,8935610000.0,0,0,32500,32600,31500
2008-08-25,2.39,34800,2.2(6.75 %),30400,1057920000.0,14000,487000000,34800,34800,34800
2008-08-26,2.56,37200,2.4(6.90 %),24200,900240000.0,10000,372000000,37200,37200,37200
2008-08-27,2.74,39800,2.6(6.99 %),178200,7092360000.0,20000,796000000,39800,39800,39800
2008-08-28,2.55,37100,-2.7(-6.78 %),757800,28981770000.0,0,0,42500,42500,37100
2008-08-29,2.8,39700,2.6(6.81 %),643800,24852810000.0,0,0,37900,39700,35800
2008-09-03,2.84,41300,2.7(6.99 %),64300,2655590000.0,5000,207000000,41300,41300,41300
2008-09-04,3.03,44100,2.8(6.78 %),536900,23542570000.0,0,0,44100,44100,39300
2008-09-05,2.85,41500,-2.3(-5.25 %),283500,12064180000.0,0,0,44900,44900,41000
2008-09-08,2.73,39700,-2.9(-6.81 %),411200,16421440000.0,0,0,40500,41500,39700
2008-09-09,2.59,37700,-2.2(-5.51 %),255500,9984030000.0,0,0,39000,42000,37200
2008-09-10,2.63,38200,-0.9(-2.30 %),263600,10149860000.0,0,0,40350,40350,36500
2008-09-11,2.47,35900,-2.6(-6.75 %),310600,11282560000.0,18700,720000000,36500,39000,35900
2008-09-12,2.32,33800,-2.5(-6.89 %),186800,6324620000.0,0,0,34200,35700,33800
2008-09-15,2.46,35800,1.9(5.60 %),253100,8841620000.0,0,0,31600,36150,31600
2008-09-16,2.23,33300,-2.4(-6.88 %),149500,4914470000.0,0,0,33300,35000,33300
2008-09-17,2.1,30600,-2.3(-6.99 %),228700,7000580000.0,10000,329000000,30600,31200,30600
2008-09-18,1.96,28500,-2.1(-6.86 %),27700,789450000.0,0,0,28500,28500,28500
2008-09-19,2.09,30400,1.9(6.67 %),133400,3895490000.0,0,0,26600,30400,26600
2008-09-22,2.14,31200,2(6.85 %),5600,174720000.0,0,0,31200,31200,31200
2008-09-23,2.14,31100,-0.1(-0.32 %),408400,12842100000.0,0,0,30900,33100,29100
2008-09-24,2.13,31000,-0.4(-1.27 %),128500,4050180000.0,0,0,31500,32500,30600
2008-09-25,2.32,33150,2.2(6.98 %),179300,5876320000.0,0,0,31000,33150,31000
2008-09-26,2.35,34200,1.4(4.27 %),176900,6095850000.0,10100,354000000,35000,35000,32800
2008-09-29,2.3,33400,-1.1(-3.19 %),149200,4984000000.0,0,0,35500,35500,32600
2008-09-30,2.14,31100,-2.3(-6.89 %),3200,99520000.0,11900,409000000,31100,31100,31100
2008-10-01,2.18,31700,0.6(1.93 %),277600,8738630000.0,0,0,33200,33200,30000
2008-10-02,2.32,33700,2.2(6.98 %),450600,15171170000.0,5000,168000000,33700,33700,32500
2008-10-03,2.47,36000,2.3(6.82 %),454800,16254390000.0,0,0,36000,36000,33700
2008-10-06,2.36,34400,-1.3(-3.64 %),171600,5921940000.0,0,0,37900,38000,33500
2008-10-07,2.21,32100,-2.4(-6.96 %),47700,1531170000.0,0,0,32100,32100,32100
2008-10-08,2.06,30000,-2.1(-6.54 %),337300,10143890000.0,0,0,29900,30900,29900
2008-10-09,2.15,31300,1.2(3.99 %),262400,8107880000.0,0,0,30000,32100,28500
2008-10-10,1.98,29100,-2.1(-6.80 %),131500,3789510000.0,0,0,29100,29100,29100
2008-10-13,1.98,28800,0(0.00 %),149500,4289620000.0,0,0,26900,30800,26900
2008-10-14,2.11,30700,2(6.97 %),11900,365330000.0,0,0,30700,30700,30700
2008-10-15,2.24,32600,1.9(6.19 %),366000,11627220000.0,0,0,32800,32800,29700
2008-10-16,2.04,30300,-2.1(-6.60 %),133900,4026650000.0,0,0,30300,31500,30300
2008-10-17,2.09,30400,0.3(1.00 %),128900,3927260000.0,0,0,31800,31800,29500
2008-10-20,2.06,30000,-0.5(-1.64 %),89900,2717050000.0,0,0,31800,32000,29500
2008-10-21,2.14,31200,1(3.31 %),190900,5910920000.0,0,0,32100,32100,30200
2008-10-22,2.02,29400,-1.6(-5.16 %),69800,2077490000.0,0,0,29900,30900,29300
2008-10-23,1.91,27800,-2(-6.71 %),135400,3773710000.0,0,0,28000,29000,27800
2008-10-24,1.79,26000,-1.9(-6.81 %),185200,4833960000.0,0,0,26500,27000,26000
2008-10-27,1.67,24300,-1.8(-6.90 %),163700,3979970000.0,0,0,24500,24500,24300
2008-10-28,1.56,22700,-1.6(-6.58 %),289000,6557750000.0,0,0,22600,23800,22600
2008-10-29,1.66,24200,1.5(6.61 %),300300,7210060000.0,0,0,24200,24200,22700
2008-10-30,1.56,22700,-1.3(-5.42 %),191600,4441300000.0,0,0,24200,25000,22500
2008-10-31,1.57,22900,-0.3(-1.29 %),227800,5057560000.0,0,0,23000,23200,21600
2008-11-03,1.59,23200,1(4.50 %),160900,3576350000.0,0,0,22200,23200,21300
2008-11-04,1.63,23700,1.5(6.76 %),108400,2538890000.0,0,0,22900,23700,22400
2008-11-05,1.72,25000,1.6(6.84 %),83300,2082500000.0,0,0,25000,25000,25000
2008-11-06,1.83,23250,1.3(6.67 %),72500,1508000000.0,0,0,23250,23250,23250
2008-11-07,1.96,22200,1.4(6.73 %),201000,4462200000.0,10000,194000000,22200,22200,22200
2008-11-10,2.09,23700,1.5(6.76 %),12300,291510000.0,0,0,23700,23700,23700
2008-11-11,2.08,23600,-0.1(-0.42 %),804200,19480910000.0,0,0,25300,25300,22500
2008-11-12,2.15,24400,0.2(0.83 %),292400,6932650000.0,0,0,22600,24500,22600
2008-11-13,2.11,24000,0.3(1.27 %),119200,2831570000.0,0,0,23200,24400,22900
2008-11-14,2.16,24500,0.8(3.38 %),202000,4957000000.0,0,0,24300,25300,24000
2008-11-17,2.25,25500,1(4.08 %),325400,8062630000.0,0,0,24500,25500,23500
2008-11-18,2.2,25000,0.2(0.81 %),271400,6707860000.0,5000,115000000,24500,25500,23700
2008-11-19,2.12,24100,-0.6(-2.43 %),130300,3130510000.0,0,0,24500,24800,23700
2008-11-20,2.11,24000,0(0.00 %),91400,2115060000.0,0,0,23000,24000,22700
2008-11-21,2.05,23300,0.2(0.87 %),59800,1382430000.0,0,0,22300,23500,22300
2008-11-24,2.02,22900,-0.2(-0.87 %),41100,948310000.0,0,0,24000,24000,22500
2008-11-25,2.04,23100,0(0.00 %),51900,1200030000.0,0,0,23300,23500,22500
2008-11-26,1.89,21500,-1.6(-6.93 %),166700,3605190000.0,0,0,22800,22900,21500
2008-11-27,1.77,20100,-1.5(-6.94 %),185100,3741400000.0,0,0,21000,21600,20100
2008-11-28,1.9,21500,1.4(6.93 %),133000,2863050000.0,0,0,19000,21500,19000
2008-12-01,1.85,21000,-0.5(-2.33 %),113000,2423040000.0,0,0,22900,22900,21000
2008-12-02,1.89,21500,0.1(0.47 %),57700,1212640000.0,0,0,20800,21500,20200
2008-12-03,1.83,20800,-0.2(-0.95 %),17200,357660000.0,0,0,21500,21500,20600
2008-12-04,1.89,20900,0.6(2.96 %),58100,1218190000.0,0,0,21000,21500,20800
2008-12-05,1.82,20200,-0.8(-3.81 %),39400,797510000.0,0,0,20900,20900,20000
2008-12-08,1.7,18800,-1.4(-6.93 %),18100,340650000.0,0,0,18900,19000,18800
2008-12-09,1.6,17700,-1.1(-5.85 %),225100,3964770000.0,0,0,18800,18800,17500
2008-12-10,1.5,16600,-1(-5.68 %),55600,932460000.0,0,0,17000,17000,16500
2008-12-11,1.6,17700,0.9(5.36 %),34200,592080000.0,0,0,16400,17700,16400
2008-12-12,1.67,18500,1.2(6.94 %),99100,1831790000.0,0,0,17700,18500,17700
2008-12-15,1.78,19700,1.2(6.49 %),166900,3274620000.0,0,0,19500,19700,18600
2008-12-16,1.65,18300,-1.3(-6.63 %),93100,1717660000.0,0,0,19500,19500,18300
2008-12-17,1.69,18700,0.2(1.08 %),50500,932750000.0,0,0,18000,18900,18000
2008-12-18,1.67,18500,0(0.00 %),59400,1096440000.0,0,0,18500,18800,18300
2008-12-19,1.67,18500,0(0.00 %),55700,1031190000.0,0,0,18500,18800,18200
2008-12-22,1.66,18400,-0.1(-0.54 %),106400,1964900000.0,0,0,18900,19000,18200
2008-12-23,1.59,17600,-0.9(-4.86 %),41600,729370000.0,0,0,18000,18000,17400
2008-12-24,1.6,17700,0.2(1.14 %),56400,988640000.0,0,0,17500,18000,17000
2008-12-25,1.58,17500,0(0.00 %),49800,878600000.0,0,0,18400,18500,17500
2008-12-26,1.59,17600,0(0.00 %),30000,527040000.0,0,0,17400,17800,17400
2008-12-29,1.58,17500,-0.1(-0.57 %),26400,459790000.0,0,0,17300,17600,17300
2008-12-30,1.57,17400,0(0.00 %),40900,714380000.0,0,0,17000,17700,17000
2008-12-31,1.56,17300,-0.2(-1.14 %),30800,533660000.0,0,0,17500,17500,17100
2009-01-02,1.53,17000,-0.3(-1.73 %),5900,100460000.0,0,0,17000,17200,16800
2009-01-05,1.51,16700,-0.3(-1.76 %),32800,551270000.0,0,0,17300,17300,16500
2009-01-06,1.57,17400,0.6(3.57 %),21100,360950000.0,0,0,16800,17400,16800
2009-01-07,1.6,17700,0.6(3.51 %),56300,1000090000.0,0,0,17800,18200,17400
2009-01-08,1.56,17300,-0.5(-2.81 %),22900,399310000.0,0,0,17800,17800,17300
2009-01-09,1.6,17700,0.3(1.72 %),17200,301340000.0,0,0,17500,17700,17300
2009-01-12,1.58,17500,0(0.00 %),14000,244930000.0,0,0,17400,17600,17300
2009-01-13,1.54,17100,-0.4(-2.29 %),20700,355420000.0,0,0,17500,17500,17100
2009-01-14,1.54,17100,-0.1(-0.58 %),34600,591750000.0,0,0,17100,17300,16900
2009-01-15,1.5,16600,-0.5(-2.92 %),37500,628420000.0,0,0,16800,16800,16600
2009-01-16,1.51,16700,-0.1(-0.60 %),24000,402510000.0,0,0,17000,17000,16600
2009-01-19,1.48,16400,-0.4(-2.38 %),11300,186420000.0,0,0,16700,16700,16400
2009-01-20,1.44,16000,-0.5(-3.03 %),11900,192560000.0,0,0,16200,16400,16000
2009-01-21,1.41,15600,-0.6(-3.70 %),13500,213120000.0,0,0,15900,15900,15600
2009-01-22,1.44,16000,0.2(1.27 %),3200,50740000.0,0,0,15700,16000,15600
2009-01-23,1.49,16500,0.6(3.77 %),10500,172580000.0,0,0,16200,16600,16000
2009-02-02,1.45,16100,-0.3(-1.83 %),20700,340730000.0,0,0,16600,17000,16100
2009-02-03,1.42,15700,-0.8(-4.85 %),40400,632060000.0,0,0,16000,16000,15500
2009-02-04,1.43,15800,0.2(1.28 %),9500,151410000.0,0,0,15500,16200,15500
2009-02-05,1.35,14900,-1(-6.29 %),57700,860610000.0,0,0,15600,15700,14800
2009-02-06,1.38,15300,0.4(2.68 %),27200,410670000.0,0,0,15000,15300,14800
2009-02-09,1.43,15800,0.7(4.64 %),59000,908750000.0,0,0,15500,15800,15200
2009-02-10,1.38,15300,-0.1(-0.65 %),20300,308870000.0,0,0,15400,15400,15000
2009-02-11,1.35,15000,-0.2(-1.32 %),25900,387580000.0,0,0,14700,15100,14700
2009-02-12,1.35,14900,-0.1(-0.67 %),13100,195960000.0,0,0,15100,15100,14800
2009-02-13,1.35,15000,0(0.00 %),7800,116940000.0,0,0,15000,15000,14900
2009-02-16,1.36,15100,0.1(0.67 %),27300,409690000.0,0,0,15000,15100,14900
2009-02-17,1.32,14600,-0.4(-2.67 %),37000,544750000.0,0,0,15100,15100,14600
2009-02-18,1.28,14200,-0.5(-3.40 %),45900,645840000.0,0,0,14500,14500,13900
