Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2017-01-17,18.01,40200,5.2(14.86 %),207498,8319154000,0,0,40200,40200,39000
2017-01-18,18.14,40500,0.4(1.00 %),67500,2745480000,0,0,42000,42000,40100
2017-01-19,17.47,39000,-1.7(-4.18 %),19500,786280000,4960,171616000,40700,40700,39000
2017-01-20,17.47,39000,-1.3(-3.23 %),18305,711591500,0,0,38000,40000,37000
2017-01-23,17.38,38800,-0.1(-0.26 %),21920,841430000,0,0,38900,39000,37000
2017-01-24,17.47,39000,0.6(1.56 %),39950,1526930000,4323,141362100,38100,39000,37100
2017-01-25,17.92,40000,1.8(4.71 %),34000,1359160000,0,0,40000,40000,39500
2017-02-02,18.19,40600,0.6(1.50 %),45210,1865300000,0,0,40000,42800,40000
2017-02-03,18.82,42000,0.7(1.69 %),9924,426346000,0,0,41600,43450,41600
2017-02-06,18.59,41500,-1.5(-3.49 %),18316,764666400,5000,210000000,42200,43800,41000
2017-02-07,18.82,42000,0.3(0.72 %),2600,107980000,0,0,41100,42000,41100
2017-02-08,18.46,41200,-0.3(-0.72 %),15260,633040000,0,0,41000,42600,41000
2017-02-09,18.46,41200,-0.3(-0.72 %),13700,567010000,0,0,41700,41700,41200
2017-02-10,17.52,39100,-2.3(-5.56 %),25200,996750000,0,0,41000,41000,39000
2017-02-13,17.7,39500,-0.1(-0.25 %),12320,483100000,0,0,41500,41500,39000
2017-02-14,17.56,39200,0(0.00 %),1500,58770000,4560,152304000,39100,39200,39100
2017-02-15,17.61,39300,0.1(0.26 %),14484,569731000,0,0,41000,41000,39100
2017-02-16,17.96,40100,0.7(1.78 %),6435,254660000,0,0,39400,40100,39400
2017-02-17,17.79,39700,0.1(0.25 %),1200,47570000,0,0,39600,39700,39600
2017-02-20,17.74,39600,0(0.00 %),0,0,0,0,39600,39600,39600
2017-02-21,17.47,39000,-0.6(-1.52 %),6400,249390000,3312,111614400,38100,39500,38100
2017-02-22,17.29,38600,-0.4(-1.03 %),8600,331000000,0,0,38500,38600,38400
2017-02-23,17.29,38600,0.1(0.26 %),9220,356780000,0,0,39000,39000,38600
2017-02-24,17.47,39000,0.3(0.78 %),13820,538030000,0,0,38800,39200,38800
2017-02-27,17.47,37500,0.1(0.27 %),3700,141131000,0,0,37500,39000,37500
2017-02-28,17.94,38500,0.3(0.79 %),8500,322450000,4323,140497500,37500,38900,37500
2017-03-01,17.71,38000,0.1(0.26 %),18120,683274000,0,0,35800,38000,35800
2017-03-02,17.66,37900,0.2(0.53 %),11000,413780000,0,0,37300,37900,37200
2017-03-03,17.66,37900,0.3(0.80 %),31400,1186220000,2000,69300000,37600,37900,37600
2017-03-06,17.52,37600,-0.2(-0.53 %),800,30200000,0,0,38000,38000,37600
2017-03-07,17.57,37700,-0.1(-0.26 %),3500,132070000,48000,1545600000,37900,37900,37500
2017-03-08,16.87,36200,-1.5(-3.98 %),15100,546640000,0,0,37000,37000,36000
2017-03-09,17.05,36600,0.4(1.10 %),10400,378090000,65000,2015000000,36000,36700,36000
2017-03-10,17.05,36600,0.2(0.55 %),11,400400,87,2697000,36400,36600,36400
2017-03-13,17.01,36500,0.1(0.27 %),8864,323789600,0,0,36600,36800,36500
2017-03-14,17.29,37100,0.6(1.64 %),33150,1215305000,0,0,36500,37100,36300
2017-03-15,17.29,37100,0.4(1.09 %),7030,261675000,600,18720000,37000,37500,37000
2017-03-16,17.47,37500,0.2(0.54 %),19518,731916000,0,0,37500,37500,37500
2017-03-17,17.43,37400,-0.1(-0.27 %),1500,56130000,0,0,37500,37500,37400
2017-03-20,17.24,37000,-0.4(-1.07 %),7670,286620000,0,0,37000,37500,37000
2017-03-21,17.33,37200,-0.2(-0.53 %),900,33490000,98000,3486000000,37400,37400,37100
2017-03-22,17.38,37300,0.1(0.27 %),8600,321350000,0,0,38000,38000,37300
2017-03-23,17.43,37400,0(0.00 %),8900,333370000,0,0,37900,37900,37300
2017-03-24,16.45,35300,-2.2(-5.87 %),12900,461490000,33000,1052700000,37300,37300,34800
2017-03-27,17.57,37700,1.9(5.31 %),27200,1013390000,0,0,37750,37750,37000
2017-03-28,17.38,37300,0(0.00 %),6400,238710000,0,0,37300,37300,37200
2017-03-29,17.24,37000,-0.3(-0.80 %),13500,500980000,0,0,36600,37200,36600
2017-03-30,17.52,37600,0.5(1.35 %),40800,1526540000,4000,126400000,37900,37900,37100
2017-03-31,17.24,37000,-0.4(-1.07 %),7000,259950000,0,0,37300,37300,36700
2017-04-03,17.29,37100,0(0.00 %),18700,696510000,0,0,37100,37600,37000
2017-04-04,17.52,37600,0.4(1.08 %),17172,643143600,0,0,37100,37600,37000
2017-04-05,17.43,37400,-0.1(-0.27 %),2800,104720000,0,0,37400,37400,37400
