Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2009-11-02,3.45,38700,-2.9(-6.97 %),2200,86490000,0,0,39800,39800,38700
2009-11-03,3.26,36600,-2.7(-6.87 %),1000,36600000,0,0,36600,36600,36600
2009-11-04,3.04,34100,-2.5(-6.83 %),80800,2782740000,0,0,34100,36500,34100
2009-11-05,2.93,32900,-1.5(-4.36 %),53800,1744540000,0,0,34300,34400,32000
2009-11-06,2.78,31200,-1.2(-3.70 %),11000,349030000,0,0,34600,34600,31200
2009-11-09,2.67,30000,-1.7(-5.36 %),5300,157980000,0,0,30800,30800,29500
2009-11-10,2.75,30900,1.1(3.69 %),7700,237560000,0,0,31700,31700,28100
2009-11-11,2.67,30000,-0.9(-2.91 %),18800,573610000,0,0,32000,32000,29600
2009-11-12,2.82,31700,1.2(3.93 %),2500,76540000,0,0,29300,31700,28500
2009-11-13,2.76,31000,0.4(1.31 %),17200,517400000,0,0,30000,31000,30000
2009-11-16,2.58,29000,-1.1(-3.65 %),2000,59980000,0,0,32000,32000,29000
2009-11-17,2.58,29000,-1(-3.33 %),3800,111000000,0,0,29500,30500,29000
2009-11-18,2.63,29500,0.3(1.03 %),1500,44150000,0,0,29400,29500,29400
2009-11-19,2.63,29500,0.1(0.34 %),2100,61590000,0,0,29500,29500,29000
2009-11-20,2.49,28000,-1.3(-4.44 %),4900,139650000,89600,2688000000,29300,29300,28000
2009-11-23,2.45,27500,-1(-3.51 %),2100,58700000,0,0,28000,28000,27500
2009-11-24,2.49,28000,0(0.00 %),1500,42390000,0,0,29400,29400,28000
2009-11-25,2.35,26400,-1.9(-6.71 %),3000,79650000,0,0,27400,27400,26400
2009-11-26,2.21,24800,-1.8(-6.77 %),7600,193800000,0,0,28250,28250,24800
2009-11-27,2.42,26550,1.7(6.67 %),2600,65870000,0,0,26500,26550,23800
2009-11-30,2.39,26800,1.5(5.93 %),6100,163540000,0,0,27000,27000,26800
2009-12-01,2.45,27500,0.7(2.61 %),3400,93910000,60000,1680000000,27900,27900,27000
2009-12-02,2.46,27600,0(0.00 %),0,0,0,0,27600,27600,27600
2009-12-03,2.39,26800,-0.8(-2.90 %),1600,42860000,44000,1188000000,27000,27000,26500
2009-12-04,2.23,25000,-1.8(-6.72 %),3900,99980000,0,0,26400,26400,25000
2009-12-07,2.24,25200,-0.4(-1.56 %),31600,789970000,0,0,25000,25600,24000
2009-12-08,2.23,25000,0(0.00 %),6100,150990000,0,0,25000,25000,24400
2009-12-09,2.18,24500,-0.3(-1.21 %),5700,139940000,144000,3633000000,25000,25000,24500
2009-12-10,2.33,26200,1.6(6.50 %),1300,34060000,0,0,26200,26200,26200
2009-12-11,2.17,24400,-1.8(-6.87 %),1600,39580000,0,0,26200,26200,24400
2009-12-14,2.35,26100,1.7(6.88 %),34800,905350000,0,0,26100,26100,25900
2009-12-15,2.32,26000,0(0.00 %),115400,3000400000,0,0,26000,26000,26000
2009-12-16,2.38,26700,0.7(2.69 %),1500,39950000,0,0,26600,26700,26600
2009-12-17,2.4,27000,0.4(1.50 %),3500,91340000,0,0,25100,27000,25100
2009-12-18,2.48,27900,1.8(6.90 %),1500,41190000,0,0,27500,27900,26500
2009-12-21,2.56,28700,1.2(4.36 %),8200,233340000,130000,3776400000,28000,28700,27500
2009-12-22,2.61,29300,0.8(2.81 %),4000,117300000,0,0,29400,29400,29200
2009-12-23,2.56,28700,-0.6(-2.05 %),4300,127790000,0,0,29300,30800,28700
2009-12-24,2.59,29100,-0.6(-2.02 %),39700,1152060000,0,0,29700,29800,29000
2009-12-25,2.63,29500,0.5(1.72 %),134500,3954000000,0,0,29700,29700,29100
2009-12-28,2.73,30700,1.3(4.42 %),14400,447450000,0,0,31000,31400,30500
2009-12-29,2.91,32700,1.6(5.14 %),1000,32700000,0,0,32700,32700,32700
2009-12-30,2.79,31300,-1.4(-4.28 %),13000,404080000,0,0,32000,32700,30500
2009-12-31,2.8,31500,0.4(1.29 %),126100,4023360000,0,0,32700,32900,31000
2010-01-04,2.94,32000,1.1(3.56 %),2100,67100000,0,0,31900,32000,31900
2010-01-05,2.74,29800,-2.2(-6.88 %),21500,655060000,0,0,31400,31400,29800
2010-01-06,2.61,28400,-2.1(-6.89 %),8100,231390000,38100,1143000000,29900,29900,28400
2010-01-07,2.54,27600,-1(-3.50 %),101900,2947430000,0,0,28600,29000,27600
2010-01-08,2.47,26900,-2(-6.92 %),41800,1127020000,0,0,28000,28000,26900
2010-01-11,2.41,26200,-0.8(-2.96 %),2300,60910000,0,0,25900,26600,25900
2010-01-12,2.44,26600,0.1(0.38 %),7200,191320000,0,0,28050,28050,26500
2010-01-13,2.34,25500,-1.1(-4.14 %),6400,166230000,0,0,26500,26500,25500
2010-01-14,2.39,26000,0(0.00 %),7700,199760000,0,0,25200,26500,25200
2010-01-15,2.3,25000,-0.9(-3.47 %),4000,101700000,0,0,26900,26900,25000
2010-01-18,2.21,24000,-1.4(-5.51 %),4600,110770000,0,0,24200,24300,23700
2010-01-19,2.36,25700,1.6(6.64 %),103500,2592900000,0,0,23000,25700,23000
2010-01-20,2.44,26500,1.4(5.58 %),8300,221470000,0,0,26600,26800,26000
2010-01-21,2.42,26300,-0.4(-1.50 %),4700,124320000,0,0,26800,26800,26100
2010-01-22,2.39,26000,-0.5(-1.89 %),2000,52750000,0,0,26500,26500,26000
2010-01-25,2.34,25500,-0.9(-3.41 %),169900,4731700000,0,0,27800,27800,25500
2010-01-26,2.56,27300,0(0.00 %),0,0,0,0,27300,27300,27300
2010-01-27,2.56,27900,0(0.00 %),0,0,0,0,27900,27900,27900
2010-01-28,2.55,27700,-0.2(-0.72 %),200,5620000,0,0,28500,28500,27700
2010-01-29,2.58,28100,0(0.00 %),0,0,0,0,28100,28100,28100
2010-02-01,2.46,26800,-1.3(-4.63 %),3400,91920000,0,0,27000,27500,26800
2010-02-02,2.32,25200,-1.8(-6.67 %),2900,74030000,0,0,27000,27000,25200
2010-02-03,2.39,26000,0.5(1.96 %),134200,3612490000,0,0,24500,26950,24000
2010-02-04,2.47,26900,0(0.00 %),0,0,0,0,26900,26900,26900
2010-02-05,2.33,25300,-1.6(-5.95 %),4100,103300000,0,0,25500,25500,25100
2010-02-08,2.22,24100,-1.1(-4.37 %),700,17420000,0,0,25200,25200,24100
2010-02-09,2.21,24000,-0.9(-3.61 %),4100,98710000,0,0,24200,24300,24000
2010-02-10,2.25,24500,0.4(1.66 %),2700,67750000,0,0,24100,25700,24100
2010-02-11,2.37,25800,0.7(2.79 %),200,5160000,0,0,25800,25800,25800
2010-02-12,2.37,25800,0(0.00 %),4500,116220000,0,0,27000,27000,25800
2010-02-22,2.22,24100,-1.7(-6.59 %),7400,178030000,0,0,24200,26000,24000
2010-02-23,2.21,24000,-0.1(-0.41 %),300,7200000,0,0,24000,24000,24000
2010-02-24,2.23,24300,0.3(1.25 %),1000,24300000,0,0,24300,24300,24300
2010-02-25,2.16,23500,-0.8(-3.29 %),7000,166950000,0,0,24500,24500,23500
2010-02-26,2.2,23900,0(0.00 %),5300,126670000,0,0,23900,23900,23900
2010-03-01,2.2,23900,0(0.00 %),5300,126670000,0,0,23900,23900,23900
2010-03-02,2.15,23400,-0.5(-2.09 %),71200,1592520000,0,0,22300,23400,22300
2010-03-03,2.2,23900,1.5(6.70 %),20500,489310000,0,0,23400,23900,23400
2010-03-04,2.2,23900,0(0.00 %),9700,232440000,0,0,24900,24900,23900
2010-03-05,2.24,24400,0.4(1.67 %),22000,535460000,0,0,24500,24500,24000
2010-03-08,2.11,23000,-1.3(-5.35 %),11200,267590000,0,0,25000,25000,23000
2010-03-09,2.2,23900,0(0.00 %),27600,653670000,0,0,24600,24600,23000
2010-03-10,2.33,25300,1.6(6.75 %),57900,1418530000,0,0,23900,25300,23700
2010-03-11,2.25,24500,0(0.00 %),10500,259970000,0,0,25100,25100,24500
2010-03-12,2.31,25100,0.3(1.21 %),6100,152670000,0,0,25000,25700,25000
2010-03-15,2.45,26700,1.7(6.80 %),43300,1136440000,0,0,25000,26700,25000
2010-03-16,2.48,27000,0.8(3.05 %),61500,1615810000,70000,1960000000,26700,27100,25100
2010-03-17,2.58,28100,1.8(6.84 %),54100,1519310000,0,0,28100,28100,28000
2010-03-18,2.76,30000,1.9(6.76 %),66400,1989060000,0,0,30000,30000,29800
2010-03-19,2.95,32100,2.1(7.00 %),84100,2526380000,0,0,32000,32100,27900
2010-03-22,2.95,32100,2.1(7.00 %),142500,4548710000,0,0,31000,32100,31000
2010-03-23,2.78,30200,-1.7(-5.33 %),88400,2817470000,0,0,31900,32400,30200
2010-03-24,2.9,31500,-0.4(-1.25 %),90500,2854590000,0,0,32000,32300,30000
2010-03-25,2.85,31000,-0.5(-1.59 %),129800,3877190000,0,0,29400,31500,29300
2010-03-26,2.63,28850,-1.3(-4.35 %),30000,853770000,0,0,29500,29900,28850
2010-03-29,2.49,27100,-1.4(-4.91 %),7200,195060000,60000,1713000000,27600,27600,27000
2010-03-30,2.66,28900,1.8(6.64 %),36900,1054220000,0,0,27500,28900,27500
2010-03-31,2.7,29400,0.8(2.80 %),43900,1307710000,50000,1530000000,30500,30600,28600
2010-04-01,2.67,29000,-0.8(-2.68 %),13500,389900000,54700,1739460000,27800,29400,27800
2010-04-02,2.52,27400,-1.5(-5.19 %),18600,507220000,50000,1445000000,29000,29000,27000
2010-04-05,2.67,29000,1.7(6.23 %),131700,3807020000,0,0,28900,29200,28000
2010-04-06,2.61,28400,-0.5(-1.73 %),22100,667590000,50000,1545000000,30400,30400,28100
2010-04-07,2.63,28600,-1.6(-5.30 %),26400,793550000,0,0,30000,30300,28600
2010-04-08,2.66,28900,-1.2(-3.99 %),24100,693740000,100000,3132000000,28500,30000,28500
