Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2008-09-18,10.37,59000,-3(-4.84 %),20,1180000,50000,2950000000,59000,59000,59000
2008-09-19,10.37,59000,0(0.00 %),152680,8886500000,0,0,56500,61500,56500
2008-09-22,10.81,61500,2.5(4.24 %),71690,4405435000,35000,2152500000,61500,61500,61000
2008-09-23,10.28,58500,-3(-4.88 %),67410,3943485000,50000,2925000000,58500,58500,58500
2008-09-24,10.28,58500,0(0.00 %),33000,1928375000,0,0,58500,58500,57000
2008-09-25,10.72,61000,2.5(4.27 %),36430,2176810000,0,0,59000,61000,58500
2008-09-26,11.25,64000,3(4.92 %),85110,5439140000,0,0,64000,64000,62500
2008-09-29,10.9,62000,-2(-3.12 %),11680,723990000,0,0,61500,65500,61500
2008-09-30,10.37,59000,-3(-4.84 %),7640,450760000,0,0,59000,59000,59000
2008-10-01,10.46,59500,0.5(0.85 %),27920,1599840000,0,0,59000,61500,56500
2008-10-02,10.72,61000,1.5(2.52 %),29650,1765340000,0,0,60000,61000,58500
2008-10-03,10.72,61000,0(0.00 %),6390,393700000,0,0,62000,62000,60000
2008-10-06,10.2,58000,-3(-4.92 %),37980,2211545000,0,0,59000,59000,58000
2008-10-07,9.76,55500,-2.5(-4.31 %),32950,1828725000,0,0,55500,55500,55500
2008-10-08,10.11,57500,2(3.60 %),12040,650800000,0,0,53500,57500,53500
2008-10-09,9.76,55500,-2(-3.48 %),13670,774600000,0,0,56000,57500,55500
2008-10-10,9.32,53000,-2.5(-4.50 %),19630,1040390000,0,0,53000,53000,53000
2008-10-13,8.88,50500,-2.5(-4.72 %),25760,1319205000,0,0,55500,55500,50500
2008-10-14,9.32,53000,2.5(4.95 %),6450,341850000,0,0,53000,53000,53000
2008-10-15,9.76,55500,2.5(4.72 %),39280,2178875000,0,0,55500,55500,55000
2008-10-16,9.67,55000,-0.5(-0.90 %),6940,375080000,0,0,53500,55000,53500
2008-10-17,9.93,56500,1.5(2.73 %),30250,1646280000,0,0,53500,57000,53500
2008-10-20,9.67,55000,-1.5(-2.65 %),25300,1428390000,0,0,57000,57000,55000
2008-10-21,9.4,53500,-1.5(-2.73 %),22240,1207825000,0,0,55500,55500,53500
2008-10-22,9.32,53000,-0.5(-0.93 %),10920,568860000,0,0,52000,53000,51500
2008-10-23,8.88,50500,-2.5(-4.72 %),24540,1239465000,0,0,50500,51000,50500
2008-10-24,8.44,47000,-2.05(-4.97 %),15100,591920000,0,0,47000,47000,47000
2008-10-27,8.03,37300,-1.9(-4.85 %),810,30213000,0,0,37300,37300,37300
2008-10-28,7.64,35500,-1.8(-4.83 %),16300,580400000,0,0,35500,36000,35500
2008-10-29,7.98,37100,1.6(4.51 %),32860,1213246000,0,0,37100,37200,36000
2008-10-30,7.6,35300,-1.8(-4.85 %),12450,443934000,0,0,35500,37000,35300
2008-10-31,7.23,33600,-1.7(-4.82 %),18930,649484000,100000,3360000000,36300,36300,33600
2008-11-03,6.97,32400,-1.2(-3.57 %),42590,1377772000,0,0,32600,34000,32000
2008-11-04,7.32,34000,1.6(4.94 %),64120,2131767000,0,0,31700,34000,31200
2008-11-05,7.68,35700,1.7(5.00 %),110030,3928051000,0,0,35700,35700,35600
2008-11-06,7.94,36900,1.2(3.36 %),67420,2463961000,0,0,35000,37400,35000
2008-11-07,7.55,35100,-1.8(-4.88 %),19470,684260000,0,0,35100,36600,35100
2008-11-10,7.73,35900,0.8(2.28 %),50100,1769710000,0,0,35300,35900,35100
2008-11-11,7.53,35000,-0.9(-2.51 %),49890,1721724000,0,0,35000,35000,34200
2008-11-12,7.47,34700,-0.3(-0.86 %),58300,1988120000,0,0,33300,34900,33300
2008-11-13,7.53,35000,0.3(0.86 %),24400,853900000,0,0,34500,35500,34500
2008-11-14,7.58,35200,0.2(0.57 %),26950,952155000,0,0,35200,35500,35200
2008-11-17,7.34,34100,-1.1(-3.12 %),5750,197505000,0,0,35000,35000,34000
2008-11-18,6.97,32400,-1.7(-4.99 %),31130,1018173000,0,0,33200,33500,32400
2008-11-19,6.89,32000,-0.4(-1.23 %),27450,874615000,0,0,32400,32400,31400
2008-11-20,6.56,30500,-1.5(-4.69 %),17710,542359000,0,0,30500,31000,30400
2008-11-21,6.24,29000,-1.5(-4.92 %),10280,298300000,0,0,29100,30000,29000
2008-11-24,5.94,27600,-1.4(-4.83 %),13050,363973000,0,0,30100,30100,27600
2008-11-25,5.7,26500,-1.1(-3.99 %),27660,735477000,0,0,28000,28000,26300
2008-11-26,5.72,26600,0.1(0.38 %),14800,395865000,858000,21621600000,25900,27200,25900
2008-11-27,5.64,26200,-0.4(-1.50 %),8970,237173000,0,0,26900,27000,26200
2008-11-28,5.92,27500,1.3(4.96 %),10240,281600000,0,0,27500,27500,27500
2008-12-01,5.94,27600,0.1(0.36 %),19870,550890000,0,0,27800,27800,27500
2008-12-02,5.9,27400,-0.2(-0.72 %),1310,35474000,0,0,26400,27600,26400
2008-12-03,5.83,27100,-0.3(-1.09 %),13500,362560000,0,0,26700,27400,26700
2008-12-04,5.92,27500,0.4(1.48 %),3490,95921000,0,0,27500,27500,27100
2008-12-05,5.64,26200,-1.3(-4.73 %),24880,661611000,0,0,27000,27000,26200
2008-12-08,5.36,24900,-1.3(-4.96 %),8310,207649000,0,0,25000,25000,24900
2008-12-09,5.29,24600,-0.3(-1.20 %),40850,992629000,0,0,24100,25900,24000
2008-12-10,5.55,25800,1.2(4.88 %),18800,467689000,0,0,24200,25800,24200
2008-12-11,5.81,27000,1.2(4.65 %),31750,853509000,0,0,26700,27000,26500
2008-12-12,6.09,28300,1.3(4.81 %),39270,1111041000,137600,3536320000,28300,28300,28000
2008-12-15,6.37,29600,1.3(4.59 %),42440,1245669000,95600,2581200000,29500,29700,28200
2008-12-16,6.07,28200,-1.4(-4.73 %),6550,187537000,0,0,29000,29000,28200
2008-12-17,6.11,28400,0.2(0.71 %),30030,847078000,0,0,27700,28600,27500
2008-12-18,6.35,29500,1.1(3.87 %),35560,1009128000,0,0,28400,29500,28100
2008-12-19,6.65,30900,1.4(4.75 %),23410,720265000,0,0,30900,30900,30000
2008-12-22,6.95,32300,1.4(4.53 %),32680,1057430000,0,0,32400,32400,32100
2008-12-23,6.61,30700,-1.6(-4.95 %),19430,598132000,0,0,31100,31100,30700
2008-12-24,6.61,30700,0(0.00 %),23210,699291000,0,0,29300,30700,29300
2008-12-25,6.56,30500,-0.2(-0.65 %),4230,128231000,0,0,31700,31700,29700
2008-12-26,6.46,30000,-0.5(-1.64 %),14240,428800000,0,0,30000,30500,30000
2008-12-29,6.59,30600,0.6(2.00 %),6330,191948000,0,0,30100,30600,30100
2008-12-30,6.78,31500,0.9(2.94 %),35640,1097524000,0,0,31000,31500,30400
2008-12-31,6.78,31500,0(0.00 %),11700,366813000,0,0,31500,31800,31000
2009-01-02,6.78,31500,0(0.00 %),2720,85424000,0,0,30700,31500,30700
2009-01-05,6.8,31600,0.1(0.32 %),17350,550595000,0,0,31800,31800,31500
